# Bounce and drift averaged pitch angle diffusion coefficients in s^(-1) in figure 14k for E = 1000.0 keV, L* = 5.0, Kp = 5
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,7.8427e-10,1.7973e-06,6.7907e-07
1.4940,8.8632e-10,1.8130e-06,6.8468e-07
2.4890,1.0892e-09,1.8308e-06,6.9084e-07
3.4830,1.4009e-09,1.8511e-06,6.9755e-07
4.4780,1.8325e-09,1.8736e-06,7.0483e-07
5.4720,2.3984e-09,1.8988e-06,7.1273e-07
6.4670,3.1171e-09,1.9263e-06,7.2130e-07
7.4610,4.0111e-09,1.9566e-06,7.3065e-07
8.4560,5.1077e-09,1.9893e-06,7.4089e-07
9.4500,6.4391e-09,2.0251e-06,7.5219e-07
10.4440,8.0439e-09,2.0637e-06,7.6484e-07
11.4390,9.9667e-09,2.1050e-06,7.7930e-07
12.4330,1.2260e-08,2.1498e-06,7.9624e-07
13.4280,1.4984e-08,2.1974e-06,8.1634e-07
14.4220,1.8210e-08,2.2488e-06,8.4016e-07
15.4170,2.2017e-08,2.3033e-06,8.6762e-07
16.4110,2.6500e-08,2.3620e-06,8.9847e-07
17.4060,3.1775e-08,2.4241e-06,9.3325e-07
18.4000,3.7975e-08,2.4910e-06,9.7198e-07
19.3940,4.5284e-08,2.5625e-06,1.0130e-06
20.3890,5.3964e-08,2.6386e-06,1.0538e-06
21.3830,6.4440e-08,2.7212e-06,1.0925e-06
22.3780,7.7475e-08,2.8078e-06,1.1294e-06
23.3720,9.3843e-08,2.8992e-06,1.1676e-06
24.3670,1.1344e-07,2.9934e-06,1.2101e-06
25.3610,1.3749e-07,3.0924e-06,1.2612e-06
26.3560,1.6736e-07,3.1950e-06,1.3259e-06
27.3500,2.0238e-07,3.3018e-06,1.4066e-06
28.3440,2.4304e-07,3.4107e-06,1.5017e-06
29.3390,2.8948e-07,3.5203e-06,1.6071e-06
30.3330,3.4104e-07,3.6321e-06,1.7160e-06
31.3280,3.9626e-07,3.7429e-06,1.8204e-06
32.3220,4.5356e-07,3.8535e-06,1.9208e-06
33.3170,5.1316e-07,3.9648e-06,2.0235e-06
34.3110,5.7323e-07,4.0826e-06,2.1319e-06
35.3060,6.4150e-07,4.2013e-06,2.2568e-06
36.3000,7.2218e-07,4.3311e-06,2.4005e-06
37.2940,8.2666e-07,4.4693e-06,2.5520e-06
38.2890,9.6410e-07,4.6147e-06,2.6874e-06
39.2830,1.1413e-06,4.7743e-06,2.8027e-06
40.2780,1.3536e-06,4.9498e-06,2.9055e-06
41.2720,1.5820e-06,5.1466e-06,2.9912e-06
42.2670,1.8017e-06,5.3650e-06,3.0832e-06
43.2610,2.0231e-06,5.6036e-06,3.1957e-06
44.2560,2.2559e-06,5.8685e-06,3.3240e-06
45.2500,2.5232e-06,6.1579e-06,3.4656e-06
46.2440,2.8297e-06,6.4796e-06,3.6128e-06
47.2390,3.1783e-06,6.8434e-06,3.7611e-06
48.2330,3.5721e-06,7.2564e-06,3.9184e-06
49.2280,4.0234e-06,7.7118e-06,4.1118e-06
50.2220,4.5639e-06,8.2244e-06,4.3566e-06
51.2170,5.1792e-06,8.7882e-06,4.6369e-06
52.2110,5.7974e-06,9.4098e-06,4.9272e-06
53.2060,6.4446e-06,1.0091e-05,5.2368e-06
54.2000,7.1500e-06,1.0788e-05,5.5744e-06
55.1940,7.9406e-06,1.1533e-05,5.9830e-06
56.1890,8.8590e-06,1.2337e-05,6.4847e-06
57.1830,9.9626e-06,1.3220e-05,7.0530e-06
58.1780,1.1268e-05,1.4185e-05,7.7132e-06
59.1720,1.2605e-05,1.5267e-05,8.4714e-06
60.1670,1.3866e-05,1.6443e-05,9.3799e-06
61.1610,1.5098e-05,1.7712e-05,1.0544e-05
62.1560,1.6426e-05,1.9030e-05,1.2042e-05
63.1500,1.7707e-05,2.0451e-05,1.3999e-05
64.1440,1.9314e-05,2.2007e-05,1.6547e-05
65.1390,2.0783e-05,2.3592e-05,1.9865e-05
66.1330,2.1741e-05,2.4971e-05,2.3396e-05
67.1280,2.2715e-05,2.6365e-05,2.6791e-05
68.1220,2.3552e-05,2.7799e-05,2.9680e-05
69.1170,2.4369e-05,2.9316e-05,3.1958e-05
70.1110,2.5459e-05,3.0996e-05,3.5449e-05
71.1060,2.7544e-05,3.2880e-05,3.7711e-05
72.1000,3.0230e-05,3.4906e-05,3.9976e-05
73.0940,3.2693e-05,3.6970e-05,4.3120e-05
74.0890,3.3062e-05,3.8817e-05,4.7545e-05
75.0830,3.3265e-05,4.0200e-05,5.2514e-05
76.0780,3.3307e-05,4.0692e-05,5.6402e-05
77.0720,3.4255e-05,4.0102e-05,6.2295e-05
78.0670,3.4199e-05,3.9209e-05,6.4803e-05
79.0610,3.2458e-05,3.9406e-05,5.6390e-05
80.0560,3.0229e-05,4.0841e-05,5.5342e-05
81.0500,3.4030e-05,4.3852e-05,6.4883e-05
82.0440,4.5403e-05,5.2281e-05,5.9293e-05
83.0390,4.7435e-05,6.1376e-05,6.1961e-05
84.0330,3.3536e-05,6.0988e-05,5.8476e-05
85.0280,4.2064e-05,5.3598e-05,5.7412e-05
86.0220,5.3285e-05,4.8590e-05,4.2692e-05
87.0170,3.3953e-05,4.1011e-05,5.9780e-05
88.0110,2.7219e-05,3.8165e-05,5.0423e-05
89.0060,3.3214e-05,3.9949e-05,4.3867e-05
