# Bounce and drift averaged pitch angle diffusion coefficients in s^(-1) in figure 14l for E = 1000.0 keV, L* = 5.5, Kp = 5
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,3.1957e-10,1.7284e-06,6.7907e-07
1.4940,3.6381e-10,1.7439e-06,6.8468e-07
2.4890,4.5245e-10,1.7619e-06,6.9084e-07
3.4830,5.9013e-10,1.7827e-06,6.9755e-07
4.4780,7.8378e-10,1.8061e-06,7.0483e-07
5.4720,1.0432e-09,1.8326e-06,7.1273e-07
6.4670,1.3823e-09,1.8618e-06,7.2130e-07
7.4610,1.8199e-09,1.8943e-06,7.3065e-07
8.4560,2.3796e-09,1.9298e-06,7.4089e-07
9.4500,3.0682e-09,1.9689e-06,7.5219e-07
10.4440,3.9049e-09,2.0117e-06,7.6484e-07
11.4390,4.9209e-09,2.0578e-06,7.7930e-07
12.4330,6.1560e-09,2.1084e-06,7.9624e-07
13.4280,7.6649e-09,2.1627e-06,8.1634e-07
14.4220,9.5293e-09,2.2217e-06,8.4016e-07
15.4170,1.1887e-08,2.2844e-06,8.6762e-07
16.4110,1.5004e-08,2.3521e-06,8.9847e-07
17.4060,1.9074e-08,2.4238e-06,9.3325e-07
18.4000,2.3961e-08,2.5011e-06,9.7198e-07
19.3940,2.9786e-08,2.5836e-06,1.0130e-06
20.3890,3.6658e-08,2.6707e-06,1.0538e-06
21.3830,4.4646e-08,2.7642e-06,1.0925e-06
22.3780,5.3759e-08,2.8624e-06,1.1294e-06
23.3720,6.3890e-08,2.9668e-06,1.1676e-06
24.3670,7.4534e-08,3.0751e-06,1.2101e-06
25.3610,8.5517e-08,3.1898e-06,1.2612e-06
26.3560,9.7211e-08,3.3100e-06,1.3259e-06
27.3500,1.1218e-07,3.4374e-06,1.4066e-06
28.3440,1.3228e-07,3.5706e-06,1.5017e-06
29.3390,1.5743e-07,3.7076e-06,1.6071e-06
30.3330,1.9008e-07,3.8502e-06,1.7160e-06
31.3280,2.3092e-07,3.9950e-06,1.8204e-06
32.3220,2.7847e-07,4.1431e-06,1.9208e-06
33.3170,3.2919e-07,4.2977e-06,2.0235e-06
34.3110,3.8199e-07,4.4690e-06,2.1319e-06
35.3060,4.4375e-07,4.6499e-06,2.2568e-06
36.3000,5.1469e-07,4.8429e-06,2.4005e-06
37.2940,5.9668e-07,5.0436e-06,2.5520e-06
38.2890,6.9421e-07,5.2485e-06,2.6874e-06
39.2830,8.1129e-07,5.4672e-06,2.8027e-06
40.2780,9.6384e-07,5.6963e-06,2.9055e-06
41.2720,1.1507e-06,5.9311e-06,2.9912e-06
42.2670,1.3588e-06,6.1668e-06,3.0832e-06
43.2610,1.5737e-06,6.4133e-06,3.1957e-06
44.2560,1.7943e-06,6.6771e-06,3.3240e-06
45.2500,2.0482e-06,6.9818e-06,3.4656e-06
46.2440,2.3449e-06,7.3406e-06,3.6128e-06
47.2390,2.6864e-06,7.7566e-06,3.7611e-06
48.2330,3.0709e-06,8.2409e-06,3.9184e-06
49.2280,3.4958e-06,8.7984e-06,4.1118e-06
50.2220,3.9595e-06,9.4567e-06,4.3566e-06
51.2170,4.4845e-06,1.0208e-05,4.6369e-06
52.2110,5.1481e-06,1.1076e-05,4.9272e-06
53.2060,5.8801e-06,1.2079e-05,5.2368e-06
54.2000,6.6380e-06,1.3116e-05,5.5744e-06
55.1940,7.4155e-06,1.4224e-05,5.9830e-06
56.1890,8.2271e-06,1.5426e-05,6.4847e-06
57.1830,9.1265e-06,1.6739e-05,7.0530e-06
58.1780,1.0163e-05,1.8154e-05,7.7132e-06
59.1720,1.1315e-05,1.9712e-05,8.4714e-06
60.1670,1.2576e-05,2.1409e-05,9.3799e-06
61.1610,1.3842e-05,2.3266e-05,1.0544e-05
62.1560,1.5136e-05,2.5208e-05,1.2042e-05
63.1500,1.6654e-05,2.7266e-05,1.3999e-05
64.1440,1.8469e-05,2.9370e-05,1.6547e-05
65.1390,2.0283e-05,3.1662e-05,1.9865e-05
66.1330,2.1832e-05,3.3873e-05,2.3396e-05
67.1280,2.3470e-05,3.6128e-05,2.6791e-05
68.1220,2.5278e-05,3.8468e-05,2.9680e-05
69.1170,2.6644e-05,4.0871e-05,3.1958e-05
70.1110,2.7913e-05,4.3490e-05,3.5449e-05
71.1060,2.8831e-05,4.6344e-05,3.7711e-05
72.1000,3.0428e-05,4.9461e-05,3.9976e-05
73.0940,3.3096e-05,5.2695e-05,4.3120e-05
74.0890,3.5253e-05,5.5929e-05,4.7545e-05
75.0830,3.7865e-05,5.8843e-05,5.2514e-05
76.0780,3.8493e-05,6.1099e-05,5.6402e-05
77.0720,3.8105e-05,6.2223e-05,6.2295e-05
78.0670,3.8300e-05,6.1281e-05,6.4803e-05
79.0610,3.8433e-05,6.0523e-05,5.6390e-05
80.0560,3.8427e-05,6.0387e-05,5.5342e-05
81.0500,4.1490e-05,6.1695e-05,6.4883e-05
82.0440,4.1932e-05,6.5034e-05,5.9293e-05
83.0390,3.8821e-05,7.7601e-05,6.1961e-05
84.0330,5.2159e-05,9.6801e-05,5.8476e-05
85.0280,6.3091e-05,9.9212e-05,5.7412e-05
86.0220,5.7788e-05,8.5834e-05,4.2692e-05
87.0170,7.1721e-05,6.0350e-05,5.9780e-05
88.0110,2.5879e-05,5.1337e-05,5.0423e-05
89.0060,2.2727e-05,5.2799e-05,4.3867e-05
