# Bounce and drift averaged pitch angle diffusion coefficients in s^(-1) in figure 14m for E = 500.0 keV, L* = 3.0, Kp = 5
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,1.0162e-07,1.4751e-19,1.5287e-06
1.4940,1.0273e-07,1.4803e-19,1.5430e-06
2.4890,1.0419e-07,1.4852e-19,1.5603e-06
3.4830,1.0603e-07,1.4897e-19,1.5807e-06
4.4780,1.0824e-07,1.4939e-19,1.6043e-06
5.4720,1.1084e-07,1.4977e-19,1.6312e-06
6.4670,1.1385e-07,1.5012e-19,1.6613e-06
7.4610,1.1728e-07,1.5043e-19,1.6947e-06
8.4560,1.2115e-07,1.5069e-19,1.7311e-06
9.4500,1.2548e-07,1.5092e-19,1.7703e-06
10.4440,1.3030e-07,1.5111e-19,1.8118e-06
11.4390,1.3562e-07,1.5125e-19,1.8550e-06
12.4330,1.4147e-07,1.5135e-19,1.8993e-06
13.4280,1.4788e-07,1.5140e-19,1.9439e-06
14.4220,1.5492e-07,1.5140e-19,1.9877e-06
15.4170,1.6262e-07,1.5135e-19,2.0298e-06
16.4110,1.7104e-07,1.5124e-19,2.0691e-06
17.4060,1.8027e-07,1.5108e-19,2.1054e-06
18.4000,1.9025e-07,1.5087e-19,2.1406e-06
19.3940,2.0095e-07,1.5060e-19,2.1756e-06
20.3890,2.1236e-07,1.5027e-19,2.2103e-06
21.3830,2.2447e-07,1.4988e-19,2.2459e-06
22.3780,2.3724e-07,1.4945e-19,2.2856e-06
23.3720,2.5064e-07,1.4897e-19,2.3309e-06
24.3670,2.6462e-07,1.4849e-19,2.3781e-06
25.3610,2.7911e-07,1.4798e-19,2.4231e-06
26.3560,2.9402e-07,1.4749e-19,2.4620e-06
27.3500,3.0927e-07,1.4700e-19,2.4954e-06
28.3440,3.2487e-07,1.4655e-19,2.5272e-06
29.3390,3.4094e-07,1.4616e-19,2.5550e-06
30.3330,3.5780e-07,1.4588e-19,2.5872e-06
31.3280,3.7597e-07,1.4575e-19,2.6369e-06
32.3220,3.9518e-07,1.4584e-19,2.7062e-06
33.3170,4.1510e-07,1.4615e-19,2.7857e-06
34.3110,4.3518e-07,1.4664e-19,2.8757e-06
35.3060,4.5542e-07,1.4728e-19,2.9791e-06
36.3000,4.7510e-07,1.4812e-19,3.0823e-06
37.2940,4.9278e-07,1.4923e-19,3.1841e-06
38.2890,5.0782e-07,1.5064e-19,3.2897e-06
39.2830,5.1863e-07,1.5242e-19,3.4048e-06
40.2780,5.2278e-07,1.5449e-19,3.5087e-06
41.2720,5.2026e-07,1.5676e-19,3.5959e-06
42.2670,5.1540e-07,1.5894e-19,3.6836e-06
43.2610,5.1264e-07,1.6136e-19,3.7658e-06
44.2560,5.0880e-07,1.6386e-19,3.8558e-06
45.2500,5.0498e-07,1.6650e-19,3.9604e-06
46.2440,5.0200e-07,1.6923e-19,4.0778e-06
47.2390,4.9940e-07,1.7195e-19,4.1912e-06
48.2330,4.9506e-07,1.7468e-19,4.3331e-06
49.2280,4.8128e-07,1.7735e-19,4.4552e-06
50.2220,4.6802e-07,1.7991e-19,4.5649e-06
51.2170,4.6442e-07,1.8249e-19,4.6874e-06
52.2110,4.7247e-07,1.8620e-19,4.8477e-06
53.2060,4.8166e-07,1.8855e-19,5.0236e-06
54.2000,5.0179e-07,1.8955e-19,5.1721e-06
55.1940,5.2144e-07,1.9020e-19,5.3226e-06
56.1890,5.4035e-07,1.9080e-19,5.4790e-06
57.1830,5.5639e-07,1.9130e-19,5.6602e-06
58.1780,5.6997e-07,1.9185e-19,5.8967e-06
59.1720,5.8480e-07,1.9254e-19,6.1212e-06
60.1670,6.0431e-07,1.9318e-19,6.3739e-06
61.1610,6.3652e-07,1.9688e-19,6.6550e-06
62.1560,6.7410e-07,2.0013e-19,6.9395e-06
63.1500,7.0107e-07,1.9878e-19,7.2465e-06
64.1440,7.2772e-07,1.9942e-19,7.5526e-06
65.1390,7.6859e-07,2.0286e-19,7.8706e-06
66.1330,8.1316e-07,2.0563e-19,8.2727e-06
67.1280,8.5591e-07,2.0849e-19,8.7285e-06
68.1220,8.9441e-07,2.1174e-19,9.3173e-06
69.1170,9.2911e-07,2.1530e-19,1.0315e-05
70.1110,9.5763e-07,2.2063e-19,1.1446e-05
71.1060,1.0508e-06,2.2048e-19,1.2459e-05
72.1000,1.1261e-06,2.1941e-19,1.4015e-05
73.0940,1.2497e-06,2.2700e-19,1.6314e-05
74.0890,1.3323e-06,2.3646e-19,1.7205e-05
75.0830,1.5006e-06,2.4256e-19,1.8107e-05
76.0780,1.4083e-06,2.4526e-19,1.8177e-05
77.0720,1.1233e-06,2.5089e-19,1.7820e-05
78.0670,1.1287e-06,2.9804e-19,1.7215e-05
79.0610,1.1716e-06,2.4365e-19,1.6315e-05
80.0560,1.1562e-06,2.2580e-19,1.5029e-05
81.0500,1.1624e-06,1.9855e-19,1.3160e-05
82.0440,1.1626e-06,1.9567e-19,1.0936e-05
83.0390,1.1271e-06,2.0016e-19,8.7991e-06
84.0330,1.4946e-06,2.0935e-19,7.1202e-06
85.0280,1.1947e-06,2.2425e-19,6.2595e-06
86.0220,1.4001e-06,2.4483e-19,6.8033e-06
87.0170,1.7375e-06,2.6737e-19,8.6269e-06
88.0110,1.6790e-06,3.0473e-19,2.5279e-05
89.0060,1.1878e-06,3.4109e-19,2.9733e-05
