# Bounce and drift averaged pitch angle diffusion coefficients in s^(-1) in figure 14n for E = 500.0 keV, L* = 3.5, Kp = 5
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,1.3278e-07,1.0589e-06,1.3672e-06
1.4940,1.3455e-07,1.0666e-06,1.3790e-06
2.4890,1.3712e-07,1.0739e-06,1.3926e-06
3.4830,1.4051e-07,1.0811e-06,1.4078e-06
4.4780,1.4476e-07,1.0880e-06,1.4249e-06
5.4720,1.4990e-07,1.0946e-06,1.4437e-06
6.4670,1.5596e-07,1.1008e-06,1.4645e-06
7.4610,1.6301e-07,1.1068e-06,1.4871e-06
8.4560,1.7108e-07,1.1123e-06,1.5117e-06
9.4500,1.8026e-07,1.1175e-06,1.5385e-06
10.4440,1.9061e-07,1.1222e-06,1.5673e-06
11.4390,2.0223e-07,1.1265e-06,1.5982e-06
12.4330,2.1522e-07,1.1303e-06,1.6313e-06
13.4280,2.2971e-07,1.1335e-06,1.6663e-06
14.4220,2.4565e-07,1.1361e-06,1.7030e-06
15.4170,2.6293e-07,1.1381e-06,1.7411e-06
16.4110,2.8158e-07,1.1394e-06,1.7806e-06
17.4060,3.0158e-07,1.1400e-06,1.8217e-06
18.4000,3.2293e-07,1.1398e-06,1.8653e-06
19.3940,3.4559e-07,1.1387e-06,1.9122e-06
20.3890,3.6951e-07,1.1368e-06,1.9623e-06
21.3830,3.9470e-07,1.1340e-06,2.0151e-06
22.3780,4.2129e-07,1.1302e-06,2.0698e-06
23.3720,4.4961e-07,1.1256e-06,2.1243e-06
24.3670,4.7965e-07,1.1203e-06,2.1791e-06
25.3610,5.1078e-07,1.1144e-06,2.2366e-06
26.3560,5.4343e-07,1.1080e-06,2.2973e-06
27.3500,5.7686e-07,1.1011e-06,2.3625e-06
28.3440,6.1141e-07,1.0938e-06,2.4349e-06
29.3390,6.4801e-07,1.0863e-06,2.5154e-06
30.3330,6.8709e-07,1.0790e-06,2.5985e-06
31.3280,7.2833e-07,1.0725e-06,2.6773e-06
32.3220,7.7227e-07,1.0671e-06,2.7576e-06
33.3170,8.1654e-07,1.0631e-06,2.8399e-06
34.3110,8.5972e-07,1.0596e-06,2.9214e-06
35.3060,9.0314e-07,1.0569e-06,3.0047e-06
36.3000,9.4585e-07,1.0552e-06,3.0981e-06
37.2940,9.8653e-07,1.0553e-06,3.1883e-06
38.2890,1.0244e-06,1.0580e-06,3.2758e-06
39.2830,1.0588e-06,1.0638e-06,3.3656e-06
40.2780,1.0915e-06,1.0726e-06,3.4582e-06
41.2720,1.1282e-06,1.0836e-06,3.5699e-06
42.2670,1.1758e-06,1.0958e-06,3.7148e-06
43.2610,1.2295e-06,1.1120e-06,3.8533e-06
44.2560,1.2808e-06,1.1302e-06,3.9252e-06
45.2500,1.3331e-06,1.1507e-06,4.0050e-06
46.2440,1.3812e-06,1.1736e-06,4.0916e-06
47.2390,1.4249e-06,1.1980e-06,4.1850e-06
48.2330,1.4700e-06,1.2248e-06,4.2834e-06
49.2280,1.5201e-06,1.2532e-06,4.3972e-06
50.2220,1.5794e-06,1.2825e-06,4.4922e-06
51.2170,1.6560e-06,1.3175e-06,4.5866e-06
52.2110,1.7591e-06,1.3610e-06,4.6920e-06
53.2060,1.9047e-06,1.3900e-06,4.8228e-06
54.2000,1.9977e-06,1.4078e-06,4.8997e-06
55.1940,2.0903e-06,1.4243e-06,4.9805e-06
56.1890,2.1784e-06,1.4413e-06,5.0244e-06
57.1830,2.2683e-06,1.4584e-06,5.1267e-06
58.1780,2.3730e-06,1.4765e-06,5.2260e-06
59.1720,2.4822e-06,1.4965e-06,5.2114e-06
60.1670,2.5858e-06,1.5167e-06,5.1565e-06
61.1610,2.7038e-06,1.5612e-06,5.1861e-06
62.1560,2.8837e-06,1.6112e-06,5.1608e-06
63.1500,3.0096e-06,1.6344e-06,5.0822e-06
64.1440,3.0004e-06,1.6604e-06,5.0725e-06
65.1390,3.0934e-06,1.7123e-06,5.2334e-06
66.1330,3.2161e-06,1.7547e-06,5.5133e-06
67.1280,3.3712e-06,1.7948e-06,5.8038e-06
68.1220,3.5376e-06,1.8344e-06,6.1125e-06
69.1170,3.7151e-06,1.8735e-06,6.4930e-06
70.1110,3.9180e-06,1.9246e-06,6.9358e-06
71.1060,4.1528e-06,1.9224e-06,7.6085e-06
72.1000,4.4263e-06,1.9116e-06,8.5629e-06
73.0940,4.7840e-06,1.8937e-06,9.6224e-06
74.0890,5.1247e-06,1.8972e-06,1.0705e-05
75.0830,5.5675e-06,1.9458e-06,1.1890e-05
76.0780,6.4160e-06,2.0073e-06,1.3568e-05
77.0720,6.9642e-06,2.1584e-06,1.3217e-05
78.0670,1.0265e-05,2.9199e-06,1.3495e-05
79.0610,6.5955e-06,2.7758e-06,1.4390e-05
80.0560,5.6142e-06,2.0611e-06,1.2434e-05
81.0500,5.9197e-06,1.7374e-06,1.1722e-05
82.0440,5.7391e-06,1.4497e-06,1.1765e-05
83.0390,4.9184e-06,1.5134e-06,7.7139e-06
84.0330,4.3994e-06,1.6561e-06,6.7382e-06
85.0280,3.9627e-06,1.8716e-06,6.4541e-06
86.0220,3.5949e-06,2.1524e-06,6.7959e-06
87.0170,3.4397e-06,2.5158e-06,7.7596e-06
88.0110,3.2746e-06,3.0631e-06,1.4894e-05
89.0060,2.8368e-06,3.6833e-06,3.0389e-05
