# Bounce and drift averaged pitch angle diffusion coefficients in s^(-1) in figure 14o for E = 500.0 keV, L* = 4.0, Kp = 5
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,1.6055e-07,7.0980e-06,6.5738e-06
1.4940,1.6332e-07,7.1515e-06,6.6310e-06
2.4890,1.6768e-07,7.2048e-06,6.6965e-06
3.4830,1.7370e-07,7.2588e-06,6.7705e-06
4.4780,1.8144e-07,7.3125e-06,6.8535e-06
5.4720,1.9098e-07,7.3668e-06,6.9457e-06
6.4670,2.0241e-07,7.4207e-06,7.0475e-06
7.4610,2.1584e-07,7.4748e-06,7.1591e-06
8.4560,2.3140e-07,7.5281e-06,7.2811e-06
9.4500,2.4925e-07,7.5812e-06,7.4137e-06
10.4440,2.6959e-07,7.6336e-06,7.5573e-06
11.4390,2.9254e-07,7.6844e-06,7.7123e-06
12.4330,3.1826e-07,7.7343e-06,7.8789e-06
13.4280,3.4686e-07,7.7820e-06,8.0573e-06
14.4220,3.7851e-07,7.8280e-06,8.2476e-06
15.4170,4.1339e-07,7.8709e-06,8.4501e-06
16.4110,4.5166e-07,7.9109e-06,8.6652e-06
17.4060,4.9342e-07,7.9470e-06,8.8939e-06
18.4000,5.3882e-07,7.9794e-06,9.1362e-06
19.3940,5.8782e-07,8.0072e-06,9.3926e-06
20.3890,6.4030e-07,8.0295e-06,9.6643e-06
21.3830,6.9587e-07,8.0461e-06,9.9533e-06
22.3780,7.5384e-07,8.0561e-06,1.0260e-05
23.3720,8.1327e-07,8.0590e-06,1.0585e-05
24.3670,8.7304e-07,8.0543e-06,1.0926e-05
25.3610,9.3183e-07,8.0417e-06,1.1284e-05
26.3560,9.8859e-07,8.0214e-06,1.1661e-05
27.3500,1.0434e-06,7.9928e-06,1.2055e-05
28.3440,1.0985e-06,7.9554e-06,1.2464e-05
29.3390,1.1565e-06,7.9097e-06,1.2887e-05
30.3330,1.2152e-06,7.8557e-06,1.3328e-05
31.3280,1.2774e-06,7.7964e-06,1.3786e-05
32.3220,1.3482e-06,7.7334e-06,1.4264e-05
33.3170,1.4354e-06,7.6689e-06,1.4777e-05
34.3110,1.5288e-06,7.6003e-06,1.5318e-05
35.3060,1.6257e-06,7.5286e-06,1.5884e-05
36.3000,1.7169e-06,7.4548e-06,1.6477e-05
37.2940,1.8042e-06,7.3830e-06,1.7106e-05
38.2890,1.8866e-06,7.3169e-06,1.7774e-05
39.2830,1.9602e-06,7.2576e-06,1.8494e-05
40.2780,2.0228e-06,7.2067e-06,1.9228e-05
41.2720,2.0800e-06,7.1623e-06,1.9969e-05
42.2670,2.1460e-06,7.1333e-06,2.0715e-05
43.2610,2.2472e-06,7.1260e-06,2.1488e-05
44.2560,2.3623e-06,7.1333e-06,2.2288e-05
45.2500,2.5070e-06,7.1536e-06,2.3178e-05
46.2440,2.6731e-06,7.1874e-06,2.4202e-05
47.2390,2.8646e-06,7.2358e-06,2.5335e-05
48.2330,3.0457e-06,7.3053e-06,2.6636e-05
49.2280,3.2275e-06,7.3955e-06,2.8186e-05
50.2220,3.3995e-06,7.5041e-06,2.9800e-05
51.2170,3.5815e-06,7.6563e-06,3.1371e-05
52.2110,3.7740e-06,7.8307e-06,3.3093e-05
53.2060,3.9827e-06,7.9783e-06,3.4965e-05
54.2000,4.2118e-06,8.1437e-06,3.7011e-05
55.1940,4.4435e-06,8.3320e-06,3.9194e-05
56.1890,4.6899e-06,8.5418e-06,4.1579e-05
57.1830,4.9521e-06,8.7702e-06,4.4218e-05
58.1780,5.2170e-06,9.0112e-06,4.7187e-05
59.1720,5.4667e-06,9.2688e-06,5.0514e-05
60.1670,5.7106e-06,9.5461e-06,5.4075e-05
61.1610,5.9694e-06,9.8502e-06,5.7891e-05
62.1560,6.2830e-06,1.0233e-05,6.1868e-05
63.1500,6.8031e-06,1.0743e-05,6.5885e-05
64.1440,7.1511e-06,1.1211e-05,7.0112e-05
65.1390,7.3724e-06,1.1576e-05,7.4355e-05
66.1330,7.5564e-06,1.1917e-05,7.8744e-05
67.1280,7.7024e-06,1.2239e-05,8.3148e-05
68.1220,7.8254e-06,1.2533e-05,8.8072e-05
69.1170,7.9144e-06,1.2765e-05,9.3367e-05
70.1110,8.0511e-06,1.2928e-05,9.7770e-05
71.1060,8.1967e-06,1.3028e-05,1.0129e-04
72.1000,8.4013e-06,1.3089e-05,1.0470e-04
73.0940,8.2870e-06,1.2563e-05,1.0670e-04
74.0890,7.9426e-06,1.2211e-05,1.0792e-04
75.0830,7.6113e-06,1.2386e-05,1.0850e-04
76.0780,7.5201e-06,1.2802e-05,1.0997e-04
77.0720,7.9472e-06,1.3954e-05,1.1265e-04
78.0670,8.8896e-06,1.6912e-05,1.1448e-04
79.0610,1.2054e-05,2.1276e-05,1.2005e-04
80.0560,1.0235e-05,1.9367e-05,1.3275e-04
81.0500,8.8900e-06,1.9853e-05,1.4133e-04
82.0440,8.5273e-06,1.4628e-05,1.3418e-04
83.0390,7.0741e-06,1.1829e-05,1.2880e-04
84.0330,6.1609e-06,1.1923e-05,1.3330e-04
85.0280,5.2182e-06,1.2718e-05,1.5923e-04
86.0220,4.8646e-06,1.3379e-05,9.2724e-05
87.0170,5.8156e-06,1.4595e-05,4.2226e-05
88.0110,9.3272e-06,1.6857e-05,1.9519e-05
89.0060,7.8973e-06,1.9292e-05,1.9540e-05
