# Bounce and drift averaged pitch angle diffusion coefficients in s^(-1) in figure 14p for E = 500.0 keV, L* = 4.5, Kp = 5
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,6.1371e-07,8.4782e-06,3.3021e-06
1.4940,6.2123e-07,8.5450e-06,3.3311e-06
2.4890,6.3176e-07,8.6146e-06,3.3647e-06
3.4830,6.4539e-07,8.6883e-06,3.4030e-06
4.4780,6.6219e-07,8.7648e-06,3.4463e-06
5.4720,6.8226e-07,8.8455e-06,3.4947e-06
6.4670,7.0570e-07,8.9289e-06,3.5487e-06
7.4610,7.3262e-07,9.0165e-06,3.6085e-06
8.4560,7.6314e-07,9.1067e-06,3.6745e-06
9.4500,7.9739e-07,9.2011e-06,3.7471e-06
10.4440,8.3550e-07,9.2987e-06,3.8267e-06
11.4390,8.7762e-07,9.3986e-06,3.9139e-06
12.4330,9.2390e-07,9.5025e-06,4.0094e-06
13.4280,9.7451e-07,9.6082e-06,4.1137e-06
14.4220,1.0296e-06,9.7175e-06,4.2276e-06
15.4170,1.0895e-06,9.8280e-06,4.3529e-06
16.4110,1.1545e-06,9.9412e-06,4.4923e-06
17.4060,1.2250e-06,1.0055e-05,4.6466e-06
18.4000,1.3018e-06,1.0171e-05,4.8150e-06
19.3940,1.3855e-06,1.0288e-05,4.9994e-06
20.3890,1.4777e-06,1.0405e-05,5.2015e-06
21.3830,1.5810e-06,1.0522e-05,5.4229e-06
22.3780,1.6978e-06,1.0636e-05,5.6646e-06
23.3720,1.8276e-06,1.0749e-05,5.9261e-06
24.3670,1.9654e-06,1.0858e-05,6.2066e-06
25.3610,2.1130e-06,1.0964e-05,6.5148e-06
26.3560,2.2702e-06,1.1064e-05,6.8542e-06
27.3500,2.4320e-06,1.1160e-05,7.2139e-06
28.3440,2.5978e-06,1.1250e-05,7.5834e-06
29.3390,2.7654e-06,1.1332e-05,7.9790e-06
30.3330,2.9344e-06,1.1409e-05,8.4036e-06
31.3280,3.1053e-06,1.1481e-05,8.8510e-06
32.3220,3.2804e-06,1.1550e-05,9.3201e-06
33.3170,3.4483e-06,1.1622e-05,9.8085e-06
34.3110,3.6140e-06,1.1702e-05,1.0290e-05
35.3060,3.7791e-06,1.1784e-05,1.0780e-05
36.3000,3.9504e-06,1.1876e-05,1.1295e-05
37.2940,4.1288e-06,1.1982e-05,1.1842e-05
38.2890,4.3062e-06,1.2103e-05,1.2407e-05
39.2830,4.4807e-06,1.2238e-05,1.3040e-05
40.2780,4.6542e-06,1.2385e-05,1.3654e-05
41.2720,4.8373e-06,1.2549e-05,1.4238e-05
42.2670,5.0763e-06,1.2728e-05,1.4761e-05
43.2610,5.3979e-06,1.2933e-05,1.5274e-05
44.2560,5.7598e-06,1.3175e-05,1.5782e-05
45.2500,6.1268e-06,1.3444e-05,1.6372e-05
46.2440,6.4517e-06,1.3736e-05,1.6952e-05
47.2390,6.7618e-06,1.4055e-05,1.7593e-05
48.2330,7.0866e-06,1.4415e-05,1.8337e-05
49.2280,7.4456e-06,1.4819e-05,1.9263e-05
50.2220,7.8485e-06,1.5272e-05,2.0305e-05
51.2170,8.2864e-06,1.5774e-05,2.1543e-05
52.2110,8.7611e-06,1.6357e-05,2.2913e-05
53.2060,9.3396e-06,1.7000e-05,2.4474e-05
54.2000,9.9878e-06,1.7718e-05,2.6226e-05
55.1940,1.0698e-05,1.8530e-05,2.8276e-05
56.1890,1.1487e-05,1.9434e-05,3.0584e-05
57.1830,1.2342e-05,2.0435e-05,3.3159e-05
58.1780,1.3177e-05,2.1501e-05,3.6091e-05
59.1720,1.4010e-05,2.2649e-05,3.9468e-05
60.1670,1.4851e-05,2.3869e-05,4.3291e-05
61.1610,1.5705e-05,2.5197e-05,4.7431e-05
62.1560,1.6593e-05,2.6615e-05,5.2091e-05
63.1500,1.7387e-05,2.8232e-05,5.5474e-05
64.1440,1.8274e-05,3.0155e-05,5.8210e-05
65.1390,1.8690e-05,3.1586e-05,5.9947e-05
66.1330,1.9023e-05,3.2959e-05,6.1649e-05
67.1280,1.9599e-05,3.4341e-05,6.3058e-05
68.1220,2.0178e-05,3.5709e-05,6.4834e-05
69.1170,2.0684e-05,3.6885e-05,6.8423e-05
70.1110,2.1323e-05,3.7770e-05,7.2282e-05
71.1060,2.1688e-05,3.8402e-05,7.7316e-05
72.1000,2.1426e-05,3.8812e-05,8.0503e-05
73.0940,2.1221e-05,3.9008e-05,8.2808e-05
74.0890,2.0838e-05,3.9460e-05,8.5985e-05
75.0830,1.9416e-05,4.0884e-05,8.8308e-05
76.0780,1.8157e-05,4.2033e-05,9.4141e-05
77.0720,1.8250e-05,4.4388e-05,1.0452e-04
78.0670,1.9191e-05,4.8473e-05,1.1611e-04
79.0610,2.0901e-05,5.4622e-05,1.2424e-04
80.0560,2.2382e-05,6.6468e-05,1.2922e-04
81.0500,2.5537e-05,8.2584e-05,1.3075e-04
82.0440,3.1561e-05,8.1941e-05,1.3820e-04
83.0390,2.1564e-05,5.7180e-05,1.6151e-04
84.0330,2.5880e-05,4.7288e-05,1.8014e-04
85.0280,2.9506e-05,4.5382e-05,2.0059e-04
86.0220,2.3612e-05,4.0289e-05,2.3433e-04
87.0170,1.2020e-05,3.5224e-05,2.4563e-04
88.0110,1.4343e-05,3.3810e-05,4.3658e-05
89.0060,1.3080e-05,3.4680e-05,3.5487e-05
