# Bounce and drift averaged pitch angle diffusion coefficients in s^(-1) in figure 14q for E = 500.0 keV, L* = 5.0, Kp = 5
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,1.5611e-07,7.2135e-06,4.2329e-06
1.4940,1.5935e-07,7.2727e-06,4.2698e-06
2.4890,1.6472e-07,7.3368e-06,4.3124e-06
3.4830,1.7227e-07,7.4070e-06,4.3608e-06
4.4780,1.8208e-07,7.4821e-06,4.4153e-06
5.4720,1.9423e-07,7.5637e-06,4.4762e-06
6.4670,2.0883e-07,7.6504e-06,4.5437e-06
7.4610,2.2601e-07,7.7440e-06,4.6183e-06
8.4560,2.4592e-07,7.8430e-06,4.7002e-06
9.4500,2.6874e-07,7.9494e-06,4.7898e-06
10.4440,2.9469e-07,8.0624e-06,4.8874e-06
11.4390,3.2400e-07,8.1813e-06,4.9937e-06
12.4330,3.5696e-07,8.3084e-06,5.1089e-06
13.4280,3.9389e-07,8.4417e-06,5.2334e-06
14.4220,4.3518e-07,8.5838e-06,5.3671e-06
15.4170,4.8121e-07,8.7325e-06,5.5099e-06
16.4110,5.3246e-07,8.8907e-06,5.6608e-06
17.4060,5.8942e-07,9.0554e-06,5.8181e-06
18.4000,6.5268e-07,9.2300e-06,5.9806e-06
19.3940,7.2288e-07,9.4132e-06,6.1479e-06
20.3890,8.0070e-07,9.6032e-06,6.3202e-06
21.3830,8.8689e-07,9.8035e-06,6.4963e-06
22.3780,9.8222e-07,1.0010e-05,6.6776e-06
23.3720,1.0875e-06,1.0226e-05,6.8676e-06
24.3670,1.2041e-06,1.0448e-05,7.0721e-06
25.3610,1.3345e-06,1.0681e-05,7.2973e-06
26.3560,1.4830e-06,1.0918e-05,7.5431e-06
27.3500,1.6564e-06,1.1166e-05,7.8082e-06
28.3440,1.8501e-06,1.1420e-05,8.0879e-06
29.3390,2.0643e-06,1.1677e-05,8.3741e-06
30.3330,2.3058e-06,1.1944e-05,8.6580e-06
31.3280,2.5860e-06,1.2217e-05,8.9383e-06
32.3220,2.9060e-06,1.2503e-05,9.2157e-06
33.3170,3.2656e-06,1.2801e-05,9.4969e-06
34.3110,3.6615e-06,1.3126e-05,9.8058e-06
35.3060,4.0934e-06,1.3467e-05,1.0158e-05
36.3000,4.5606e-06,1.3837e-05,1.0545e-05
37.2940,5.0514e-06,1.4238e-05,1.0950e-05
38.2890,5.5538e-06,1.4666e-05,1.1341e-05
39.2830,6.0559e-06,1.5127e-05,1.1717e-05
40.2780,6.5651e-06,1.5616e-05,1.2112e-05
41.2720,7.0997e-06,1.6152e-05,1.2562e-05
42.2670,7.7030e-06,1.6733e-05,1.3010e-05
43.2610,8.4419e-06,1.7393e-05,1.3472e-05
44.2560,9.2829e-06,1.8137e-05,1.3995e-05
45.2500,1.0232e-05,1.8968e-05,1.4591e-05
46.2440,1.1314e-05,1.9895e-05,1.5222e-05
47.2390,1.2479e-05,2.0916e-05,1.5967e-05
48.2330,1.3718e-05,2.2059e-05,1.6796e-05
49.2280,1.5028e-05,2.3303e-05,1.7636e-05
50.2220,1.6432e-05,2.4675e-05,1.8724e-05
51.2170,1.7953e-05,2.6140e-05,2.0102e-05
52.2110,1.9662e-05,2.7729e-05,2.1253e-05
53.2060,2.1591e-05,2.9486e-05,2.2467e-05
54.2000,2.3688e-05,3.1327e-05,2.3745e-05
55.1940,2.5960e-05,3.3346e-05,2.5109e-05
56.1890,2.8482e-05,3.5547e-05,2.6672e-05
57.1830,3.1267e-05,3.7972e-05,2.8512e-05
58.1780,3.4266e-05,4.0577e-05,3.0627e-05
59.1720,3.7415e-05,4.3400e-05,3.2916e-05
60.1670,4.0726e-05,4.6380e-05,3.5276e-05
61.1610,4.4100e-05,4.9536e-05,3.7777e-05
62.1560,4.7350e-05,5.2808e-05,4.0309e-05
63.1500,5.0644e-05,5.6254e-05,4.2786e-05
64.1440,5.4876e-05,6.0278e-05,4.5311e-05
65.1390,5.7773e-05,6.3923e-05,4.8318e-05
66.1330,6.0318e-05,6.7305e-05,5.2266e-05
67.1280,6.3176e-05,7.0771e-05,5.7572e-05
68.1220,6.6150e-05,7.4288e-05,6.3766e-05
69.1170,6.9247e-05,7.7650e-05,7.1432e-05
70.1110,7.1605e-05,8.0599e-05,8.1093e-05
71.1060,7.3409e-05,8.3034e-05,8.8217e-05
72.1000,7.5630e-05,8.5047e-05,9.3327e-05
73.0940,7.8120e-05,8.6604e-05,9.9906e-05
74.0890,8.0758e-05,8.7683e-05,1.0984e-04
75.0830,7.9103e-05,9.0333e-05,1.0913e-04
76.0780,7.4226e-05,9.2656e-05,1.1263e-04
77.0720,7.6363e-05,9.5110e-05,1.2254e-04
78.0670,8.2674e-05,9.7129e-05,1.1593e-04
79.0610,8.9523e-05,1.0109e-04,1.1708e-04
80.0560,9.9529e-05,1.0996e-04,1.2873e-04
81.0500,1.0377e-04,1.3419e-04,1.3642e-04
82.0440,1.1638e-04,1.6964e-04,1.4817e-04
83.0390,1.0313e-04,1.7340e-04,1.9739e-04
84.0330,1.0160e-04,1.5019e-04,1.9670e-04
85.0280,1.2999e-04,1.3764e-04,1.4139e-04
86.0220,1.5221e-04,1.0612e-04,1.6084e-04
87.0170,4.9160e-05,6.9664e-05,1.3751e-04
88.0110,3.0916e-05,4.6290e-05,8.3399e-05
89.0060,2.1837e-05,3.5246e-05,2.6853e-05
