# Bounce and drift averaged pitch angle diffusion coefficients in s^(-1) in figure 14r for E = 500.0 keV, L* = 5.5, Kp = 5
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,7.0128e-08,7.4699e-06,4.2329e-06
1.4940,7.1469e-08,7.5319e-06,4.2698e-06
2.4890,7.3658e-08,7.5994e-06,4.3124e-06
3.4830,7.6742e-08,7.6739e-06,4.3608e-06
4.4780,8.0781e-08,7.7542e-06,4.4153e-06
5.4720,8.5855e-08,7.8419e-06,4.4762e-06
6.4670,9.2065e-08,7.9355e-06,4.5437e-06
7.4610,9.9534e-08,8.0370e-06,4.6183e-06
8.4560,1.0841e-07,8.1446e-06,4.7002e-06
9.4500,1.1886e-07,8.2604e-06,4.7898e-06
10.4440,1.3108e-07,8.3839e-06,4.8874e-06
11.4390,1.4533e-07,8.5138e-06,4.9937e-06
12.4330,1.6193e-07,8.6531e-06,5.1089e-06
13.4280,1.8128e-07,8.8000e-06,5.2334e-06
14.4220,2.0390e-07,8.9574e-06,5.3671e-06
15.4170,2.2988e-07,9.1230e-06,5.5099e-06
16.4110,2.5925e-07,9.3002e-06,5.6608e-06
17.4060,2.9218e-07,9.4859e-06,5.8181e-06
18.4000,3.2903e-07,9.6841e-06,5.9806e-06
19.3940,3.7018e-07,9.8936e-06,6.1479e-06
20.3890,4.1616e-07,1.0113e-05,6.3202e-06
21.3830,4.6769e-07,1.0346e-05,6.4963e-06
22.3780,5.2603e-07,1.0590e-05,6.6776e-06
23.3720,5.9331e-07,1.0847e-05,6.8676e-06
24.3670,6.6966e-07,1.1114e-05,7.0721e-06
25.3610,7.5642e-07,1.1397e-05,7.2973e-06
26.3560,8.5365e-07,1.1693e-05,7.5431e-06
27.3500,9.6164e-07,1.2008e-05,7.8082e-06
28.3440,1.0810e-06,1.2342e-05,8.0879e-06
29.3390,1.2104e-06,1.2692e-05,8.3741e-06
30.3330,1.3483e-06,1.3067e-05,8.6580e-06
31.3280,1.4963e-06,1.3464e-05,8.9383e-06
32.3220,1.6584e-06,1.3893e-05,9.2157e-06
33.3170,1.8467e-06,1.4348e-05,9.4969e-06
34.3110,2.0904e-06,1.4847e-05,9.8058e-06
35.3060,2.3843e-06,1.5376e-05,1.0158e-05
36.3000,2.7332e-06,1.5947e-05,1.0545e-05
37.2940,3.1440e-06,1.6555e-05,1.0950e-05
38.2890,3.6216e-06,1.7192e-05,1.1341e-05
39.2830,4.1500e-06,1.7877e-05,1.1717e-05
40.2780,4.7118e-06,1.8597e-05,1.2112e-05
41.2720,5.2892e-06,1.9368e-05,1.2562e-05
42.2670,5.9026e-06,2.0205e-05,1.3010e-05
43.2610,6.5929e-06,2.1156e-05,1.3472e-05
44.2560,7.3386e-06,2.2222e-05,1.3995e-05
45.2500,8.1719e-06,2.3440e-05,1.4591e-05
46.2440,9.1094e-06,2.4828e-05,1.5222e-05
47.2390,1.0209e-05,2.6375e-05,1.5967e-05
48.2330,1.1526e-05,2.8117e-05,1.6796e-05
49.2280,1.3022e-05,3.0028e-05,1.7636e-05
50.2220,1.4715e-05,3.2134e-05,1.8724e-05
51.2170,1.6570e-05,3.4372e-05,2.0102e-05
52.2110,1.8492e-05,3.6779e-05,2.1253e-05
53.2060,2.0511e-05,3.9354e-05,2.2467e-05
54.2000,2.2608e-05,4.2020e-05,2.3745e-05
55.1940,2.4853e-05,4.4882e-05,2.5109e-05
56.1890,2.7180e-05,4.7937e-05,2.6672e-05
57.1830,2.9554e-05,5.1247e-05,2.8512e-05
58.1780,3.1991e-05,5.4770e-05,3.0627e-05
59.1720,3.4545e-05,5.8574e-05,3.2916e-05
60.1670,3.7743e-05,6.2573e-05,3.5276e-05
61.1610,4.1144e-05,6.6857e-05,3.7777e-05
62.1560,4.4577e-05,7.1348e-05,4.0309e-05
63.1500,4.7818e-05,7.6113e-05,4.2786e-05
64.1440,5.0888e-05,8.1235e-05,4.5311e-05
65.1390,5.4396e-05,8.6743e-05,4.8318e-05
66.1330,5.7386e-05,9.2027e-05,5.2266e-05
67.1280,6.0188e-05,9.7522e-05,5.7572e-05
68.1220,6.2421e-05,1.0330e-04,6.3766e-05
69.1170,6.5252e-05,1.0924e-04,7.1432e-05
70.1110,6.9007e-05,1.1506e-04,8.1093e-05
71.1060,7.4080e-05,1.2042e-04,8.8217e-05
72.1000,7.7601e-05,1.2527e-04,9.3327e-05
73.0940,8.0734e-05,1.2940e-04,9.9906e-05
74.0890,8.4001e-05,1.3260e-04,1.0984e-04
75.0830,8.6484e-05,1.3509e-04,1.0913e-04
76.0780,9.1760e-05,1.3894e-04,1.1263e-04
77.0720,9.4749e-05,1.4279e-04,1.2254e-04
78.0670,9.4146e-05,1.4270e-04,1.1593e-04
79.0610,9.3828e-05,1.4355e-04,1.1708e-04
80.0560,9.4298e-05,1.4861e-04,1.2873e-04
81.0500,9.3093e-05,1.6312e-04,1.3642e-04
82.0440,1.0153e-04,1.9645e-04,1.4817e-04
83.0390,1.2209e-04,2.4925e-04,1.9739e-04
84.0330,1.5148e-04,2.8318e-04,1.9670e-04
85.0280,1.4677e-04,2.6051e-04,1.4139e-04
86.0220,1.4523e-04,1.9184e-04,1.6084e-04
87.0170,1.4105e-04,1.0735e-04,1.3751e-04
88.0110,1.5605e-05,6.0015e-05,8.3399e-05
89.0060,1.0531e-05,3.4557e-05,2.6853e-05
