# Bounce and drift averaged pitch angle diffusion coefficients in s^(-1) in figure 14s for E = 100.0 keV, L* = 3.0, Kp = 5
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,1.8554e-06,2.5025e-19,1.6512e-05
1.4940,1.8692e-06,2.5123e-19,1.6637e-05
2.4890,1.8828e-06,2.5224e-19,1.6765e-05
3.4830,1.8964e-06,2.5329e-19,1.6896e-05
4.4780,1.9100e-06,2.5438e-19,1.7029e-05
5.4720,1.9235e-06,2.5552e-19,1.7165e-05
6.4670,1.9371e-06,2.5669e-19,1.7303e-05
7.4610,1.9508e-06,2.5792e-19,1.7443e-05
8.4560,1.9646e-06,2.5918e-19,1.7586e-05
9.4500,1.9787e-06,2.6051e-19,1.7731e-05
10.4440,1.9931e-06,2.6189e-19,1.7877e-05
11.4390,2.0081e-06,2.6331e-19,1.8025e-05
12.4330,2.0236e-06,2.6481e-19,1.8175e-05
13.4280,2.0400e-06,2.6635e-19,1.8327e-05
14.4220,2.0573e-06,2.6798e-19,1.8480e-05
15.4170,2.0759e-06,2.6967e-19,1.8631e-05
16.4110,2.0958e-06,2.7145e-19,1.8780e-05
17.4060,2.1175e-06,2.7329e-19,1.8928e-05
18.4000,2.1412e-06,2.7523e-19,1.9079e-05
19.3940,2.1672e-06,2.7725e-19,1.9232e-05
20.3890,2.1958e-06,2.7931e-19,1.9379e-05
21.3830,2.2276e-06,2.8147e-19,1.9519e-05
22.3780,2.2628e-06,2.8369e-19,1.9665e-05
23.3720,2.3018e-06,2.8600e-19,1.9839e-05
24.3670,2.3448e-06,2.8838e-19,2.0075e-05
25.3610,2.3924e-06,2.9086e-19,2.0414e-05
26.3560,2.4448e-06,2.9341e-19,2.0814e-05
27.3500,2.5034e-06,2.9609e-19,2.1129e-05
28.3440,2.5677e-06,2.9887e-19,2.1302e-05
29.3390,2.6375e-06,3.0174e-19,2.1455e-05
30.3330,2.7126e-06,3.0476e-19,2.1598e-05
31.3280,2.7919e-06,3.0786e-19,2.1738e-05
32.3220,2.8749e-06,3.1107e-19,2.1881e-05
33.3170,2.9610e-06,3.1434e-19,2.2013e-05
34.3110,3.0495e-06,3.1775e-19,2.2234e-05
35.3060,3.1389e-06,3.2128e-19,2.2514e-05
36.3000,3.2278e-06,3.2499e-19,2.2852e-05
37.2940,3.3139e-06,3.2885e-19,2.3359e-05
38.2890,3.3946e-06,3.3285e-19,2.4180e-05
39.2830,3.4712e-06,3.3701e-19,2.4950e-05
40.2780,3.5432e-06,3.4114e-19,2.5266e-05
41.2720,3.6082e-06,3.4528e-19,2.5375e-05
42.2670,3.6681e-06,3.4936e-19,2.5502e-05
43.2610,3.7196e-06,3.5345e-19,2.5674e-05
44.2560,3.7594e-06,3.5753e-19,2.5915e-05
45.2500,3.7854e-06,3.6179e-19,2.6201e-05
46.2440,3.7958e-06,3.6623e-19,2.6453e-05
47.2390,3.7871e-06,3.7088e-19,2.6803e-05
48.2330,3.7605e-06,3.7606e-19,2.6841e-05
49.2280,3.7209e-06,3.8191e-19,2.6908e-05
50.2220,3.6709e-06,3.8859e-19,2.6964e-05
51.2170,3.6166e-06,3.9607e-19,2.7027e-05
52.2110,3.5606e-06,4.0462e-19,2.7099e-05
53.2060,3.5217e-06,4.1422e-19,2.7102e-05
54.2000,3.4926e-06,4.2496e-19,2.7083e-05
55.1940,3.4844e-06,4.3662e-19,2.6959e-05
56.1890,3.5008e-06,4.4921e-19,2.6444e-05
57.1830,3.5256e-06,4.6245e-19,2.6407e-05
58.1780,3.5679e-06,4.7633e-19,2.6449e-05
59.1720,3.6293e-06,4.9014e-19,2.6393e-05
60.1670,3.6983e-06,5.0289e-19,2.6180e-05
61.1610,3.7771e-06,5.1551e-19,2.5698e-05
62.1560,3.8493e-06,5.2673e-19,2.5093e-05
63.1500,3.8682e-06,5.3625e-19,2.3853e-05
64.1440,3.8169e-06,5.4356e-19,2.3398e-05
65.1390,3.7177e-06,5.4913e-19,2.2889e-05
66.1330,3.6257e-06,5.5422e-19,2.2183e-05
67.1280,3.4081e-06,5.5817e-19,2.1144e-05
68.1220,3.2230e-06,5.6148e-19,2.0110e-05
69.1170,3.1731e-06,5.6598e-19,1.8754e-05
70.1110,3.1995e-06,5.6463e-19,1.7038e-05
71.1060,3.3582e-06,5.6609e-19,1.4910e-05
72.1000,3.6883e-06,5.8634e-19,1.2374e-05
73.0940,4.0189e-06,5.6089e-19,9.5531e-06
74.0890,4.6205e-06,5.5794e-19,6.9191e-06
75.0830,5.8052e-06,5.5434e-19,4.8601e-06
76.0780,6.2270e-06,5.4066e-19,3.0864e-06
77.0720,6.4985e-06,5.3327e-19,2.2310e-06
78.0670,7.0580e-06,5.2752e-19,1.6390e-06
79.0610,6.3107e-06,5.1749e-19,1.3510e-06
80.0560,6.0839e-06,4.9672e-19,1.1756e-06
81.0500,6.1904e-06,4.6334e-19,1.0722e-06
82.0440,4.3583e-06,4.1771e-19,1.1727e-06
83.0390,3.0317e-06,3.5960e-19,1.6097e-06
84.0330,1.8770e-06,2.8442e-19,2.1158e-06
85.0280,1.1120e-06,2.1309e-19,3.1422e-06
86.0220,6.6975e-07,1.5284e-19,6.5696e-06
87.0170,2.1713e-07,1.1618e-19,2.0351e-05
88.0110,3.0063e-09,9.1835e-20,2.2590e-05
89.0060,1.0000e-31,1.3649e-19,4.5236e-11
