# Bounce and drift averaged pitch angle diffusion coefficients in s^(-1) in figure 14t for E = 100.0 keV, L* = 3.5, Kp = 5
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,4.7484e-06,2.5716e-06,1.3234e-05
1.4940,4.7877e-06,2.5920e-06,1.3341e-05
2.4890,4.8309e-06,2.6134e-06,1.3457e-05
3.4830,4.8783e-06,2.6361e-06,1.3582e-05
4.4780,4.9300e-06,2.6598e-06,1.3716e-05
5.4720,4.9863e-06,2.6850e-06,1.3859e-05
6.4670,5.0473e-06,2.7113e-06,1.4012e-05
7.4610,5.1134e-06,2.7392e-06,1.4175e-05
8.4560,5.1849e-06,2.7682e-06,1.4348e-05
9.4500,5.2622e-06,2.7989e-06,1.4532e-05
10.4440,5.3459e-06,2.8312e-06,1.4726e-05
11.4390,5.4363e-06,2.8649e-06,1.4931e-05
12.4330,5.5340e-06,2.9005e-06,1.5148e-05
13.4280,5.6398e-06,2.9376e-06,1.5377e-05
14.4220,5.7543e-06,2.9769e-06,1.5618e-05
15.4170,5.8784e-06,3.0179e-06,1.5875e-05
16.4110,6.0129e-06,3.0614e-06,1.6147e-05
17.4060,6.1587e-06,3.1065e-06,1.6435e-05
18.4000,6.3170e-06,3.1543e-06,1.6741e-05
19.3940,6.4888e-06,3.2043e-06,1.7064e-05
20.3890,6.6750e-06,3.2561e-06,1.7404e-05
21.3830,6.8768e-06,3.3105e-06,1.7760e-05
22.3780,7.0953e-06,3.3666e-06,1.8135e-05
23.3720,7.3319e-06,3.4255e-06,1.8530e-05
24.3670,7.5876e-06,3.4862e-06,1.8942e-05
25.3610,7.8632e-06,3.5499e-06,1.9365e-05
26.3560,8.1596e-06,3.6155e-06,1.9786e-05
27.3500,8.4773e-06,3.6843e-06,2.0202e-05
28.3440,8.8161e-06,3.7559e-06,2.0615e-05
29.3390,9.1749e-06,3.8296e-06,2.1028e-05
30.3330,9.5506e-06,3.9068e-06,2.1444e-05
31.3280,9.9456e-06,3.9859e-06,2.1842e-05
32.3220,1.0358e-05,4.0678e-06,2.2209e-05
33.3170,1.0784e-05,4.1509e-06,2.2555e-05
34.3110,1.1221e-05,4.2370e-06,2.2883e-05
35.3060,1.1664e-05,4.3246e-06,2.3182e-05
36.3000,1.2109e-05,4.4155e-06,2.3475e-05
37.2940,1.2551e-05,4.5089e-06,2.3794e-05
38.2890,1.2985e-05,4.6041e-06,2.4176e-05
39.2830,1.3406e-05,4.7022e-06,2.4560e-05
40.2780,1.3812e-05,4.8003e-06,2.4985e-05
41.2720,1.4202e-05,4.9002e-06,2.5540e-05
42.2670,1.4573e-05,5.0002e-06,2.6267e-05
43.2610,1.4927e-05,5.1022e-06,2.6816e-05
44.2560,1.5264e-05,5.2057e-06,2.7174e-05
45.2500,1.5588e-05,5.3145e-06,2.7543e-05
46.2440,1.5898e-05,5.4292e-06,2.7959e-05
47.2390,1.6191e-05,5.5501e-06,2.8449e-05
48.2330,1.6464e-05,5.6841e-06,2.8940e-05
49.2280,1.6708e-05,5.8330e-06,2.9632e-05
50.2220,1.6928e-05,6.0015e-06,3.0793e-05
51.2170,1.7144e-05,6.1893e-06,3.1474e-05
52.2110,1.7312e-05,6.4047e-06,3.1760e-05
53.2060,1.7467e-05,6.6480e-06,3.2018e-05
54.2000,1.7630e-05,6.9218e-06,3.2356e-05
55.1940,1.7823e-05,7.2229e-06,3.2769e-05
56.1890,1.8075e-05,7.5486e-06,3.3614e-05
57.1830,1.8421e-05,7.8938e-06,3.4763e-05
58.1780,1.8823e-05,8.2540e-06,3.5741e-05
59.1720,1.9252e-05,8.6245e-06,3.6120e-05
60.1670,1.9637e-05,8.9595e-06,3.6409e-05
61.1610,1.9896e-05,9.2766e-06,3.6521e-05
62.1560,1.9910e-05,9.5459e-06,3.6499e-05
63.1500,1.9891e-05,9.7626e-06,3.6271e-05
64.1440,1.9719e-05,9.9166e-06,3.5984e-05
65.1390,1.9404e-05,1.0024e-05,3.6304e-05
66.1330,1.8943e-05,1.0111e-05,3.6759e-05
67.1280,1.8500e-05,1.0172e-05,3.7136e-05
68.1220,1.8018e-05,1.0176e-05,3.7306e-05
69.1170,1.7414e-05,1.0198e-05,3.7264e-05
70.1110,1.7249e-05,1.0136e-05,3.6344e-05
71.1060,1.5882e-05,1.0221e-05,3.5397e-05
72.1000,1.4278e-05,1.0758e-05,3.4204e-05
73.0940,1.3036e-05,1.0324e-05,3.2823e-05
74.0890,1.2043e-05,1.0530e-05,2.9730e-05
75.0830,1.1387e-05,1.0199e-05,2.8747e-05
76.0780,1.0668e-05,1.0133e-05,2.7041e-05
77.0720,1.0992e-05,9.7695e-06,2.2297e-05
78.0670,8.7842e-06,9.6203e-06,2.1735e-05
79.0610,7.3858e-06,9.4553e-06,2.2593e-05
80.0560,6.4072e-06,9.0528e-06,2.5323e-05
81.0500,5.6936e-06,8.3231e-06,2.8894e-05
82.0440,4.7913e-06,7.2535e-06,2.6404e-05
83.0390,4.2030e-06,5.8379e-06,1.7283e-05
84.0330,3.2799e-06,4.1802e-06,1.5135e-05
85.0280,1.6862e-06,2.7558e-06,1.4669e-05
86.0220,4.4987e-07,1.6658e-06,1.4738e-05
87.0170,4.8840e-08,1.0106e-06,1.7198e-05
88.0110,6.4183e-09,5.6659e-07,2.1791e-05
89.0060,1.4784e-13,5.3235e-07,1.3904e-06
