# Bounce and drift averaged pitch angle diffusion coefficients in s^(-1) in figure 14u for E = 100.0 keV, L* = 4.0, Kp = 5
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,1.3367e-05,1.5874e-05,9.0563e-05
1.4940,1.3475e-05,1.5999e-05,9.1313e-05
2.4890,1.3592e-05,1.6130e-05,9.2140e-05
3.4830,1.3717e-05,1.6268e-05,9.3045e-05
4.4780,1.3851e-05,1.6413e-05,9.4032e-05
5.4720,1.3995e-05,1.6566e-05,9.5100e-05
6.4670,1.4148e-05,1.6724e-05,9.6254e-05
7.4610,1.4310e-05,1.6892e-05,9.7495e-05
8.4560,1.4483e-05,1.7066e-05,9.8827e-05
9.4500,1.4666e-05,1.7249e-05,1.0025e-04
10.4440,1.4859e-05,1.7440e-05,1.0177e-04
11.4390,1.5063e-05,1.7638e-05,1.0339e-04
12.4330,1.5279e-05,1.7847e-05,1.0512e-04
13.4280,1.5506e-05,1.8062e-05,1.0695e-04
14.4220,1.5745e-05,1.8289e-05,1.0890e-04
15.4170,1.5996e-05,1.8523e-05,1.1096e-04
16.4110,1.6260e-05,1.8769e-05,1.1315e-04
17.4060,1.6538e-05,1.9024e-05,1.1546e-04
18.4000,1.6832e-05,1.9291e-05,1.1790e-04
19.3940,1.7142e-05,1.9570e-05,1.2048e-04
20.3890,1.7469e-05,1.9857e-05,1.2319e-04
21.3830,1.7814e-05,2.0158e-05,1.2605e-04
22.3780,1.8178e-05,2.0468e-05,1.2906e-04
23.3720,1.8561e-05,2.0793e-05,1.3222e-04
24.3670,1.8962e-05,2.1127e-05,1.3554e-04
25.3610,1.9383e-05,2.1477e-05,1.3903e-04
26.3560,1.9823e-05,2.1837e-05,1.4269e-04
27.3500,2.0281e-05,2.2213e-05,1.4652e-04
28.3440,2.0756e-05,2.2603e-05,1.5051e-04
29.3390,2.1246e-05,2.3004e-05,1.5468e-04
30.3330,2.1750e-05,2.3423e-05,1.5900e-04
31.3280,2.2266e-05,2.3854e-05,1.6350e-04
32.3220,2.2794e-05,2.4305e-05,1.6818e-04
33.3170,2.3330e-05,2.4766e-05,1.7308e-04
34.3110,2.3873e-05,2.5246e-05,1.7819e-04
35.3060,2.4422e-05,2.5736e-05,1.8356e-04
36.3000,2.4971e-05,2.6246e-05,1.8918e-04
37.2940,2.5514e-05,2.6771e-05,1.9502e-04
38.2890,2.6046e-05,2.7309e-05,2.0107e-04
39.2830,2.6556e-05,2.7873e-05,2.0726e-04
40.2780,2.7038e-05,2.8454e-05,2.1356e-04
41.2720,2.7492e-05,2.9071e-05,2.1990e-04
42.2670,2.7904e-05,2.9712e-05,2.2622e-04
43.2610,2.8264e-05,3.0395e-05,2.3245e-04
44.2560,2.8564e-05,3.1110e-05,2.3862e-04
45.2500,2.8801e-05,3.1870e-05,2.4468e-04
46.2440,2.8970e-05,3.2669e-05,2.5052e-04
47.2390,2.9069e-05,3.3503e-05,2.5611e-04
48.2330,2.9104e-05,3.4393e-05,2.6140e-04
49.2280,2.9070e-05,3.5328e-05,2.6617e-04
50.2220,2.8974e-05,3.6333e-05,2.7022e-04
51.2170,2.8801e-05,3.7389e-05,2.7326e-04
52.2110,2.8642e-05,3.8524e-05,2.7509e-04
53.2060,2.8442e-05,3.9753e-05,2.7564e-04
54.2000,2.8214e-05,4.1086e-05,2.7505e-04
55.1940,2.7993e-05,4.2497e-05,2.7353e-04
56.1890,2.7785e-05,4.3946e-05,2.7103e-04
57.1830,2.7580e-05,4.5418e-05,2.6734e-04
58.1780,2.7382e-05,4.6847e-05,2.6215e-04
59.1720,2.7239e-05,4.8295e-05,2.5482e-04
60.1670,2.7130e-05,4.9616e-05,2.4574e-04
61.1610,2.6872e-05,5.0888e-05,2.3515e-04
62.1560,2.6548e-05,5.1961e-05,2.2387e-04
63.1500,2.6192e-05,5.2838e-05,2.1243e-04
64.1440,2.5986e-05,5.3556e-05,2.0095e-04
65.1390,2.5824e-05,5.4163e-05,1.8949e-04
66.1330,2.5651e-05,5.4691e-05,1.7781e-04
67.1280,2.5438e-05,5.5131e-05,1.6699e-04
68.1220,2.5232e-05,5.5323e-05,1.5854e-04
69.1170,2.4649e-05,5.5438e-05,1.5121e-04
70.1110,2.4639e-05,5.5677e-05,1.4397e-04
71.1060,2.4856e-05,5.6673e-05,1.3646e-04
72.1000,2.5127e-05,5.8749e-05,1.2947e-04
73.0940,2.5508e-05,6.0212e-05,1.2155e-04
74.0890,2.8148e-05,6.3438e-05,1.1301e-04
75.0830,2.8802e-05,6.4357e-05,9.8754e-05
76.0780,2.8255e-05,6.6659e-05,8.5571e-05
77.0720,2.8818e-05,6.6657e-05,7.5220e-05
78.0670,2.7092e-05,5.9685e-05,6.8451e-05
79.0610,2.6875e-05,5.5909e-05,5.8305e-05
80.0560,3.1992e-05,5.4691e-05,5.5946e-05
81.0500,3.2383e-05,5.3660e-05,6.9844e-05
82.0440,3.0561e-05,5.1188e-05,8.2096e-05
83.0390,2.5481e-05,4.6202e-05,6.6146e-05
84.0330,1.8468e-05,3.9054e-05,3.8578e-05
85.0280,1.1239e-05,3.0672e-05,2.2544e-05
86.0220,3.4593e-06,2.2181e-05,1.4874e-05
87.0170,2.6358e-07,1.4262e-05,1.1135e-05
88.0110,5.2676e-09,6.9239e-06,1.1852e-05
89.0060,1.0000e-31,2.3558e-06,2.7761e-06
