# Bounce and drift averaged pitch angle diffusion coefficients in s^(-1) in figure 14v for E = 100.0 keV, L* = 4.5, Kp = 5
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,2.3448e-05,3.2635e-05,7.3498e-05
1.4940,2.3631e-05,3.2896e-05,7.4119e-05
2.4890,2.3822e-05,3.3173e-05,7.4813e-05
3.4830,2.4022e-05,3.3470e-05,7.5584e-05
4.4780,2.4230e-05,3.3782e-05,7.6433e-05
5.4720,2.4448e-05,3.4116e-05,7.7363e-05
6.4670,2.4674e-05,3.4467e-05,7.8376e-05
7.4610,2.4911e-05,3.4840e-05,7.9476e-05
8.4560,2.5157e-05,3.5231e-05,8.0665e-05
9.4500,2.5413e-05,3.5646e-05,8.1947e-05
10.4440,2.5681e-05,3.6083e-05,8.3327e-05
11.4390,2.5959e-05,3.6539e-05,8.4807e-05
12.4330,2.6249e-05,3.7022e-05,8.6392e-05
13.4280,2.6551e-05,3.7525e-05,8.8080e-05
14.4220,2.6868e-05,3.8058e-05,8.9872e-05
15.4170,2.7200e-05,3.8613e-05,9.1767e-05
16.4110,2.7550e-05,3.9201e-05,9.3765e-05
17.4060,2.7917e-05,3.9812e-05,9.5862e-05
18.4000,2.8305e-05,4.0459e-05,9.8053e-05
19.3940,2.8715e-05,4.1139e-05,1.0033e-04
20.3890,2.9150e-05,4.1846e-05,1.0268e-04
21.3830,2.9612e-05,4.2594e-05,1.0510e-04
22.3780,3.0104e-05,4.3372e-05,1.0761e-04
23.3720,3.0631e-05,4.4195e-05,1.1020e-04
24.3670,3.1197e-05,4.5050e-05,1.1288e-04
25.3610,3.1808e-05,4.5954e-05,1.1565e-04
26.3560,3.2471e-05,4.6892e-05,1.1852e-04
27.3500,3.3194e-05,4.7883e-05,1.2150e-04
28.3440,3.3987e-05,4.8921e-05,1.2457e-04
29.3390,3.4862e-05,4.9999e-05,1.2767e-04
30.3330,3.5819e-05,5.1141e-05,1.3076e-04
31.3280,3.6845e-05,5.2332e-05,1.3375e-04
32.3220,3.7943e-05,5.3598e-05,1.3664e-04
33.3170,3.9115e-05,5.4922e-05,1.3946e-04
34.3110,4.0361e-05,5.6327e-05,1.4221e-04
35.3060,4.1696e-05,5.7794e-05,1.4492e-04
36.3000,4.3130e-05,5.9357e-05,1.4761e-04
37.2940,4.4671e-05,6.1009e-05,1.5023e-04
38.2890,4.6330e-05,6.2740e-05,1.5269e-04
39.2830,4.8132e-05,6.4587e-05,1.5493e-04
40.2780,5.0105e-05,6.6527e-05,1.5701e-04
41.2720,5.2269e-05,6.8602e-05,1.5907e-04
42.2670,5.4668e-05,7.0775e-05,1.6114e-04
43.2610,5.7367e-05,7.3100e-05,1.6322e-04
44.2560,6.0414e-05,7.5542e-05,1.6533e-04
45.2500,6.3681e-05,7.8148e-05,1.6742e-04
46.2440,6.7094e-05,8.0901e-05,1.6938e-04
47.2390,7.0555e-05,8.3774e-05,1.7126e-04
48.2330,7.4024e-05,8.6824e-05,1.7337e-04
49.2280,7.7312e-05,8.9997e-05,1.7562e-04
50.2220,7.9562e-05,9.3334e-05,1.7816e-04
51.2170,8.1485e-05,9.6749e-05,1.8102e-04
52.2110,8.3245e-05,1.0028e-04,1.8432e-04
53.2060,8.4795e-05,1.0392e-04,1.8799e-04
54.2000,8.6052e-05,1.0774e-04,1.9098e-04
55.1940,8.6972e-05,1.1165e-04,1.9436e-04
56.1890,8.7584e-05,1.1558e-04,1.9799e-04
57.1830,8.7849e-05,1.1953e-04,2.0227e-04
58.1780,8.7866e-05,1.2334e-04,2.0768e-04
59.1720,8.7590e-05,1.2707e-04,2.1383e-04
60.1670,8.6856e-05,1.3067e-04,2.1917e-04
61.1610,8.6208e-05,1.3442e-04,2.2460e-04
62.1560,8.5430e-05,1.3806e-04,2.3042e-04
63.1500,8.4465e-05,1.4141e-04,2.3708e-04
64.1440,8.3722e-05,1.4454e-04,2.4492e-04
65.1390,8.2895e-05,1.4753e-04,2.5363e-04
66.1330,8.2159e-05,1.5050e-04,2.6306e-04
67.1280,8.1555e-05,1.5327e-04,2.7337e-04
68.1220,8.1354e-05,1.5597e-04,2.8267e-04
69.1170,8.1345e-05,1.5824e-04,2.9165e-04
70.1110,8.0946e-05,1.6022e-04,3.0254e-04
71.1060,7.8398e-05,1.6236e-04,3.1298e-04
72.1000,7.6764e-05,1.6580e-04,3.1965e-04
73.0940,7.5093e-05,1.6978e-04,3.2387e-04
74.0890,7.3402e-05,1.7442e-04,3.2478e-04
75.0830,7.5301e-05,1.8150e-04,3.2366e-04
76.0780,8.0269e-05,1.8905e-04,3.1769e-04
77.0720,8.2954e-05,1.8948e-04,3.0915e-04
78.0670,6.5239e-05,1.7700e-04,2.8873e-04
79.0610,5.6568e-05,1.4019e-04,2.5019e-04
80.0560,5.8179e-05,1.2399e-04,2.0227e-04
81.0500,7.6325e-05,1.1282e-04,1.6334e-04
82.0440,7.8882e-05,1.0727e-04,1.6674e-04
83.0390,6.1091e-05,9.7838e-05,2.0028e-04
84.0330,4.4668e-05,7.6700e-05,2.1895e-04
85.0280,2.5427e-05,5.8113e-05,2.1239e-04
86.0220,1.6605e-05,4.1758e-05,8.3235e-05
87.0170,2.9280e-06,2.7172e-05,1.7454e-05
88.0110,4.2264e-08,1.3533e-05,1.9201e-05
89.0060,1.0000e-31,4.2539e-06,6.2815e-06
