# Bounce and drift averaged pitch angle diffusion coefficients in s^(-1) in figure 14w for E = 100.0 keV, L* = 5.0, Kp = 5
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,3.8989e-05,5.0314e-05,3.5360e-05
1.4940,3.9323e-05,5.0733e-05,3.5648e-05
2.4890,3.9700e-05,5.1191e-05,3.5960e-05
3.4830,4.0122e-05,5.1698e-05,3.6297e-05
4.4780,4.0591e-05,5.2246e-05,3.6660e-05
5.4720,4.1108e-05,5.2845e-05,3.7050e-05
6.4670,4.1675e-05,5.3487e-05,3.7465e-05
7.4610,4.2293e-05,5.4185e-05,3.7907e-05
8.4560,4.2967e-05,5.4929e-05,3.8374e-05
9.4500,4.3696e-05,5.5733e-05,3.8863e-05
10.4440,4.4486e-05,5.6593e-05,3.9374e-05
11.4390,4.5338e-05,5.7503e-05,3.9914e-05
12.4330,4.6256e-05,5.8482e-05,4.0490e-05
13.4280,4.7243e-05,5.9515e-05,4.1106e-05
14.4220,4.8304e-05,6.0624e-05,4.1765e-05
15.4170,4.9443e-05,6.1791e-05,4.2470e-05
16.4110,5.0665e-05,6.3042e-05,4.3221e-05
17.4060,5.1974e-05,6.4357e-05,4.4015e-05
18.4000,5.3374e-05,6.5764e-05,4.4849e-05
19.3940,5.4873e-05,6.7257e-05,4.5719e-05
20.3890,5.6473e-05,6.8824e-05,4.6638e-05
21.3830,5.8180e-05,7.0499e-05,4.7609e-05
22.3780,5.9998e-05,7.2256e-05,4.8637e-05
23.3720,6.1935e-05,7.4132e-05,4.9721e-05
24.3670,6.4017e-05,7.6096e-05,5.0868e-05
25.3610,6.6256e-05,7.8190e-05,5.2083e-05
26.3560,6.8660e-05,8.0380e-05,5.3382e-05
27.3500,7.1244e-05,8.2713e-05,5.4791e-05
28.3440,7.4023e-05,8.5175e-05,5.6368e-05
29.3390,7.7012e-05,8.7747e-05,5.8204e-05
30.3330,8.0227e-05,9.0483e-05,6.0321e-05
31.3280,8.3687e-05,9.3341e-05,6.2536e-05
32.3220,8.7415e-05,9.6382e-05,6.4688e-05
33.3170,9.1433e-05,9.9560e-05,6.7021e-05
34.3110,9.5770e-05,1.0294e-04,6.9580e-05
35.3060,1.0047e-04,1.0646e-04,7.2393e-05
36.3000,1.0558e-04,1.1021e-04,7.5477e-05
37.2940,1.1118e-04,1.1416e-04,7.8811e-05
38.2890,1.1736e-04,1.1828e-04,8.2354e-05
39.2830,1.2424e-04,1.2265e-04,8.6141e-05
40.2780,1.3200e-04,1.2721e-04,9.0218e-05
41.2720,1.4075e-04,1.3204e-04,9.4624e-05
42.2670,1.5019e-04,1.3707e-04,9.9399e-05
43.2610,1.6034e-04,1.4240e-04,1.0454e-04
44.2560,1.7113e-04,1.4793e-04,1.1014e-04
45.2500,1.8240e-04,1.5379e-04,1.1629e-04
46.2440,1.9365e-04,1.5994e-04,1.2301e-04
47.2390,2.0288e-04,1.6632e-04,1.3007e-04
48.2330,2.1130e-04,1.7305e-04,1.3758e-04
49.2280,2.1959e-04,1.8000e-04,1.4540e-04
50.2220,2.2766e-04,1.8726e-04,1.5359e-04
51.2170,2.3532e-04,1.9468e-04,1.6251e-04
52.2110,2.4248e-04,2.0242e-04,1.7211e-04
53.2060,2.4897e-04,2.1025e-04,1.8196e-04
54.2000,2.5467e-04,2.1827e-04,1.9177e-04
55.1940,2.5953e-04,2.2644e-04,2.0156e-04
56.1890,2.6351e-04,2.3465e-04,2.1154e-04
57.1830,2.6661e-04,2.4303e-04,2.2123e-04
58.1780,2.6880e-04,2.5134e-04,2.3154e-04
59.1720,2.7003e-04,2.5959e-04,2.4202e-04
60.1670,2.7025e-04,2.6754e-04,2.5307e-04
61.1610,2.6953e-04,2.7540e-04,2.6462e-04
62.1560,2.6869e-04,2.8332e-04,2.7701e-04
63.1500,2.6535e-04,2.9106e-04,2.9034e-04
64.1440,2.5936e-04,2.9833e-04,3.0417e-04
65.1390,2.5133e-04,3.0511e-04,3.1842e-04
66.1330,2.4158e-04,3.1173e-04,3.3429e-04
67.1280,2.3122e-04,3.1810e-04,3.5156e-04
68.1220,2.2207e-04,3.2403e-04,3.6675e-04
69.1170,2.1651e-04,3.2881e-04,3.8234e-04
70.1110,2.1690e-04,3.3212e-04,3.9685e-04
71.1060,2.2374e-04,3.3345e-04,4.0561e-04
72.1000,2.3054e-04,3.3361e-04,4.0972e-04
73.0940,2.4274e-04,3.3368e-04,4.0596e-04
74.0890,2.5401e-04,3.3256e-04,4.0451e-04
75.0830,2.7042e-04,3.3060e-04,4.0114e-04
76.0780,2.9721e-04,3.3886e-04,3.8797e-04
77.0720,3.1840e-04,3.3258e-04,3.5864e-04
78.0670,3.1606e-04,3.4985e-04,3.3473e-04
79.0610,2.6470e-04,2.9605e-04,2.5324e-04
80.0560,2.4214e-04,2.6697e-04,1.9949e-04
81.0500,2.8438e-04,2.2952e-04,1.2478e-04
82.0440,2.6128e-04,2.1604e-04,8.1593e-05
83.0390,3.0406e-04,1.8892e-04,8.8866e-05
84.0330,4.4559e-04,1.2184e-04,1.3045e-04
85.0280,6.6453e-05,7.4845e-05,7.6376e-05
86.0220,2.3091e-05,4.6264e-05,4.5750e-05
87.0170,1.2396e-05,2.9017e-05,2.6296e-05
88.0110,3.8965e-06,1.5621e-05,1.1507e-05
89.0060,2.6068e-10,5.6054e-06,3.2013e-07
