# Bounce and drift averaged pitch angle diffusion coefficients in s^(-1) in figure 14x for E = 100.0 keV, L* = 5.5, Kp = 5
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,2.3709e-05,6.5396e-05,3.5360e-05
1.4940,2.3950e-05,6.5944e-05,3.5648e-05
2.4890,2.4255e-05,6.6546e-05,3.5960e-05
3.4830,2.4627e-05,6.7214e-05,3.6297e-05
4.4780,2.5069e-05,6.7939e-05,3.6660e-05
5.4720,2.5582e-05,6.8735e-05,3.7050e-05
6.4670,2.6172e-05,6.9589e-05,3.7465e-05
7.4610,2.6840e-05,7.0520e-05,3.7907e-05
8.4560,2.7591e-05,7.1513e-05,3.8374e-05
9.4500,2.8429e-05,7.2587e-05,3.8863e-05
10.4440,2.9361e-05,7.3739e-05,3.9374e-05
11.4390,3.0390e-05,7.4957e-05,3.9914e-05
12.4330,3.1525e-05,7.6269e-05,4.0490e-05
13.4280,3.2771e-05,7.7653e-05,4.1106e-05
14.4220,3.4137e-05,7.9137e-05,4.1765e-05
15.4170,3.5634e-05,8.0700e-05,4.2470e-05
16.4110,3.7269e-05,8.2373e-05,4.3221e-05
17.4060,3.9054e-05,8.4131e-05,4.4015e-05
18.4000,4.1000e-05,8.6009e-05,4.4849e-05
19.3940,4.3111e-05,8.7999e-05,4.5719e-05
20.3890,4.5389e-05,9.0086e-05,4.6638e-05
21.3830,4.7841e-05,9.2315e-05,4.7609e-05
22.3780,5.0500e-05,9.4651e-05,4.8637e-05
23.3720,5.3410e-05,9.7143e-05,4.9721e-05
24.3670,5.6598e-05,9.9754e-05,5.0868e-05
25.3610,6.0095e-05,1.0254e-04,5.2083e-05
26.3560,6.3938e-05,1.0545e-04,5.3382e-05
27.3500,6.8171e-05,1.0855e-04,5.4791e-05
28.3440,7.2829e-05,1.1182e-04,5.6368e-05
29.3390,7.7822e-05,1.1523e-04,5.8204e-05
30.3330,8.3102e-05,1.1886e-04,6.0321e-05
31.3280,8.8614e-05,1.2264e-04,6.2536e-05
32.3220,9.4266e-05,1.2666e-04,6.4688e-05
33.3170,9.9902e-05,1.3086e-04,6.7021e-05
34.3110,1.0530e-04,1.3532e-04,6.9580e-05
35.3060,1.1063e-04,1.3998e-04,7.2393e-05
36.3000,1.1550e-04,1.4493e-04,7.5477e-05
37.2940,1.1970e-04,1.5016e-04,7.8811e-05
38.2890,1.2397e-04,1.5563e-04,8.2354e-05
39.2830,1.2828e-04,1.6145e-04,8.6141e-05
40.2780,1.3253e-04,1.6752e-04,9.0218e-05
41.2720,1.3660e-04,1.7395e-04,9.4624e-05
42.2670,1.4047e-04,1.8065e-04,9.9399e-05
43.2610,1.4423e-04,1.8775e-04,1.0454e-04
44.2560,1.4781e-04,1.9511e-04,1.1014e-04
45.2500,1.5122e-04,2.0288e-04,1.1629e-04
46.2440,1.5444e-04,2.1101e-04,1.2301e-04
47.2390,1.5750e-04,2.1944e-04,1.3007e-04
48.2330,1.6046e-04,2.2832e-04,1.3758e-04
49.2280,1.6351e-04,2.3751e-04,1.4540e-04
50.2220,1.6698e-04,2.4724e-04,1.5359e-04
51.2170,1.7144e-04,2.5737e-04,1.6251e-04
52.2110,1.7667e-04,2.6815e-04,1.7211e-04
53.2060,1.8231e-04,2.7927e-04,1.8196e-04
54.2000,1.8860e-04,2.9080e-04,1.9177e-04
55.1940,1.9564e-04,3.0270e-04,2.0156e-04
56.1890,2.0210e-04,3.1474e-04,2.1154e-04
57.1830,2.0468e-04,3.2709e-04,2.2123e-04
58.1780,2.0995e-04,3.3964e-04,2.3154e-04
59.1720,2.1767e-04,3.5261e-04,2.4202e-04
60.1670,2.2775e-04,3.6569e-04,2.5307e-04
61.1610,2.4124e-04,3.7888e-04,2.6462e-04
62.1560,2.5837e-04,3.9198e-04,2.7701e-04
63.1500,2.7147e-04,4.0552e-04,2.9034e-04
64.1440,2.7964e-04,4.1901e-04,3.0417e-04
65.1390,2.8762e-04,4.3186e-04,3.1842e-04
66.1330,2.9552e-04,4.4388e-04,3.3429e-04
67.1280,3.0314e-04,4.5467e-04,3.5156e-04
68.1220,3.1023e-04,4.6438e-04,3.6675e-04
69.1170,3.1609e-04,4.7274e-04,3.8234e-04
70.1110,3.1969e-04,4.7877e-04,3.9685e-04
71.1060,3.1979e-04,4.8108e-04,4.0561e-04
72.1000,3.1482e-04,4.8006e-04,4.0972e-04
73.0940,3.0379e-04,4.7756e-04,4.0596e-04
74.0890,2.8893e-04,4.7555e-04,4.0451e-04
75.0830,2.6397e-04,4.7087e-04,4.0114e-04
76.0780,2.4233e-04,4.7339e-04,3.8797e-04
77.0720,2.2846e-04,4.6995e-04,3.5864e-04
78.0670,2.1201e-04,4.7854e-04,3.3473e-04
79.0610,2.1556e-04,4.8613e-04,2.5324e-04
80.0560,2.3568e-04,4.9962e-04,1.9949e-04
81.0500,2.1207e-04,4.6302e-04,1.2478e-04
82.0440,2.0123e-04,4.1400e-04,8.1593e-05
83.0390,2.4964e-04,3.6225e-04,8.8866e-05
84.0330,3.4187e-04,2.2557e-04,1.3045e-04
85.0280,3.4769e-04,1.0053e-04,7.6376e-05
86.0220,7.6170e-05,4.8176e-05,4.5750e-05
87.0170,5.1325e-06,2.7318e-05,2.6296e-05
88.0110,9.1963e-07,1.5426e-05,1.1507e-05
89.0060,8.8006e-11,6.2765e-06,3.2013e-07
