# Bounce and drift averaged pitch angle diffusion coefficients in s^(-1) in figure 14y for E = 50.0 keV, L* = 3.0, Kp = 5
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,3.4440e-06,3.5311e-19,2.0735e-05
1.4940,3.4709e-06,3.5453e-19,2.0892e-05
2.4890,3.4988e-06,3.5604e-19,2.1050e-05
3.4830,3.5280e-06,3.5767e-19,2.1210e-05
4.4780,3.5583e-06,3.5939e-19,2.1372e-05
5.4720,3.5898e-06,3.6124e-19,2.1536e-05
6.4670,3.6225e-06,3.6317e-19,2.1703e-05
7.4610,3.6562e-06,3.6524e-19,2.1872e-05
8.4560,3.6909e-06,3.6740e-19,2.2044e-05
9.4500,3.7266e-06,3.6970e-19,2.2220e-05
10.4440,3.7630e-06,3.7213e-19,2.2405e-05
11.4390,3.8003e-06,3.7466e-19,2.2599e-05
12.4330,3.8384e-06,3.7735e-19,2.2782e-05
13.4280,3.8772e-06,3.8016e-19,2.2937e-05
14.4220,3.9167e-06,3.8314e-19,2.3066e-05
15.4170,3.9571e-06,3.8624e-19,2.3191e-05
16.4110,3.9982e-06,3.8953e-19,2.3320e-05
17.4060,4.0396e-06,3.9295e-19,2.3450e-05
18.4000,4.0813e-06,3.9656e-19,2.3581e-05
19.3940,4.1229e-06,4.0033e-19,2.3712e-05
20.3890,4.1643e-06,4.0423e-19,2.3839e-05
21.3830,4.2051e-06,4.0833e-19,2.3938e-05
22.3780,4.2450e-06,4.1259e-19,2.4019e-05
23.3720,4.2837e-06,4.1706e-19,2.4092e-05
24.3670,4.3207e-06,4.2164e-19,2.4164e-05
25.3610,4.3556e-06,4.2643e-19,2.4234e-05
26.3560,4.3878e-06,4.3134e-19,2.4298e-05
27.3500,4.4168e-06,4.3645e-19,2.4355e-05
28.3440,4.4414e-06,4.4175e-19,2.4400e-05
29.3390,4.4600e-06,4.4720e-19,2.4421e-05
30.3330,4.4746e-06,4.5295e-19,2.4429e-05
31.3280,4.4849e-06,4.5891e-19,2.4419e-05
32.3220,4.4910e-06,4.6523e-19,2.4404e-05
33.3170,4.4945e-06,4.7174e-19,2.4212e-05
34.3110,4.4859e-06,4.7852e-19,2.3990e-05
35.3060,4.4741e-06,4.8552e-19,2.3639e-05
36.3000,4.4592e-06,4.9286e-19,2.2853e-05
37.2940,4.4414e-06,5.0052e-19,2.2273e-05
38.2890,4.4203e-06,5.0850e-19,2.2239e-05
39.2830,4.3944e-06,5.1695e-19,2.2370e-05
40.2780,4.3650e-06,5.2568e-19,2.2536e-05
41.2720,4.3327e-06,5.3484e-19,2.2698e-05
42.2670,4.2992e-06,5.4418e-19,2.2840e-05
43.2610,4.2660e-06,5.5403e-19,2.2956e-05
44.2560,4.2416e-06,5.6444e-19,2.3036e-05
45.2500,4.2280e-06,5.7504e-19,2.3046e-05
46.2440,4.2359e-06,5.8579e-19,2.2885e-05
47.2390,4.2859e-06,5.9659e-19,2.2967e-05
48.2330,4.3158e-06,6.0760e-19,2.3091e-05
49.2280,4.3323e-06,6.1908e-19,2.3185e-05
50.2220,4.3642e-06,6.3017e-19,2.3230e-05
51.2170,4.4164e-06,6.4104e-19,2.3211e-05
52.2110,4.4955e-06,6.5211e-19,2.3130e-05
53.2060,4.6027e-06,6.6205e-19,2.2975e-05
54.2000,4.7687e-06,6.7106e-19,2.2731e-05
55.1940,4.8884e-06,6.7958e-19,2.2400e-05
56.1890,4.9778e-06,6.8715e-19,2.1966e-05
57.1830,5.0622e-06,6.9378e-19,2.1412e-05
58.1780,5.1299e-06,6.9944e-19,2.0723e-05
59.1720,5.1749e-06,7.0353e-19,1.9890e-05
60.1670,5.2074e-06,7.0584e-19,1.8896e-05
61.1610,5.1865e-06,7.0647e-19,1.7733e-05
62.1560,5.2471e-06,7.0583e-19,1.6386e-05
63.1500,5.3424e-06,7.0407e-19,1.4825e-05
64.1440,5.4757e-06,7.0110e-19,1.3009e-05
65.1390,5.6871e-06,6.9677e-19,1.0991e-05
66.1330,5.9880e-06,6.9210e-19,8.8440e-06
67.1280,6.4948e-06,6.8221e-19,6.6659e-06
68.1220,7.2091e-06,6.7192e-19,4.8192e-06
69.1170,7.4336e-06,6.6069e-19,3.8813e-06
70.1110,7.5322e-06,6.4728e-19,3.0296e-06
71.1060,7.4503e-06,6.3084e-19,2.5174e-06
72.1000,7.2855e-06,6.1027e-19,2.2645e-06
73.0940,7.0250e-06,5.8623e-19,2.0412e-06
74.0890,6.7351e-06,5.5927e-19,1.7585e-06
75.0830,6.4868e-06,5.2840e-19,1.4175e-06
76.0780,5.9013e-06,4.9430e-19,1.1832e-06
77.0720,5.0483e-06,4.5617e-19,8.9987e-07
78.0670,4.4554e-06,4.1136e-19,7.9040e-07
79.0610,4.3257e-06,3.5817e-19,7.9939e-07
80.0560,3.2636e-06,3.0544e-19,8.9426e-07
81.0500,2.1008e-06,2.5450e-19,1.2026e-06
82.0440,1.3912e-06,2.0876e-19,1.2225e-06
83.0390,9.7404e-07,1.7155e-19,1.7023e-06
84.0330,5.0981e-07,1.4449e-19,2.6303e-06
85.0280,8.9425e-08,1.1824e-19,4.9607e-06
86.0220,2.8507e-08,9.6821e-20,1.2362e-05
87.0170,2.6068e-15,7.7557e-20,1.5450e-05
88.0110,9.1490e-17,7.5014e-20,6.4912e-06
89.0060,1.0000e-31,9.7817e-20,1.3545e-12
