# Bounce and drift averaged pitch angle diffusion coefficients in s^(-1) in figure 14z for E = 50.0 keV, L* = 3.5, Kp = 5
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,1.4014e-05,5.0349e-06,2.9017e-05
1.4940,1.4127e-05,5.0749e-06,2.9249e-05
2.4890,1.4250e-05,5.1168e-06,2.9498e-05
3.4830,1.4382e-05,5.1615e-06,2.9765e-05
4.4780,1.4523e-05,5.2083e-06,3.0052e-05
5.4720,1.4674e-05,5.2579e-06,3.0363e-05
6.4670,1.4834e-05,5.3097e-06,3.0700e-05
7.4610,1.5004e-05,5.3646e-06,3.1069e-05
8.4560,1.5183e-05,5.4217e-06,3.1477e-05
9.4500,1.5372e-05,5.4822e-06,3.1924e-05
10.4440,1.5571e-05,5.5457e-06,3.2404e-05
11.4390,1.5778e-05,5.6117e-06,3.2903e-05
12.4330,1.5995e-05,5.6816e-06,3.3398e-05
13.4280,1.6221e-05,5.7541e-06,3.3853e-05
14.4220,1.6455e-05,5.8309e-06,3.4238e-05
15.4170,1.6697e-05,5.9105e-06,3.4585e-05
16.4110,1.6947e-05,5.9948e-06,3.4937e-05
17.4060,1.7203e-05,6.0823e-06,3.5297e-05
18.4000,1.7465e-05,6.1745e-06,3.5659e-05
19.3940,1.7732e-05,6.2711e-06,3.6023e-05
20.3890,1.8003e-05,6.3710e-06,3.6388e-05
21.3830,1.8277e-05,6.4763e-06,3.6766e-05
22.3780,1.8553e-05,6.5858e-06,3.7159e-05
23.3720,1.8831e-05,6.7012e-06,3.7577e-05
24.3670,1.9108e-05,6.8205e-06,3.7962e-05
25.3610,1.9383e-05,6.9462e-06,3.8385e-05
26.3560,1.9654e-05,7.0763e-06,3.8810e-05
27.3500,1.9921e-05,7.2136e-06,3.9250e-05
28.3440,2.0181e-05,7.3577e-06,3.9696e-05
29.3390,2.0434e-05,7.5076e-06,4.0136e-05
30.3330,2.0678e-05,7.6679e-06,4.0580e-05
31.3280,2.0912e-05,7.8355e-06,4.1041e-05
32.3220,2.1135e-05,8.0152e-06,4.1481e-05
33.3170,2.1346e-05,8.2029e-06,4.1950e-05
34.3110,2.1544e-05,8.4018e-06,4.2344e-05
35.3060,2.1727e-05,8.6095e-06,4.2754e-05
36.3000,2.1895e-05,8.8293e-06,4.3177e-05
37.2940,2.2047e-05,9.0603e-06,4.3589e-05
38.2890,2.2182e-05,9.3015e-06,4.3991e-05
39.2830,2.2298e-05,9.5584e-06,4.4401e-05
40.2780,2.2392e-05,9.8252e-06,4.4838e-05
41.2720,2.2464e-05,1.0107e-05,4.5307e-05
42.2670,2.2523e-05,1.0399e-05,4.5753e-05
43.2610,2.2579e-05,1.0709e-05,4.6198e-05
44.2560,2.2605e-05,1.1035e-05,4.6642e-05
45.2500,2.2613e-05,1.1372e-05,4.7060e-05
46.2440,2.2591e-05,1.1716e-05,4.7353e-05
47.2390,2.2553e-05,1.2063e-05,4.7542e-05
48.2330,2.2514e-05,1.2417e-05,4.7771e-05
49.2280,2.2481e-05,1.2782e-05,4.8209e-05
50.2220,2.2447e-05,1.3140e-05,4.8885e-05
51.2170,2.2411e-05,1.3489e-05,4.9820e-05
52.2110,2.2367e-05,1.3836e-05,5.1017e-05
53.2060,2.2307e-05,1.4147e-05,5.2534e-05
54.2000,2.2213e-05,1.4422e-05,5.4130e-05
55.1940,2.2111e-05,1.4664e-05,5.5151e-05
56.1890,2.1961e-05,1.4862e-05,5.5356e-05
57.1830,2.1622e-05,1.5020e-05,5.4845e-05
58.1780,2.1251e-05,1.5137e-05,5.3780e-05
59.1720,2.0805e-05,1.5198e-05,5.2393e-05
60.1670,2.0221e-05,1.5198e-05,5.0536e-05
61.1610,1.9648e-05,1.5140e-05,4.8377e-05
62.1560,1.8999e-05,1.5031e-05,4.6341e-05
63.1500,1.8260e-05,1.4876e-05,4.4598e-05
64.1440,1.7474e-05,1.4703e-05,4.2938e-05
65.1390,1.6674e-05,1.4517e-05,4.1046e-05
66.1330,1.5848e-05,1.4352e-05,3.6738e-05
67.1280,1.4860e-05,1.4112e-05,3.3932e-05
68.1220,1.3874e-05,1.3951e-05,3.3726e-05
69.1170,1.2896e-05,1.3762e-05,3.3679e-05
70.1110,1.1899e-05,1.3554e-05,3.3622e-05
71.1060,1.1010e-05,1.3356e-05,3.3700e-05
72.1000,1.0387e-05,1.3050e-05,3.4224e-05
73.0940,9.7079e-06,1.2545e-05,3.6425e-05
74.0890,9.3367e-06,1.1964e-05,3.9771e-05
75.0830,8.0168e-06,1.1222e-05,4.4735e-05
76.0780,6.9259e-06,1.0315e-05,5.2357e-05
77.0720,5.6978e-06,9.2079e-06,5.7232e-05
78.0670,4.8215e-06,7.9138e-06,6.0063e-05
79.0610,4.0924e-06,6.4841e-06,5.9077e-05
80.0560,3.1003e-06,5.1382e-06,5.0984e-05
81.0500,2.1894e-06,3.9269e-06,3.5475e-05
82.0440,1.2737e-06,2.9116e-06,2.2436e-05
83.0390,6.4086e-07,2.1329e-06,1.6772e-05
84.0330,2.2929e-07,1.5490e-06,1.3800e-05
85.0280,4.6900e-08,1.0302e-06,1.1037e-05
86.0220,1.0193e-08,6.3677e-07,9.8105e-06
87.0170,8.2569e-10,3.7449e-07,1.3753e-05
88.0110,9.3486e-17,2.8616e-07,7.6627e-06
89.0060,1.0000e-31,2.3981e-07,2.5506e-07
