# Bounce and drift averaged energy diffusion coefficients in s^(-1) in figure 15aa for E = 50.0 keV, L* = 4.0, Kp = 5
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,2.9516e-09,8.0079e-08,1.3647e-06
1.4940,1.0439e-08,9.2663e-08,1.3952e-06
2.4890,2.3394e-08,1.1453e-07,1.4464e-06
3.4830,4.2123e-08,1.4455e-07,1.5189e-06
4.4780,6.6988e-08,1.8192e-07,1.6130e-06
5.4720,9.8254e-08,2.2760e-07,1.7291e-06
6.4670,1.3614e-07,2.8125e-07,1.8677e-06
7.4610,1.8085e-07,3.4428e-07,2.0293e-06
8.4560,2.3260e-07,4.1611e-07,2.2186e-06
9.4500,2.9161e-07,4.9869e-07,2.4355e-06
10.4440,3.5813e-07,5.9175e-07,2.6801e-06
11.4390,4.3242e-07,6.9513e-07,2.9585e-06
12.4330,5.1476e-07,8.1134e-07,3.2697e-06
13.4280,6.0539e-07,9.3927e-07,3.6162e-06
14.4220,7.0452e-07,1.0824e-06,3.9866e-06
15.4170,8.1229e-07,1.2387e-06,4.3825e-06
16.4110,9.2869e-07,1.4109e-06,4.8136e-06
17.4060,1.0536e-06,1.5959e-06,5.2808e-06
18.4000,1.1868e-06,1.7967e-06,5.7853e-06
19.3940,1.3281e-06,2.0109e-06,6.3263e-06
20.3890,1.4771e-06,2.2356e-06,6.9000e-06
21.3830,1.6335e-06,2.4742e-06,7.5019e-06
22.3780,1.7975e-06,2.7219e-06,8.1298e-06
23.3720,1.9693e-06,2.9832e-06,8.7866e-06
24.3670,2.1499e-06,3.2565e-06,9.4811e-06
25.3610,2.3396e-06,3.5444e-06,1.0222e-05
26.3560,2.5372e-06,3.8435e-06,1.1011e-05
27.3500,2.7419e-06,4.1625e-06,1.1849e-05
28.3440,2.9539e-06,4.4995e-06,1.2739e-05
29.3390,3.1731e-06,4.8544e-06,1.3679e-05
30.3330,3.3992e-06,5.2399e-06,1.4678e-05
31.3280,3.6328e-06,5.6449e-06,1.5737e-05
32.3220,3.8748e-06,6.0803e-06,1.6862e-05
33.3170,4.1253e-06,6.5403e-06,1.7990e-05
34.3110,4.3822e-06,7.0348e-06,1.9140e-05
35.3060,4.6441e-06,7.5574e-06,2.0312e-05
36.3000,4.9103e-06,8.1235e-06,2.1491e-05
37.2940,5.1796e-06,8.7142e-06,2.2675e-05
38.2890,5.4498e-06,9.3295e-06,2.3858e-05
39.2830,5.7242e-06,9.9863e-06,2.5035e-05
40.2780,6.0042e-06,1.0668e-05,2.6204e-05
41.2720,6.2838e-06,1.1394e-05,2.7372e-05
42.2670,6.5616e-06,1.2152e-05,2.8522e-05
43.2610,6.8423e-06,1.2960e-05,2.9628e-05
44.2560,7.1211e-06,1.3799e-05,3.0696e-05
45.2500,7.4034e-06,1.4690e-05,3.1736e-05
46.2440,7.6898e-06,1.5622e-05,3.2753e-05
47.2390,7.9820e-06,1.6580e-05,3.3759e-05
48.2330,8.2340e-06,1.7578e-05,3.4663e-05
49.2280,8.4759e-06,1.8589e-05,3.5479e-05
50.2220,8.7152e-06,1.9610e-05,3.6254e-05
51.2170,8.9639e-06,2.0649e-05,3.7140e-05
52.2110,9.2173e-06,2.1711e-05,3.7978e-05
53.2060,9.4552e-06,2.2761e-05,3.8483e-05
54.2000,9.6884e-06,2.3789e-05,3.8664e-05
55.1940,9.9084e-06,2.4767e-05,3.8402e-05
56.1890,1.0139e-05,2.5689e-05,3.7972e-05
57.1830,1.0375e-05,2.6569e-05,3.7353e-05
58.1780,1.0511e-05,2.7379e-05,3.6413e-05
59.1720,1.0608e-05,2.8092e-05,3.5332e-05
60.1670,1.0728e-05,2.8638e-05,3.4257e-05
61.1610,1.0849e-05,2.9039e-05,3.3168e-05
62.1560,1.1049e-05,2.9281e-05,3.2033e-05
63.1500,1.1309e-05,2.9372e-05,3.1312e-05
64.1440,1.1635e-05,2.9378e-05,3.0960e-05
65.1390,1.1909e-05,2.9397e-05,3.0663e-05
66.1330,1.2227e-05,2.9635e-05,2.9428e-05
67.1280,1.2795e-05,3.0000e-05,2.8277e-05
68.1220,1.3348e-05,3.0600e-05,2.6878e-05
69.1170,1.3743e-05,3.1516e-05,2.4928e-05
70.1110,1.4397e-05,3.2819e-05,2.3393e-05
71.1060,1.5515e-05,3.4193e-05,2.1771e-05
72.1000,1.6222e-05,3.5261e-05,2.0395e-05
73.0940,1.7137e-05,3.6739e-05,2.0042e-05
74.0890,1.7641e-05,3.6872e-05,2.0399e-05
75.0830,1.7763e-05,3.6803e-05,1.9773e-05
76.0780,1.7151e-05,3.6259e-05,1.8745e-05
77.0720,1.5413e-05,3.4396e-05,1.8191e-05
78.0670,1.3173e-05,3.1431e-05,1.6561e-05
79.0610,1.0359e-05,2.7911e-05,1.4525e-05
80.0560,6.8445e-06,2.4019e-05,1.1546e-05
81.0500,4.3716e-06,1.9917e-05,8.2799e-06
82.0440,2.3155e-06,1.5907e-05,5.8897e-06
83.0390,1.1161e-06,1.2179e-05,4.2024e-06
84.0330,2.4647e-07,8.6518e-06,3.0215e-06
85.0280,1.4128e-08,5.4346e-06,2.0045e-06
86.0220,4.7844e-09,2.8021e-06,1.1494e-06
87.0170,5.7230e-16,1.2388e-06,5.5814e-07
88.0110,1.2004e-17,5.7786e-07,2.1311e-07
89.0060,1.0000e-31,1.6005e-07,2.1371e-08
