# Bounce and drift averaged energy diffusion coefficients in s^(-1) in figure 15b for E = 5000.0 keV, L* = 3.5, Kp = 5
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,3.8216e-21,1.5231e-14,2.6569e-13
1.4940,3.2575e-19,1.3887e-13,2.4374e-12
2.4890,3.4335e-18,3.9284e-13,7.0668e-12
3.4830,1.9289e-17,7.9805e-13,1.4700e-11
4.4780,7.8744e-17,1.3726e-12,2.6151e-11
5.4720,2.6330e-16,2.1629e-12,4.2563e-11
6.4670,7.6638e-16,3.2041e-12,6.5612e-11
7.4610,2.0128e-15,4.5831e-12,9.7982e-11
8.4560,4.8824e-15,6.3647e-12,1.4393e-10
9.4500,1.1115e-14,8.7042e-12,2.0867e-10
10.4440,2.4024e-14,1.1751e-11,2.9517e-10
11.4390,4.9725e-14,1.5685e-11,4.0255e-10
12.4330,9.9176e-14,2.0869e-11,5.3136e-10
13.4280,1.9145e-13,2.7601e-11,6.8475e-10
14.4220,3.5853e-13,3.6549e-11,8.5819e-10
15.4170,6.5153e-13,4.8363e-11,1.0428e-09
16.4110,1.1477e-12,6.4669e-11,1.2031e-09
17.4060,1.9590e-12,8.6460e-11,1.3537e-09
18.4000,3.2476e-12,1.1657e-10,1.6139e-09
19.3940,5.2606e-12,1.6266e-10,1.9467e-09
20.3890,8.2773e-12,1.9560e-10,2.1481e-09
21.3830,1.2811e-11,2.3660e-10,2.4001e-09
22.3780,2.0473e-11,2.8767e-10,2.7722e-09
23.3720,3.3757e-11,3.5941e-10,3.4506e-09
24.3670,5.9649e-11,4.6003e-10,3.9435e-09
25.3610,1.0109e-10,5.9519e-10,4.7009e-09
26.3560,1.6560e-10,8.0130e-10,6.3003e-09
27.3500,2.0742e-10,1.0212e-09,7.5953e-09
28.3440,2.6010e-10,1.2764e-09,8.4595e-09
29.3390,3.6294e-10,1.5194e-09,9.8038e-09
30.3330,6.8230e-10,1.9083e-09,1.4619e-08
31.3280,7.9632e-10,2.3094e-09,1.4090e-08
32.3220,1.0891e-09,3.3955e-09,1.3790e-08
33.3170,2.1462e-09,5.7971e-09,1.3855e-08
34.3110,3.7529e-09,1.0024e-08,1.4680e-08
35.3060,4.4136e-09,9.9197e-09,1.4665e-08
36.3000,4.1816e-09,9.4087e-09,1.4592e-08
37.2940,4.0417e-09,9.0352e-09,1.4761e-08
38.2890,3.9335e-09,8.5465e-09,1.5213e-08
39.2830,3.8820e-09,7.7743e-09,1.5751e-08
40.2780,4.0021e-09,7.1799e-09,1.6168e-08
41.2720,4.1411e-09,6.7292e-09,1.6940e-08
42.2670,4.4846e-09,5.8051e-09,1.8187e-08
43.2610,5.3188e-09,4.1591e-09,2.0808e-08
44.2560,6.3513e-09,3.2814e-09,2.2221e-08
45.2500,5.9808e-09,3.2034e-09,2.1281e-08
46.2440,5.6864e-09,3.1318e-09,2.0115e-08
47.2390,5.4305e-09,3.1153e-09,1.9142e-08
48.2330,5.2049e-09,3.1459e-09,1.8094e-08
49.2280,4.9534e-09,3.1527e-09,1.7357e-08
50.2220,4.7980e-09,3.2019e-09,1.6847e-08
51.2170,4.5805e-09,3.3891e-09,1.6474e-08
52.2110,4.4413e-09,3.6167e-09,1.6227e-08
53.2060,4.2077e-09,3.9227e-09,1.6095e-08
54.2000,4.1561e-09,4.6529e-09,1.6567e-08
55.1940,4.0549e-09,4.5077e-09,1.6193e-08
56.1890,3.9860e-09,4.4152e-09,1.5867e-08
57.1830,3.9455e-09,4.3252e-09,1.5735e-08
58.1780,3.9350e-09,4.2980e-09,1.5626e-08
59.1720,3.8686e-09,4.2466e-09,1.5905e-08
60.1670,3.9772e-09,4.2398e-09,1.5982e-08
61.1610,3.9554e-09,4.1807e-09,1.5280e-08
62.1560,3.9764e-09,4.2116e-09,1.4807e-08
63.1500,4.1681e-09,4.2370e-09,1.4292e-08
64.1440,4.3348e-09,4.2366e-09,1.3753e-08
65.1390,4.6274e-09,4.3314e-09,1.2607e-08
66.1330,4.8216e-09,4.3089e-09,1.2528e-08
67.1280,4.8755e-09,4.2282e-09,1.2491e-08
68.1220,4.9103e-09,4.2166e-09,1.2467e-08
69.1170,4.9418e-09,4.2035e-09,1.2494e-08
70.1110,5.2149e-09,4.1504e-09,1.2344e-08
71.1060,5.1524e-09,4.1093e-09,1.1942e-08
72.1000,5.2552e-09,4.0466e-09,1.2030e-08
73.0940,5.2441e-09,3.9544e-09,1.2016e-08
74.0890,5.9265e-09,3.9306e-09,1.1976e-08
75.0830,5.9011e-09,3.7118e-09,1.2294e-08
76.0780,5.5001e-09,3.4859e-09,1.2403e-08
77.0720,6.7521e-09,3.0651e-09,1.2732e-08
78.0670,6.5821e-09,2.7104e-09,1.4283e-08
79.0610,7.3240e-09,2.8080e-09,1.3172e-08
80.0560,7.4989e-09,2.6767e-09,1.3632e-08
81.0500,7.2902e-09,2.7567e-09,1.3378e-08
82.0440,7.4896e-09,2.7885e-09,1.3298e-08
83.0390,7.8544e-09,2.8277e-09,1.2526e-08
84.0330,7.9161e-09,2.9227e-09,9.7366e-09
85.0280,8.1099e-09,3.0323e-09,9.6206e-09
86.0220,8.2884e-09,3.0825e-09,1.0184e-08
87.0170,8.5147e-09,2.9839e-09,9.9492e-09
88.0110,8.6354e-09,2.6884e-09,1.0466e-08
89.0060,8.6841e-09,2.5028e-09,1.0180e-08
