# Bounce and drift averaged energy diffusion coefficients in s^(-1) in figure 15bb for E = 50.0 keV, L* = 4.5, Kp = 5
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,1.5638e-08,1.5734e-07,2.5406e-07
1.4940,3.3554e-08,1.7025e-07,2.8160e-07
2.4890,6.3214e-08,1.9453e-07,3.3528e-07
3.4830,1.0277e-07,2.3060e-07,4.1563e-07
4.4780,1.5217e-07,2.7780e-07,5.2316e-07
5.4720,2.1178e-07,3.3721e-07,6.5839e-07
6.4670,2.8215e-07,4.0807e-07,8.2185e-07
7.4610,3.6378e-07,4.9197e-07,1.0142e-06
8.4560,4.5695e-07,5.8805e-07,1.2363e-06
9.4500,5.6220e-07,6.9887e-07,1.4882e-06
10.4440,6.7973e-07,8.2433e-07,1.7700e-06
11.4390,8.0989e-07,9.6427e-07,2.0819e-06
12.4330,9.5293e-07,1.1222e-06,2.4242e-06
13.4280,1.1093e-06,1.2969e-06,2.7969e-06
14.4220,1.2793e-06,1.4932e-06,3.2003e-06
15.4170,1.4634e-06,1.7083e-06,3.6350e-06
16.4110,1.6624e-06,1.9467e-06,4.1018e-06
17.4060,1.8776e-06,2.2044e-06,4.6018e-06
18.4000,2.1113e-06,2.4868e-06,5.1358e-06
19.3940,2.3663e-06,2.7923e-06,5.7029e-06
20.3890,2.6438e-06,3.1186e-06,6.3007e-06
21.3830,2.9405e-06,3.4727e-06,6.9295e-06
22.3780,3.2560e-06,3.8480e-06,7.5902e-06
23.3720,3.5870e-06,4.2511e-06,8.2840e-06
24.3670,3.9295e-06,4.6752e-06,9.0116e-06
25.3610,4.2896e-06,5.1302e-06,9.7737e-06
26.3560,4.6718e-06,5.6095e-06,1.0565e-05
27.3500,5.0809e-06,6.1229e-06,1.1384e-05
28.3440,5.5190e-06,6.6676e-06,1.2230e-05
29.3390,5.9868e-06,7.2433e-06,1.3106e-05
30.3330,6.4841e-06,7.8662e-06,1.4008e-05
31.3280,7.0104e-06,8.5300e-06,1.4935e-05
32.3220,7.5638e-06,9.2473e-06,1.5891e-05
33.3170,8.1407e-06,1.0002e-05,1.6867e-05
34.3110,8.7488e-06,1.0808e-05,1.7858e-05
35.3060,9.3926e-06,1.1655e-05,1.8863e-05
36.3000,1.0065e-05,1.2563e-05,1.9875e-05
37.2940,1.0766e-05,1.3524e-05,2.0870e-05
38.2890,1.1491e-05,1.4530e-05,2.1835e-05
39.2830,1.2242e-05,1.5600e-05,2.2774e-05
40.2780,1.3011e-05,1.6713e-05,2.3681e-05
41.2720,1.3791e-05,1.7889e-05,2.4543e-05
42.2670,1.4592e-05,1.9115e-05,2.5333e-05
43.2610,1.5385e-05,2.0429e-05,2.6038e-05
44.2560,1.6168e-05,2.1798e-05,2.6665e-05
45.2500,1.6937e-05,2.3243e-05,2.7215e-05
46.2440,1.7661e-05,2.4748e-05,2.7746e-05
47.2390,1.8311e-05,2.6292e-05,2.8455e-05
48.2330,1.8906e-05,2.7899e-05,2.9660e-05
49.2280,1.9443e-05,2.9518e-05,3.0171e-05
50.2220,1.9927e-05,3.1158e-05,3.0581e-05
51.2170,2.0345e-05,3.2819e-05,3.1103e-05
52.2110,2.0665e-05,3.4501e-05,3.1975e-05
53.2060,2.0899e-05,3.6185e-05,3.0786e-05
54.2000,2.1040e-05,3.7891e-05,3.0736e-05
55.1940,2.1096e-05,3.9556e-05,3.1044e-05
56.1890,2.1067e-05,4.1163e-05,3.1408e-05
57.1830,2.0952e-05,4.2750e-05,3.1772e-05
58.1780,2.0771e-05,4.4307e-05,3.2246e-05
59.1720,2.0736e-05,4.5861e-05,3.2444e-05
60.1670,2.0647e-05,4.7288e-05,3.2005e-05
61.1610,2.0492e-05,4.8485e-05,3.2272e-05
62.1560,2.0268e-05,4.9395e-05,3.2668e-05
63.1500,2.0080e-05,5.0060e-05,3.3057e-05
64.1440,1.9836e-05,5.0406e-05,3.3534e-05
65.1390,1.9663e-05,5.0541e-05,3.3959e-05
66.1330,1.9653e-05,5.0726e-05,3.4738e-05
67.1280,1.9702e-05,5.0976e-05,3.4997e-05
68.1220,1.9453e-05,5.1478e-05,3.5043e-05
69.1170,1.8776e-05,5.2872e-05,3.4762e-05
70.1110,1.8659e-05,5.4899e-05,3.4554e-05
71.1060,1.9048e-05,5.7123e-05,3.4134e-05
72.1000,1.9637e-05,5.8880e-05,3.3404e-05
73.0940,2.0896e-05,6.0556e-05,3.1845e-05
74.0890,2.2192e-05,6.2111e-05,3.4036e-05
75.0830,2.1024e-05,5.8681e-05,3.4626e-05
76.0780,2.0363e-05,5.7951e-05,3.0904e-05
77.0720,1.9260e-05,5.3089e-05,2.5392e-05
78.0670,1.9158e-05,4.8515e-05,2.1938e-05
79.0610,1.8435e-05,4.3776e-05,1.8370e-05
80.0560,1.5411e-05,3.8614e-05,1.6851e-05
81.0500,1.0569e-05,3.1994e-05,1.6955e-05
82.0440,6.6639e-06,2.5501e-05,1.2727e-05
83.0390,4.0539e-06,1.9638e-05,1.0887e-05
84.0330,1.7355e-06,1.4198e-05,5.2316e-06
85.0280,1.5835e-07,9.3027e-06,2.0110e-06
86.0220,3.9456e-08,4.9537e-06,8.6465e-07
87.0170,1.9134e-10,2.0673e-06,3.8131e-07
88.0110,5.1938e-17,8.5571e-07,1.4479e-07
89.0060,1.0000e-31,2.2980e-07,2.3244e-08
