# Bounce and drift averaged energy diffusion coefficients in s^(-1) in figure 15c for E = 5000.0 keV, L* = 4.0, Kp = 5
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,1.3643e-19,5.5704e-13,5.6546e-12
1.4940,6.7589e-18,5.0747e-12,5.1146e-11
2.4890,4.7472e-17,1.4333e-11,1.4435e-10
3.4830,1.9347e-16,2.9044e-11,2.8914e-10
4.4780,6.1312e-16,4.9782e-11,4.9069e-10
5.4720,1.6824e-15,7.8099e-11,7.5436e-10
6.4670,4.2019e-15,1.1506e-10,1.0867e-09
7.4610,9.8066e-15,1.6350e-10,1.4913e-09
8.4560,2.1703e-14,2.2535e-10,1.9700e-09
9.4500,4.5908e-14,3.0559e-10,2.5323e-09
10.4440,9.3243e-14,4.0883e-10,3.1954e-09
11.4390,1.8255e-13,5.4072e-10,4.0025e-09
12.4330,3.4633e-13,7.1305e-10,4.9208e-09
13.4280,6.4100e-13,9.3569e-10,5.9249e-09
14.4220,1.1625e-12,1.2317e-09,6.9424e-09
15.4170,2.0545e-12,1.6296e-09,8.1236e-09
16.4110,3.4908e-12,2.2203e-09,9.2895e-09
17.4060,5.6975e-12,3.0832e-09,1.0202e-08
18.4000,9.4198e-12,4.3000e-09,1.1170e-08
19.3940,1.7076e-11,6.5135e-09,1.2178e-08
20.3890,3.0332e-11,6.6454e-09,1.2833e-08
21.3830,5.1264e-11,6.8005e-09,1.3324e-08
22.3780,7.6199e-11,6.9613e-09,1.3601e-08
23.3720,1.0917e-10,7.1319e-09,1.3606e-08
24.3670,1.9366e-10,7.2096e-09,1.3394e-08
25.3610,3.0837e-10,7.1715e-09,1.2847e-08
26.3560,7.2802e-10,6.4298e-09,1.1862e-08
27.3500,8.5689e-10,7.0554e-09,1.1326e-08
28.3440,1.0111e-09,7.9853e-09,1.0882e-08
29.3390,1.1449e-09,9.0690e-09,1.0586e-08
30.3330,1.3498e-09,1.0542e-08,1.0616e-08
31.3280,2.2259e-09,1.2101e-08,1.0479e-08
32.3220,2.8026e-09,1.5690e-08,1.0637e-08
33.3170,5.0672e-09,2.3127e-08,1.0973e-08
34.3110,8.2071e-09,3.8681e-08,1.2039e-08
35.3060,9.4450e-09,3.8298e-08,1.2282e-08
36.3000,8.7734e-09,3.6196e-08,1.3037e-08
37.2940,8.2734e-09,3.4624e-08,1.4711e-08
38.2890,7.8110e-09,3.3119e-08,1.5997e-08
39.2830,7.5057e-09,3.0994e-08,1.8504e-08
40.2780,7.1228e-09,2.9004e-08,1.9159e-08
41.2720,6.9261e-09,2.7393e-08,2.0156e-08
42.2670,6.9922e-09,2.4862e-08,2.2520e-08
43.2610,7.0013e-09,2.1311e-08,2.5804e-08
44.2560,7.2752e-09,1.8865e-08,3.2276e-08
45.2500,6.8969e-09,1.8306e-08,4.1823e-08
46.2440,6.5445e-09,1.7700e-08,5.0682e-08
47.2390,6.2304e-09,1.7239e-08,6.4564e-08
48.2330,5.9736e-09,1.6894e-08,9.5699e-08
49.2280,5.7360e-09,1.6416e-08,1.1863e-07
50.2220,5.5261e-09,1.6085e-08,1.1002e-07
51.2170,5.3321e-09,1.5608e-08,1.0220e-07
52.2110,5.2045e-09,1.6120e-08,9.8072e-08
53.2060,5.1180e-09,1.5507e-08,9.6246e-08
54.2000,5.1096e-09,1.6038e-08,9.5721e-08
55.1940,5.0375e-09,1.5504e-08,9.0445e-08
56.1890,5.0536e-09,1.5111e-08,8.5517e-08
57.1830,5.1163e-09,1.4878e-08,7.8208e-08
58.1780,5.2248e-09,1.4676e-08,6.5737e-08
59.1720,5.3691e-09,1.4591e-08,4.0007e-08
60.1670,5.5536e-09,1.4513e-08,2.5972e-08
61.1610,5.9905e-09,1.4454e-08,2.8026e-08
62.1560,6.4998e-09,1.4497e-08,3.0681e-08
63.1500,6.7730e-09,1.4589e-08,3.3434e-08
64.1440,7.8088e-09,1.4734e-08,3.7100e-08
65.1390,1.0018e-08,1.5582e-08,4.1731e-08
66.1330,1.0668e-08,1.5727e-08,4.5180e-08
67.1280,1.0533e-08,1.5576e-08,4.9495e-08
68.1220,1.0520e-08,1.5701e-08,5.4499e-08
69.1170,1.0423e-08,1.5802e-08,6.1193e-08
70.1110,1.0796e-08,1.5748e-08,6.7904e-08
71.1060,1.0314e-08,1.6060e-08,8.2941e-08
72.1000,1.0463e-08,1.6114e-08,8.4438e-08
73.0940,1.0250e-08,1.6267e-08,8.3171e-08
74.0890,1.0427e-08,1.6384e-08,7.9015e-08
75.0830,9.9642e-09,1.6326e-08,7.5520e-08
76.0780,9.7049e-09,1.6036e-08,7.2052e-08
77.0720,8.1919e-09,1.4620e-08,6.1620e-08
78.0670,6.8925e-09,1.3466e-08,5.7271e-08
79.0610,6.9110e-09,1.3582e-08,5.6561e-08
80.0560,7.1169e-09,1.3344e-08,5.8555e-08
81.0500,7.0105e-09,1.3742e-08,5.8302e-08
82.0440,6.8770e-09,1.3938e-08,7.0087e-08
83.0390,7.4962e-09,1.3895e-08,6.6627e-08
84.0330,7.5007e-09,1.4646e-08,7.4070e-08
85.0280,7.5467e-09,1.5219e-08,7.4309e-08
86.0220,7.6101e-09,1.5665e-08,7.5093e-08
87.0170,7.5382e-09,1.5652e-08,7.2133e-08
88.0110,7.2101e-09,1.4777e-08,7.3642e-08
89.0060,6.7535e-09,1.3966e-08,7.2173e-08
