# Bounce and drift averaged energy diffusion coefficients in s^(-1) in figure 15cc for E = 50.0 keV, L* = 5.0, Kp = 5
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,9.4850e-09,1.5392e-07,1.4786e-08
1.4940,2.8348e-08,1.6871e-07,2.7169e-08
2.4890,6.5598e-08,1.9701e-07,5.2118e-08
3.4830,1.2195e-07,2.3957e-07,9.0030e-08
4.4780,1.9814e-07,2.9597e-07,1.4135e-07
5.4720,2.9494e-07,3.6774e-07,2.0658e-07
6.4670,4.1310e-07,4.5413e-07,2.8633e-07
7.4610,5.5356e-07,5.5714e-07,3.8129e-07
8.4560,7.1725e-07,6.7582e-07,4.9234e-07
9.4500,9.0521e-07,8.1287e-07,6.2045e-07
10.4440,1.1186e-06,9.6834e-07,7.6652e-07
11.4390,1.3586e-06,1.1410e-06,9.3161e-07
12.4330,1.6263e-06,1.3348e-06,1.1171e-06
13.4280,1.9230e-06,1.5484e-06,1.3245e-06
14.4220,2.2508e-06,1.7873e-06,1.5553e-06
15.4170,2.6112e-06,2.0485e-06,1.8113e-06
16.4110,3.0058e-06,2.3382e-06,2.0945e-06
17.4060,3.4362e-06,2.6525e-06,2.4073e-06
18.4000,3.9044e-06,2.9984e-06,2.7522e-06
19.3940,4.4120e-06,3.3738e-06,3.1320e-06
20.3890,4.9604e-06,3.7744e-06,3.5484e-06
21.3830,5.5519e-06,4.2107e-06,4.0023e-06
22.3780,6.1884e-06,4.6779e-06,4.4985e-06
23.3720,6.8713e-06,5.1859e-06,5.0428e-06
24.3670,7.6004e-06,5.7265e-06,5.6398e-06
25.3610,8.3734e-06,6.3121e-06,6.2936e-06
26.3560,9.1934e-06,6.9350e-06,7.0073e-06
27.3500,1.0062e-05,7.6078e-06,7.7837e-06
28.3440,1.0981e-05,8.3280e-06,8.6225e-06
29.3390,1.1953e-05,9.0923e-06,9.5271e-06
30.3330,1.2976e-05,9.9187e-06,1.0500e-05
31.3280,1.4049e-05,1.0798e-05,1.1546e-05
32.3220,1.5172e-05,1.1751e-05,1.2667e-05
33.3170,1.6341e-05,1.2765e-05,1.3866e-05
34.3110,1.7548e-05,1.3844e-05,1.5147e-05
35.3060,1.8790e-05,1.4980e-05,1.6507e-05
36.3000,2.0062e-05,1.6199e-05,1.7944e-05
37.2940,2.1355e-05,1.7493e-05,1.9454e-05
38.2890,2.2663e-05,1.8850e-05,2.1047e-05
39.2830,2.3983e-05,2.0297e-05,2.2753e-05
40.2780,2.5296e-05,2.1808e-05,2.4568e-05
41.2720,2.6576e-05,2.3412e-05,2.6487e-05
42.2670,2.7817e-05,2.5080e-05,2.8534e-05
43.2610,2.9008e-05,2.6875e-05,3.0717e-05
44.2560,3.0121e-05,2.8707e-05,3.3015e-05
45.2500,3.1150e-05,3.0628e-05,3.5449e-05
46.2440,3.2080e-05,3.2617e-05,3.8036e-05
47.2390,3.2902e-05,3.4655e-05,4.0748e-05
48.2330,3.3604e-05,3.6779e-05,4.3477e-05
49.2280,3.4165e-05,3.8947e-05,4.6168e-05
50.2220,3.4574e-05,4.1225e-05,4.8786e-05
51.2170,3.4863e-05,4.3582e-05,5.1393e-05
52.2110,3.4989e-05,4.5942e-05,5.3738e-05
53.2060,3.4966e-05,4.8222e-05,5.5972e-05
54.2000,3.4812e-05,5.0559e-05,5.8275e-05
55.1940,3.4557e-05,5.2875e-05,6.0594e-05
56.1890,3.4211e-05,5.5115e-05,6.2964e-05
57.1830,3.3775e-05,5.7292e-05,6.5413e-05
58.1780,3.3221e-05,5.9397e-05,6.7752e-05
59.1720,3.2795e-05,6.1540e-05,6.9650e-05
60.1670,3.2779e-05,6.3748e-05,7.1012e-05
61.1610,3.2870e-05,6.5879e-05,7.1478e-05
62.1560,3.2657e-05,6.7591e-05,7.1436e-05
63.1500,3.2378e-05,6.9042e-05,7.1881e-05
64.1440,3.2273e-05,6.9985e-05,7.3374e-05
65.1390,3.2260e-05,7.0166e-05,7.4594e-05
66.1330,3.2600e-05,6.9846e-05,7.5818e-05
67.1280,3.3462e-05,6.9161e-05,7.6138e-05
68.1220,3.4626e-05,6.8379e-05,7.5182e-05
69.1170,3.4800e-05,6.7783e-05,7.4059e-05
70.1110,3.4944e-05,6.7329e-05,7.2892e-05
71.1060,3.4882e-05,6.7545e-05,6.8870e-05
72.1000,3.4822e-05,6.8160e-05,6.2968e-05
73.0940,3.6978e-05,6.7766e-05,4.7766e-05
74.0890,4.0163e-05,7.0425e-05,3.0448e-05
75.0830,4.0659e-05,6.7499e-05,2.3728e-05
76.0780,3.9132e-05,6.5107e-05,1.4503e-05
77.0720,3.4914e-05,5.7666e-05,1.4666e-05
78.0670,3.3410e-05,5.2086e-05,1.1413e-05
79.0610,3.7680e-05,4.5804e-05,6.8826e-06
80.0560,3.1832e-05,4.1435e-05,5.3240e-06
81.0500,2.4432e-05,3.2881e-05,6.1856e-06
82.0440,2.2597e-05,2.3730e-05,6.3621e-06
83.0390,1.1373e-05,1.7447e-05,3.5862e-06
84.0330,4.2390e-06,1.2618e-05,1.6532e-06
85.0280,1.7398e-06,8.6658e-06,9.8064e-07
86.0220,3.2106e-07,5.1667e-06,4.6100e-07
87.0170,2.9485e-08,2.4494e-06,1.8143e-07
88.0110,8.2253e-16,9.8954e-07,3.0493e-08
89.0060,1.0000e-31,2.9611e-07,9.4162e-09
