# Bounce and drift averaged energy diffusion coefficients in s^(-1) in figure 15d for E = 5000.0 keV, L* = 4.5, Kp = 5
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,6.7315e-17,1.0414e-12,3.1346e-12
1.4940,6.4384e-16,9.5058e-12,2.8416e-11
2.4890,2.0103e-15,2.6953e-11,8.0569e-11
3.4830,4.6105e-15,5.4940e-11,1.6261e-10
4.4780,9.2298e-15,9.4900e-11,2.7935e-10
5.4720,1.7272e-14,1.5034e-10,4.3770e-10
6.4670,3.1294e-14,2.2407e-10,6.4571e-10
7.4610,5.5969e-14,3.2277e-10,9.1376e-10
8.4560,9.9714e-14,4.5186e-10,1.2521e-09
9.4500,1.7742e-13,6.2381e-10,1.6663e-09
10.4440,3.1498e-13,8.5162e-10,2.1652e-09
11.4390,5.5659e-13,1.1518e-09,2.7694e-09
12.4330,9.7623e-13,1.5573e-09,3.4468e-09
13.4280,1.6990e-12,2.1012e-09,4.1384e-09
14.4220,4.8671e-12,2.8570e-09,4.8304e-09
15.4170,9.2555e-12,3.9212e-09,5.6953e-09
16.4110,1.4297e-11,5.6365e-09,6.5863e-09
17.4060,2.2435e-11,8.5021e-09,7.1771e-09
18.4000,4.1287e-11,1.2948e-08,7.8170e-09
19.3940,1.5104e-10,2.1388e-08,8.5906e-09
20.3890,1.6107e-10,2.0811e-08,8.8994e-09
21.3830,1.7981e-10,2.0178e-08,9.2340e-09
22.3780,2.1027e-10,1.9410e-08,9.7812e-09
23.3720,2.9948e-10,1.8319e-08,1.0100e-08
24.3670,4.5119e-10,1.6558e-08,1.0157e-08
25.3610,6.7268e-10,1.3779e-08,1.0101e-08
26.3560,1.1756e-09,7.9449e-09,1.0081e-08
27.3500,1.3721e-09,8.1168e-09,9.7931e-09
28.3440,1.5885e-09,8.6222e-09,9.6736e-09
29.3390,2.1645e-09,9.7090e-09,9.7823e-09
30.3330,3.4202e-09,1.1026e-08,1.0088e-08
31.3280,4.3037e-09,1.3030e-08,1.0242e-08
32.3220,6.1517e-09,1.5981e-08,1.0614e-08
33.3170,1.0957e-08,2.1295e-08,1.1334e-08
34.3110,1.9645e-08,3.6873e-08,1.2585e-08
35.3060,2.2680e-08,3.6070e-08,1.3329e-08
36.3000,2.1245e-08,3.3949e-08,1.4332e-08
37.2940,2.0175e-08,3.2319e-08,1.5946e-08
38.2890,1.9409e-08,3.0584e-08,1.8167e-08
39.2830,1.8460e-08,2.9062e-08,2.0878e-08
40.2780,1.7742e-08,2.7464e-08,2.3764e-08
41.2720,1.7610e-08,2.5498e-08,2.8133e-08
42.2670,1.7069e-08,2.3748e-08,3.5207e-08
43.2610,1.8264e-08,2.0836e-08,4.4797e-08
44.2560,1.9437e-08,1.8842e-08,5.5661e-08
45.2500,1.8404e-08,1.8203e-08,6.8029e-08
46.2440,1.7469e-08,1.7566e-08,8.3953e-08
47.2390,1.6624e-08,1.6994e-08,1.0166e-07
48.2330,1.5889e-08,1.6565e-08,1.3148e-07
49.2280,1.5271e-08,1.6095e-08,1.5757e-07
50.2220,1.4410e-08,1.5770e-08,1.4802e-07
51.2170,1.4072e-08,1.5174e-08,1.3645e-07
52.2110,1.3440e-08,1.5329e-08,1.2335e-07
53.2060,1.2547e-08,1.5113e-08,1.0360e-07
54.2000,1.1606e-08,1.5199e-08,6.8589e-08
55.1940,1.1282e-08,1.4888e-08,6.7090e-08
56.1890,1.1003e-08,1.4577e-08,6.4272e-08
57.1830,1.0827e-08,1.4373e-08,6.0721e-08
58.1780,1.0795e-08,1.4320e-08,5.5518e-08
59.1720,1.0864e-08,1.4439e-08,4.5783e-08
60.1670,1.1107e-08,1.4576e-08,4.4983e-08
61.1610,1.1457e-08,1.4898e-08,5.1886e-08
62.1560,1.2058e-08,1.5360e-08,5.6094e-08
63.1500,1.2727e-08,1.5959e-08,6.9200e-08
64.1440,1.3939e-08,1.7063e-08,8.2510e-08
65.1390,1.7120e-08,2.0086e-08,1.1519e-07
66.1330,1.8184e-08,2.0586e-08,1.1369e-07
67.1280,1.8058e-08,2.0711e-08,1.0928e-07
68.1220,1.7930e-08,2.1167e-08,1.0518e-07
69.1170,1.7597e-08,2.1515e-08,9.8534e-08
70.1110,1.7267e-08,2.2151e-08,9.2069e-08
71.1060,1.6901e-08,2.3059e-08,7.9785e-08
72.1000,1.6640e-08,2.4125e-08,7.4657e-08
73.0940,1.6249e-08,2.5084e-08,7.2029e-08
74.0890,1.6244e-08,2.6277e-08,6.7948e-08
75.0830,1.5483e-08,2.7329e-08,6.2863e-08
76.0780,1.4164e-08,2.8905e-08,5.5050e-08
77.0720,1.1619e-08,2.9317e-08,4.1897e-08
78.0670,8.6176e-09,3.0617e-08,3.3665e-08
79.0610,8.7995e-09,3.1510e-08,3.4302e-08
80.0560,9.0890e-09,3.1472e-08,3.6779e-08
81.0500,9.2549e-09,3.2938e-08,3.7777e-08
82.0440,8.9209e-09,3.1926e-08,4.0968e-08
83.0390,1.0085e-08,3.4014e-08,4.2344e-08
84.0330,9.4022e-09,3.5292e-08,4.7755e-08
85.0280,9.6195e-09,3.6638e-08,4.7666e-08
86.0220,1.0671e-08,3.7923e-08,5.1403e-08
87.0170,1.0604e-08,3.9161e-08,4.6616e-08
88.0110,1.1190e-08,4.0256e-08,4.6290e-08
89.0060,1.1184e-08,3.9710e-08,4.5995e-08
