# Bounce and drift averaged energy diffusion coefficients in s^(-1) in figure 15dd for E = 50.0 keV, L* = 5.5, Kp = 5
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,6.4891e-09,2.3040e-07,1.4786e-08
1.4940,1.9734e-08,2.4941e-07,2.7169e-08
2.4890,4.3562e-08,2.8550e-07,5.2118e-08
3.4830,7.8515e-08,3.3954e-07,9.0030e-08
4.4780,1.2523e-07,4.1085e-07,1.4135e-07
5.4720,1.8418e-07,5.0101e-07,2.0658e-07
6.4670,2.5574e-07,6.0887e-07,2.8633e-07
7.4610,3.4039e-07,7.3720e-07,3.8129e-07
8.4560,4.3862e-07,8.8388e-07,4.9234e-07
9.4500,5.5093e-07,1.0519e-06,6.2045e-07
10.4440,6.7787e-07,1.2405e-06,7.6652e-07
11.4390,8.1998e-07,1.4487e-06,9.3161e-07
12.4330,9.7781e-07,1.6809e-06,1.1171e-06
13.4280,1.1518e-06,1.9354e-06,1.3245e-06
14.4220,1.3423e-06,2.2197e-06,1.5553e-06
15.4170,1.5491e-06,2.5348e-06,1.8113e-06
16.4110,1.7733e-06,2.8789e-06,2.0945e-06
17.4060,2.0156e-06,3.2476e-06,2.4073e-06
18.4000,2.2773e-06,3.6507e-06,2.7522e-06
19.3940,2.5590e-06,4.0812e-06,3.1320e-06
20.3890,2.8609e-06,4.5388e-06,3.5484e-06
21.3830,3.1839e-06,5.0360e-06,4.0023e-06
22.3780,3.5293e-06,5.5663e-06,4.4985e-06
23.3720,3.8969e-06,6.1406e-06,5.0428e-06
24.3670,4.2876e-06,6.7491e-06,5.6398e-06
25.3610,4.7012e-06,7.4042e-06,6.2936e-06
26.3560,5.1383e-06,8.0968e-06,7.0073e-06
27.3500,5.5996e-06,8.8401e-06,7.7837e-06
28.3440,6.0836e-06,9.6254e-06,8.6225e-06
29.3390,6.5877e-06,1.0456e-05,9.5271e-06
30.3330,7.1110e-06,1.1346e-05,1.0500e-05
31.3280,7.6559e-06,1.2286e-05,1.1546e-05
32.3220,8.2207e-06,1.3288e-05,1.2667e-05
33.3170,8.7999e-06,1.4346e-05,1.3866e-05
34.3110,9.3940e-06,1.5472e-05,1.5147e-05
35.3060,1.0002e-05,1.6647e-05,1.6507e-05
36.3000,1.0621e-05,1.7900e-05,1.7944e-05
37.2940,1.1247e-05,1.9222e-05,1.9454e-05
38.2890,1.1875e-05,2.0604e-05,2.1047e-05
39.2830,1.2494e-05,2.2076e-05,2.2753e-05
40.2780,1.3131e-05,2.3620e-05,2.4568e-05
41.2720,1.3779e-05,2.5263e-05,2.6487e-05
42.2670,1.4377e-05,2.7001e-05,2.8534e-05
43.2610,1.4947e-05,2.8872e-05,3.0717e-05
44.2560,1.5467e-05,3.0771e-05,3.3015e-05
45.2500,1.5964e-05,3.2772e-05,3.5449e-05
46.2440,1.6441e-05,3.4872e-05,3.8036e-05
47.2390,1.6917e-05,3.7054e-05,4.0748e-05
48.2330,1.7394e-05,3.9362e-05,4.3477e-05
49.2280,1.7875e-05,4.1760e-05,4.6168e-05
50.2220,1.8396e-05,4.4330e-05,4.8786e-05
51.2170,1.8953e-05,4.7034e-05,5.1393e-05
52.2110,1.9586e-05,4.9829e-05,5.3738e-05
53.2060,2.0193e-05,5.2477e-05,5.5972e-05
54.2000,2.0846e-05,5.5201e-05,5.8275e-05
55.1940,2.1519e-05,5.7967e-05,6.0594e-05
56.1890,2.2225e-05,6.0691e-05,6.2964e-05
57.1830,2.2952e-05,6.3371e-05,6.5413e-05
58.1780,2.3687e-05,6.5908e-05,6.7752e-05
59.1720,2.4433e-05,6.8366e-05,6.9650e-05
60.1670,2.5232e-05,7.0774e-05,7.1012e-05
61.1610,2.5967e-05,7.3274e-05,7.1478e-05
62.1560,2.6812e-05,7.5623e-05,7.1436e-05
63.1500,2.8110e-05,7.7739e-05,7.1881e-05
64.1440,2.8902e-05,7.9561e-05,7.3374e-05
65.1390,2.9203e-05,8.0419e-05,7.4594e-05
66.1330,2.9279e-05,8.0773e-05,7.5818e-05
67.1280,2.9081e-05,8.0560e-05,7.6138e-05
68.1220,2.8697e-05,7.9931e-05,7.5182e-05
69.1170,2.8078e-05,7.8671e-05,7.4059e-05
70.1110,2.7265e-05,7.7607e-05,7.2892e-05
71.1060,2.6146e-05,7.6784e-05,6.8870e-05
72.1000,2.6046e-05,7.6547e-05,6.2968e-05
73.0940,2.5062e-05,7.6524e-05,4.7766e-05
74.0890,2.4784e-05,7.8338e-05,3.0448e-05
75.0830,2.4009e-05,8.1391e-05,2.3728e-05
76.0780,2.6296e-05,7.7270e-05,1.4503e-05
77.0720,2.9711e-05,7.2777e-05,1.4666e-05
78.0670,2.7575e-05,6.6911e-05,1.1413e-05
79.0610,2.3084e-05,5.4140e-05,6.8826e-06
80.0560,2.2297e-05,5.1344e-05,5.3240e-06
81.0500,2.1503e-05,3.6681e-05,6.1856e-06
82.0440,1.6820e-05,2.4926e-05,6.3621e-06
83.0390,1.3801e-05,1.5851e-05,3.5862e-06
84.0330,5.3049e-06,1.0616e-05,1.6532e-06
85.0280,1.2797e-06,7.3908e-06,9.8064e-07
86.0220,1.0742e-07,4.7080e-06,4.6100e-07
87.0170,5.0661e-09,2.5103e-06,1.8143e-07
88.0110,2.8360e-16,1.1080e-06,3.0493e-08
89.0060,1.0000e-31,3.9777e-07,9.4162e-09
