# Bounce and drift averaged energy diffusion coefficients in s^(-1) in figure 15e for E = 5000.0 keV, L* = 5.0, Kp = 5
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,2.4967e-17,7.9478e-13,1.6767e-12
1.4940,2.4872e-16,7.2627e-12,1.5296e-11
2.4890,8.3801e-16,2.0636e-11,4.3913e-11
3.4830,2.1217e-15,4.2199e-11,9.0238e-11
4.4780,4.7083e-15,7.3201e-11,1.5845e-10
5.4720,9.6080e-15,1.1658e-10,2.5422e-10
6.4670,1.8365e-14,1.7486e-10,3.8490e-10
7.4610,3.3455e-14,2.5378e-10,5.6559e-10
8.4560,5.9876e-14,3.5829e-10,8.0596e-10
9.4500,1.0784e-13,4.9939e-10,1.1103e-09
10.4440,2.0031e-13,6.8908e-10,1.4991e-09
11.4390,3.9248e-13,9.4306e-10,1.9792e-09
12.4330,7.7145e-13,1.2923e-09,2.5565e-09
13.4280,1.2637e-12,1.7706e-09,3.1536e-09
14.4220,1.9732e-12,2.4486e-09,3.7716e-09
15.4170,3.4671e-12,3.4177e-09,4.5049e-09
16.4110,7.6317e-12,5.0491e-09,5.1642e-09
17.4060,1.4433e-11,7.8271e-09,5.6105e-09
18.4000,2.4744e-11,1.2443e-08,5.8775e-09
19.3940,8.0796e-11,2.1397e-08,6.3590e-09
20.3890,8.3386e-11,2.0679e-08,6.5467e-09
21.3830,8.9585e-11,1.9931e-08,6.6769e-09
22.3780,1.0070e-10,1.9098e-08,7.0444e-09
23.3720,1.2494e-10,1.8094e-08,7.1710e-09
24.3670,1.9661e-10,1.6320e-08,7.2016e-09
25.3610,2.6800e-10,1.4031e-08,7.0523e-09
26.3560,5.6731e-10,9.1544e-09,7.1283e-09
27.3500,6.5462e-10,9.0460e-09,6.9220e-09
28.3440,7.8263e-10,9.1946e-09,7.0764e-09
29.3390,9.4800e-10,9.6689e-09,7.5919e-09
30.3330,1.3502e-09,1.0441e-08,8.0576e-09
31.3280,1.7582e-09,1.1503e-08,7.8111e-09
32.3220,2.3153e-09,1.2979e-08,7.6116e-09
33.3170,4.0468e-09,1.5034e-08,7.5867e-09
34.3110,7.0397e-09,2.2157e-08,7.6401e-09
35.3060,8.0969e-09,2.1363e-08,7.4483e-09
36.3000,7.7329e-09,2.0378e-08,7.2824e-09
37.2940,7.3461e-09,1.9537e-08,7.2553e-09
38.2890,7.1709e-09,1.8703e-08,7.4842e-09
39.2830,7.3815e-09,1.8100e-08,7.6821e-09
40.2780,7.4733e-09,1.7465e-08,7.8566e-09
41.2720,8.0649e-09,1.7039e-08,8.2832e-09
42.2670,8.6057e-09,1.6812e-08,9.1274e-09
43.2610,1.1054e-08,1.6065e-08,1.0522e-08
44.2560,1.3446e-08,1.5601e-08,1.1570e-08
45.2500,1.2766e-08,1.5008e-08,1.1398e-08
46.2440,1.2169e-08,1.4433e-08,1.1418e-08
47.2390,1.1738e-08,1.4073e-08,1.1498e-08
48.2330,1.1386e-08,1.3531e-08,1.1807e-08
49.2280,1.1067e-08,1.3211e-08,1.2086e-08
50.2220,1.0887e-08,1.3064e-08,1.2178e-08
51.2170,1.0855e-08,1.2743e-08,1.2427e-08
52.2110,1.0935e-08,1.2810e-08,1.2877e-08
53.2060,1.1152e-08,1.3088e-08,1.3664e-08
54.2000,1.2344e-08,1.3753e-08,1.4727e-08
55.1940,1.1992e-08,1.3450e-08,1.5086e-08
56.1890,1.1978e-08,1.3200e-08,1.6314e-08
57.1830,1.2195e-08,1.2988e-08,1.7380e-08
58.1780,1.2682e-08,1.2984e-08,1.9342e-08
59.1720,1.3657e-08,1.3127e-08,2.2225e-08
60.1670,1.4814e-08,1.3372e-08,2.4180e-08
61.1610,1.6417e-08,1.3826e-08,2.5868e-08
62.1560,1.8409e-08,1.4591e-08,2.6993e-08
63.1500,2.0816e-08,1.5448e-08,2.8902e-08
64.1440,2.5594e-08,1.7261e-08,3.1509e-08
65.1390,3.7170e-08,2.1896e-08,3.3656e-08
66.1330,4.0931e-08,2.2759e-08,3.7248e-08
67.1280,4.0688e-08,2.2978e-08,4.2611e-08
68.1220,4.0469e-08,2.3379e-08,4.7984e-08
69.1170,4.0168e-08,2.3895e-08,5.4925e-08
70.1110,3.9767e-08,2.4796e-08,6.3605e-08
71.1060,3.9730e-08,2.5977e-08,7.8031e-08
72.1000,3.9129e-08,2.7398e-08,7.9165e-08
73.0940,3.8736e-08,2.8997e-08,8.1771e-08
74.0890,3.7938e-08,3.1090e-08,7.7937e-08
75.0830,3.7167e-08,3.2991e-08,8.1176e-08
76.0780,3.4728e-08,3.5735e-08,8.0658e-08
77.0720,3.0774e-08,3.8478e-08,8.0053e-08
78.0670,2.5287e-08,4.2350e-08,8.1904e-08
79.0610,2.8558e-08,4.2946e-08,8.0694e-08
80.0560,2.5872e-08,4.4352e-08,8.3400e-08
81.0500,2.9756e-08,4.5575e-08,7.7816e-08
82.0440,2.8535e-08,4.6670e-08,8.1659e-08
83.0390,3.3320e-08,4.9583e-08,7.3548e-08
84.0330,3.1353e-08,5.1622e-08,6.7157e-08
85.0280,3.4319e-08,5.3524e-08,6.7177e-08
86.0220,3.5924e-08,5.5723e-08,6.4999e-08
87.0170,3.6432e-08,5.8136e-08,6.7064e-08
88.0110,3.7876e-08,6.0745e-08,6.3835e-08
89.0060,3.8951e-08,6.1441e-08,6.4351e-08
