# Bounce and drift averaged energy diffusion coefficients in s^(-1) in figure 15f for E = 5000.0 keV, L* = 5.5, Kp = 5
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,5.9233e-18,1.1044e-12,1.6767e-12
1.4940,6.5041e-17,1.0083e-11,1.5296e-11
2.4890,2.5906e-16,2.8596e-11,4.3913e-11
3.4830,8.0835e-16,5.8313e-11,9.0238e-11
4.4780,2.2694e-15,1.0079e-10,1.5845e-10
5.4720,5.9787e-15,1.5978e-10,2.5422e-10
6.4670,1.4966e-14,2.3838e-10,3.8490e-10
7.4610,3.5458e-14,3.4381e-10,5.6559e-10
8.4560,7.7877e-14,4.8201e-10,8.0596e-10
9.4500,1.5383e-13,6.6662e-10,1.1103e-09
10.4440,2.7909e-13,9.1194e-10,1.4991e-09
11.4390,5.0929e-13,1.2366e-09,1.9792e-09
12.4330,9.5368e-13,1.6778e-09,2.5565e-09
13.4280,1.8060e-12,2.2745e-09,3.1536e-09
14.4220,3.3690e-12,3.1081e-09,3.7716e-09
15.4170,6.2473e-12,4.2862e-09,4.5049e-09
16.4110,1.4611e-11,6.1741e-09,5.1642e-09
17.4060,2.5668e-11,9.3084e-09,5.6105e-09
18.4000,4.2330e-11,1.4452e-08,5.8775e-09
19.3940,1.1595e-10,2.4232e-08,6.3590e-09
20.3890,1.4798e-10,2.3612e-08,6.5467e-09
21.3830,2.0511e-10,2.2926e-08,6.6769e-09
22.3780,2.8010e-10,2.2201e-08,7.0444e-09
23.3720,4.3984e-10,2.1446e-08,7.1710e-09
24.3670,7.1987e-10,2.0255e-08,7.2016e-09
25.3610,1.3209e-09,1.8924e-08,7.0523e-09
26.3560,3.2523e-09,1.7340e-08,7.1283e-09
27.3500,2.9875e-09,1.6420e-08,6.9220e-09
28.3440,2.7423e-09,1.5710e-08,7.0764e-09
29.3390,2.5467e-09,1.5262e-08,7.5919e-09
30.3330,2.4255e-09,1.4982e-08,8.0576e-09
31.3280,2.3176e-09,1.5031e-08,7.8111e-09
32.3220,2.3856e-09,1.5266e-08,7.6116e-09
33.3170,2.4309e-09,1.5943e-08,7.5867e-09
34.3110,3.0895e-09,1.9970e-08,7.6401e-09
35.3060,3.2565e-09,1.9158e-08,7.4483e-09
36.3000,3.0420e-09,1.8317e-08,7.2824e-09
37.2940,2.8837e-09,1.7624e-08,7.2553e-09
38.2890,2.7691e-09,1.6968e-08,7.4842e-09
39.2830,2.7250e-09,1.6590e-08,7.6821e-09
40.2780,2.6793e-09,1.6099e-08,7.8566e-09
41.2720,2.9330e-09,1.6303e-08,8.2832e-09
42.2670,3.3263e-09,1.6594e-08,9.1274e-09
43.2610,4.2459e-09,1.7247e-08,1.0522e-08
44.2560,5.1869e-09,1.7945e-08,1.1570e-08
45.2500,4.8983e-09,1.7324e-08,1.1398e-08
46.2440,4.6550e-09,1.6653e-08,1.1418e-08
47.2390,4.4653e-09,1.6379e-08,1.1498e-08
48.2330,4.3371e-09,1.5894e-08,1.1807e-08
49.2280,4.2751e-09,1.5592e-08,1.2086e-08
50.2220,4.2988e-09,1.5626e-08,1.2178e-08
51.2170,4.3603e-09,1.5564e-08,1.2427e-08
52.2110,4.6734e-09,1.6393e-08,1.2877e-08
53.2060,5.1258e-09,1.7273e-08,1.3664e-08
54.2000,6.5750e-09,1.9358e-08,1.4727e-08
55.1940,6.3727e-09,1.8918e-08,1.5086e-08
56.1890,6.1906e-09,1.8365e-08,1.6314e-08
57.1830,6.1121e-09,1.7872e-08,1.7380e-08
58.1780,6.0834e-09,1.7491e-08,1.9342e-08
59.1720,6.1457e-09,1.7322e-08,2.2225e-08
60.1670,6.3490e-09,1.7100e-08,2.4180e-08
61.1610,6.6312e-09,1.7224e-08,2.5868e-08
62.1560,7.1213e-09,1.7399e-08,2.6993e-08
63.1500,7.8408e-09,1.7675e-08,2.8902e-08
64.1440,9.3131e-09,1.8507e-08,3.1509e-08
65.1390,1.2186e-08,2.0400e-08,3.3656e-08
66.1330,1.3322e-08,2.0897e-08,3.7248e-08
67.1280,1.3384e-08,2.1174e-08,4.2611e-08
68.1220,1.3489e-08,2.1467e-08,4.7984e-08
69.1170,1.3631e-08,2.2203e-08,5.4925e-08
70.1110,1.3815e-08,2.3069e-08,6.3605e-08
71.1060,1.3986e-08,2.4387e-08,7.8031e-08
72.1000,1.4287e-08,2.6086e-08,7.9165e-08
73.0940,1.4714e-08,2.7947e-08,8.1771e-08
74.0890,1.5459e-08,3.0591e-08,7.7937e-08
75.0830,1.6172e-08,3.3629e-08,8.1176e-08
76.0780,1.7190e-08,3.6927e-08,8.0658e-08
77.0720,1.8254e-08,4.2521e-08,8.0053e-08
78.0670,1.9998e-08,4.7823e-08,8.1904e-08
79.0610,2.0771e-08,4.9798e-08,8.0694e-08
80.0560,2.1735e-08,5.1515e-08,8.3400e-08
81.0500,2.3546e-08,5.3078e-08,7.7816e-08
82.0440,2.2399e-08,5.6533e-08,8.1659e-08
83.0390,2.5181e-08,5.9681e-08,7.3548e-08
84.0330,2.4899e-08,5.8753e-08,6.7157e-08
85.0280,2.8317e-08,6.2994e-08,6.7177e-08
86.0220,2.7639e-08,6.5872e-08,6.4999e-08
87.0170,2.9232e-08,6.8586e-08,6.7064e-08
88.0110,2.9771e-08,7.1788e-08,6.3835e-08
89.0060,3.1428e-08,7.3039e-08,6.4351e-08
