# Bounce and drift averaged energy diffusion coefficients in s^(-1) in figure 15g for E = 1000.0 keV, L* = 3.0, Kp = 5
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,2.7482e-13,4.4588e-22,7.2866e-12
1.4940,2.4970e-12,1.3419e-21,6.5623e-11
2.4890,7.1102e-12,2.2422e-21,1.8360e-10
3.4830,1.4428e-11,3.1640e-21,3.6293e-10
4.4780,2.4918e-11,4.0947e-21,6.0552e-10
5.4720,3.9218e-11,5.0539e-21,9.1345e-10
6.4670,5.8169e-11,6.0274e-21,1.2892e-09
7.4610,8.2853e-11,7.0364e-21,1.7355e-09
8.4560,1.1463e-10,8.0653e-21,2.2551e-09
9.4500,1.5523e-10,9.1368e-21,3.0162e-09
10.4440,2.0679e-10,1.0244e-20,3.8227e-09
11.4390,2.7199e-10,1.1381e-20,4.6058e-09
12.4330,3.5422e-10,1.2570e-20,5.4558e-09
13.4280,4.5780e-10,1.3795e-20,6.4250e-09
14.4220,5.8836e-10,1.5079e-20,7.5267e-09
15.4170,7.5351e-10,1.6402e-20,8.7764e-09
16.4110,9.6289e-10,1.7793e-20,1.0193e-08
17.4060,1.2213e-09,1.9226e-20,1.1783e-08
18.4000,1.5357e-09,2.0731e-20,1.3576e-08
19.3940,1.9149e-09,2.2296e-20,1.5887e-08
20.3890,2.3684e-09,2.3905e-20,1.8252e-08
21.3830,2.9089e-09,2.5585e-20,2.1034e-08
22.3780,3.5656e-09,2.7300e-20,2.4195e-08
23.3720,4.3610e-09,2.9076e-20,2.7331e-08
24.3670,5.3174e-09,3.0874e-20,3.0902e-08
25.3610,6.5122e-09,3.2733e-20,3.4803e-08
26.3560,8.0271e-09,3.4633e-20,3.8889e-08
27.3500,9.9246e-09,3.6605e-20,4.3241e-08
28.3440,1.2293e-08,3.8619e-20,4.7910e-08
29.3390,1.5254e-08,4.0620e-20,5.3046e-08
30.3330,1.8866e-08,4.2571e-20,6.0027e-08
31.3280,2.2979e-08,4.4566e-20,6.6322e-08
32.3220,2.7630e-08,4.6849e-20,7.3467e-08
33.3170,3.1199e-08,4.9126e-20,8.1515e-08
34.3110,3.2998e-08,4.9994e-20,9.0247e-08
35.3060,3.5522e-08,5.0222e-20,9.9746e-08
36.3000,3.8604e-08,5.0219e-20,1.1072e-07
37.2940,4.2597e-08,4.9983e-20,1.2342e-07
38.2890,4.8300e-08,4.9500e-20,1.3820e-07
39.2830,6.0684e-08,4.8750e-20,1.5374e-07
40.2780,7.6233e-08,4.7785e-20,1.7241e-07
41.2720,9.5188e-08,4.6669e-20,1.9365e-07
42.2670,1.2123e-07,4.3227e-20,2.1674e-07
43.2610,1.5087e-07,4.0504e-20,2.4090e-07
44.2560,1.5695e-07,4.1286e-20,2.6741e-07
45.2500,1.5603e-07,4.1750e-20,2.9692e-07
46.2440,1.5425e-07,4.2318e-20,3.2995e-07
47.2390,1.5164e-07,4.3051e-20,3.6304e-07
48.2330,1.4856e-07,4.3906e-20,3.9562e-07
49.2280,1.4494e-07,4.5231e-20,4.1868e-07
50.2220,1.2870e-07,4.7193e-20,4.4290e-07
51.2170,1.1888e-07,4.9039e-20,4.7003e-07
52.2110,1.0967e-07,5.3244e-20,5.0094e-07
53.2060,8.7382e-08,5.6951e-20,5.3531e-07
54.2000,4.0097e-08,6.1767e-20,5.7767e-07
55.1940,3.9819e-08,6.1630e-20,6.0016e-07
56.1890,3.9597e-08,6.1510e-20,6.2671e-07
57.1830,3.9547e-08,6.1344e-20,6.6441e-07
58.1780,3.9838e-08,6.1172e-20,7.2155e-07
59.1720,4.0314e-08,6.1010e-20,8.2520e-07
60.1670,4.0568e-08,6.0945e-20,8.8312e-07
61.1610,4.3094e-08,6.1542e-20,8.8978e-07
62.1560,4.4406e-08,6.3683e-20,8.9238e-07
63.1500,4.4420e-08,6.3856e-20,9.0522e-07
64.1440,4.3935e-08,6.1657e-20,9.3123e-07
65.1390,4.8226e-08,6.6439e-20,9.8115e-07
66.1330,5.0263e-08,6.6828e-20,9.4611e-07
67.1280,5.1578e-08,6.6644e-20,9.5093e-07
68.1220,5.1621e-08,6.6441e-20,9.7857e-07
69.1170,5.0757e-08,6.6218e-20,9.7821e-07
70.1110,5.0198e-08,6.6056e-20,9.9666e-07
71.1060,5.2193e-08,6.6728e-20,9.9905e-07
72.1000,5.9094e-08,6.4598e-20,1.0194e-06
73.0940,6.3643e-08,6.3872e-20,1.0579e-06
74.0890,6.7945e-08,6.4305e-20,1.1035e-06
75.0830,7.3935e-08,6.4839e-20,1.1701e-06
76.0780,9.2225e-08,6.5719e-20,1.2698e-06
77.0720,8.0851e-08,5.8689e-20,1.4645e-06
78.0670,7.1621e-08,5.7017e-20,1.6678e-06
79.0610,6.8676e-08,6.4851e-20,1.7840e-06
80.0560,6.8701e-08,5.6032e-20,1.9403e-06
81.0500,6.9958e-08,5.4685e-20,2.0988e-06
82.0440,7.2960e-08,5.4933e-20,2.2434e-06
83.0390,8.0736e-08,5.7960e-20,2.4202e-06
84.0330,9.7089e-08,6.0724e-20,2.1316e-06
85.0280,9.9864e-08,6.4095e-20,2.2143e-06
86.0220,9.1656e-08,6.3184e-20,2.3132e-06
87.0170,9.7837e-08,5.9471e-20,2.4005e-06
88.0110,9.6915e-08,5.5229e-20,2.4809e-06
89.0060,8.9278e-08,5.3225e-20,2.5655e-06
