# Bounce and drift averaged energy diffusion coefficients in s^(-1) in figure 15h for E = 1000.0 keV, L* = 3.5, Kp = 5
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,3.0131e-14,6.6196e-12,1.3901e-11
1.4940,2.8541e-13,5.9944e-11,1.2538e-10
2.4890,8.7733e-13,1.6731e-10,3.5182e-10
3.4830,1.9694e-12,3.3300e-10,6.9873e-10
4.4780,3.8132e-12,5.5734e-10,1.1733e-09
5.4720,6.7581e-12,8.4836e-10,1.7848e-09
6.4670,1.1262e-11,1.2055e-09,2.5443e-09
7.4610,1.7907e-11,1.6412e-09,3.4641e-09
8.4560,2.7413e-11,2.1538e-09,4.5584e-09
9.4500,4.0660e-11,2.7606e-09,5.8437e-09
10.4440,5.8710e-11,3.4660e-09,7.3387e-09
11.4390,8.2872e-11,4.2725e-09,9.0638e-09
12.4330,1.1475e-10,5.2058e-09,1.1042e-08
13.4280,1.5634e-10,6.2620e-09,1.3300e-08
14.4220,2.1022e-10,7.4744e-09,1.5864e-08
15.4170,2.7993e-10,8.8370e-09,1.8765e-08
16.4110,3.7081e-10,1.0395e-08,2.2053e-08
17.4060,4.9151e-10,1.2140e-08,2.5914e-08
18.4000,6.5743e-10,1.4127e-08,3.0780e-08
19.3940,8.9806e-10,1.6356e-08,3.6378e-08
20.3890,1.2726e-09,1.8832e-08,4.2922e-08
21.3830,1.8214e-09,2.1626e-08,5.0617e-08
22.3780,2.5959e-09,2.4717e-08,5.9261e-08
23.3720,3.6959e-09,2.8195e-08,6.9106e-08
24.3670,5.2633e-09,3.2029e-08,8.0878e-08
25.3610,7.3802e-09,3.6350e-08,9.5369e-08
26.3560,1.0308e-08,4.1203e-08,1.1182e-07
27.3500,1.4359e-08,4.6670e-08,1.2893e-07
28.3440,1.9980e-08,5.2748e-08,1.4500e-07
29.3390,2.7515e-08,5.9369e-08,1.5844e-07
30.3330,3.6915e-08,6.6525e-08,1.6977e-07
31.3280,4.7028e-08,7.4387e-08,1.8041e-07
32.3220,5.7366e-08,8.3936e-08,1.9230e-07
33.3170,6.5261e-08,9.3088e-08,2.0956e-07
34.3110,6.7966e-08,9.7076e-08,2.2882e-07
35.3060,7.0934e-08,9.8448e-08,2.3817e-07
36.3000,7.4557e-08,9.8998e-08,2.4819e-07
37.2940,7.9449e-08,9.8671e-08,2.5928e-07
38.2890,8.5978e-08,9.7409e-08,2.7140e-07
39.2830,9.4836e-08,9.5089e-08,2.8620e-07
40.2780,1.0653e-07,9.1689e-08,3.0353e-07
41.2720,1.1949e-07,8.6130e-08,3.3744e-07
42.2670,1.3078e-07,7.3378e-08,3.8927e-07
43.2610,1.3398e-07,6.2256e-08,4.1177e-07
44.2560,1.3889e-07,6.2319e-08,4.5610e-07
45.2500,1.3819e-07,6.3384e-08,4.3608e-07
46.2440,1.3768e-07,6.4621e-08,4.1434e-07
47.2390,1.3832e-07,6.6120e-08,4.1023e-07
48.2330,1.3932e-07,6.7859e-08,4.1108e-07
49.2280,1.4013e-07,7.0422e-08,3.9369e-07
50.2220,1.4131e-07,7.4229e-08,3.8874e-07
51.2170,1.3961e-07,7.9546e-08,3.8042e-07
52.2110,1.2718e-07,9.2933e-08,3.7642e-07
53.2060,1.2703e-07,1.0373e-07,3.8084e-07
54.2000,1.3915e-07,1.2134e-07,4.0242e-07
55.1940,1.3952e-07,1.2075e-07,4.0306e-07
56.1890,1.3949e-07,1.2040e-07,4.0467e-07
57.1830,1.3934e-07,1.2021e-07,4.0774e-07
58.1780,1.3886e-07,1.2021e-07,4.1960e-07
59.1720,1.3741e-07,1.2025e-07,4.1573e-07
60.1670,1.3559e-07,1.2039e-07,4.4225e-07
61.1610,1.3891e-07,1.2185e-07,4.1136e-07
62.1560,1.5589e-07,1.2685e-07,3.8353e-07
63.1500,1.7109e-07,1.3394e-07,3.5867e-07
64.1440,1.6348e-07,1.2998e-07,3.3523e-07
65.1390,1.7419e-07,1.4428e-07,3.1354e-07
66.1330,1.8802e-07,1.4592e-07,3.1600e-07
67.1280,1.8791e-07,1.4480e-07,3.1564e-07
68.1220,1.8496e-07,1.4391e-07,3.1032e-07
69.1170,1.8006e-07,1.4325e-07,3.0570e-07
70.1110,1.7690e-07,1.4294e-07,3.0309e-07
71.1060,1.7790e-07,1.4465e-07,2.9756e-07
72.1000,1.8077e-07,1.4027e-07,3.0114e-07
73.0940,1.8375e-07,1.3757e-07,3.1201e-07
74.0890,2.0911e-07,1.2890e-07,3.1963e-07
75.0830,2.2145e-07,1.2535e-07,3.3505e-07
76.0780,2.3179e-07,1.2384e-07,3.5165e-07
77.0720,2.4879e-07,1.0649e-07,4.1732e-07
78.0670,2.8952e-07,9.7604e-08,3.6553e-07
79.0610,3.3871e-07,1.2172e-07,3.7937e-07
80.0560,2.4250e-07,1.1169e-07,3.9459e-07
81.0500,2.0714e-07,9.1179e-08,3.4876e-07
82.0440,2.0347e-07,8.8902e-08,3.5692e-07
83.0390,2.0713e-07,9.2734e-08,2.9310e-07
84.0330,2.0905e-07,1.0148e-07,2.3463e-07
85.0280,2.2771e-07,1.1504e-07,2.3123e-07
86.0220,2.4863e-07,1.1948e-07,2.6759e-07
87.0170,2.8522e-07,1.0814e-07,2.8625e-07
88.0110,3.2573e-07,9.4659e-08,2.1205e-07
89.0060,3.5036e-07,9.0108e-08,2.0071e-07
