# Bounce and drift averaged energy diffusion coefficients in s^(-1) in figure 15i for E = 1000.0 keV, L* = 4.0, Kp = 5
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,1.2110e-13,3.9267e-11,3.4916e-11
1.4940,1.1321e-12,3.5529e-10,3.1450e-10
2.4890,3.4016e-12,9.9003e-10,8.8013e-10
3.4830,7.4313e-12,1.9655e-09,1.7405e-09
4.4780,1.4011e-11,3.2787e-09,2.9067e-09
5.4720,2.4265e-11,4.9694e-09,4.3892e-09
6.4670,3.9711e-11,7.0251e-09,6.2004e-09
7.4610,6.2363e-11,9.5045e-09,8.3592e-09
8.4560,9.4850e-11,1.2385e-08,1.0881e-08
9.4500,1.4058e-10,1.5745e-08,1.3772e-08
10.4440,2.0398e-10,1.9588e-08,1.7061e-08
11.4390,2.9077e-10,2.3906e-08,2.0781e-08
12.4330,4.0847e-10,2.8805e-08,2.4965e-08
13.4280,5.6685e-10,3.4236e-08,2.9627e-08
14.4220,7.7871e-10,4.0319e-08,3.4838e-08
15.4170,1.0606e-09,4.6987e-08,4.0722e-08
16.4110,1.4332e-09,5.4483e-08,4.7125e-08
17.4060,1.9210e-09,6.2794e-08,5.4177e-08
18.4000,2.5496e-09,7.2038e-08,6.1935e-08
19.3940,3.3400e-09,8.1942e-08,7.0529e-08
20.3890,4.2989e-09,9.2487e-08,7.9838e-08
21.3830,5.4118e-09,1.0395e-07,9.0014e-08
22.3780,6.6668e-09,1.1617e-07,1.0123e-07
23.3720,8.1809e-09,1.2954e-07,1.1372e-07
24.3670,1.0520e-08,1.4383e-07,1.2732e-07
25.3610,1.3712e-08,1.6055e-07,1.4237e-07
26.3560,1.8243e-08,1.8156e-07,1.5945e-07
27.3500,2.5066e-08,2.0644e-07,1.7884e-07
28.3440,3.5410e-08,2.3431e-07,2.0019e-07
29.3390,5.0962e-08,2.6506e-07,2.2339e-07
30.3330,7.3317e-08,2.9919e-07,2.4923e-07
31.3280,1.0168e-07,3.3662e-07,2.7891e-07
32.3220,1.2869e-07,3.8161e-07,3.1544e-07
33.3170,1.5579e-07,4.2533e-07,3.5968e-07
34.3110,1.5776e-07,4.5195e-07,4.0907e-07
35.3060,1.6024e-07,4.6040e-07,4.5628e-07
36.3000,1.6204e-07,4.6545e-07,5.1155e-07
37.2940,1.6353e-07,4.6658e-07,5.7563e-07
38.2890,1.6669e-07,4.6360e-07,6.5371e-07
39.2830,1.7224e-07,4.5598e-07,7.4366e-07
40.2780,1.8234e-07,4.4276e-07,8.3356e-07
41.2720,1.9434e-07,4.1803e-07,9.3774e-07
42.2670,1.9538e-07,3.6922e-07,1.0661e-06
43.2610,1.8052e-07,3.2038e-07,1.2173e-06
44.2560,1.7685e-07,3.1101e-07,1.3725e-06
45.2500,1.7540e-07,3.1258e-07,1.5174e-06
46.2440,1.7379e-07,3.1403e-07,1.6504e-06
47.2390,1.7230e-07,3.1521e-07,1.7469e-06
48.2330,1.7124e-07,3.1631e-07,1.7971e-06
49.2280,1.7078e-07,3.1762e-07,1.7414e-06
50.2220,1.7107e-07,3.2028e-07,1.6216e-06
51.2170,1.7419e-07,3.3125e-07,1.4556e-06
52.2110,1.7678e-07,3.6238e-07,1.2575e-06
53.2060,1.7360e-07,3.8179e-07,1.0631e-06
54.2000,1.7834e-07,4.1745e-07,9.4433e-07
55.1940,1.8275e-07,4.1696e-07,8.6071e-07
56.1890,1.8679e-07,4.1776e-07,7.7299e-07
57.1830,1.9128e-07,4.2028e-07,6.8836e-07
58.1780,1.9705e-07,4.2461e-07,6.2576e-07
59.1720,2.0315e-07,4.3013e-07,6.0699e-07
60.1670,2.1105e-07,4.3544e-07,6.3438e-07
61.1610,2.1812e-07,4.4068e-07,6.7570e-07
62.1560,2.2565e-07,4.4816e-07,7.2816e-07
63.1500,2.6036e-07,4.8127e-07,7.8736e-07
64.1440,3.0318e-07,5.1572e-07,8.6298e-07
65.1390,3.4881e-07,5.4472e-07,9.5445e-07
66.1330,3.5956e-07,5.5522e-07,1.0003e-06
67.1280,3.6015e-07,5.5550e-07,1.0836e-06
68.1220,3.6219e-07,5.5719e-07,1.1878e-06
69.1170,3.6574e-07,5.6036e-07,1.4518e-06
70.1110,3.6787e-07,5.6563e-07,1.7985e-06
71.1060,3.6516e-07,5.7294e-07,2.1530e-06
72.1000,3.6085e-07,5.8082e-07,2.2036e-06
73.0940,3.5901e-07,5.8079e-07,2.2068e-06
74.0890,3.4498e-07,5.4398e-07,2.0401e-06
75.0830,3.2261e-07,5.2721e-07,1.7961e-06
76.0780,2.9843e-07,5.0747e-07,1.5655e-06
77.0720,2.8232e-07,4.9516e-07,1.3575e-06
78.0670,2.5711e-07,4.7734e-07,1.2048e-06
79.0610,2.7834e-07,5.3650e-07,1.2107e-06
80.0560,3.2166e-07,5.8878e-07,1.5046e-06
81.0500,3.6128e-07,5.2981e-07,1.9058e-06
82.0440,2.6019e-07,5.1355e-07,1.9571e-06
83.0390,2.4186e-07,4.3169e-07,1.8752e-06
84.0330,2.2790e-07,4.3335e-07,1.8600e-06
85.0280,2.3884e-07,4.8528e-07,1.9108e-06
86.0220,3.0065e-07,5.5363e-07,1.6335e-06
87.0170,2.8762e-07,5.5755e-07,1.2434e-06
88.0110,2.7831e-07,5.1825e-07,1.1825e-06
89.0060,2.4040e-07,5.1849e-07,1.3266e-06
