# Bounce and drift averaged energy diffusion coefficients in s^(-1) in figure 15j for E = 1000.0 keV, L* = 4.5, Kp = 5
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,5.8125e-13,6.1779e-11,5.1723e-11
1.4940,5.3133e-12,5.5858e-10,4.6563e-10
2.4890,1.5307e-11,1.5542e-09,1.3017e-09
3.4830,3.1578e-11,3.0788e-09,2.5705e-09
4.4780,5.5656e-11,5.1204e-09,4.2831e-09
5.4720,8.9640e-11,7.7310e-09,6.4512e-09
6.4670,1.3627e-10,1.0878e-08,9.0874e-09
7.4610,1.9905e-10,1.4634e-08,1.2204e-08
8.4560,2.8234e-10,1.8942e-08,1.5816e-08
9.4500,3.9166e-10,2.3895e-08,1.9935e-08
10.4440,5.3391e-10,2.9462e-08,2.4576e-08
11.4390,7.1778e-10,3.5591e-08,2.9761e-08
12.4330,9.5443e-10,4.2384e-08,3.5512e-08
13.4280,1.2648e-09,4.9705e-08,4.1814e-08
14.4220,1.6555e-09,5.7639e-08,4.8701e-08
15.4170,2.1624e-09,6.6029e-08,5.6321e-08
16.4110,2.8294e-09,7.5188e-08,6.4494e-08
17.4060,3.7263e-09,8.5178e-08,7.3277e-08
18.4000,4.9766e-09,9.6136e-08,8.2748e-08
19.3940,6.8132e-09,1.0704e-07,9.2962e-08
20.3890,9.4733e-09,1.1752e-07,1.0369e-07
21.3830,1.3084e-08,1.2797e-07,1.1498e-07
22.3780,1.7962e-08,1.3802e-07,1.2680e-07
23.3720,2.4267e-08,1.4786e-07,1.3906e-07
24.3670,3.2208e-08,1.5680e-07,1.5187e-07
25.3610,4.2553e-08,1.6696e-07,1.6545e-07
26.3560,5.6206e-08,1.8477e-07,1.7957e-07
27.3500,7.4583e-08,2.0895e-07,1.9431e-07
28.3440,9.8910e-08,2.3552e-07,2.0950e-07
29.3390,1.3086e-07,2.6446e-07,2.2448e-07
30.3330,1.7186e-07,2.9662e-07,2.3867e-07
31.3280,2.2127e-07,3.3106e-07,2.5274e-07
32.3220,2.8800e-07,3.6863e-07,2.6861e-07
33.3170,3.4152e-07,4.1576e-07,2.8773e-07
34.3110,3.5934e-07,4.6315e-07,3.0557e-07
35.3060,3.6694e-07,4.6905e-07,3.1736e-07
36.3000,3.7666e-07,4.7157e-07,3.2903e-07
37.2940,3.8934e-07,4.7043e-07,3.4149e-07
38.2890,4.0535e-07,4.6551e-07,3.5459e-07
39.2830,4.2671e-07,4.5661e-07,3.6617e-07
40.2780,4.5052e-07,4.4383e-07,3.7138e-07
41.2720,4.7370e-07,4.2781e-07,3.7932e-07
42.2670,4.8338e-07,4.0289e-07,3.9666e-07
43.2610,4.6087e-07,3.6151e-07,4.1650e-07
44.2560,4.2995e-07,3.5255e-07,4.2211e-07
45.2500,4.2697e-07,3.5508e-07,4.2147e-07
46.2440,4.2412e-07,3.5830e-07,4.2159e-07
47.2390,4.2222e-07,3.6216e-07,4.2187e-07
48.2330,4.2085e-07,3.6663e-07,4.2630e-07
49.2280,4.2142e-07,3.7139e-07,4.3032e-07
50.2220,4.2789e-07,3.7778e-07,4.1946e-07
51.2170,4.3051e-07,3.8841e-07,4.1537e-07
52.2110,4.1775e-07,4.0809e-07,4.1582e-07
53.2060,3.9546e-07,4.4625e-07,4.3222e-07
54.2000,3.8756e-07,4.6924e-07,4.5878e-07
55.1940,3.8916e-07,4.7566e-07,4.9131e-07
56.1890,3.9267e-07,4.8396e-07,5.2999e-07
57.1830,4.0041e-07,4.9498e-07,5.7981e-07
58.1780,4.1510e-07,5.0968e-07,6.5358e-07
59.1720,4.3074e-07,5.2899e-07,7.4501e-07
60.1670,4.4027e-07,5.5081e-07,8.2596e-07
61.1610,4.5149e-07,5.7347e-07,8.9875e-07
62.1560,4.6902e-07,5.9591e-07,1.1588e-06
63.1500,4.8519e-07,6.2672e-07,1.5886e-06
64.1440,5.5872e-07,7.1763e-07,2.0154e-06
65.1390,6.4135e-07,8.0326e-07,2.8729e-06
66.1330,6.6199e-07,8.2469e-07,2.9215e-06
67.1280,6.5553e-07,8.3586e-07,2.9725e-06
68.1220,6.3886e-07,8.4863e-07,2.7242e-06
69.1170,6.1196e-07,8.6438e-07,2.6704e-06
70.1110,5.9639e-07,8.8448e-07,2.5312e-06
71.1060,5.9685e-07,9.0957e-07,2.1572e-06
72.1000,6.0537e-07,9.3701e-07,2.0515e-06
73.0940,6.1177e-07,9.6013e-07,1.8677e-06
74.0890,6.1237e-07,9.7653e-07,1.7245e-06
75.0830,5.6217e-07,9.9567e-07,1.5497e-06
76.0780,4.4605e-07,1.0019e-06,1.4500e-06
77.0720,3.9418e-07,1.0124e-06,1.2434e-06
78.0670,3.2398e-07,1.0533e-06,9.2035e-07
79.0610,3.2290e-07,1.0874e-06,8.1230e-07
80.0560,3.3410e-07,1.1486e-06,8.2551e-07
81.0500,3.5635e-07,1.2896e-06,9.5185e-07
82.0440,4.2473e-07,1.4265e-06,1.0186e-06
83.0390,3.5413e-07,1.2078e-06,1.1615e-06
84.0330,2.9728e-07,1.0081e-06,1.2602e-06
85.0280,3.3501e-07,9.7629e-07,1.2184e-06
86.0220,3.1444e-07,1.0619e-06,1.2127e-06
87.0170,3.2986e-07,1.1644e-06,1.0562e-06
88.0110,3.8837e-07,1.2076e-06,7.8547e-07
89.0060,4.5733e-07,1.2960e-06,7.2465e-07
