# Bounce and drift averaged energy diffusion coefficients in s^(-1) in figure 15k for E = 1000.0 keV, L* = 5.0, Kp = 5
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,2.5602e-13,5.9816e-11,1.9672e-11
1.4940,2.3511e-12,5.4089e-10,1.7707e-10
2.4890,6.8339e-12,1.5053e-09,4.9488e-10
3.4830,1.4282e-11,2.9828e-09,9.7678e-10
4.4780,2.5588e-11,4.9627e-09,1.6265e-09
5.4720,4.2021e-11,7.4964e-09,2.4479e-09
6.4670,6.5298e-11,1.0554e-08,3.4447e-09
7.4610,9.7696e-11,1.4207e-08,4.6207e-09
8.4560,1.4217e-10,1.8401e-08,5.9793e-09
9.4500,2.0255e-10,2.3222e-08,7.5238e-09
10.4440,2.8371e-10,2.8635e-08,9.2573e-09
11.4390,3.9186e-10,3.4585e-08,1.1184e-08
12.4330,5.3488e-10,4.1164e-08,1.3309e-08
13.4280,7.2264e-10,4.8225e-08,1.5619e-08
14.4220,9.6741e-10,5.5849e-08,1.8119e-08
15.4170,1.2839e-09,6.3852e-08,2.0923e-08
16.4110,1.6910e-09,7.2477e-08,2.3909e-08
17.4060,2.2072e-09,8.1829e-08,2.7034e-08
18.4000,2.8424e-09,9.2256e-08,3.0479e-08
19.3940,3.5962e-09,1.0261e-07,3.4219e-08
20.3890,4.4586e-09,1.1194e-07,3.8023e-08
21.3830,5.4883e-09,1.2100e-07,4.1947e-08
22.3780,6.7782e-09,1.2942e-07,4.6032e-08
23.3720,8.4976e-09,1.3705e-07,5.0285e-08
24.3670,1.0706e-08,1.4341e-07,5.4782e-08
25.3610,1.3642e-08,1.5069e-07,5.9464e-08
26.3560,1.7843e-08,1.6245e-07,6.4226e-08
27.3500,2.4047e-08,1.7840e-07,6.9214e-08
28.3440,3.2669e-08,1.9492e-07,7.4489e-08
29.3390,4.4682e-08,2.1186e-07,7.9959e-08
30.3330,6.1176e-08,2.2968e-07,8.6271e-08
31.3280,8.2799e-08,2.4755e-07,9.1781e-08
32.3220,1.0912e-07,2.6415e-07,9.7255e-08
33.3170,1.4095e-07,2.8417e-07,1.0324e-07
34.3110,1.4980e-07,3.0417e-07,1.1036e-07
35.3060,1.5299e-07,3.1050e-07,1.1731e-07
36.3000,1.5575e-07,3.1632e-07,1.2551e-07
37.2940,1.6019e-07,3.2139e-07,1.3468e-07
38.2890,1.6900e-07,3.2565e-07,1.4375e-07
39.2830,1.8601e-07,3.2922e-07,1.5195e-07
40.2780,2.1593e-07,3.3251e-07,1.5969e-07
41.2720,2.6036e-07,3.3588e-07,1.6943e-07
42.2670,3.0541e-07,3.3913e-07,1.8488e-07
43.2610,3.3439e-07,3.3174e-07,2.0775e-07
44.2560,3.2694e-07,3.3167e-07,2.1488e-07
45.2500,3.3037e-07,3.3562e-07,2.1694e-07
46.2440,3.3446e-07,3.4065e-07,2.2026e-07
47.2390,3.3961e-07,3.4706e-07,2.2708e-07
48.2330,3.4545e-07,3.5507e-07,2.4502e-07
49.2280,3.5421e-07,3.6444e-07,2.4920e-07
50.2220,3.7121e-07,3.7625e-07,2.5328e-07
51.2170,3.9792e-07,3.9190e-07,2.6037e-07
52.2110,4.2196e-07,4.1418e-07,2.7296e-07
53.2060,4.4794e-07,4.6972e-07,2.9097e-07
54.2000,4.7675e-07,5.0949e-07,3.1902e-07
55.1940,4.9404e-07,5.2024e-07,3.3351e-07
56.1890,5.1738e-07,5.3344e-07,3.5455e-07
57.1830,5.5220e-07,5.4999e-07,3.8852e-07
58.1780,6.0349e-07,5.7075e-07,4.5044e-07
59.1720,6.5866e-07,5.9794e-07,5.1620e-07
60.1670,7.0614e-07,6.3128e-07,5.4831e-07
61.1610,7.5139e-07,6.6846e-07,5.7215e-07
62.1560,8.0466e-07,7.0520e-07,6.0877e-07
63.1500,8.5875e-07,7.4773e-07,6.5371e-07
64.1440,1.0819e-06,8.3633e-07,7.2777e-07
65.1390,1.4182e-06,9.9154e-07,8.1465e-07
66.1330,1.4438e-06,1.0178e-06,9.6617e-07
67.1280,1.4354e-06,1.0355e-06,1.1191e-06
68.1220,1.4168e-06,1.0549e-06,1.2636e-06
69.1170,1.3900e-06,1.0779e-06,1.3580e-06
70.1110,1.3681e-06,1.1061e-06,1.7340e-06
71.1060,1.3727e-06,1.1417e-06,1.9772e-06
72.1000,1.4027e-06,1.1833e-06,2.0085e-06
73.0940,1.4383e-06,1.2273e-06,2.0428e-06
74.0890,1.4153e-06,1.2669e-06,2.3050e-06
75.0830,1.3551e-06,1.3108e-06,2.5144e-06
76.0780,1.0995e-06,1.3631e-06,2.3448e-06
77.0720,1.0299e-06,1.3911e-06,2.3917e-06
78.0670,9.4455e-07,1.4310e-06,2.5338e-06
79.0610,9.4864e-07,1.4324e-06,1.9257e-06
80.0560,9.3338e-07,1.4669e-06,1.7936e-06
81.0500,9.8374e-07,1.5505e-06,2.1341e-06
82.0440,1.1518e-06,1.7638e-06,1.8974e-06
83.0390,1.2423e-06,1.8810e-06,1.9297e-06
84.0330,8.6100e-07,1.7137e-06,1.5424e-06
85.0280,9.4667e-07,1.4600e-06,1.3708e-06
86.0220,1.0116e-06,1.3430e-06,1.0796e-06
87.0170,9.0229e-07,1.3318e-06,1.1566e-06
88.0110,9.2769e-07,1.4376e-06,1.2440e-06
89.0060,1.0188e-06,1.6105e-06,1.3452e-06
