# Bounce and drift averaged energy diffusion coefficients in s^(-1) in figure 15l for E = 1000.0 keV, L* = 5.5, Kp = 5
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,1.8532e-13,6.8993e-11,1.9672e-11
1.4940,1.7106e-12,6.2401e-10,1.7707e-10
2.4890,5.0224e-12,1.7374e-09,4.9488e-10
3.4830,1.0650e-11,3.4451e-09,9.7678e-10
4.4780,1.9444e-11,5.7371e-09,1.6265e-09
5.4720,3.2673e-11,8.6766e-09,2.4479e-09
6.4670,5.2199e-11,1.2233e-08,3.4447e-09
7.4610,8.0762e-11,1.6496e-08,4.6207e-09
8.4560,1.2228e-10,2.1406e-08,5.9793e-09
9.4500,1.8076e-10,2.7072e-08,7.5238e-09
10.4440,2.6158e-10,3.3459e-08,9.2573e-09
11.4390,3.7219e-10,4.0512e-08,1.1184e-08
12.4330,5.2290e-10,4.8361e-08,1.3309e-08
13.4280,7.2903e-10,5.6854e-08,1.5619e-08
14.4220,1.0154e-09,6.6121e-08,1.8119e-08
15.4170,1.4262e-09,7.5956e-08,2.0923e-08
16.4110,2.0510e-09,8.6630e-08,2.3909e-08
17.4060,2.9917e-09,9.8357e-08,2.7034e-08
18.4000,4.3193e-09,1.1151e-07,3.0479e-08
19.3940,6.2017e-09,1.2477e-07,3.4219e-08
20.3890,8.9108e-09,1.3717e-07,3.8023e-08
21.3830,1.2819e-08,1.4953e-07,4.1947e-08
22.3780,1.8387e-08,1.6141e-07,4.6032e-08
23.3720,2.5968e-08,1.7270e-07,5.0285e-08
24.3670,3.5227e-08,1.8289e-07,5.4782e-08
25.3610,4.5328e-08,1.9435e-07,5.9464e-08
26.3560,4.8075e-08,2.0782e-07,6.4226e-08
27.3500,4.9538e-08,2.2199e-07,6.9214e-08
28.3440,5.1141e-08,2.3560e-07,7.4489e-08
29.3390,5.3083e-08,2.4822e-07,7.9959e-08
30.3330,5.6489e-08,2.5946e-07,8.6271e-08
31.3280,6.2826e-08,2.6862e-07,9.1781e-08
32.3220,7.3263e-08,2.7309e-07,9.7255e-08
33.3170,8.4218e-08,2.7378e-07,1.0324e-07
34.3110,7.7039e-08,2.7536e-07,1.1036e-07
35.3060,7.7339e-08,2.8336e-07,1.1731e-07
36.3000,7.8599e-08,2.9202e-07,1.2551e-07
37.2940,7.9439e-08,3.0099e-07,1.3468e-07
38.2890,8.0269e-08,3.1034e-07,1.4375e-07
39.2830,8.1682e-08,3.2091e-07,1.5195e-07
40.2780,8.7772e-08,3.3377e-07,1.5969e-07
41.2720,1.0101e-07,3.5002e-07,1.6943e-07
42.2670,1.2535e-07,3.7410e-07,1.8488e-07
43.2610,1.5860e-07,4.1031e-07,2.0775e-07
44.2560,1.6227e-07,4.2691e-07,2.1488e-07
45.2500,1.6282e-07,4.3163e-07,2.1694e-07
46.2440,1.6449e-07,4.3767e-07,2.2026e-07
47.2390,1.6745e-07,4.4530e-07,2.2708e-07
48.2330,1.7169e-07,4.5442e-07,2.4502e-07
49.2280,1.7685e-07,4.6565e-07,2.4920e-07
50.2220,1.8133e-07,4.8121e-07,2.5328e-07
51.2170,1.8624e-07,5.0227e-07,2.6037e-07
52.2110,2.0290e-07,5.3601e-07,2.7296e-07
53.2060,2.3385e-07,6.2404e-07,2.9097e-07
54.2000,2.6534e-07,6.8088e-07,3.1902e-07
55.1940,2.7152e-07,6.8765e-07,3.3351e-07
56.1890,2.7838e-07,6.9631e-07,3.5455e-07
57.1830,2.8725e-07,7.0703e-07,3.8852e-07
58.1780,3.0008e-07,7.2040e-07,4.5044e-07
59.1720,3.1744e-07,7.3815e-07,5.1620e-07
60.1670,3.3901e-07,7.6223e-07,5.4831e-07
61.1610,3.5521e-07,7.9296e-07,5.7215e-07
62.1560,3.6914e-07,8.2599e-07,6.0877e-07
63.1500,3.9223e-07,8.6100e-07,6.5371e-07
64.1440,4.3605e-07,8.8697e-07,7.2777e-07
65.1390,5.5321e-07,9.9356e-07,8.1465e-07
66.1330,5.6174e-07,1.0219e-06,9.6617e-07
67.1280,5.7351e-07,1.0469e-06,1.1191e-06
68.1220,5.8626e-07,1.0744e-06,1.2636e-06
69.1170,5.9333e-07,1.1046e-06,1.3580e-06
70.1110,5.9533e-07,1.1417e-06,1.7340e-06
71.1060,5.9421e-07,1.1874e-06,1.9772e-06
72.1000,6.0634e-07,1.2427e-06,2.0085e-06
73.0940,6.3381e-07,1.3011e-06,2.0428e-06
74.0890,6.6559e-07,1.3596e-06,2.3050e-06
75.0830,7.0132e-07,1.4178e-06,2.5144e-06
76.0780,7.1987e-07,1.5026e-06,2.3448e-06
77.0720,6.8970e-07,1.6310e-06,2.3917e-06
78.0670,7.1134e-07,1.6807e-06,2.5338e-06
79.0610,7.0352e-07,1.6603e-06,1.9257e-06
80.0560,7.0289e-07,1.6640e-06,1.7936e-06
81.0500,7.2013e-07,1.7141e-06,2.1341e-06
82.0440,7.4817e-07,1.8167e-06,1.8974e-06
83.0390,7.7853e-07,2.0624e-06,1.9297e-06
84.0330,9.5997e-07,2.2239e-06,1.5424e-06
85.0280,9.3707e-07,1.9529e-06,1.3708e-06
86.0220,7.3068e-07,1.6024e-06,1.0796e-06
87.0170,7.0471e-07,1.4147e-06,1.1566e-06
88.0110,5.0410e-07,1.4903e-06,1.2440e-06
89.0060,5.1607e-07,1.6736e-06,1.3452e-06
