# Bounce and drift averaged energy diffusion coefficients in s^(-1) in figure 15m for E = 500.0 keV, L* = 3.0, Kp = 5
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,7.3335e-12,8.2608e-22,1.4142e-10
1.4940,6.6197e-11,2.4837e-21,6.8902e-10
2.4890,1.8606e-10,4.1420e-21,1.5496e-09
3.4830,3.7036e-10,5.8279e-21,2.7604e-09
4.4780,6.2373e-10,7.5130e-21,4.6905e-09
5.4720,9.5201e-10,9.2279e-21,7.2428e-09
6.4670,1.3624e-09,1.0942e-20,9.9276e-09
7.4610,1.8636e-09,1.2687e-20,1.2928e-08
8.4560,2.4659e-09,1.4431e-20,1.6323e-08
9.4500,3.1814e-09,1.6207e-20,2.0212e-08
10.4440,4.0240e-09,1.7997e-20,2.4656e-08
11.4390,5.0099e-09,1.9787e-20,2.9685e-08
12.4330,6.1578e-09,2.1607e-20,3.5334e-08
13.4280,7.4893e-09,2.3424e-20,4.1642e-08
14.4220,9.0300e-09,2.5270e-20,4.8651e-08
15.4170,1.0809e-08,2.7110e-20,5.6397e-08
16.4110,1.2859e-08,2.8973e-20,6.4943e-08
17.4060,1.5220e-08,3.0823e-20,7.4479e-08
18.4000,1.7930e-08,3.2687e-20,8.4789e-08
19.3940,2.1035e-08,3.4540e-20,9.6808e-08
20.3890,2.4581e-08,3.6354e-20,1.0918e-07
21.3830,2.8619e-08,3.8148e-20,1.2238e-07
22.3780,3.3208e-08,3.9876e-20,1.3658e-07
23.3720,3.8389e-08,4.1574e-20,1.5162e-07
24.3670,4.4195e-08,4.3220e-20,1.6813e-07
25.3610,5.0657e-08,4.4833e-20,1.8596e-07
26.3560,5.7770e-08,4.6369e-20,2.0503e-07
27.3500,6.5509e-08,4.7837e-20,2.2585e-07
28.3440,7.3836e-08,4.9188e-20,2.4884e-07
29.3390,8.2753e-08,5.0382e-20,2.7382e-07
30.3330,9.2338e-08,5.1538e-20,3.0207e-07
31.3280,1.0317e-07,5.2934e-20,3.2904e-07
32.3220,1.1590e-07,5.4848e-20,3.5762e-07
33.3170,1.3076e-07,5.6808e-20,3.8898e-07
34.3110,1.4640e-07,5.8045e-20,4.2201e-07
35.3060,1.6391e-07,5.9072e-20,4.5850e-07
36.3000,1.8336e-07,6.0009e-20,4.9534e-07
37.2940,2.0460e-07,6.0897e-20,5.3410e-07
38.2890,2.2880e-07,6.1819e-20,5.7562e-07
39.2830,2.5463e-07,6.2923e-20,6.1671e-07
40.2780,2.7601e-07,6.4304e-20,6.6331e-07
41.2720,2.8955e-07,6.5663e-20,7.1326e-07
42.2670,2.9671e-07,6.6424e-20,7.6666e-07
43.2610,3.0290e-07,6.8997e-20,8.2271e-07
44.2560,3.0456e-07,7.0899e-20,8.8337e-07
45.2500,3.0403e-07,7.2731e-20,9.4721e-07
46.2440,3.0118e-07,7.4675e-20,1.0155e-06
47.2390,2.9557e-07,7.6727e-20,1.0883e-06
48.2330,2.8456e-07,7.9118e-20,1.1655e-06
49.2280,2.6359e-07,8.1975e-20,1.2529e-06
50.2220,2.3830e-07,8.5123e-20,1.3499e-06
51.2170,2.1374e-07,8.9271e-20,1.4449e-06
52.2110,1.8537e-07,9.8034e-20,1.5415e-06
53.2060,1.4604e-07,1.0571e-19,1.6425e-06
54.2000,1.2570e-07,1.0918e-19,1.7444e-06
55.1940,1.2689e-07,1.0924e-19,1.8526e-06
56.1890,1.2800e-07,1.0924e-19,1.9579e-06
57.1830,1.2899e-07,1.0914e-19,2.0648e-06
58.1780,1.3009e-07,1.0896e-19,2.1755e-06
59.1720,1.3216e-07,1.0874e-19,2.2600e-06
60.1670,1.3650e-07,1.0839e-19,2.3435e-06
61.1610,1.4369e-07,1.1169e-19,2.4373e-06
62.1560,1.4772e-07,1.1344e-19,2.5382e-06
63.1500,1.4842e-07,1.0942e-19,2.6371e-06
64.1440,1.5233e-07,1.0787e-19,2.7317e-06
65.1390,1.6901e-07,1.2040e-19,2.8455e-06
66.1330,1.8200e-07,1.2296e-19,2.9321e-06
67.1280,1.8619e-07,1.2258e-19,3.0231e-06
68.1220,1.8960e-07,1.2238e-19,3.1305e-06
69.1170,1.9238e-07,1.2247e-19,3.2604e-06
70.1110,1.9588e-07,1.2347e-19,3.4227e-06
71.1060,2.1586e-07,1.2186e-19,3.6376e-06
72.1000,2.2675e-07,1.1959e-19,3.7925e-06
73.0940,2.4622e-07,1.2098e-19,3.9494e-06
74.0890,2.5881e-07,1.2251e-19,4.1080e-06
75.0830,2.8528e-07,1.2258e-19,4.2203e-06
76.0780,2.6315e-07,1.2121e-19,4.3224e-06
77.0720,2.3446e-07,1.1780e-19,4.4144e-06
78.0670,2.4541e-07,1.1824e-19,4.4197e-06
79.0610,2.5419e-07,1.0373e-19,4.3332e-06
80.0560,2.5807e-07,1.0023e-19,4.1890e-06
81.0500,2.5979e-07,9.7345e-20,3.9862e-06
82.0440,2.5964e-07,9.9070e-20,3.7661e-06
83.0390,2.5854e-07,1.0236e-19,3.5626e-06
84.0330,2.7443e-07,1.0690e-19,3.4783e-06
85.0280,2.8182e-07,1.1310e-19,3.3690e-06
86.0220,3.4863e-07,1.2318e-19,3.2604e-06
87.0170,3.9038e-07,1.3557e-19,2.6166e-06
88.0110,3.4543e-07,1.4974e-19,1.3333e-06
89.0060,2.2158e-07,1.6018e-19,1.0633e-06
