# Bounce and drift averaged energy diffusion coefficients in s^(-1) in figure 15o for E = 500.0 keV, L* = 4.0, Kp = 5
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,1.2390e-11,1.2390e-10,1.8655e-10
1.4940,1.1224e-10,1.1202e-09,1.6415e-09
2.4890,3.1772e-10,3.1171e-09,4.5838e-09
3.4830,6.3911e-10,6.1754e-09,9.0603e-09
4.4780,1.0912e-09,1.0273e-08,1.5125e-08
5.4720,1.6935e-09,1.5518e-08,2.2849e-08
6.4670,2.4714e-09,2.1852e-08,3.2304e-08
7.4610,3.4561e-09,2.9435e-08,4.3546e-08
8.4560,4.6862e-09,3.8168e-08,5.6639e-08
9.4500,6.2089e-09,4.8267e-08,7.1710e-08
10.4440,8.0811e-09,5.9704e-08,8.8827e-08
11.4390,1.0371e-08,7.2458e-08,1.0809e-07
12.4330,1.3160e-08,8.6778e-08,1.2965e-07
13.4280,1.6544e-08,1.0247e-07,1.5362e-07
14.4220,2.0637e-08,1.1986e-07,1.8014e-07
15.4170,2.5576e-08,1.3869e-07,2.0941e-07
16.4110,3.1523e-08,1.5945e-07,2.4139e-07
17.4060,3.8669e-08,1.8193e-07,2.7631e-07
18.4000,4.7236e-08,2.0657e-07,3.1427e-07
19.3940,5.7471e-08,2.3294e-07,3.5548e-07
20.3890,6.9635e-08,2.6089e-07,3.9989e-07
21.3830,8.3982e-08,2.9096e-07,4.4779e-07
22.3780,1.0072e-07,3.2228e-07,4.9933e-07
23.3720,1.1999e-07,3.5473e-07,5.5472e-07
24.3670,1.4185e-07,3.8728e-07,6.1382e-07
25.3610,1.6560e-07,4.2085e-07,6.7656e-07
26.3560,1.9061e-07,4.5484e-07,7.4308e-07
27.3500,2.1582e-07,4.8929e-07,8.1329e-07
28.3440,2.3995e-07,5.2251e-07,8.8658e-07
29.3390,2.6188e-07,5.5285e-07,9.6231e-07
30.3330,2.8087e-07,5.8070e-07,1.0398e-06
31.3280,2.9760e-07,6.0965e-07,1.1175e-06
32.3220,3.1832e-07,6.4458e-07,1.1945e-06
33.3170,3.5379e-07,6.8213e-07,1.2707e-06
34.3110,3.7581e-07,7.1046e-07,1.3486e-06
35.3060,3.9804e-07,7.2656e-07,1.4244e-06
36.3000,4.1912e-07,7.3793e-07,1.5013e-06
37.2940,4.3916e-07,7.4437e-07,1.5707e-06
38.2890,4.5751e-07,7.4589e-07,1.6241e-06
39.2830,4.7137e-07,7.4235e-07,1.6655e-06
40.2780,4.7573e-07,7.3239e-07,1.7012e-06
41.2720,4.6683e-07,7.0418e-07,1.7516e-06
42.2670,4.4121e-07,6.8273e-07,1.8084e-06
43.2610,4.6512e-07,6.9413e-07,1.8612e-06
44.2560,4.7578e-07,7.1771e-07,1.8574e-06
45.2500,4.8659e-07,7.4280e-07,1.8401e-06
46.2440,4.9838e-07,7.7061e-07,1.8160e-06
47.2390,5.1149e-07,8.0209e-07,1.7812e-06
48.2330,5.2242e-07,8.4024e-07,1.7569e-06
49.2280,5.3265e-07,8.8608e-07,1.7061e-06
50.2220,5.4065e-07,9.4106e-07,1.6799e-06
51.2170,5.4864e-07,1.0356e-06,1.6679e-06
52.2110,5.5585e-07,1.1471e-06,1.6836e-06
53.2060,5.6464e-07,1.2146e-06,1.7514e-06
54.2000,5.9330e-07,1.2734e-06,1.9083e-06
55.1940,6.1017e-07,1.2929e-06,1.9535e-06
56.1890,6.2798e-07,1.3135e-06,2.0061e-06
57.1830,6.4864e-07,1.3354e-06,2.0604e-06
58.1780,6.7119e-07,1.3588e-06,2.1393e-06
59.1720,6.9483e-07,1.3845e-06,2.3035e-06
60.1670,7.2312e-07,1.4137e-06,2.4235e-06
61.1610,7.6089e-07,1.4485e-06,2.5783e-06
62.1560,8.2693e-07,1.5163e-06,2.7466e-06
63.1500,1.0224e-06,1.6507e-06,2.8883e-06
64.1440,1.1454e-06,1.7916e-06,3.0900e-06
65.1390,1.2135e-06,1.9780e-06,3.2967e-06
66.1330,1.2203e-06,2.0064e-06,3.6100e-06
67.1280,1.2227e-06,2.0173e-06,3.9604e-06
68.1220,1.2242e-06,2.0286e-06,4.6512e-06
69.1170,1.2224e-06,2.0361e-06,5.6304e-06
70.1110,1.2236e-06,2.0380e-06,6.5558e-06
71.1060,1.2222e-06,2.0354e-06,7.2471e-06
72.1000,1.2251e-06,2.0286e-06,7.2368e-06
73.0940,1.1868e-06,1.9318e-06,6.8913e-06
74.0890,1.0987e-06,1.8705e-06,6.3546e-06
75.0830,1.0095e-06,1.8555e-06,5.4166e-06
76.0780,9.3005e-07,1.8186e-06,4.6594e-06
77.0720,8.8995e-07,1.7810e-06,4.1178e-06
78.0670,1.0231e-06,1.9772e-06,4.2109e-06
79.0610,1.2389e-06,2.2170e-06,4.8437e-06
80.0560,1.0340e-06,1.9815e-06,5.9074e-06
81.0500,8.9315e-07,1.9137e-06,6.6374e-06
82.0440,8.5712e-07,1.5772e-06,6.2951e-06
83.0390,7.8787e-07,1.4203e-06,6.0852e-06
84.0330,7.5790e-07,1.4556e-06,5.5423e-06
85.0280,7.4173e-07,1.5326e-06,5.2017e-06
86.0220,7.6648e-07,1.6377e-06,3.4082e-06
87.0170,8.8189e-07,1.8535e-06,2.2415e-06
88.0110,1.1343e-06,2.2021e-06,1.4758e-06
89.0060,9.5642e-07,2.4522e-06,1.1617e-06
