# Bounce and drift averaged energy diffusion coefficients in s^(-1) in figure 15p for E = 500.0 keV, L* = 4.5, Kp = 5
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,4.2921e-11,1.3339e-10,6.3032e-11
1.4940,3.8796e-10,1.2055e-09,5.6684e-10
2.4890,1.0934e-09,3.3512e-09,1.5835e-09
3.4830,2.1851e-09,6.6296e-09,3.1237e-09
4.4780,3.6993e-09,1.1008e-08,5.1980e-09
5.4720,5.6827e-09,1.6589e-08,7.8178e-09
6.4670,8.1940e-09,2.3295e-08,1.0994e-08
7.4610,1.1305e-08,3.1277e-08,1.4738e-08
8.4560,1.5108e-08,4.0412e-08,1.9054e-08
9.4500,1.9698e-08,5.0902e-08,2.3958e-08
10.4440,2.5191e-08,6.2696e-08,2.9461e-08
11.4390,3.1728e-08,7.5755e-08,3.5582e-08
12.4330,3.9507e-08,9.0321e-08,4.2351e-08
13.4280,4.8637e-08,1.0617e-07,4.9767e-08
14.4220,5.9346e-08,1.2361e-07,5.7878e-08
15.4170,7.1878e-08,1.4236e-07,6.6843e-08
16.4110,8.6488e-08,1.6302e-07,7.6485e-08
17.4060,1.0346e-07,1.8563e-07,8.6909e-08
18.4000,1.2311e-07,2.1083e-07,9.8157e-08
19.3940,1.4579e-07,2.3783e-07,1.1041e-07
20.3890,1.7191e-07,2.6659e-07,1.2336e-07
21.3830,2.0194e-07,2.9825e-07,1.3721e-07
22.3780,2.3634e-07,3.3200e-07,1.5205e-07
23.3720,2.7541e-07,3.6767e-07,1.6798e-07
24.3670,3.1906e-07,4.0355e-07,1.8526e-07
25.3610,3.6745e-07,4.4012e-07,2.0370e-07
26.3560,4.1989e-07,4.7911e-07,2.2363e-07
27.3500,4.7568e-07,5.2123e-07,2.4581e-07
28.3440,5.3378e-07,5.6355e-07,2.7034e-07
29.3390,5.9260e-07,6.0420e-07,2.9708e-07
30.3330,6.5026e-07,6.4273e-07,3.2567e-07
31.3280,7.0783e-07,6.7836e-07,3.5507e-07
32.3220,7.7958e-07,7.1466e-07,3.8599e-07
33.3170,8.3789e-07,7.6629e-07,4.1797e-07
34.3110,8.9287e-07,8.2237e-07,4.5301e-07
35.3060,9.4193e-07,8.4680e-07,4.9133e-07
36.3000,9.8985e-07,8.6871e-07,5.3593e-07
37.2940,1.0354e-06,8.8871e-07,5.8619e-07
38.2890,1.0750e-06,9.0660e-07,6.3610e-07
39.2830,1.1039e-06,9.2083e-07,6.8304e-07
40.2780,1.1139e-06,9.2914e-07,7.3295e-07
41.2720,1.0849e-06,9.2787e-07,7.8792e-07
42.2670,1.0618e-06,9.1073e-07,8.6001e-07
43.2610,1.0597e-06,8.8516e-07,9.4768e-07
44.2560,1.0894e-06,9.1230e-07,1.0020e-06
45.2500,1.1182e-06,9.4593e-07,1.0556e-06
46.2440,1.1387e-06,9.8214e-07,1.1093e-06
47.2390,1.1522e-06,1.0210e-06,1.1640e-06
48.2330,1.1614e-06,1.0645e-06,1.2259e-06
49.2280,1.1676e-06,1.1134e-06,1.3322e-06
50.2220,1.1708e-06,1.1684e-06,1.3716e-06
51.2170,1.1672e-06,1.2306e-06,1.4255e-06
52.2110,1.1439e-06,1.3198e-06,1.4930e-06
53.2060,1.1695e-06,1.4207e-06,1.5879e-06
54.2000,1.2329e-06,1.4860e-06,1.6248e-06
55.1940,1.2655e-06,1.5318e-06,1.7884e-06
56.1890,1.3011e-06,1.5828e-06,2.0009e-06
57.1830,1.3414e-06,1.6398e-06,2.2957e-06
58.1780,1.3814e-06,1.7017e-06,2.6943e-06
59.1720,1.4237e-06,1.7701e-06,3.2189e-06
60.1670,1.4717e-06,1.8457e-06,3.8771e-06
61.1610,1.5259e-06,1.9355e-06,4.7878e-06
62.1560,1.5914e-06,2.0483e-06,6.3979e-06
63.1500,1.6964e-06,2.2431e-06,7.6333e-06
64.1440,2.0197e-06,2.6554e-06,8.6771e-06
65.1390,2.2119e-06,2.9242e-06,8.8558e-06
66.1330,2.1918e-06,2.9850e-06,8.6518e-06
67.1280,2.1895e-06,3.0378e-06,8.0942e-06
68.1220,2.1893e-06,3.0929e-06,7.4256e-06
69.1170,2.1839e-06,3.1408e-06,7.0912e-06
70.1110,2.1800e-06,3.1746e-06,6.7029e-06
71.1060,2.1629e-06,3.1954e-06,6.9685e-06
72.1000,2.1219e-06,3.2044e-06,6.5459e-06
73.0940,2.0752e-06,3.2115e-06,5.9929e-06
74.0890,1.9521e-06,3.2646e-06,5.4891e-06
75.0830,1.6231e-06,3.4631e-06,4.5750e-06
76.0780,1.3516e-06,3.5476e-06,3.8496e-06
77.0720,1.1979e-06,3.7705e-06,3.0643e-06
78.0670,1.2282e-06,4.1652e-06,2.8902e-06
79.0610,1.2775e-06,4.4432e-06,2.9534e-06
80.0560,1.3670e-06,4.9556e-06,3.3215e-06
81.0500,1.4842e-06,5.5143e-06,3.6655e-06
82.0440,1.6486e-06,5.1230e-06,4.0473e-06
83.0390,1.1225e-06,3.8421e-06,4.6814e-06
84.0330,1.1863e-06,3.3269e-06,4.8073e-06
85.0280,1.1611e-06,3.1953e-06,4.5812e-06
86.0220,1.0010e-06,3.0338e-06,4.1134e-06
87.0170,8.8439e-07,2.9326e-06,3.1911e-06
88.0110,1.0236e-06,3.0271e-06,1.6590e-06
89.0060,8.9280e-07,3.1641e-06,1.4118e-06
