# Bounce and drift averaged energy diffusion coefficients in s^(-1) in figure 15q for E = 500.0 keV, L* = 5.0, Kp = 5
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,1.1495e-11,1.1619e-10,4.0366e-11
1.4940,1.0412e-10,1.0499e-09,3.6325e-10
2.4890,2.9466e-10,2.9181e-09,1.0155e-09
3.4830,5.9253e-10,5.7709e-09,2.0052e-09
4.4780,1.0111e-09,9.5780e-09,3.3412e-09
5.4720,1.5683e-09,1.4426e-08,5.0331e-09
6.4670,2.2867e-09,2.0245e-08,7.0908e-09
7.4610,3.1943e-09,2.7161e-08,9.5254e-09
8.4560,4.3251e-09,3.5063e-08,1.2350e-08
9.4500,5.7200e-09,4.4120e-08,1.5576e-08
10.4440,7.4278e-09,5.4278e-08,1.9218e-08
11.4390,9.5066e-09,6.5461e-08,2.3297e-08
12.4330,1.2025e-08,7.7893e-08,2.7834e-08
13.4280,1.5063e-08,9.1372e-08,3.2837e-08
14.4220,1.8717e-08,1.0617e-07,3.8337e-08
15.4170,2.3096e-08,1.2196e-07,4.4502e-08
16.4110,2.8330e-08,1.3924e-07,5.1139e-08
17.4060,3.4578e-08,1.5815e-07,5.8300e-08
18.4000,4.2014e-08,1.7950e-07,6.6114e-08
19.3940,5.0852e-08,2.0217e-07,7.4610e-08
20.3890,6.1336e-08,2.2564e-07,8.3624e-08
21.3830,7.3733e-08,2.5112e-07,9.3317e-08
22.3780,8.8340e-08,2.7824e-07,1.0368e-07
23.3720,1.0552e-07,3.0681e-07,1.1483e-07
24.3670,1.2550e-07,3.3570e-07,1.2676e-07
25.3610,1.4845e-07,3.6732e-07,1.3944e-07
26.3560,1.7456e-07,3.9922e-07,1.5292e-07
27.3500,2.0422e-07,4.3430e-07,1.6747e-07
28.3440,2.3624e-07,4.6975e-07,1.8325e-07
29.3390,2.6930e-07,5.0439e-07,2.0017e-07
30.3330,3.0244e-07,5.3827e-07,2.1932e-07
31.3280,3.3606e-07,5.6861e-07,2.3845e-07
32.3220,3.7624e-07,5.9373e-07,2.5879e-07
33.3170,4.2945e-07,6.2459e-07,2.8045e-07
34.3110,4.7625e-07,6.7293e-07,3.0348e-07
35.3060,5.2616e-07,7.0525e-07,3.2717e-07
36.3000,5.8250e-07,7.3796e-07,3.5322e-07
37.2940,6.4388e-07,7.7114e-07,3.8250e-07
38.2890,7.0724e-07,8.0378e-07,4.1693e-07
39.2830,7.6586e-07,8.3323e-07,4.5252e-07
40.2780,8.0924e-07,8.5594e-07,4.8712e-07
41.2720,8.2512e-07,8.7171e-07,5.1834e-07
42.2670,8.2720e-07,8.6986e-07,5.4913e-07
43.2610,8.7874e-07,8.6817e-07,5.9954e-07
44.2560,9.2234e-07,9.0755e-07,6.3849e-07
45.2500,9.6820e-07,9.4640e-07,6.7743e-07
46.2440,1.0210e-06,9.9024e-07,7.2214e-07
47.2390,1.0769e-06,1.0398e-06,7.6958e-07
48.2330,1.1352e-06,1.0975e-06,8.2491e-07
49.2280,1.1947e-06,1.1635e-06,8.6689e-07
50.2220,1.2553e-06,1.2407e-06,9.2082e-07
51.2170,1.3146e-06,1.3274e-06,9.8838e-07
52.2110,1.3897e-06,1.4302e-06,1.0853e-06
53.2060,1.5181e-06,1.6184e-06,1.1997e-06
54.2000,1.6412e-06,1.7108e-06,1.2906e-06
55.1940,1.7440e-06,1.7749e-06,1.3839e-06
56.1890,1.8587e-06,1.8474e-06,1.4932e-06
57.1830,1.9861e-06,1.9299e-06,1.6404e-06
58.1780,2.1262e-06,2.0217e-06,1.8156e-06
59.1720,2.2757e-06,2.1242e-06,1.9810e-06
60.1670,2.4428e-06,2.2358e-06,2.0833e-06
61.1610,2.6373e-06,2.3619e-06,2.1811e-06
62.1560,2.8818e-06,2.5083e-06,2.2593e-06
63.1500,3.2413e-06,2.6967e-06,2.3230e-06
64.1440,4.3416e-06,3.1936e-06,2.3916e-06
65.1390,4.7960e-06,3.6137e-06,2.5307e-06
66.1330,4.8030e-06,3.7013e-06,2.7100e-06
67.1280,4.8214e-06,3.7883e-06,3.0137e-06
68.1220,4.8394e-06,3.8808e-06,3.4641e-06
69.1170,4.8456e-06,3.9712e-06,4.3041e-06
70.1110,4.8229e-06,4.0491e-06,5.8178e-06
71.1060,4.7927e-06,4.1101e-06,6.3654e-06
72.1000,4.7742e-06,4.1540e-06,6.4187e-06
73.0940,4.7395e-06,4.1857e-06,6.6870e-06
74.0890,4.6630e-06,4.2110e-06,7.9148e-06
75.0830,4.1156e-06,4.4418e-06,7.5025e-06
76.0780,3.2749e-06,4.6994e-06,7.6540e-06
77.0720,3.2983e-06,5.1010e-06,8.9166e-06
78.0670,3.4362e-06,5.3706e-06,7.7980e-06
79.0610,3.5966e-06,5.5606e-06,7.6453e-06
80.0560,3.8688e-06,5.9057e-06,8.2582e-06
81.0500,4.2278e-06,6.7721e-06,7.9582e-06
82.0440,4.6244e-06,7.6638e-06,7.3851e-06
83.0390,3.5769e-06,7.0397e-06,7.7394e-06
84.0330,3.1760e-06,5.6634e-06,6.7764e-06
85.0280,3.2061e-06,4.7773e-06,5.1447e-06
86.0220,2.7329e-06,3.7810e-06,5.0314e-06
87.0170,1.3167e-06,2.9677e-06,4.2854e-06
88.0110,1.1095e-06,2.4738e-06,3.3033e-06
89.0060,8.0781e-07,2.2118e-06,1.7593e-06
