# Bounce and drift averaged energy diffusion coefficients in s^(-1) in figure 15r for E = 500.0 keV, L* = 5.5, Kp = 5
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,1.1590e-11,1.3644e-10,4.0366e-11
1.4940,1.0502e-10,1.2329e-09,3.6325e-10
2.4890,2.9745e-10,3.4266e-09,1.0155e-09
3.4830,5.9887e-10,6.7767e-09,2.0052e-09
4.4780,1.0238e-09,1.1247e-08,3.3412e-09
5.4720,1.5916e-09,1.6940e-08,5.0331e-09
6.4670,2.3276e-09,2.3771e-08,7.0908e-09
7.4610,3.2635e-09,3.1886e-08,9.5254e-09
8.4560,4.4385e-09,4.1152e-08,1.2350e-08
9.4500,5.9003e-09,5.1760e-08,1.5576e-08
10.4440,7.7068e-09,6.3638e-08,1.9218e-08
11.4390,9.9271e-09,7.6685e-08,2.3297e-08
12.4330,1.2644e-08,9.1143e-08,2.7834e-08
13.4280,1.5954e-08,1.0677e-07,3.2837e-08
14.4220,1.9973e-08,1.2382e-07,3.8337e-08
15.4170,2.4813e-08,1.4192e-07,4.4502e-08
16.4110,3.0579e-08,1.6163e-07,5.1139e-08
17.4060,3.7354e-08,1.8306e-07,5.8300e-08
18.4000,4.5210e-08,2.0695e-07,6.6114e-08
19.3940,5.4102e-08,2.3181e-07,7.4610e-08
20.3890,6.3932e-08,2.5702e-07,8.3624e-08
21.3830,7.4483e-08,2.8376e-07,9.3317e-08
22.3780,8.5453e-08,3.1182e-07,1.0368e-07
23.3720,9.6563e-08,3.4103e-07,1.1483e-07
24.3670,1.0841e-07,3.6944e-07,1.2676e-07
25.3610,1.2412e-07,4.0062e-07,1.3944e-07
26.3560,1.3864e-07,4.3073e-07,1.5292e-07
27.3500,1.5370e-07,4.6181e-07,1.6747e-07
28.3440,1.7020e-07,4.9261e-07,1.8325e-07
29.3390,1.8742e-07,5.2251e-07,2.0017e-07
30.3330,2.0330e-07,5.5146e-07,2.1932e-07
31.3280,2.1542e-07,5.7711e-07,2.3845e-07
32.3220,2.1858e-07,5.9831e-07,2.5879e-07
33.3170,2.0866e-07,6.1983e-07,2.8045e-07
34.3110,2.1380e-07,6.6870e-07,3.0348e-07
35.3060,2.2941e-07,7.1347e-07,3.2717e-07
36.3000,2.4824e-07,7.6206e-07,3.5322e-07
37.2940,2.7224e-07,8.1413e-07,3.8250e-07
38.2890,3.0341e-07,8.6864e-07,4.1693e-07
39.2830,3.4082e-07,9.2662e-07,4.5252e-07
40.2780,3.8210e-07,9.8464e-07,4.8712e-07
41.2720,4.1551e-07,1.0358e-06,5.1834e-07
42.2670,4.3132e-07,1.0863e-06,5.4913e-07
43.2610,4.9629e-07,1.1554e-06,5.9954e-07
44.2560,5.2217e-07,1.2160e-06,6.3849e-07
45.2500,5.3673e-07,1.2672e-06,6.7743e-07
46.2440,5.5293e-07,1.3254e-06,7.2214e-07
47.2390,5.7423e-07,1.3917e-06,7.6958e-07
48.2330,6.0517e-07,1.4696e-06,8.2491e-07
49.2280,6.4375e-07,1.5601e-06,8.6689e-07
50.2220,6.8835e-07,1.6664e-06,9.2082e-07
51.2170,7.4144e-07,1.7838e-06,9.8838e-07
52.2110,7.9681e-07,1.9270e-06,1.0853e-06
53.2060,8.7916e-07,2.1520e-06,1.1997e-06
54.2000,9.2786e-07,2.2340e-06,1.2906e-06
55.1940,9.6664e-07,2.2914e-06,1.3839e-06
56.1890,1.0092e-06,2.3552e-06,1.4932e-06
57.1830,1.0537e-06,2.4271e-06,1.6404e-06
58.1780,1.0965e-06,2.5066e-06,1.8156e-06
59.1720,1.1420e-06,2.5946e-06,1.9810e-06
60.1670,1.2224e-06,2.6870e-06,2.0833e-06
61.1610,1.3196e-06,2.7870e-06,2.1811e-06
62.1560,1.4243e-06,2.8951e-06,2.2593e-06
63.1500,1.5351e-06,3.0143e-06,2.3230e-06
64.1440,1.6284e-06,3.2130e-06,2.3916e-06
65.1390,1.8960e-06,3.6298e-06,2.5307e-06
66.1330,1.9236e-06,3.7388e-06,2.7100e-06
67.1280,1.9455e-06,3.8506e-06,3.0137e-06
68.1220,1.9668e-06,3.9729e-06,3.4641e-06
69.1170,2.0018e-06,4.1027e-06,4.3041e-06
70.1110,2.0554e-06,4.2299e-06,5.8178e-06
71.1060,2.1235e-06,4.3426e-06,6.3654e-06
72.1000,2.1643e-06,4.4396e-06,6.4187e-06
73.0940,2.1926e-06,4.5219e-06,6.6870e-06
74.0890,2.2152e-06,4.5952e-06,7.9148e-06
75.0830,2.2253e-06,4.7176e-06,7.5025e-06
76.0780,2.3159e-06,5.2102e-06,7.6540e-06
77.0720,2.4407e-06,5.8736e-06,8.9166e-06
78.0670,2.5163e-06,6.0889e-06,7.7980e-06
79.0610,2.5388e-06,6.2177e-06,7.6453e-06
80.0560,2.5875e-06,6.4743e-06,8.2582e-06
81.0500,2.6480e-06,6.9581e-06,7.9582e-06
82.0440,2.8192e-06,7.8361e-06,7.3851e-06
83.0390,3.2366e-06,8.6929e-06,7.7394e-06
84.0330,3.5280e-06,8.2051e-06,6.7764e-06
85.0280,2.7493e-06,6.3645e-06,5.1447e-06
86.0220,2.1097e-06,4.3976e-06,5.0314e-06
87.0170,1.4151e-06,3.0001e-06,4.2854e-06
88.0110,5.2572e-07,2.2085e-06,3.3033e-06
89.0060,3.9698e-07,1.6443e-06,1.7593e-06
