# Bounce and drift averaged energy diffusion coefficients in s^(-1) in figure 15s for E = 100.0 keV, L* = 3.0, Kp = 5
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,2.4554e-10,1.8418e-21,7.6545e-07
1.4940,1.0167e-09,4.8782e-21,7.8234e-07
2.4890,2.5696e-09,8.0331e-21,8.0966e-07
3.4830,4.9171e-09,1.1265e-20,8.4759e-07
4.4780,8.0688e-09,1.4507e-20,8.9511e-07
5.4720,1.2032e-08,1.7817e-20,9.4890e-07
6.4670,1.6814e-08,2.1134e-20,1.0090e-06
7.4610,2.2422e-08,2.4523e-20,1.0740e-06
8.4560,2.8844e-08,2.7924e-20,1.1435e-06
9.4500,3.6068e-08,3.1404e-20,1.2164e-06
10.4440,4.4061e-08,3.4932e-20,1.2924e-06
11.4390,5.2792e-08,3.8484e-20,1.3706e-06
12.4330,6.2219e-08,4.2127e-20,1.4616e-06
13.4280,7.2310e-08,4.5801e-20,1.5688e-06
14.4220,8.3006e-08,4.9579e-20,1.7014e-06
15.4170,9.4292e-08,5.3399e-20,1.8461e-06
16.4110,1.0614e-07,5.7341e-20,2.0124e-06
17.4060,1.1854e-07,6.1359e-20,2.1623e-06
18.4000,1.3139e-07,6.5496e-20,2.2401e-06
19.3940,1.4472e-07,6.9726e-20,2.3316e-06
20.3890,1.5849e-07,7.4028e-20,2.4448e-06
21.3830,1.7271e-07,7.8484e-20,2.5796e-06
22.3780,1.8716e-07,8.3042e-20,2.7168e-06
23.3720,2.0228e-07,8.7712e-20,2.8742e-06
24.3670,2.1812e-07,9.2427e-20,2.9553e-06
25.3610,2.3467e-07,9.7270e-20,3.0574e-06
26.3560,2.5195e-07,1.0212e-19,3.2712e-06
27.3500,2.8201e-07,1.0708e-19,3.4680e-06
28.3440,3.1401e-07,1.1215e-19,3.6456e-06
29.3390,3.4231e-07,1.1735e-19,3.8066e-06
30.3330,3.6700e-07,1.2279e-19,3.9885e-06
31.3280,3.8897e-07,1.2835e-19,4.1565e-06
32.3220,4.0898e-07,1.3402e-19,4.3181e-06
33.3170,4.2923e-07,1.3968e-19,4.2745e-06
34.3110,4.5210e-07,1.4551e-19,4.3966e-06
35.3060,4.7472e-07,1.5143e-19,4.5209e-06
36.3000,4.9943e-07,1.5758e-19,4.5730e-06
37.2940,5.2560e-07,1.6395e-19,4.8270e-06
38.2890,5.5292e-07,1.7050e-19,5.3463e-06
39.2830,5.8202e-07,1.7693e-19,4.7188e-06
40.2780,6.1153e-07,1.8322e-19,4.4068e-06
41.2720,6.3528e-07,1.8970e-19,4.4131e-06
42.2670,6.6839e-07,1.9626e-19,4.4065e-06
43.2610,7.0351e-07,2.0277e-19,4.4609e-06
44.2560,7.3852e-07,2.0912e-19,4.6862e-06
45.2500,7.7336e-07,2.1547e-19,4.8036e-06
46.2440,8.0782e-07,2.2165e-19,4.2263e-06
47.2390,8.4185e-07,2.2753e-19,4.1938e-06
48.2330,8.7701e-07,2.3365e-19,4.0941e-06
49.2280,9.1172e-07,2.4039e-19,4.0757e-06
50.2220,9.4451e-07,2.4739e-19,4.0688e-06
51.2170,9.7815e-07,2.5458e-19,4.0594e-06
52.2110,1.0056e-06,2.6277e-19,4.0540e-06
53.2060,1.0507e-06,2.7222e-19,3.9347e-06
54.2000,1.0889e-06,2.8294e-19,3.7990e-06
55.1940,1.1313e-06,2.9498e-19,3.5465e-06
56.1890,1.1784e-06,3.0863e-19,2.8227e-06
57.1830,1.2149e-06,3.2353e-19,2.5968e-06
58.1780,1.2566e-06,3.4029e-19,2.5085e-06
59.1720,1.3143e-06,3.5769e-19,2.3797e-06
60.1670,1.3852e-06,3.7443e-19,2.1708e-06
61.1610,1.4807e-06,3.9259e-19,1.7480e-06
62.1560,1.5950e-06,4.0960e-19,1.4773e-06
63.1500,1.6933e-06,4.2372e-19,9.3176e-07
64.1440,1.7360e-06,4.3223e-19,8.0966e-07
65.1390,1.7211e-06,4.3704e-19,7.3720e-07
66.1330,1.7092e-06,4.4029e-19,6.5322e-07
67.1280,1.6160e-06,4.4243e-19,4.6735e-07
68.1220,1.5365e-06,4.4369e-19,4.5396e-07
69.1170,1.5428e-06,4.4495e-19,4.4289e-07
70.1110,1.6003e-06,4.4159e-19,4.2591e-07
71.1060,1.7198e-06,4.3865e-19,4.0904e-07
72.1000,1.9329e-06,4.4289e-19,3.8061e-07
73.0940,2.1509e-06,4.2367e-19,3.5230e-07
74.0890,2.4381e-06,4.1221e-19,3.2129e-07
75.0830,2.8812e-06,3.9648e-19,2.8840e-07
76.0780,2.8941e-06,3.7433e-19,2.3410e-07
77.0720,2.8062e-06,3.5812e-19,1.9159e-07
78.0670,2.7539e-06,3.4845e-19,1.5567e-07
79.0610,2.4346e-06,3.3496e-19,1.2676e-07
80.0560,2.1225e-06,3.1371e-19,1.1640e-07
81.0500,1.7719e-06,2.8426e-19,1.0135e-07
82.0440,1.2466e-06,2.4749e-19,9.5012e-08
83.0390,8.0098e-07,2.0616e-19,9.7682e-08
84.0330,3.6270e-07,1.5903e-19,9.0776e-08
85.0280,1.4393e-07,1.1785e-19,8.9972e-08
86.0220,6.6156e-08,8.6686e-20,1.1525e-07
87.0170,1.6480e-08,6.9015e-20,1.9124e-07
88.0110,1.4696e-10,5.9073e-20,9.2621e-08
89.0060,1.0000e-31,7.1473e-20,1.6653e-12
