# Bounce and drift averaged energy diffusion coefficients in s^(-1) in figure 15t for E = 100.0 keV, L* = 3.5, Kp = 5
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,1.5351e-10,3.1066e-10,1.1134e-08
1.4940,1.3821e-09,1.1724e-09,1.6460e-08
2.4890,3.8646e-09,2.7175e-09,2.6295e-08
3.4830,7.6337e-09,5.0416e-09,4.0500e-08
4.4780,1.2725e-08,8.1390e-09,5.9283e-08
5.4720,1.9179e-08,1.2094e-08,8.2908e-08
6.4670,2.7038e-08,1.6862e-08,1.1171e-07
7.4610,3.6350e-08,2.2561e-08,1.4611e-07
8.4560,4.7171e-08,2.9115e-08,1.8650e-07
9.4500,5.9561e-08,3.6686e-08,2.3327e-07
10.4440,7.3588e-08,4.5251e-08,2.9190e-07
11.4390,8.9330e-08,5.4771e-08,3.5358e-07
12.4330,1.0688e-07,6.5464e-08,4.2183e-07
13.4280,1.2633e-07,7.7197e-08,4.9764e-07
14.4220,1.4781e-07,9.0250e-08,5.8192e-07
15.4170,1.7145e-07,1.0447e-07,6.7542e-07
16.4110,1.9741e-07,1.2021e-07,7.7979e-07
17.4060,2.2586e-07,1.3733e-07,8.9642e-07
18.4000,2.5701e-07,1.5617e-07,1.0250e-06
19.3940,2.9109e-07,1.7671e-07,1.1666e-06
20.3890,3.2837e-07,1.9888e-07,1.3195e-06
21.3830,3.6915e-07,2.2324e-07,1.4874e-06
22.3780,4.1378e-07,2.4951e-07,1.6717e-06
23.3720,4.6264e-07,2.7803e-07,1.8832e-06
24.3670,5.1619e-07,3.0831e-07,2.1196e-06
25.3610,5.7488e-07,3.4102e-07,2.3787e-06
26.3560,6.3929e-07,3.7537e-07,2.6635e-06
27.3500,7.0975e-07,4.1204e-07,2.9626e-06
28.3440,7.8664e-07,4.5121e-07,3.2857e-06
29.3390,8.7101e-07,4.9303e-07,3.6301e-06
30.3330,9.6346e-07,5.3867e-07,3.9931e-06
31.3280,1.0645e-06,5.8743e-07,4.3508e-06
32.3220,1.1752e-06,6.3941e-07,4.6948e-06
33.3170,1.2918e-06,6.9335e-07,5.0382e-06
34.3110,1.4164e-06,7.5094e-07,5.4146e-06
35.3060,1.5488e-06,8.1136e-07,5.7039e-06
36.3000,1.6882e-06,8.7600e-07,6.0209e-06
37.2940,1.8334e-06,9.4436e-07,6.3299e-06
38.2890,1.9830e-06,1.0156e-06,6.6725e-06
39.2830,2.1359e-06,1.0884e-06,7.0071e-06
40.2780,2.2938e-06,1.1623e-06,7.3390e-06
41.2720,2.4533e-06,1.2408e-06,7.6612e-06
42.2670,2.6066e-06,1.3228e-06,8.0089e-06
43.2610,2.7592e-06,1.4079e-06,8.3541e-06
44.2560,2.9107e-06,1.4931e-06,8.6428e-06
45.2500,3.0632e-06,1.5805e-06,8.9130e-06
46.2440,3.2186e-06,1.6695e-06,9.1267e-06
47.2390,3.3771e-06,1.7597e-06,9.3344e-06
48.2330,3.5380e-06,1.8568e-06,9.5316e-06
49.2280,3.6953e-06,1.9624e-06,9.7364e-06
50.2220,3.8721e-06,2.0746e-06,9.9026e-06
51.2170,4.1081e-06,2.1912e-06,1.0116e-05
52.2110,4.2946e-06,2.3219e-06,1.0324e-05
53.2060,4.4882e-06,2.4710e-06,1.0508e-05
54.2000,4.6869e-06,2.6401e-06,1.0747e-05
55.1940,4.8943e-06,2.8307e-06,1.1047e-05
56.1890,5.1205e-06,3.0479e-06,1.1898e-05
57.1830,5.4004e-06,3.2917e-06,1.3470e-05
58.1780,5.6912e-06,3.5696e-06,1.5301e-05
59.1720,6.0085e-06,3.8841e-06,1.5631e-05
60.1670,6.3180e-06,4.1838e-06,1.5657e-05
61.1610,6.5818e-06,4.4952e-06,1.5461e-05
62.1560,6.7212e-06,4.7772e-06,1.5018e-05
63.1500,6.9194e-06,5.0024e-06,1.4024e-05
64.1440,6.9899e-06,5.1297e-06,1.2495e-05
65.1390,6.9262e-06,5.1764e-06,1.2120e-05
66.1330,6.7721e-06,5.1943e-06,1.2364e-05
67.1280,6.6322e-06,5.1892e-06,1.2623e-05
68.1220,6.4502e-06,5.1383e-06,1.2875e-05
69.1170,6.1752e-06,5.0833e-06,1.3087e-05
70.1110,6.0563e-06,4.9778e-06,1.2865e-05
71.1060,5.3826e-06,4.9164e-06,1.2640e-05
72.1000,4.6672e-06,4.9759e-06,1.2498e-05
73.0940,4.1396e-06,4.7137e-06,1.2358e-05
74.0890,3.7432e-06,4.6387e-06,1.1651e-05
75.0830,3.4435e-06,4.3807e-06,1.1701e-05
76.0780,3.0779e-06,4.2229e-06,1.1798e-05
77.0720,2.9212e-06,4.0270e-06,1.1582e-05
78.0670,2.4666e-06,3.8920e-06,1.1923e-05
79.0610,2.1748e-06,3.7069e-06,1.2429e-05
80.0560,1.9368e-06,3.4109e-06,1.3237e-05
81.0500,1.7053e-06,2.9940e-06,1.3916e-05
82.0440,1.4329e-06,2.4733e-06,1.2099e-05
83.0390,1.1536e-06,1.8923e-06,5.7960e-06
84.0330,8.0969e-07,1.2987e-06,3.2909e-06
85.0280,3.4575e-07,8.3243e-07,2.8659e-06
86.0220,7.2978e-08,5.0764e-07,2.3210e-06
87.0170,4.0061e-09,3.1638e-07,1.6102e-06
88.0110,2.8973e-10,1.8665e-07,7.3763e-07
89.0060,1.9836e-15,1.4225e-07,1.8137e-07
