# Bounce and drift averaged energy diffusion coefficients in s^(-1) in figure 15u for E = 100.0 keV, L* = 4.0, Kp = 5
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,3.3011e-10,9.9850e-09,2.3019e-08
1.4940,2.9698e-09,1.5350e-08,3.1028e-08
2.4890,8.2987e-09,2.4341e-08,4.6869e-08
3.4830,1.6377e-08,3.6932e-08,7.0669e-08
4.4780,2.7267e-08,5.3066e-08,1.0262e-07
5.4720,4.1032e-08,7.3216e-08,1.4296e-07
6.4670,5.7738e-08,9.7118e-08,1.9207e-07
7.4610,7.7453e-08,1.2519e-07,2.5044e-07
8.4560,1.0025e-07,1.5684e-07,3.1841e-07
9.4500,1.2621e-07,1.9278e-07,3.9651e-07
10.4440,1.5541e-07,2.3288e-07,4.8567e-07
11.4390,1.8795e-07,2.7666e-07,5.8691e-07
12.4330,2.2393e-07,3.2503e-07,7.0151e-07
13.4280,2.6345e-07,3.7735e-07,8.3072e-07
14.4220,3.0665e-07,4.3497e-07,9.7557e-07
15.4170,3.5367e-07,4.9737e-07,1.1364e-06
16.4110,4.0469e-07,5.6600e-07,1.3132e-06
17.4060,4.5987e-07,6.3976e-07,1.5059e-06
18.4000,5.1936e-07,7.2063e-07,1.7141e-06
19.3940,5.8330e-07,8.0856e-07,1.9402e-06
20.3890,6.5189e-07,9.0303e-07,2.1855e-06
21.3830,7.2543e-07,1.0059e-06,2.4472e-06
22.3780,8.0422e-07,1.1153e-06,2.7232e-06
23.3720,8.8854e-07,1.2333e-06,3.0196e-06
24.3670,9.7865e-07,1.3577e-06,3.3468e-06
25.3610,1.0749e-06,1.4911e-06,3.7019e-06
26.3560,1.1774e-06,1.6306e-06,4.0802e-06
27.3500,1.2866e-06,1.7782e-06,4.4791e-06
28.3440,1.4026e-06,1.9339e-06,4.8976e-06
29.3390,1.5264e-06,2.0979e-06,5.3415e-06
30.3330,1.6609e-06,2.2749e-06,5.7998e-06
31.3280,1.8042e-06,2.4637e-06,6.2589e-06
32.3220,1.9536e-06,2.6682e-06,6.7280e-06
33.3170,2.1110e-06,2.8806e-06,7.2266e-06
34.3110,2.2770e-06,3.1016e-06,7.7542e-06
35.3060,2.4519e-06,3.3296e-06,8.3171e-06
36.3000,2.6356e-06,3.5707e-06,8.9153e-06
37.2940,2.8280e-06,3.8221e-06,9.5586e-06
38.2890,3.0288e-06,4.0787e-06,1.0261e-05
39.2830,3.2322e-06,4.3440e-06,1.0999e-05
40.2780,3.4334e-06,4.6171e-06,1.1803e-05
41.2720,3.6665e-06,4.9099e-06,1.2660e-05
42.2670,3.9007e-06,5.2087e-06,1.3576e-05
43.2610,4.1330e-06,5.5297e-06,1.4530e-05
44.2560,4.3627e-06,5.8617e-06,1.5525e-05
45.2500,4.5932e-06,6.2097e-06,1.6567e-05
46.2440,4.8233e-06,6.5755e-06,1.7650e-05
47.2390,5.0501e-06,6.9599e-06,1.8768e-05
48.2330,5.2713e-06,7.3758e-06,1.9929e-05
49.2280,5.4820e-06,7.8184e-06,2.1059e-05
50.2220,5.6930e-06,8.2953e-06,2.2188e-05
51.2170,5.8221e-06,8.7703e-06,2.3303e-05
52.2110,5.9300e-06,9.2331e-06,2.4431e-05
53.2060,6.0318e-06,9.7610e-06,2.5631e-05
54.2000,6.1254e-06,1.0343e-05,2.6568e-05
55.1940,6.2176e-06,1.0961e-05,2.7430e-05
56.1890,6.3105e-06,1.1620e-05,2.8227e-05
57.1830,6.4006e-06,1.2325e-05,2.8944e-05
58.1780,6.4996e-06,1.3061e-05,2.9642e-05
59.1720,6.6598e-06,1.3893e-05,3.0059e-05
60.1670,6.8443e-06,1.4689e-05,3.0106e-05
61.1610,6.8787e-06,1.5528e-05,2.9722e-05
62.1560,6.8270e-06,1.6196e-05,2.9104e-05
63.1500,6.7042e-06,1.6680e-05,2.8182e-05
64.1440,6.7013e-06,1.6998e-05,2.7151e-05
65.1390,6.7504e-06,1.7137e-05,2.6647e-05
66.1330,6.7925e-06,1.7238e-05,2.6287e-05
67.1280,6.8392e-06,1.7287e-05,2.5817e-05
68.1220,6.9134e-06,1.7234e-05,2.5353e-05
69.1170,6.7833e-06,1.7150e-05,2.5043e-05
70.1110,6.9050e-06,1.7110e-05,2.4729e-05
71.1060,7.0586e-06,1.7292e-05,2.3990e-05
72.1000,7.1504e-06,1.7802e-05,2.3173e-05
73.0940,7.3014e-06,1.8090e-05,2.2386e-05
74.0890,8.3350e-06,1.8919e-05,2.1397e-05
75.0830,9.0068e-06,1.9454e-05,1.9091e-05
76.0780,9.3205e-06,2.0393e-05,1.6762e-05
77.0720,9.2762e-06,2.0844e-05,1.4334e-05
78.0670,8.8142e-06,1.8978e-05,1.2288e-05
79.0610,8.6884e-06,1.7890e-05,9.5615e-06
80.0560,9.5866e-06,1.7198e-05,8.2364e-06
81.0500,9.2516e-06,1.6333e-05,8.6063e-06
82.0440,8.2557e-06,1.4988e-05,8.3746e-06
83.0390,6.4928e-06,1.3012e-05,6.3892e-06
84.0330,4.3526e-06,1.0574e-05,4.1710e-06
85.0280,2.3141e-06,7.9943e-06,2.8264e-06
86.0220,5.5570e-07,5.5432e-06,1.9339e-06
87.0170,2.1773e-08,3.3883e-06,1.2334e-06
88.0110,2.6324e-10,1.5357e-06,6.0667e-07
89.0060,1.0000e-31,5.1419e-07,1.5636e-07
