# Bounce and drift averaged energy diffusion coefficients in s^(-1) in figure 15v for E = 100.0 keV, L* = 4.5, Kp = 5
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,3.7415e-09,2.1542e-08,9.2653e-09
1.4940,8.7358e-09,2.8729e-08,2.1947e-08
2.4890,1.8769e-08,4.1429e-08,4.3495e-08
3.4830,3.3876e-08,5.9541e-08,7.4368e-08
4.4780,5.4187e-08,8.2910e-08,1.1536e-07
5.4720,7.9908e-08,1.1214e-07,1.6714e-07
6.4670,1.1108e-07,1.4679e-07,2.3035e-07
7.4610,1.4774e-07,1.8735e-07,3.0576e-07
8.4560,1.8995e-07,2.3288e-07,3.9422e-07
9.4500,2.3772e-07,2.8429e-07,4.9647e-07
10.4440,2.9105e-07,3.4116e-07,6.1341e-07
11.4390,3.4991e-07,4.0269e-07,7.4602e-07
12.4330,4.1425e-07,4.7000e-07,8.9532e-07
13.4280,4.8400e-07,5.4223e-07,1.0624e-06
14.4220,5.5907e-07,6.2144e-07,1.2486e-06
15.4170,6.3938e-07,7.0683e-07,1.4550e-06
16.4110,7.2480e-07,8.0022e-07,1.6832e-06
17.4060,8.1523e-07,9.0022e-07,1.9346e-06
18.4000,9.1062e-07,1.0096e-06,2.2106e-06
19.3940,1.0110e-06,1.1282e-06,2.5126e-06
20.3890,1.1163e-06,1.2552e-06,2.8409e-06
21.3830,1.2267e-06,1.3926e-06,3.1978e-06
22.3780,1.3422e-06,1.5378e-06,3.5854e-06
23.3720,1.4629e-06,1.6932e-06,4.0053e-06
24.3670,1.5896e-06,1.8561e-06,4.4588e-06
25.3610,1.7237e-06,2.0301e-06,4.9463e-06
26.3560,1.8647e-06,2.2129e-06,5.4682e-06
27.3500,2.0107e-06,2.4075e-06,6.0255e-06
28.3440,2.1631e-06,2.6124e-06,6.6186e-06
29.3390,2.3257e-06,2.8268e-06,7.2479e-06
30.3330,2.5000e-06,3.0571e-06,7.9135e-06
31.3280,2.6853e-06,3.3051e-06,8.6127e-06
32.3220,2.8894e-06,3.5810e-06,9.3440e-06
33.3170,3.1056e-06,3.8781e-06,1.0104e-05
34.3110,3.3364e-06,4.1815e-06,1.0890e-05
35.3060,3.5851e-06,4.4903e-06,1.1695e-05
36.3000,3.8540e-06,4.8203e-06,1.2515e-05
37.2940,4.1445e-06,5.1710e-06,1.3340e-05
38.2890,4.4549e-06,5.5391e-06,1.4162e-05
39.2830,4.8006e-06,5.9304e-06,1.4976e-05
40.2780,5.1984e-06,6.3401e-06,1.5777e-05
41.2720,5.6227e-06,6.7761e-06,1.6562e-05
42.2670,6.0713e-06,7.2214e-06,1.7344e-05
43.2610,6.5689e-06,7.7082e-06,1.8104e-05
44.2560,7.1041e-06,8.2401e-06,1.8798e-05
45.2500,7.6831e-06,8.8130e-06,1.9426e-05
46.2440,8.3047e-06,9.4273e-06,1.9995e-05
47.2390,8.9641e-06,1.0078e-05,2.0478e-05
48.2330,9.6538e-06,1.0781e-05,2.1404e-05
49.2280,1.0344e-05,1.1536e-05,2.1908e-05
50.2220,1.1037e-05,1.2361e-05,2.2251e-05
51.2170,1.1677e-05,1.3218e-05,2.2629e-05
52.2110,1.2338e-05,1.4051e-05,2.3100e-05
53.2060,1.2962e-05,1.4921e-05,2.3436e-05
54.2000,1.3541e-05,1.5884e-05,2.3374e-05
55.1940,1.4064e-05,1.6891e-05,2.3795e-05
56.1890,1.4504e-05,1.7938e-05,2.4212e-05
57.1830,1.4831e-05,1.9031e-05,2.4665e-05
58.1780,1.5049e-05,2.0128e-05,2.5087e-05
59.1720,1.5132e-05,2.1252e-05,2.5423e-05
60.1670,1.5062e-05,2.2395e-05,2.5476e-05
61.1610,1.5224e-05,2.3725e-05,2.5490e-05
62.1560,1.5256e-05,2.5085e-05,2.5444e-05
63.1500,1.5060e-05,2.6225e-05,2.5166e-05
64.1440,1.4962e-05,2.7142e-05,2.4824e-05
65.1390,1.4763e-05,2.7883e-05,2.4607e-05
66.1330,1.4508e-05,2.8573e-05,2.4386e-05
67.1280,1.4251e-05,2.9243e-05,2.4026e-05
68.1220,1.4077e-05,2.9956e-05,2.3522e-05
69.1170,1.3990e-05,3.0611e-05,2.3422e-05
70.1110,1.3889e-05,3.1322e-05,2.3536e-05
71.1060,1.2894e-05,3.2164e-05,2.3845e-05
72.1000,1.2354e-05,3.3504e-05,2.3932e-05
73.0940,1.1970e-05,3.4984e-05,2.3439e-05
74.0890,1.1742e-05,3.6546e-05,2.2633e-05
75.0830,1.2709e-05,3.8608e-05,2.2429e-05
76.0780,1.4289e-05,4.0879e-05,2.2171e-05
77.0720,1.4556e-05,4.0866e-05,2.2754e-05
78.0670,1.1026e-05,3.7770e-05,2.2148e-05
79.0610,9.3350e-06,3.0048e-05,2.0035e-05
80.0560,9.0310e-06,2.6291e-05,1.7139e-05
81.0500,1.0220e-05,2.3425e-05,1.3908e-05
82.0440,9.9500e-06,2.1211e-05,1.2833e-05
83.0390,7.9674e-06,1.8483e-05,1.1607e-05
84.0330,6.0751e-06,1.4790e-05,9.3978e-06
85.0280,3.9313e-06,1.1220e-05,6.4421e-06
86.0220,2.0720e-06,7.8681e-06,2.0682e-06
87.0170,2.2646e-07,4.8644e-06,5.8614e-07
88.0110,2.0613e-09,2.2409e-06,2.7768e-07
89.0060,1.0000e-31,6.7760e-07,6.5225e-08
