# Bounce and drift averaged energy diffusion coefficients in s^(-1) in figure 15w for E = 100.0 keV, L* = 5.0, Kp = 5
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,1.4713e-09,1.8236e-08,1.3585e-09
1.4940,6.8902e-09,2.5572e-08,4.8259e-09
2.4890,1.7819e-08,3.9003e-08,1.1686e-08
3.4830,3.4399e-08,5.8531e-08,2.2072e-08
4.4780,5.6770e-08,8.3915e-08,3.6095e-08
5.4720,8.5057e-08,1.1569e-07,5.3878e-08
6.4670,1.1944e-07,1.5338e-07,7.5530e-08
7.4610,1.6006e-07,1.9767e-07,1.0116e-07
8.4560,2.0714e-07,2.4772e-07,1.3093e-07
9.4500,2.6082e-07,3.0440e-07,1.6499e-07
10.4440,3.2136e-07,3.6716e-07,2.0352e-07
11.4390,3.8900e-07,4.3542e-07,2.4671e-07
12.4330,4.6401e-07,5.1048e-07,2.9479e-07
13.4280,5.4666e-07,5.9158e-07,3.4798e-07
14.4220,6.3733e-07,6.8085e-07,4.0658e-07
15.4170,7.3646e-07,7.7668e-07,4.7086e-07
16.4110,8.4443e-07,8.8104e-07,5.4109e-07
17.4060,9.6166e-07,9.9346e-07,6.1763e-07
18.4000,1.0885e-06,1.1174e-06,7.0083e-07
19.3940,1.2258e-06,1.2516e-06,7.9091e-07
20.3890,1.3745e-06,1.3954e-06,8.8844e-07
21.3830,1.5353e-06,1.5514e-06,9.9395e-07
22.3780,1.7093e-06,1.7167e-06,1.1080e-06
23.3720,1.8976e-06,1.8948e-06,1.2309e-06
24.3670,2.1018e-06,2.0825e-06,1.3633e-06
25.3610,2.3234e-06,2.2832e-06,1.5061e-06
26.3560,2.5641e-06,2.4968e-06,1.6603e-06
27.3500,2.8262e-06,2.7271e-06,1.8270e-06
28.3440,3.1115e-06,2.9724e-06,2.0069e-06
29.3390,3.4231e-06,3.2311e-06,2.2016e-06
30.3330,3.7658e-06,3.5098e-06,2.4144e-06
31.3280,4.1417e-06,3.8079e-06,2.6438e-06
32.3220,4.5511e-06,4.1341e-06,2.8944e-06
33.3170,5.0030e-06,4.4923e-06,3.1696e-06
34.3110,5.4955e-06,4.8716e-06,3.4712e-06
35.3060,6.0349e-06,5.2575e-06,3.8020e-06
36.3000,6.6281e-06,5.6734e-06,4.1653e-06
37.2940,7.2810e-06,6.1192e-06,4.5651e-06
38.2890,7.9994e-06,6.5933e-06,4.9972e-06
39.2830,8.7891e-06,7.1055e-06,5.4667e-06
40.2780,9.6782e-06,7.6477e-06,5.9853e-06
41.2720,1.0685e-05,8.2322e-06,6.5624e-06
42.2670,1.1744e-05,8.8530e-06,7.2154e-06
43.2610,1.2901e-05,9.5403e-06,7.9135e-06
44.2560,1.4124e-05,1.0264e-05,8.6657e-06
45.2500,1.5426e-05,1.1038e-05,9.4979e-06
46.2440,1.6798e-05,1.1862e-05,1.0427e-05
47.2390,1.8202e-05,1.2727e-05,1.1459e-05
48.2330,1.9643e-05,1.3653e-05,1.2584e-05
49.2280,2.1120e-05,1.4625e-05,1.3812e-05
50.2220,2.2645e-05,1.5666e-05,1.5129e-05
51.2170,2.4103e-05,1.6780e-05,1.6595e-05
52.2110,2.5511e-05,1.8043e-05,1.8213e-05
53.2060,2.6801e-05,1.9271e-05,1.9921e-05
54.2000,2.7966e-05,2.0483e-05,2.1713e-05
55.1940,2.8948e-05,2.1787e-05,2.3591e-05
56.1890,2.9721e-05,2.3136e-05,2.5562e-05
57.1830,3.0261e-05,2.4549e-05,2.7561e-05
58.1780,3.0557e-05,2.5984e-05,2.9640e-05
59.1720,3.0602e-05,2.7429e-05,3.1659e-05
60.1670,3.0399e-05,2.8849e-05,3.3741e-05
61.1610,3.0411e-05,3.0365e-05,3.5704e-05
62.1560,3.1253e-05,3.2207e-05,3.7674e-05
63.1500,3.1239e-05,3.4089e-05,3.9684e-05
64.1440,3.0396e-05,3.5669e-05,4.1691e-05
65.1390,2.9298e-05,3.6909e-05,4.3699e-05
66.1330,2.7912e-05,3.7972e-05,4.5940e-05
67.1280,2.6409e-05,3.9053e-05,4.8636e-05
68.1220,2.4993e-05,4.0157e-05,5.0722e-05
69.1170,2.3869e-05,4.1196e-05,5.3126e-05
70.1110,2.3243e-05,4.2160e-05,5.4982e-05
71.1060,2.2988e-05,4.2984e-05,5.4735e-05
72.1000,2.1061e-05,4.3936e-05,5.3797e-05
73.0940,2.0421e-05,4.5216e-05,5.1121e-05
74.0890,2.0089e-05,4.6457e-05,5.0365e-05
75.0830,2.2075e-05,4.7493e-05,5.0396e-05
76.0780,2.6873e-05,5.0105e-05,4.9613e-05
77.0720,2.9837e-05,4.9537e-05,4.6502e-05
78.0670,2.8403e-05,5.0270e-05,4.4292e-05
79.0610,2.1293e-05,4.0900e-05,3.1067e-05
80.0560,1.9250e-05,3.4968e-05,2.2710e-05
81.0500,2.2652e-05,2.8165e-05,1.1249e-05
82.0440,1.9236e-05,2.3973e-05,5.8590e-06
83.0390,1.9160e-05,1.9145e-05,4.9133e-06
84.0330,2.0341e-05,1.2897e-05,5.2015e-06
85.0280,4.7401e-06,8.7638e-06,2.1928e-06
86.0220,2.2523e-06,6.0021e-06,9.1827e-07
87.0170,7.5097e-07,3.8597e-06,3.6363e-07
88.0110,1.6727e-07,1.9921e-06,1.0985e-07
89.0060,3.4154e-12,6.8194e-07,1.6051e-08
