# Bounce and drift averaged energy diffusion coefficients in s^(-1) in figure 15x for E = 100.0 keV, L* = 5.5, Kp = 5
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,8.0323e-10,2.3602e-08,1.3585e-09
1.4940,4.1976e-09,3.2073e-08,4.8259e-09
2.4890,1.1055e-08,4.8160e-08,1.1686e-08
3.4830,2.1472e-08,7.1982e-08,2.2072e-08
4.4780,3.5549e-08,1.0318e-07,3.6095e-08
5.4720,5.3403e-08,1.4244e-07,5.3878e-08
6.4670,7.5161e-08,1.8918e-07,7.5530e-08
7.4610,1.0096e-07,2.4439e-07,1.0116e-07
8.4560,1.3098e-07,3.0720e-07,1.3093e-07
9.4500,1.6537e-07,3.7891e-07,1.6499e-07
10.4440,2.0436e-07,4.5895e-07,2.0352e-07
11.4390,2.4816e-07,5.4647e-07,2.4671e-07
12.4330,2.9704e-07,6.4338e-07,2.9479e-07
13.4280,3.5126e-07,7.4894e-07,3.4798e-07
14.4220,4.1113e-07,8.6514e-07,4.0658e-07
15.4170,4.7702e-07,9.9005e-07,4.7086e-07
16.4110,5.4923e-07,1.1263e-06,5.4109e-07
17.4060,6.2842e-07,1.2730e-06,6.1763e-07
18.4000,7.1524e-07,1.4344e-06,7.0083e-07
19.3940,8.1006e-07,1.6088e-06,7.9091e-07
20.3890,9.1321e-07,1.7953e-06,8.8844e-07
21.3830,1.0255e-06,1.9990e-06,9.9395e-07
22.3780,1.1481e-06,2.2148e-06,1.1080e-06
23.3720,1.2831e-06,2.4475e-06,1.2309e-06
24.3670,1.4314e-06,2.6931e-06,1.3633e-06
25.3610,1.5957e-06,2.9586e-06,1.5061e-06
26.3560,1.7760e-06,3.2390e-06,1.6603e-06
27.3500,1.9756e-06,3.5404e-06,1.8270e-06
28.3440,2.1966e-06,3.8613e-06,2.0069e-06
29.3390,2.4397e-06,4.1987e-06,2.2016e-06
30.3330,2.7060e-06,4.5590e-06,2.4144e-06
31.3280,2.9954e-06,4.9358e-06,2.6438e-06
32.3220,3.3110e-06,5.3363e-06,2.8944e-06
33.3170,3.6498e-06,5.7654e-06,3.1696e-06
34.3110,4.0081e-06,6.2250e-06,3.4712e-06
35.3060,4.3853e-06,6.6882e-06,3.8020e-06
36.3000,4.7780e-06,7.1785e-06,4.1653e-06
37.2940,5.1811e-06,7.6935e-06,4.5651e-06
38.2890,5.6007e-06,8.2316e-06,4.9972e-06
39.2830,6.0330e-06,8.8033e-06,5.4667e-06
40.2780,6.4688e-06,9.3967e-06,5.9853e-06
41.2720,6.9237e-06,1.0035e-05,6.5624e-06
42.2670,7.4337e-06,1.0704e-05,7.2154e-06
43.2610,7.9001e-06,1.1447e-05,7.9135e-06
44.2560,8.3422e-06,1.2179e-05,8.6657e-06
45.2500,8.7720e-06,1.2938e-05,9.4979e-06
46.2440,9.1820e-06,1.3729e-05,1.0427e-05
47.2390,9.5617e-06,1.4538e-05,1.1459e-05
48.2330,9.9075e-06,1.5382e-05,1.2584e-05
49.2280,1.0210e-05,1.6257e-05,1.3812e-05
50.2220,1.0481e-05,1.7198e-05,1.5129e-05
51.2170,1.0729e-05,1.8225e-05,1.6595e-05
52.2110,1.0993e-05,1.9445e-05,1.8213e-05
53.2060,1.1279e-05,2.0709e-05,1.9921e-05
54.2000,1.1564e-05,2.1879e-05,2.1713e-05
55.1940,1.1819e-05,2.3195e-05,2.3591e-05
56.1890,1.2028e-05,2.4574e-05,2.5562e-05
57.1830,1.2158e-05,2.6041e-05,2.7561e-05
58.1780,1.2308e-05,2.7572e-05,2.9640e-05
59.1720,1.2492e-05,2.9185e-05,3.1659e-05
60.1670,1.2727e-05,3.0826e-05,3.3741e-05
61.1610,1.3042e-05,3.2477e-05,3.5704e-05
62.1560,1.3437e-05,3.4251e-05,3.7674e-05
63.1500,1.3852e-05,3.6508e-05,3.9684e-05
64.1440,1.5118e-05,3.8711e-05,4.1691e-05
65.1390,1.5711e-05,4.0467e-05,4.3699e-05
66.1330,1.6253e-05,4.1822e-05,4.5940e-05
67.1280,1.6850e-05,4.3117e-05,4.8636e-05
68.1220,1.7502e-05,4.4383e-05,5.0722e-05
69.1170,1.8176e-05,4.5589e-05,5.3126e-05
70.1110,1.8808e-05,4.6657e-05,5.4982e-05
71.1060,1.9319e-05,4.7456e-05,5.4735e-05
72.1000,1.9593e-05,4.8204e-05,5.3797e-05
73.0940,1.9533e-05,4.9337e-05,5.1121e-05
74.0890,1.9845e-05,5.1116e-05,5.0365e-05
75.0830,1.8498e-05,5.2624e-05,5.0396e-05
76.0780,1.8545e-05,5.5291e-05,4.9613e-05
77.0720,1.9785e-05,5.5421e-05,4.6502e-05
78.0670,1.9430e-05,5.5673e-05,4.4292e-05
79.0610,2.0638e-05,5.3662e-05,3.1067e-05
80.0560,2.1814e-05,5.0594e-05,2.2710e-05
81.0500,1.7343e-05,4.1338e-05,1.1249e-05
82.0440,1.3950e-05,3.1794e-05,5.8590e-06
83.0390,1.3823e-05,2.3744e-05,4.9133e-06
84.0330,1.4143e-05,1.3885e-05,5.2015e-06
85.0280,1.0296e-05,7.2547e-06,2.1928e-06
86.0220,2.1941e-06,4.5431e-06,9.1827e-07
87.0170,3.9936e-07,3.0185e-06,3.6363e-07
88.0110,4.2285e-08,1.7038e-06,1.0985e-07
89.0060,1.1127e-12,6.8184e-07,1.6051e-08
