# Bounce and drift averaged energy diffusion coefficients in s^(-1) in figure 15y for E = 50.0 keV, L* = 3.0, Kp = 5
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,4.5243e-08,1.2249e-20,9.2150e-06
1.4940,4.7911e-08,1.5768e-20,9.2738e-06
2.4890,5.2855e-08,2.0338e-20,9.3251e-06
3.4830,5.9819e-08,2.5260e-20,9.3858e-06
4.4780,6.8660e-08,3.0310e-20,9.4654e-06
5.4720,7.9051e-08,3.5562e-20,9.5907e-06
6.4670,9.0840e-08,4.0898e-20,9.7855e-06
7.4610,1.0355e-07,4.6374e-20,1.0079e-05
8.4560,1.1636e-07,5.1898e-20,1.0492e-05
9.4500,1.2907e-07,5.7592e-20,1.1093e-05
10.4440,1.4217e-07,6.3423e-20,1.2237e-05
11.4390,1.5595e-07,6.9329e-20,1.3641e-05
12.4330,1.6996e-07,7.5426e-20,1.3755e-05
13.4280,1.8539e-07,8.1616e-20,1.1836e-05
14.4220,2.0824e-07,8.8027e-20,8.9761e-06
15.4170,2.5483e-07,9.4551e-20,6.6285e-06
16.4110,3.0246e-07,1.0132e-19,5.1136e-06
17.4060,3.4863e-07,1.0811e-19,4.0883e-06
18.4000,3.9433e-07,1.1500e-19,3.3886e-06
19.3940,4.3710e-07,1.2193e-19,2.9224e-06
20.3890,4.7826e-07,1.2885e-19,2.6260e-06
21.3830,5.1713e-07,1.3616e-19,2.4508e-06
22.3780,5.5127e-07,1.4447e-19,2.3892e-06
23.3720,5.8456e-07,1.5250e-19,2.3582e-06
24.3670,6.1561e-07,1.6007e-19,2.3458e-06
25.3610,6.4637e-07,1.6780e-19,2.3665e-06
26.3560,6.7745e-07,1.7531e-19,2.4126e-06
27.3500,7.0766e-07,1.8293e-19,2.5016e-06
28.3440,7.4025e-07,1.9071e-19,2.5841e-06
29.3390,7.7267e-07,1.9876e-19,2.5737e-06
30.3330,8.0633e-07,2.0717e-19,2.6595e-06
31.3280,8.4006e-07,2.1611e-19,2.8069e-06
32.3220,8.7779e-07,2.2653e-19,3.2067e-06
33.3170,9.2972e-07,2.3591e-19,2.4529e-06
34.3110,9.1740e-07,2.4524e-19,2.1598e-06
35.3060,9.2618e-07,2.5459e-19,1.9463e-06
36.3000,9.5502e-07,2.6426e-19,1.5866e-06
37.2940,9.9876e-07,2.7416e-19,1.2865e-06
38.2890,1.0505e-06,2.8437e-19,1.1930e-06
39.2830,1.1022e-06,2.9515e-19,1.1566e-06
40.2780,1.1551e-06,3.0637e-19,1.1454e-06
41.2720,1.2078e-06,3.1810e-19,1.1327e-06
42.2670,1.2609e-06,3.3003e-19,1.1134e-06
43.2610,1.3143e-06,3.4293e-19,1.0841e-06
44.2560,1.3858e-06,3.5812e-19,1.0431e-06
45.2500,1.4724e-06,3.7254e-19,9.6448e-07
46.2440,1.5667e-06,3.8702e-19,7.9772e-07
47.2390,1.7001e-06,4.0173e-19,7.6966e-07
48.2330,1.7698e-06,4.1705e-19,7.7837e-07
49.2280,1.7994e-06,4.3517e-19,7.8564e-07
50.2220,1.8343e-06,4.5218e-19,7.9651e-07
51.2170,1.8799e-06,4.6885e-19,8.0559e-07
52.2110,1.9507e-06,4.8656e-19,8.1772e-07
53.2060,2.0441e-06,5.0240e-19,8.2374e-07
54.2000,2.1683e-06,5.1723e-19,8.1769e-07
55.1940,2.2852e-06,5.3251e-19,8.1730e-07
56.1890,2.3994e-06,5.4710e-19,8.1463e-07
57.1830,2.5295e-06,5.6094e-19,8.0897e-07
58.1780,2.6650e-06,5.7369e-19,8.0310e-07
59.1720,2.7983e-06,5.8420e-19,7.9326e-07
60.1670,2.9420e-06,5.9218e-19,7.7928e-07
61.1610,3.0178e-06,5.9786e-19,7.6082e-07
62.1560,3.1329e-06,6.0184e-19,7.3600e-07
63.1500,3.2638e-06,6.0447e-19,7.0078e-07
64.1440,3.3808e-06,6.0533e-19,6.5646e-07
65.1390,3.5386e-06,6.0414e-19,5.8649e-07
66.1330,3.7464e-06,6.0107e-19,5.3923e-07
67.1280,4.0704e-06,5.9249e-19,4.9055e-07
68.1220,4.4860e-06,5.8215e-19,4.3886e-07
69.1170,4.5922e-06,5.6920e-19,4.0571e-07
70.1110,4.5873e-06,5.5231e-19,3.7736e-07
71.1060,4.4431e-06,5.3102e-19,3.5967e-07
72.1000,4.1972e-06,5.0438e-19,3.4515e-07
73.0940,3.8311e-06,4.7356e-19,3.3593e-07
74.0890,3.3664e-06,4.4013e-19,3.0206e-07
75.0830,2.9502e-06,4.0495e-19,2.4986e-07
76.0780,2.4833e-06,3.7000e-19,2.2303e-07
77.0720,1.9952e-06,3.3340e-19,1.6719e-07
78.0670,1.5934e-06,2.9763e-19,1.3907e-07
79.0610,1.2792e-06,2.5471e-19,1.2315e-07
80.0560,8.5241e-07,2.1415e-19,1.1492e-07
81.0500,4.8099e-07,1.7685e-19,1.2168e-07
82.0440,2.9254e-07,1.4439e-19,9.8358e-08
83.0390,1.7744e-07,1.1848e-19,1.0542e-07
84.0330,7.9574e-08,1.0005e-19,1.1659e-07
85.0280,1.0908e-08,8.4442e-20,1.4489e-07
86.0220,2.8864e-09,7.1842e-20,2.2097e-07
87.0170,3.5445e-16,6.7150e-20,1.5324e-07
88.0110,7.2801e-18,7.6213e-20,2.8586e-08
89.0060,1.0000e-31,1.0245e-19,5.5376e-15
