# Bounce and drift averaged energy diffusion coefficients in s^(-1) in figure 15z for E = 50.0 keV, L* = 3.5, Kp = 5
# Pitch Angle, Horne 2013, Meredith 2020, Wong 2023
0.5000,1.9667e-09,7.3289e-09,6.9475e-07
1.4940,9.9757e-09,1.0621e-08,7.1166e-07
2.4890,2.1883e-08,1.6149e-08,7.4471e-07
3.4830,3.7493e-08,2.3765e-08,7.9326e-07
4.4780,5.7084e-08,3.3377e-08,8.4348e-07
5.4720,8.0853e-08,4.5287e-08,9.1756e-07
6.4670,1.0921e-07,5.9392e-08,1.1647e-06
7.4610,1.4233e-07,7.6027e-08,1.1544e-06
8.4560,1.8054e-07,9.5005e-08,1.2536e-06
9.4500,2.2405e-07,1.1683e-07,1.3770e-06
10.4440,2.7313e-07,1.4143e-07,1.5200e-06
11.4390,3.2799e-07,1.6867e-07,1.7255e-06
12.4330,3.8882e-07,1.9920e-07,1.8818e-06
13.4280,4.5585e-07,2.3269e-07,2.0975e-06
14.4220,5.2935e-07,2.7000e-07,2.3144e-06
15.4170,6.0941e-07,3.1069e-07,2.5543e-06
16.4110,6.9632e-07,3.5569e-07,2.7991e-06
17.4060,7.9027e-07,4.0395e-07,3.0194e-06
18.4000,8.9136e-07,4.5611e-07,3.2762e-06
19.3940,1.0001e-06,5.1151e-07,3.7096e-06
20.3890,1.1171e-06,5.6937e-07,4.0399e-06
21.3830,1.2429e-06,6.3190e-07,4.4507e-06
22.3780,1.3786e-06,7.0183e-07,5.0037e-06
23.3720,1.5218e-06,7.7403e-07,5.8204e-06
24.3670,1.6775e-06,8.4748e-07,5.8482e-06
25.3610,1.8422e-06,9.2514e-07,6.3118e-06
26.3560,2.0073e-06,1.0047e-06,6.8072e-06
27.3500,2.1749e-06,1.0892e-06,7.3082e-06
28.3440,2.3516e-06,1.1789e-06,7.8350e-06
29.3390,2.5359e-06,1.2747e-06,8.2749e-06
30.3330,2.7271e-06,1.3792e-06,8.7044e-06
31.3280,2.9252e-06,1.4912e-06,9.3278e-06
32.3220,3.1297e-06,1.6204e-06,9.9360e-06
33.3170,3.3410e-06,1.7489e-06,1.0701e-05
34.3110,3.5569e-06,1.8844e-06,1.0886e-05
35.3060,3.7774e-06,2.0268e-06,1.1394e-05
36.3000,4.0022e-06,2.1814e-06,1.1966e-05
37.2940,4.2310e-06,2.3432e-06,1.2582e-05
38.2890,4.4648e-06,2.5136e-06,1.3022e-05
39.2830,4.7001e-06,2.6982e-06,1.3500e-05
40.2780,4.9341e-06,2.8935e-06,1.4047e-05
41.2720,5.1704e-06,3.1043e-06,1.4610e-05
42.2670,5.4256e-06,3.3246e-06,1.5224e-05
43.2610,5.7296e-06,3.5654e-06,1.5826e-05
44.2560,5.9858e-06,3.8389e-06,1.6449e-05
45.2500,6.2337e-06,4.1169e-06,1.7063e-05
46.2440,6.4687e-06,4.4070e-06,1.7621e-05
47.2390,6.7027e-06,4.7096e-06,1.8115e-05
48.2330,6.9446e-06,5.0317e-06,1.8652e-05
49.2280,7.2091e-06,5.4005e-06,1.9365e-05
50.2220,7.4609e-06,5.7666e-06,2.0301e-05
51.2170,7.7057e-06,6.1387e-06,2.1552e-05
52.2110,7.9464e-06,6.5334e-06,2.3223e-05
53.2060,8.1760e-06,6.9060e-06,2.5543e-05
54.2000,8.3919e-06,7.2660e-06,2.8393e-05
55.1940,8.6247e-06,7.6275e-06,3.0901e-05
56.1890,8.8438e-06,7.9717e-06,3.2429e-05
57.1830,8.8922e-06,8.2960e-06,3.2774e-05
58.1780,8.9715e-06,8.5903e-06,3.2503e-05
59.1720,9.0193e-06,8.8312e-06,3.1769e-05
60.1670,8.9398e-06,9.0128e-06,3.0434e-05
61.1610,8.8781e-06,9.1365e-06,2.8464e-05
62.1560,8.7537e-06,9.2033e-06,2.6402e-05
63.1500,8.5487e-06,9.2154e-06,2.4978e-05
64.1440,8.2788e-06,9.1861e-06,2.4481e-05
65.1390,7.9758e-06,9.1256e-06,2.4249e-05
66.1330,7.6418e-06,9.0578e-06,2.2864e-05
67.1280,7.1763e-06,8.9181e-06,2.2221e-05
68.1220,6.7084e-06,8.7976e-06,2.2785e-05
69.1170,6.2562e-06,8.6208e-06,2.3247e-05
70.1110,5.8009e-06,8.4080e-06,2.3631e-05
71.1060,5.3853e-06,8.1741e-06,2.4066e-05
72.1000,5.0744e-06,7.8431e-06,2.4540e-05
73.0940,4.6856e-06,7.3880e-06,2.5415e-05
74.0890,4.3576e-06,6.8735e-06,2.7004e-05
75.0830,3.6806e-06,6.2840e-06,2.9751e-05
76.0780,3.1102e-06,5.6439e-06,3.3441e-05
77.0720,2.5052e-06,4.9008e-06,3.5277e-05
78.0670,2.0460e-06,4.1388e-06,3.5568e-05
79.0610,1.6376e-06,3.3039e-06,3.3775e-05
80.0560,1.1683e-06,2.5562e-06,2.8228e-05
81.0500,7.2972e-07,1.9124e-06,1.8405e-05
82.0440,3.3350e-07,1.3885e-06,9.3207e-06
83.0390,1.4458e-07,9.9430e-07,5.2131e-06
84.0330,4.0203e-08,7.0456e-07,3.6431e-06
85.0280,6.2383e-09,4.6839e-07,2.2538e-06
86.0220,9.9001e-10,2.9139e-07,1.1383e-06
87.0170,5.1879e-11,1.9286e-07,5.8399e-07
88.0110,7.1332e-18,1.5680e-07,2.2240e-07
89.0060,1.0000e-31,1.1416e-07,2.5389e-08
