# Drift and bounce averaged pitch angle diffusion coefficients in s^(-1) in figure 16a for E = 50.0keV, L* = 4.5 and Kp = 5
# Pitch Angle, 2.01 <= fpe/fce < 2.53, 2.53 <= fpe/fce < 3.19, 3.19 <= fpe/fce < 4.03, 4.03 <= fpe/fce < 5.08, 5.08 <= fpe/fce < 6.40, 6.40 <= fpe/fce < 8.08, 8.08 <= fpe/fce < 10.19, 10.19 <= fpe/fce < 12.85, 12.85 <= fpe/fce < 16.20, Average over fpe/fce
0.5000,4.5087e-05,3.6384e-04,7.1765e-05,1.6682e-04,8.5104e-05,3.9860e-05,9.6747e-06,6.4621e-06,3.6870e-05,1.4323e-04
1.4940,4.5387e-05,3.6652e-04,7.2349e-05,1.6810e-04,8.5796e-05,4.0205e-05,9.7492e-06,6.5097e-06,3.7156e-05,1.4433e-04
2.4890,4.5651e-05,3.6919e-04,7.2983e-05,1.6941e-04,8.6546e-05,4.0601e-05,9.8261e-06,6.5568e-06,3.7455e-05,1.4545e-04
3.4830,4.5877e-05,3.7181e-04,7.3668e-05,1.7076e-04,8.7357e-05,4.1047e-05,9.9056e-06,6.6034e-06,3.7768e-05,1.4661e-04
4.4780,4.6065e-05,3.7440e-04,7.4406e-05,1.7214e-04,8.8230e-05,4.1546e-05,9.9877e-06,6.6493e-06,3.8096e-05,1.4780e-04
5.4720,4.6212e-05,3.7697e-04,7.5199e-05,1.7356e-04,8.9168e-05,4.2100e-05,1.0073e-05,6.6945e-06,3.8441e-05,1.4902e-04
6.4670,4.6317e-05,3.7950e-04,7.6047e-05,1.7502e-04,9.0170e-05,4.2709e-05,1.0160e-05,6.7392e-06,3.8805e-05,1.5027e-04
7.4610,4.6378e-05,3.8201e-04,7.6953e-05,1.7650e-04,9.1240e-05,4.3378e-05,1.0251e-05,6.7831e-06,3.9188e-05,1.5155e-04
8.4560,4.6392e-05,3.8448e-04,7.7919e-05,1.7802e-04,9.2380e-05,4.4107e-05,1.0345e-05,6.8262e-06,3.9591e-05,1.5287e-04
9.4500,4.6359e-05,3.8692e-04,7.8946e-05,1.7956e-04,9.3594e-05,4.4900e-05,1.0442e-05,6.8685e-06,4.0009e-05,1.5421e-04
10.4440,4.6274e-05,3.8931e-04,8.0039e-05,1.8113e-04,9.4881e-05,4.5760e-05,1.0543e-05,6.9100e-06,4.0438e-05,1.5558e-04
11.4390,4.6136e-05,3.9165e-04,8.1198e-05,1.8272e-04,9.6248e-05,4.6690e-05,1.0649e-05,6.9506e-06,4.0865e-05,1.5697e-04
12.4330,4.5942e-05,3.9397e-04,8.2428e-05,1.8432e-04,9.7696e-05,4.7694e-05,1.0760e-05,6.9903e-06,4.1277e-05,1.5839e-04
13.4280,4.5690e-05,3.9622e-04,8.3731e-05,1.8592e-04,9.9229e-05,4.8776e-05,1.0877e-05,7.0289e-06,4.1664e-05,1.5983e-04
14.4220,4.5381e-05,3.9841e-04,8.5111e-05,1.8752e-04,1.0085e-04,4.9940e-05,1.1002e-05,7.0666e-06,4.2028e-05,1.6128e-04
15.4170,4.5020e-05,4.0054e-04,8.6571e-05,1.8910e-04,1.0257e-04,5.1191e-05,1.1136e-05,7.1028e-06,4.2386e-05,1.6276e-04
16.4110,4.4615e-05,4.0261e-04,8.8114e-05,1.9065e-04,1.0438e-04,5.2533e-05,1.1286e-05,7.1374e-06,4.2735e-05,1.6426e-04
17.4060,4.4174e-05,4.0464e-04,8.9743e-05,1.9217e-04,1.0629e-04,5.3972e-05,1.1462e-05,7.1704e-06,4.3078e-05,1.6579e-04
18.4000,4.3701e-05,4.0664e-04,9.1460e-05,1.9365e-04,1.0831e-04,5.5515e-05,1.1682e-05,7.2013e-06,4.3432e-05,1.6736e-04
19.3940,4.3199e-05,4.0861e-04,9.3254e-05,1.9511e-04,1.1045e-04,5.7169e-05,1.1971e-05,7.2303e-06,4.3844e-05,1.6899e-04
20.3890,4.2673e-05,4.1057e-04,9.5103e-05,1.9654e-04,1.1270e-04,5.8941e-05,1.2355e-05,7.2571e-06,4.4379e-05,1.7072e-04
21.3830,4.2130e-05,4.1258e-04,9.6996e-05,1.9793e-04,1.1507e-04,6.0837e-05,1.2845e-05,7.2820e-06,4.5061e-05,1.7255e-04
22.3780,4.1576e-05,4.1468e-04,9.8974e-05,1.9928e-04,1.1758e-04,6.2863e-05,1.3427e-05,7.3053e-06,4.5787e-05,1.7448e-04
23.3720,4.1019e-05,4.1695e-04,1.0101e-04,2.0058e-04,1.2025e-04,6.5025e-05,1.4082e-05,7.3272e-06,4.6346e-05,1.7648e-04
24.3670,4.0468e-05,4.1946e-04,1.0307e-04,2.0181e-04,1.2307e-04,6.7332e-05,1.4814e-05,7.3479e-06,4.6580e-05,1.7855e-04
25.3610,3.9928e-05,4.2232e-04,1.0510e-04,2.0297e-04,1.2608e-04,6.9789e-05,1.5634e-05,7.3679e-06,4.6715e-05,1.8068e-04
26.3560,3.9401e-05,4.2557e-04,1.0706e-04,2.0406e-04,1.2929e-04,7.2399e-05,1.6554e-05,7.3878e-06,4.6825e-05,1.8287e-04
27.3500,3.8885e-05,4.2924e-04,1.0898e-04,2.0508e-04,1.3272e-04,7.5165e-05,1.7583e-05,7.4085e-06,4.6907e-05,1.8511e-04
28.3440,3.8381e-05,4.3343e-04,1.1087e-04,2.0602e-04,1.3638e-04,7.8096e-05,1.8729e-05,7.4302e-06,4.6957e-05,1.8741e-04
29.3390,3.7898e-05,4.3849e-04,1.1263e-04,2.0688e-04,1.4031e-04,8.1205e-05,1.9995e-05,7.4526e-06,4.6969e-05,1.8979e-04
30.3330,3.7450e-05,4.4423e-04,1.1428e-04,2.0765e-04,1.4454e-04,8.4504e-05,2.1389e-05,7.4744e-06,4.6940e-05,1.9226e-04
31.3280,3.7048e-05,4.5003e-04,1.1584e-04,2.0833e-04,1.4912e-04,8.8005e-05,2.2924e-05,7.4917e-06,4.6867e-05,1.9484e-04
32.3220,3.6703e-05,4.5583e-04,1.1727e-04,2.0890e-04,1.5413e-04,9.1725e-05,2.4613e-05,7.4996e-06,4.6747e-05,1.9756e-04
33.3170,3.6430e-05,4.6163e-04,1.1850e-04,2.0933e-04,1.5962e-04,9.5679e-05,2.6472e-05,7.4972e-06,4.6574e-05,2.0036e-04
34.3110,3.6244e-05,4.6743e-04,1.1953e-04,2.0958e-04,1.6558e-04,9.9878e-05,2.8517e-05,7.4890e-06,4.6344e-05,2.0321e-04
35.3060,3.6149e-05,4.7321e-04,1.2041e-04,2.0963e-04,1.7186e-04,1.0432e-04,3.0764e-05,7.4763e-06,4.6055e-05,2.0617e-04
36.3000,3.6034e-05,4.7889e-04,1.2127e-04,2.0946e-04,1.7822e-04,1.0902e-04,3.3240e-05,7.4597e-06,4.5707e-05,2.0937e-04
37.2940,3.5658e-05,4.8438e-04,1.2212e-04,2.0910e-04,1.8444e-04,1.1400e-04,3.5975e-05,7.4417e-06,4.5301e-05,2.1244e-04
38.2890,3.4940e-05,4.8956e-04,1.2297e-04,2.0861e-04,1.9052e-04,1.1926e-04,3.9000e-05,7.4231e-06,4.4835e-05,2.1479e-04
39.2830,3.4024e-05,4.9452e-04,1.2384e-04,2.0796e-04,1.9673e-04,1.2480e-04,4.2343e-05,7.4042e-06,4.4314e-05,2.1694e-04
40.2780,3.3012e-05,4.9944e-04,1.2458e-04,2.0718e-04,2.0309e-04,1.3067e-04,4.6038e-05,7.3819e-06,4.3743e-05,2.1906e-04
41.2720,3.1911e-05,5.0429e-04,1.2531e-04,2.0641e-04,2.0949e-04,1.3683e-04,5.0113e-05,7.3509e-06,4.3102e-05,2.2106e-04
42.2670,3.0713e-05,5.0895e-04,1.2611e-04,2.0579e-04,2.1593e-04,1.4327e-04,5.4599e-05,7.3120e-06,4.2377e-05,2.2301e-04
43.2610,2.9413e-05,5.1332e-04,1.2706e-04,2.0547e-04,2.2235e-04,1.5006e-04,5.9553e-05,7.2759e-06,4.1575e-05,2.2502e-04
44.2560,2.8005e-05,5.1713e-04,1.2818e-04,2.0575e-04,2.2861e-04,1.5725e-04,6.5071e-05,7.3034e-06,4.0710e-05,2.2724e-04
45.2500,2.6496e-05,5.1979e-04,1.2938e-04,2.0691e-04,2.3483e-04,1.6491e-04,7.1233e-05,7.5307e-06,3.9777e-05,2.2982e-04
46.2440,2.4888e-05,5.2112e-04,1.3066e-04,2.0936e-04,2.4108e-04,1.7313e-04,7.8077e-05,7.9314e-06,3.8785e-05,2.3295e-04
47.2390,2.3169e-05,5.2095e-04,1.3206e-04,2.1268e-04,2.4723e-04,1.8201e-04,8.5707e-05,8.4141e-06,3.7744e-05,2.3638e-04
48.2330,2.1382e-05,5.1948e-04,1.3360e-04,2.1690e-04,2.5323e-04,1.9157e-04,9.4322e-05,8.9924e-06,3.6665e-05,2.4021e-04
49.2280,1.9483e-05,5.1571e-04,1.3534e-04,2.2179e-04,2.5904e-04,2.0180e-04,1.0361e-04,9.6849e-06,3.5548e-05,2.4406e-04
50.2220,1.7476e-05,5.0874e-04,1.3739e-04,2.2734e-04,2.6458e-04,2.1290e-04,1.1388e-04,1.0478e-05,3.4413e-05,2.4823e-04
51.2170,1.5445e-05,4.9761e-04,1.3976e-04,2.3369e-04,2.6961e-04,2.2498e-04,1.2527e-04,1.1379e-05,3.3295e-05,2.5294e-04
52.2110,1.3463e-05,4.8100e-04,1.4192e-04,2.3906e-04,2.7440e-04,2.3802e-04,1.3790e-04,1.2371e-05,3.2244e-05,2.5811e-04
53.2060,1.1627e-05,4.5747e-04,1.4437e-04,2.3961e-04,2.7974e-04,2.5177e-04,1.5148e-04,1.3504e-05,3.1319e-05,2.6211e-04
54.2000,9.9253e-06,4.2882e-04,1.4716e-04,2.3649e-04,2.8433e-04,2.6627e-04,1.6705e-04,1.4827e-05,3.0608e-05,2.6661e-04
55.1940,8.4540e-06,3.9333e-04,1.5029e-04,2.3280e-04,2.8667e-04,2.8168e-04,1.8468e-04,1.6469e-05,3.0147e-05,2.7181e-04
56.1890,7.2127e-06,3.5630e-04,1.5361e-04,2.2857e-04,2.8611e-04,2.9812e-04,2.0449e-04,1.8442e-05,2.9898e-05,2.7766e-04
57.1830,6.1505e-06,3.1928e-04,1.5706e-04,2.2349e-04,2.8203e-04,3.1574e-04,2.2727e-04,2.0743e-05,2.9650e-05,2.8417e-04
58.1780,5.2831e-06,2.8236e-04,1.6054e-04,2.1743e-04,2.7232e-04,3.3433e-04,2.5277e-04,2.3396e-05,2.9286e-05,2.9124e-04
59.1720,4.5536e-06,2.4587e-04,1.6386e-04,2.1050e-04,2.5628e-04,3.5360e-04,2.8023e-04,2.6516e-05,2.8835e-05,2.9808e-04
60.1670,3.6618e-06,2.1044e-04,1.6612e-04,2.0277e-04,2.3981e-04,3.7370e-04,3.0315e-04,3.0107e-05,2.8271e-05,3.0306e-04
61.1610,2.7863e-06,1.7659e-04,1.6530e-04,1.9412e-04,2.2491e-04,3.9496e-04,3.1773e-04,3.4319e-05,2.7603e-05,3.0672e-04
62.1560,1.8323e-06,1.4354e-04,1.6277e-04,1.8408e-04,2.1003e-04,4.1720e-04,3.3230e-04,3.9261e-05,2.6824e-05,3.1078e-04
63.1500,1.0133e-06,1.1136e-04,1.6105e-04,1.7238e-04,1.9465e-04,4.4015e-04,3.4729e-04,4.5017e-05,2.5912e-05,3.1513e-04
64.1440,6.8176e-07,8.3024e-05,1.5963e-04,1.5833e-04,1.7769e-04,4.6306e-04,3.6246e-04,5.1769e-05,2.4819e-05,3.1961e-04
65.1390,6.0675e-07,5.8568e-05,1.5870e-04,1.3966e-04,1.5959e-04,4.8541e-04,3.7775e-04,5.9721e-05,2.3345e-05,3.2368e-04
66.1330,5.6928e-07,4.1993e-05,1.5829e-04,1.2183e-04,1.4108e-04,5.0527e-04,3.9301e-04,6.9190e-05,2.1814e-05,3.2800e-04
67.1280,5.5192e-07,2.7289e-05,1.5664e-04,1.1641e-04,1.2286e-04,5.1659e-04,4.0827e-04,7.7342e-05,2.0071e-05,3.3095e-04
