# Drift and bounce averaged pitch angle diffusion coefficients in s^(-1) in figure 16b for E = 100.0keV, L* = 4.5 and Kp = 5
# Pitch Angle, 2.01 <= fpe/fce < 2.53, 2.53 <= fpe/fce < 3.19, 3.19 <= fpe/fce < 4.03, 4.03 <= fpe/fce < 5.08, 5.08 <= fpe/fce < 6.40, 6.40 <= fpe/fce < 8.08, 8.08 <= fpe/fce < 10.19, 10.19 <= fpe/fce < 12.85, 12.85 <= fpe/fce < 16.20, Average over fpe/fce
0.5000,3.5448e-05,2.8187e-04,3.2403e-05,7.0642e-05,4.2713e-05,1.5153e-05,7.2913e-06,5.3916e-06,1.5708e-05,7.3498e-05
1.4940,3.5750e-05,2.8402e-04,3.2666e-05,7.1255e-05,4.3056e-05,1.5281e-05,7.3482e-06,5.4346e-06,1.5849e-05,7.4119e-05
2.4890,3.6091e-05,2.8623e-04,3.2951e-05,7.1956e-05,4.3425e-05,1.5425e-05,7.4076e-06,5.4805e-06,1.6014e-05,7.4813e-05
3.4830,3.6471e-05,2.8848e-04,3.3259e-05,7.2747e-05,4.3821e-05,1.5584e-05,7.4697e-06,5.5293e-06,1.6205e-05,7.5584e-05
4.4780,3.6892e-05,2.9079e-04,3.3591e-05,7.3631e-05,4.4243e-05,1.5761e-05,7.5342e-06,5.5810e-06,1.6422e-05,7.6433e-05
5.4720,3.7353e-05,2.9316e-04,3.3946e-05,7.4611e-05,4.4693e-05,1.5954e-05,7.6014e-06,5.6357e-06,1.6666e-05,7.7363e-05
6.4670,3.7856e-05,2.9558e-04,3.4327e-05,7.5689e-05,4.5171e-05,1.6165e-05,7.6711e-06,5.6933e-06,1.6940e-05,7.8376e-05
7.4610,3.8400e-05,2.9805e-04,3.4733e-05,7.6870e-05,4.5679e-05,1.6395e-05,7.7433e-06,5.7537e-06,1.7244e-05,7.9476e-05
8.4560,3.8986e-05,3.0059e-04,3.5165e-05,7.8155e-05,4.6218e-05,1.6644e-05,7.8179e-06,5.8168e-06,1.7582e-05,8.0665e-05
9.4500,3.9616e-05,3.0320e-04,3.5625e-05,7.9551e-05,4.6788e-05,1.6913e-05,7.8948e-06,5.8825e-06,1.7955e-05,8.1947e-05
10.4440,4.0288e-05,3.0586e-04,3.6113e-05,8.1060e-05,4.7392e-05,1.7204e-05,7.9740e-06,5.9500e-06,1.8366e-05,8.3327e-05
11.4390,4.1004e-05,3.0860e-04,3.6630e-05,8.2687e-05,4.8029e-05,1.7517e-05,8.0553e-06,6.0184e-06,1.8818e-05,8.4807e-05
12.4330,4.1762e-05,3.1141e-04,3.7177e-05,8.4437e-05,4.8702e-05,1.7853e-05,8.1386e-06,6.0865e-06,1.9314e-05,8.6392e-05
13.4280,4.2563e-05,3.1430e-04,3.7755e-05,8.6315e-05,4.9411e-05,1.8214e-05,8.2238e-06,6.1531e-06,1.9852e-05,8.8080e-05
14.4220,4.3407e-05,3.1729e-04,3.8365e-05,8.8327e-05,5.0160e-05,1.8601e-05,8.3106e-06,6.2170e-06,2.0431e-05,8.9872e-05
15.4170,4.4293e-05,3.2036e-04,3.9005e-05,9.0479e-05,5.0948e-05,1.9016e-05,8.3989e-06,6.2776e-06,2.1045e-05,9.1767e-05
16.4110,4.5219e-05,3.2355e-04,3.9678e-05,9.2778e-05,5.1778e-05,1.9461e-05,8.4884e-06,6.3354e-06,2.1690e-05,9.3765e-05
17.4060,4.6184e-05,3.2685e-04,4.0382e-05,9.5232e-05,5.2652e-05,1.9937e-05,8.5788e-06,6.3932e-06,2.2363e-05,9.5862e-05
18.4000,4.7186e-05,3.3026e-04,4.1118e-05,9.7849e-05,5.3572e-05,2.0447e-05,8.6700e-06,6.4570e-06,2.3063e-05,9.8053e-05
19.3940,4.8221e-05,3.3377e-04,4.1888e-05,1.0063e-04,5.4541e-05,2.0992e-05,8.7615e-06,6.5333e-06,2.3776e-05,1.0033e-04
20.3890,4.9287e-05,3.3734e-04,4.2694e-05,1.0360e-04,5.5561e-05,2.1577e-05,8.8530e-06,6.6215e-06,2.4488e-05,1.0268e-04
21.3830,5.0377e-05,3.4097e-04,4.3539e-05,1.0675e-04,5.6636e-05,2.2202e-05,8.9442e-06,6.7123e-06,2.5183e-05,1.0510e-04
22.3780,5.1481e-05,3.4462e-04,4.4427e-05,1.1008e-04,5.7768e-05,2.2872e-05,9.0347e-06,6.7868e-06,2.5859e-05,1.0761e-04
23.3720,5.2582e-05,3.4829e-04,4.5365e-05,1.1361e-04,5.8959e-05,2.3587e-05,9.1242e-06,6.8422e-06,2.6539e-05,1.1020e-04
24.3670,5.3655e-05,3.5195e-04,4.6354e-05,1.1734e-04,6.0212e-05,2.4351e-05,9.2120e-06,6.8954e-06,2.7239e-05,1.1288e-04
25.3610,5.4672e-05,3.5557e-04,4.7390e-05,1.2126e-04,6.1530e-05,2.5166e-05,9.2968e-06,6.9457e-06,2.7956e-05,1.1565e-04
26.3560,5.5626e-05,3.5912e-04,4.8471e-05,1.2537e-04,6.2917e-05,2.6039e-05,9.3775e-06,6.9902e-06,2.8698e-05,1.1852e-04
27.3500,5.6519e-05,3.6250e-04,4.9608e-05,1.2967e-04,6.4379e-05,2.6977e-05,9.4538e-06,7.0285e-06,2.9481e-05,1.2150e-04
28.3440,5.7346e-05,3.6571e-04,5.0809e-05,1.3413e-04,6.5923e-05,2.7986e-05,9.5257e-06,7.0639e-06,3.0294e-05,1.2457e-04
29.3390,5.8091e-05,3.6888e-04,5.2086e-05,1.3876e-04,6.7558e-05,2.9073e-05,9.5941e-06,7.0977e-06,3.1090e-05,1.2767e-04
30.3330,5.8735e-05,3.7205e-04,5.3446e-05,1.4353e-04,6.9292e-05,3.0247e-05,9.6596e-06,7.1361e-06,3.1814e-05,1.3076e-04
31.3280,5.9254e-05,3.7515e-04,5.4904e-05,1.4842e-04,7.1134e-05,3.1512e-05,9.7241e-06,7.1848e-06,3.2414e-05,1.3375e-04
32.3220,5.9620e-05,3.7811e-04,5.6465e-05,1.5340e-04,7.3080e-05,3.2881e-05,9.7898e-06,7.2275e-06,3.2885e-05,1.3664e-04
33.3170,5.9813e-05,3.8090e-04,5.8100e-05,1.5844e-04,7.5125e-05,3.4367e-05,9.8576e-06,7.2637e-06,3.3303e-05,1.3946e-04
34.3110,5.9803e-05,3.8346e-04,5.9822e-05,1.6349e-04,7.7268e-05,3.5986e-05,9.9282e-06,7.3136e-06,3.3712e-05,1.4221e-04
35.3060,5.9562e-05,3.8571e-04,6.1638e-05,1.6852e-04,7.9507e-05,3.7757e-05,1.0002e-05,7.4305e-06,3.4108e-05,1.4492e-04
36.3000,5.9056e-05,3.8749e-04,6.3551e-05,1.7351e-04,8.1843e-05,3.9689e-05,1.0088e-05,7.5931e-06,3.4486e-05,1.4761e-04
37.2940,5.8247e-05,3.8889e-04,6.5570e-05,1.7840e-04,8.4283e-05,4.1787e-05,1.0197e-05,7.6452e-06,3.4860e-05,1.5023e-04
38.2890,5.7124e-05,3.8992e-04,6.7680e-05,1.8322e-04,8.6838e-05,4.4058e-05,1.0339e-05,7.6377e-06,3.5166e-05,1.5269e-04
39.2830,5.5743e-05,3.9056e-04,6.9903e-05,1.8805e-04,8.9520e-05,4.6521e-05,1.0522e-05,7.6281e-06,3.5269e-05,1.5493e-04
40.2780,5.4177e-05,3.9077e-04,7.2201e-05,1.9286e-04,9.2354e-05,4.9207e-05,1.0758e-05,7.6159e-06,3.5222e-05,1.5701e-04
41.2720,5.2488e-05,3.9045e-04,7.4586e-05,1.9754e-04,9.5362e-05,5.2147e-05,1.1059e-05,7.6051e-06,3.5276e-05,1.5907e-04
42.2670,5.0750e-05,3.8955e-04,7.7077e-05,2.0200e-04,9.8549e-05,5.5364e-05,1.1438e-05,7.5970e-06,3.5379e-05,1.6114e-04
43.2610,4.8949e-05,3.8814e-04,7.9678e-05,2.0602e-04,1.0194e-04,5.8882e-05,1.1915e-05,7.5844e-06,3.5181e-05,1.6322e-04
44.2560,4.7086e-05,3.8627e-04,8.2350e-05,2.0933e-04,1.0555e-04,6.2689e-05,1.2526e-05,7.5693e-06,3.4997e-05,1.6533e-04
45.2500,4.5170e-05,3.8396e-04,8.4960e-05,2.1185e-04,1.0941e-04,6.6827e-05,1.3387e-05,7.5495e-06,3.5033e-05,1.6742e-04
