# Drift and bounce averaged pitch angle diffusion coefficients in s^(-1) in figure 16c for E = 500.0keV, L* = 4.5 and Kp = 5
# Pitch Angle, 2.01 <= fpe/fce < 2.53, 2.53 <= fpe/fce < 3.19, 3.19 <= fpe/fce < 4.03, 4.03 <= fpe/fce < 5.08, 5.08 <= fpe/fce < 6.40, 6.40 <= fpe/fce < 8.08, 8.08 <= fpe/fce < 10.19, 10.19 <= fpe/fce < 12.85, 12.85 <= fpe/fce < 16.20, Average over fpe/fce
0.5000,4.1232e-08,3.5010e-05,3.4668e-06,2.7717e-06,5.0443e-06,1.1778e-06,9.6465e-08,8.5935e-08,8.0784e-08,3.3021e-06
1.4940,4.2614e-08,3.5302e-05,3.4954e-06,2.7959e-06,5.0901e-06,1.1883e-06,9.9012e-08,8.7055e-08,8.2614e-08,3.3311e-06
2.4890,4.5099e-08,3.5624e-05,3.5269e-06,2.8237e-06,5.1442e-06,1.2005e-06,1.0343e-07,8.8665e-08,8.5730e-08,3.3647e-06
3.4830,4.8728e-08,3.5978e-05,3.5614e-06,2.8552e-06,5.2069e-06,1.2146e-06,1.0978e-07,9.0781e-08,9.0241e-08,3.4030e-06
4.4780,5.3554e-08,3.6367e-05,3.5987e-06,2.8905e-06,5.2783e-06,1.2307e-06,1.1812e-07,9.3417e-08,9.6332e-08,3.4463e-06
5.4720,5.9647e-08,3.6787e-05,3.6392e-06,2.9296e-06,5.3587e-06,1.2487e-06,1.2853e-07,9.6594e-08,1.0432e-07,3.4947e-06
6.4670,6.7086e-08,3.7242e-05,3.6828e-06,2.9728e-06,5.4483e-06,1.2689e-06,1.4113e-07,1.0033e-07,1.1468e-07,3.5487e-06
7.4610,7.5988e-08,3.7732e-05,3.7297e-06,3.0201e-06,5.5472e-06,1.2914e-06,1.5604e-07,1.0465e-07,1.2811e-07,3.6085e-06
8.4560,8.6459e-08,3.8257e-05,3.7798e-06,3.0716e-06,5.6556e-06,1.3163e-06,1.7342e-07,1.0956e-07,1.4526e-07,3.6745e-06
9.4500,9.8645e-08,3.8820e-05,3.8334e-06,3.1275e-06,5.7737e-06,1.3439e-06,1.9345e-07,1.1502e-07,1.6605e-07,3.7471e-06
10.4440,1.1269e-07,3.9419e-05,3.8903e-06,3.1879e-06,5.9016e-06,1.3743e-06,2.1638e-07,1.2099e-07,1.8938e-07,3.8267e-06
11.4390,1.2875e-07,4.0056e-05,3.9507e-06,3.2530e-06,6.0392e-06,1.4079e-06,2.4246e-07,1.2739e-07,2.1498e-07,3.9139e-06
12.4330,1.4699e-07,4.0729e-05,4.0148e-06,3.3230e-06,6.1861e-06,1.4449e-06,2.7202e-07,1.3406e-07,2.4295e-07,4.0094e-06
13.4280,1.6757e-07,4.1442e-05,4.0827e-06,3.3983e-06,6.3417e-06,1.4857e-06,3.0540e-07,1.4069e-07,2.7349e-07,4.1137e-06
14.4220,1.9062e-07,4.2197e-05,4.1546e-06,3.4794e-06,6.5051e-06,1.5305e-06,3.4308e-07,1.4677e-07,3.0671e-07,4.2276e-06
15.4170,2.1630e-07,4.2995e-05,4.2311e-06,3.5672e-06,6.6753e-06,1.5793e-06,3.8561e-07,1.5201e-07,3.4191e-07,4.3529e-06
16.4110,2.4470e-07,4.3836e-05,4.3125e-06,3.6628e-06,6.8519e-06,1.6318e-06,4.3366e-07,1.5708e-07,3.7797e-07,4.4923e-06
17.4060,2.7592e-07,4.4721e-05,4.3994e-06,3.7673e-06,7.0350e-06,1.6877e-06,4.8779e-07,1.6212e-07,4.1436e-07,4.6466e-06
18.4000,3.1004e-07,4.5651e-05,4.4921e-06,3.8820e-06,7.2270e-06,1.7463e-06,5.4831e-07,1.6720e-07,4.5200e-07,4.8150e-06
19.3940,3.4711e-07,4.6628e-05,4.5906e-06,4.0083e-06,7.4325e-06,1.8072e-06,6.1551e-07,1.7305e-07,4.9264e-07,4.9994e-06
20.3890,3.8718e-07,4.7650e-05,4.6948e-06,4.1471e-06,7.6552e-06,1.8707e-06,6.8977e-07,1.8087e-07,5.3513e-07,5.2015e-06
21.3830,4.3029e-07,4.8717e-05,4.8050e-06,4.2988e-06,7.8988e-06,1.9360e-06,7.7150e-07,1.9220e-07,5.8261e-07,5.4229e-06
22.3780,4.7646e-07,4.9829e-05,4.9218e-06,4.4638e-06,8.1660e-06,2.0029e-06,8.6085e-07,2.0694e-07,6.4317e-07,5.6646e-06
23.3720,5.2576e-07,5.0979e-05,5.0461e-06,4.6422e-06,8.4585e-06,2.0728e-06,9.5794e-07,2.2530e-07,7.0518e-07,5.9261e-06
24.3670,5.7825e-07,5.2166e-05,5.1805e-06,4.8346e-06,8.7765e-06,2.1476e-06,1.0630e-06,2.4816e-07,7.6244e-07,6.2066e-06
25.3610,6.3410e-07,5.3389e-05,5.3275e-06,5.0416e-06,9.1152e-06,2.2306e-06,1.1766e-06,2.7155e-07,8.0856e-07,6.5148e-06
26.3560,6.9351e-07,5.4661e-05,5.4872e-06,5.2626e-06,9.4667e-06,2.3237e-06,1.2993e-06,2.9271e-07,8.5494e-07,6.8542e-06
27.3500,7.5676e-07,5.5990e-05,5.6572e-06,5.4968e-06,9.8212e-06,2.4273e-06,1.4314e-06,3.1437e-07,9.0313e-07,7.2139e-06
28.3440,8.2420e-07,5.7392e-05,5.8293e-06,5.7415e-06,1.0171e-05,2.5422e-06,1.5733e-06,3.3587e-07,9.6108e-07,7.5834e-06
29.3390,8.9626e-07,5.8860e-05,5.9989e-06,5.9987e-06,1.0513e-05,2.6669e-06,1.7249e-06,3.5909e-07,1.0386e-06,7.9790e-06
30.3330,9.7337e-07,6.0401e-05,6.1710e-06,6.2728e-06,1.0860e-05,2.7987e-06,1.8839e-06,3.9561e-07,1.1491e-06,8.4036e-06
31.3280,1.0561e-06,6.2021e-05,6.3459e-06,6.5617e-06,1.1230e-05,2.9340e-06,2.0459e-06,4.5987e-07,1.2593e-06,8.8510e-06
32.3220,1.1452e-06,6.3730e-05,6.5248e-06,6.8606e-06,1.1638e-05,3.0710e-06,2.2039e-06,5.3257e-07,1.3609e-06,9.3201e-06
33.3170,1.2418e-06,6.5540e-05,6.7116e-06,7.1701e-06,1.2082e-05,3.2088e-06,2.3494e-06,6.0755e-07,1.4857e-06,9.8085e-06
34.3110,1.3471e-06,6.7466e-05,6.9119e-06,7.4934e-06,1.2556e-05,3.3536e-06,2.4802e-06,6.8670e-07,1.6474e-06,1.0290e-05
35.3060,1.4624e-06,6.9523e-05,7.1229e-06,7.8392e-06,1.3043e-05,3.5112e-06,2.5933e-06,7.6835e-07,1.8169e-06,1.0780e-05
36.3000,1.5892e-06,7.1706e-05,7.3452e-06,8.2234e-06,1.3535e-05,3.6818e-06,2.6858e-06,8.4311e-07,2.0529e-06,1.1295e-05
37.2940,1.7296e-06,7.4017e-05,7.5806e-06,8.6510e-06,1.4030e-05,3.8691e-06,2.7564e-06,9.1111e-07,2.4404e-06,1.1842e-05
38.2890,1.8839e-06,7.6446e-05,7.8220e-06,9.1122e-06,1.4522e-05,4.0743e-06,2.8046e-06,9.9597e-07,2.8125e-06,1.2407e-05
39.2830,2.0505e-06,7.8930e-05,8.0679e-06,9.6056e-06,1.5005e-05,4.2933e-06,2.8244e-06,1.0973e-06,3.1702e-06,1.3040e-05
40.2780,2.2283e-06,8.1534e-05,8.3236e-06,1.0157e-05,1.5513e-05,4.5177e-06,2.8093e-06,1.1512e-06,3.5334e-06,1.3654e-05
41.2720,2.4157e-06,8.4333e-05,8.5935e-06,1.0785e-05,1.6002e-05,4.7388e-06,2.7569e-06,1.1780e-06,3.8569e-06,1.4238e-05
42.2670,2.6119e-06,8.7262e-05,8.9002e-06,1.1451e-05,1.6453e-05,4.9479e-06,2.6690e-06,1.2105e-06,4.0569e-06,1.4761e-05
43.2610,2.8146e-06,9.0244e-05,9.2205e-06,1.2108e-05,1.6956e-05,5.1742e-06,2.5510e-06,1.2289e-06,4.3247e-06,1.5274e-05
44.2560,3.0208e-06,9.3170e-05,9.5642e-06,1.2807e-05,1.7530e-05,5.4329e-06,2.4074e-06,1.2417e-06,4.4580e-06,1.5782e-05
45.2500,3.2294e-06,9.5978e-05,9.9484e-06,1.3584e-05,1.8213e-05,5.7324e-06,2.2415e-06,1.2938e-06,4.5099e-06,1.6372e-05
46.2440,3.4403e-06,9.8687e-05,1.0370e-05,1.4435e-05,1.8940e-05,6.0846e-06,2.0591e-06,1.3532e-06,4.6021e-06,1.6952e-05
47.2390,3.6558e-06,1.0126e-04,1.0827e-05,1.5372e-05,1.9772e-05,6.4684e-06,1.8781e-06,1.3652e-06,4.7565e-06,1.7593e-05
48.2330,3.8889e-06,1.0362e-04,1.1295e-05,1.6432e-05,2.0767e-05,6.8843e-06,1.7195e-06,1.3907e-06,4.8837e-06,1.8337e-05
49.2280,4.1547e-06,1.0623e-04,1.1801e-05,1.7611e-05,2.1732e-05,7.3904e-06,1.6498e-06,1.4097e-06,5.0761e-06,1.9263e-05
50.2220,4.4587e-06,1.0915e-04,1.2369e-05,1.8964e-05,2.2667e-05,7.9911e-06,1.6153e-06,1.4114e-06,5.0641e-06,2.0305e-05
51.2170,4.8041e-06,1.1220e-04,1.3022e-05,2.0495e-05,2.3677e-05,8.6608e-06,1.6612e-06,1.4423e-06,4.9738e-06,2.1543e-05
52.2110,5.1895e-06,1.1473e-04,1.3719e-05,2.2265e-05,2.4556e-05,9.4741e-06,1.7691e-06,1.5040e-06,4.9032e-06,2.2913e-05
53.2060,5.6421e-06,1.1651e-04,1.4538e-05,2.4292e-05,2.5361e-05,1.0403e-05,1.9207e-06,1.4990e-06,4.8956e-06,2.4474e-05
54.2000,6.2361e-06,1.1818e-04,1.5410e-05,2.6618e-05,2.6171e-05,1.1416e-05,2.0741e-06,1.4948e-06,4.8583e-06,2.6226e-05
55.1940,7.0260e-06,1.1975e-04,1.6388e-05,2.9165e-05,2.6986e-05,1.2548e-05,2.3173e-06,1.4787e-06,4.8919e-06,2.8276e-05
56.1890,8.0366e-06,1.2154e-04,1.7475e-05,3.1919e-05,2.7813e-05,1.3875e-05,2.6261e-06,1.4459e-06,4.7449e-06,3.0584e-05
57.1830,9.3177e-06,1.2391e-04,1.8669e-05,3.4982e-05,2.8717e-05,1.5439e-05,2.9889e-06,1.4251e-06,4.5815e-06,3.3159e-05
58.1780,1.0920e-05,1.2693e-04,1.9940e-05,3.8482e-05,2.9900e-05,1.7225e-05,3.3961e-06,1.3893e-06,4.4596e-06,3.6091e-05
59.1720,1.2889e-05,1.3054e-04,2.1224e-05,4.2372e-05,3.1492e-05,1.9222e-05,3.8956e-06,1.3187e-06,4.3780e-06,3.9468e-05
60.1670,1.5138e-05,1.3491e-04,2.2381e-05,4.6855e-05,3.3187e-05,2.1390e-05,4.5079e-06,1.2728e-06,4.2591e-06,4.3291e-05
61.1610,1.7599e-05,1.3993e-04,2.3274e-05,5.1629e-05,3.4897e-05,2.3855e-05,5.2569e-06,1.2451e-06,4.0742e-06,4.7431e-05
62.1560,2.0828e-05,1.4611e-04,2.3967e-05,5.5757e-05,3.6775e-05,2.6632e-05,6.2635e-06,1.2537e-06,3.8287e-06,5.2091e-05
63.1500,2.2172e-05,1.5080e-04,2.4752e-05,5.9261e-05,3.8787e-05,2.9605e-05,7.5793e-06,1.3518e-06,3.6237e-06,5.5474e-05
64.1440,2.2026e-05,1.5506e-04,2.5545e-05,6.3057e-05,4.1145e-05,3.2869e-05,9.1969e-06,1.5097e-06,3.6528e-06,5.8210e-05
65.1390,2.0772e-05,1.6028e-04,2.5819e-05,6.6633e-05,4.4167e-05,3.6556e-05,1.1211e-05,1.7266e-06,3.8417e-06,5.9947e-05
66.1330,1.9028e-05,1.6565e-04,2.6371e-05,7.0335e-05,4.7335e-05,4.0602e-05,1.3577e-05,1.9924e-06,4.0592e-06,6.1649e-05
67.1280,1.5838e-05,1.7084e-04,2.7641e-05,7.4608e-05,5.0510e-05,4.5176e-05,1.6337e-05,2.3318e-06,4.2910e-06,6.3058e-05
68.1220,1.2342e-05,1.7876e-04,2.9782e-05,7.8741e-05,5.3900e-05,5.0074e-05,1.9730e-05,2.8065e-06,4.5105e-06,6.4834e-05
69.1170,1.0212e-05,1.8072e-04,3.3996e-05,8.2401e-05,5.7284e-05,5.5294e-05,2.3907e-05,3.4650e-06,4.7794e-06,6.8423e-05
70.1110,9.3392e-06,1.7943e-04,3.6580e-05,8.3646e-05,6.0954e-05,6.0705e-05,2.8968e-05,4.2929e-06,5.1092e-06,7.2282e-05
71.1060,8.7851e-06,1.7582e-04,3.6112e-05,8.7687e-05,6.5606e-05,6.5758e-05,3.5035e-05,5.3657e-06,5.5315e-06,7.7316e-05
72.1000,6.1955e-06,1.6870e-04,3.5793e-05,8.7142e-05,7.0454e-05,6.9884e-05,4.1712e-05,6.5954e-06,6.1371e-06,8.0503e-05
73.0940,4.7095e-06,1.4868e-04,3.6434e-05,8.2549e-05,7.4884e-05,7.4289e-05,4.9130e-05,7.9563e-06,6.9878e-06,8.2808e-05
74.0890,3.7329e-06,1.3076e-04,3.7213e-05,8.0430e-05,7.6649e-05,8.0421e-05,5.8536e-05,9.4287e-06,7.9440e-06,8.5985e-05
75.0830,4.9878e-06,1.1631e-04,3.0323e-05,8.1812e-05,7.5409e-05,8.9952e-05,6.8184e-05,1.0963e-05,8.9579e-06,8.8308e-05
76.0780,7.5449e-06,1.0826e-04,2.8142e-05,8.0112e-05,7.7031e-05,1.0379e-04,7.6643e-05,1.2389e-05,1.0671e-05,9.4141e-05
77.0720,1.2836e-06,1.0980e-04,2.8227e-05,8.2379e-05,7.9769e-05,1.1955e-04,9.0822e-05,1.3337e-05,1.2112e-05,1.0452e-04
78.0670,9.8875e-07,9.2806e-05,2.8964e-05,8.8799e-05,8.2161e-05,1.2119e-04,1.1104e-04,1.4966e-05,1.1812e-05,1.1611e-04
79.0610,2.1309e-06,9.2995e-05,3.3892e-05,9.6629e-05,8.6793e-05,9.6619e-05,1.2986e-04,1.7846e-05,1.1306e-05,1.2424e-04
80.0560,3.5456e-06,1.1324e-04,5.2415e-05,1.0663e-04,9.1214e-05,7.1817e-05,1.3570e-04,2.1516e-05,1.0595e-05,1.2922e-04
81.0500,5.1115e-06,7.7961e-05,4.0859e-05,1.4804e-04,9.5309e-05,6.5708e-05,1.2597e-04,2.3380e-05,9.4907e-06,1.3075e-04
82.0440,6.6306e-06,8.6329e-05,2.4802e-05,2.2652e-04,1.0428e-04,6.6531e-05,1.2090e-04,2.0434e-05,7.8686e-06,1.3820e-04
83.0390,7.4788e-06,7.4602e-05,2.0973e-05,3.2444e-04,1.3802e-04,8.7324e-05,1.3120e-04,1.6566e-05,5.5814e-06,1.6151e-04
84.0330,7.5589e-06,7.4410e-05,2.4768e-05,2.7111e-04,2.1146e-04,1.1642e-04,1.4154e-04,1.9684e-05,3.4739e-06,1.8014e-04
85.0280,6.7800e-06,7.3869e-05,2.8668e-05,1.2474e-04,2.2359e-04,2.1835e-04,1.5401e-04,2.0011e-05,2.0800e-06,2.0059e-04
86.0220,5.2017e-06,6.6549e-05,3.0997e-05,5.0302e-05,1.4190e-04,3.2428e-04,2.3249e-04,2.0044e-05,1.8877e-06,2.3433e-04
87.0170,3.4560e-06,3.7364e-05,3.1006e-05,2.7049e-05,3.6120e-05,1.0136e-04,4.6663e-04,3.4940e-05,3.5773e-06,2.4563e-04
88.0110,1.1233e-06,5.0099e-06,2.8319e-05,1.6716e-05,1.0468e-05,2.5097e-05,3.0637e-05,8.6869e-05,1.2639e-05,4.3658e-05
89.0060,4.1119e-07,6.0962e-07,1.8549e-05,1.4187e-05,9.2783e-06,6.7972e-06,1.3694e-06,3.1618e-06,5.2134e-05,3.5487e-05
