# Drift and bounce averaged energy diffusion coefficients in s^(-1) in figure 16d for E = 50.0keV, L* = 4.5 and Kp = 5
# Pitch Angle, 2.01 <= fpe/fce < 2.53, 2.53 <= fpe/fce < 3.19, 3.19 <= fpe/fce < 4.03, 4.03 <= fpe/fce < 5.08, 5.08 <= fpe/fce < 6.40, 6.40 <= fpe/fce < 8.08, 8.08 <= fpe/fce < 10.19, 10.19 <= fpe/fce < 12.85, 12.85 <= fpe/fce < 16.20, Average over fpe/fce
0.5000,1.8069e-09,1.8997e-06,1.1237e-07,4.2671e-08,4.8622e-09,7.8998e-10,1.3790e-10,1.9258e-11,6.5635e-11,2.5406e-07
1.4940,1.6234e-08,2.0207e-06,1.3201e-07,6.4702e-08,1.4395e-08,5.1293e-09,1.2400e-09,1.7335e-10,5.9057e-10,2.8160e-07
2.4890,4.5284e-08,2.2499e-06,1.7086e-07,1.0887e-07,3.3623e-08,1.3906e-08,3.4657e-09,4.8454e-10,1.6494e-09,3.3528e-07
3.4830,8.9132e-08,2.5857e-06,2.2941e-07,1.7567e-07,6.2783e-08,2.7255e-08,6.8419e-09,9.5656e-10,3.2521e-09,4.1563e-07
4.4780,1.4787e-07,3.0273e-06,3.0823e-07,2.6563e-07,1.0212e-07,4.5326e-08,1.1397e-08,1.5934e-09,5.4081e-09,5.2316e-07
5.4720,2.2152e-07,3.5721e-06,4.0792e-07,3.7928e-07,1.5190e-07,6.8243e-08,1.7162e-08,2.3995e-09,8.1255e-09,6.5839e-07
6.4670,3.0998e-07,4.2176e-06,5.2936e-07,5.1720e-07,2.1255e-07,9.6086e-08,2.4165e-08,3.3799e-09,1.1412e-08,8.2185e-07
7.4610,4.1308e-07,4.9649e-06,6.7344e-07,6.8003e-07,2.8484e-07,1.2903e-07,3.2429e-08,4.5399e-09,1.5273e-08,1.0142e-06
8.4560,5.3052e-07,5.8178e-06,8.4114e-07,8.6852e-07,3.6959e-07,1.6740e-07,4.1985e-08,5.8870e-09,1.9713e-08,1.2363e-06
9.4500,6.6186e-07,6.7829e-06,1.0333e-06,1.0835e-06,4.6647e-07,2.1138e-07,5.2867e-08,7.4305e-09,2.4738e-08,1.4882e-06
10.4440,8.0656e-07,7.8698e-06,1.2506e-06,1.3256e-06,5.7482e-07,2.6122e-07,6.5105e-08,9.1774e-09,3.0349e-08,1.7700e-06
11.4390,9.6389e-07,9.0892e-06,1.4938e-06,1.5953e-06,6.9509e-07,3.1738e-07,7.8731e-08,1.1144e-08,3.6542e-08,2.0819e-06
12.4330,1.1330e-06,1.0448e-05,1.7641e-06,1.8931e-06,8.2846e-07,3.8009e-07,9.3774e-08,1.3347e-08,4.3325e-08,2.4242e-06
13.4280,1.3128e-06,1.1939e-05,2.0626e-06,2.2193e-06,9.7523e-07,4.4969e-07,1.1026e-07,1.5810e-08,5.0694e-08,2.7969e-06
14.4220,1.5022e-06,1.3545e-05,2.3911e-06,2.5742e-06,1.1365e-06,5.2661e-07,1.2826e-07,1.8551e-08,5.8661e-08,3.2003e-06
15.4170,1.7003e-06,1.5262e-05,2.7514e-06,2.9586e-06,1.3128e-06,6.1126e-07,1.4779e-07,2.1579e-08,6.7248e-08,3.6350e-06
16.4110,1.9063e-06,1.7096e-05,3.1458e-06,3.3734e-06,1.5045e-06,7.0412e-07,1.6890e-07,2.4865e-08,7.6467e-08,4.1018e-06
17.4060,2.1193e-06,1.9053e-05,3.5777e-06,3.8188e-06,1.7122e-06,8.0583e-07,1.9166e-07,2.8407e-08,8.6313e-08,4.6018e-06
18.4000,2.3386e-06,2.1136e-05,4.0515e-06,4.2944e-06,1.9362e-06,9.1683e-07,2.1622e-07,3.2166e-08,9.6847e-08,5.1358e-06
19.3940,2.5632e-06,2.3347e-05,4.5660e-06,4.8003e-06,2.1771e-06,1.0379e-06,2.4262e-07,3.6120e-08,1.0823e-07,5.7029e-06
20.3890,2.7924e-06,2.5678e-05,5.1155e-06,5.3366e-06,2.4357e-06,1.1698e-06,2.7106e-07,4.0180e-08,1.2039e-07,6.3007e-06
21.3830,3.0256e-06,2.8115e-05,5.7020e-06,5.9027e-06,2.7125e-06,1.3135e-06,3.0172e-07,4.4334e-08,1.3329e-07,6.9295e-06
22.3780,3.2625e-06,3.0654e-05,6.3308e-06,6.5007e-06,3.0079e-06,1.4695e-06,3.3471e-07,4.8683e-08,1.4665e-07,7.5902e-06
23.3720,3.5029e-06,3.3300e-05,7.0024e-06,7.1312e-06,3.3229e-06,1.6388e-06,3.7013e-07,5.3205e-08,1.6039e-07,8.2840e-06
