# Drift and bounce averaged energy diffusion coefficients in s^(-1) in figure 16e for E = 100.0keV, L* = 4.5 and Kp = 5
# Pitch Angle, 2.01 <= fpe/fce < 2.53, 2.53 <= fpe/fce < 3.19, 3.19 <= fpe/fce < 4.03, 4.03 <= fpe/fce < 5.08, 5.08 <= fpe/fce < 6.40, 6.40 <= fpe/fce < 8.08, 8.08 <= fpe/fce < 10.19, 10.19 <= fpe/fce < 12.85, 12.85 <= fpe/fce < 16.20, Average over fpe/fce
0.5000,8.4849e-10,2.3263e-07,1.4172e-08,4.1135e-09,5.4134e-10,1.8244e-10,5.1840e-11,1.1290e-11,2.6017e-11,9.2653e-09
1.4940,7.6435e-09,2.8777e-07,2.0895e-08,1.1054e-08,4.4115e-09,1.6419e-09,4.6698e-10,1.0164e-10,2.3436e-10,2.1947e-08
2.4890,2.1410e-08,3.9653e-07,3.4337e-08,2.4869e-08,1.2230e-08,4.5947e-09,1.3071e-09,2.8417e-10,6.5600e-10,4.3495e-08
3.4830,4.2403e-08,5.5935e-07,5.4699e-08,4.5827e-08,2.4100e-08,9.0878e-09,2.5861e-09,5.6118e-10,1.2978e-09,7.4368e-08
4.4780,7.0933e-08,7.7690e-07,8.2174e-08,7.4172e-08,4.0135e-08,1.5176e-08,4.3197e-09,9.3516e-10,2.1680e-09,1.1536e-07
5.4720,1.0737e-07,1.0506e-06,1.1690e-07,1.1009e-07,6.0473e-08,2.2921e-08,6.5267e-09,1.4087e-09,3.2759e-09,1.6714e-07
6.4670,1.5213e-07,1.3824e-06,1.5919e-07,1.5374e-07,8.5271e-08,3.2395e-08,9.2277e-09,1.9847e-09,4.6325e-09,2.3035e-07
7.4610,2.0571e-07,1.7745e-06,2.0950e-07,2.0551e-07,1.1463e-07,4.3680e-08,1.2446e-08,2.6660e-09,6.2503e-09,3.0576e-07
8.4560,2.6865e-07,2.2288e-06,2.6796e-07,2.6607e-07,1.4868e-07,5.6876e-08,1.6208e-08,3.4556e-09,8.1437e-09,3.9422e-07
9.4500,3.4159e-07,2.7472e-06,3.3479e-07,3.3584e-07,1.8750e-07,7.2079e-08,2.0543e-08,4.3564e-09,1.0329e-08,4.9647e-07
10.4440,4.2517e-07,3.3314e-06,4.1056e-07,4.1518e-07,2.3130e-07,8.9363e-08,2.5480e-08,5.3717e-09,1.2825e-08,6.1341e-07
11.4390,5.2018e-07,3.9824e-06,4.9556e-07,5.0459e-07,2.8032e-07,1.0886e-07,3.1055e-08,6.5043e-09,1.5652e-08,7.4602e-07
