# Drift and bounce averaged energy diffusion coefficients in s^(-1) in figure 16f for E = 500.0keV, L* = 4.5 and Kp = 5
# Pitch Angle, 2.01 <= fpe/fce < 2.53, 2.53 <= fpe/fce < 3.19, 3.19 <= fpe/fce < 4.03, 4.03 <= fpe/fce < 5.08, 5.08 <= fpe/fce < 6.40, 6.40 <= fpe/fce < 8.08, 8.08 <= fpe/fce < 10.19, 10.19 <= fpe/fce < 12.85, 12.85 <= fpe/fce < 16.20, Average over fpe/fce
0.5000,3.4009e-13,9.4485e-10,9.4371e-11,6.7837e-11,5.0151e-11,2.3957e-11,1.9684e-12,8.8523e-13,1.1210e-12,6.3032e-11
1.4940,3.1362e-12,8.5069e-09,8.4763e-10,6.1016e-10,4.5155e-10,2.1564e-10,1.7753e-11,7.9814e-12,1.0131e-11,5.6684e-10
2.4890,9.1862e-12,2.3788e-08,2.3704e-09,1.7062e-09,1.2628e-09,6.0272e-10,4.9813e-11,2.2381e-11,2.8546e-11,1.5835e-09
3.4830,1.9387e-11,4.6991e-08,4.6841e-09,3.3708e-09,2.4948e-09,1.1898e-09,9.8916e-11,4.4397e-11,5.7046e-11,3.1237e-09
4.4780,3.5102e-11,7.8346e-08,7.8123e-09,5.6207e-09,4.1596e-09,1.9818e-09,1.6606e-10,7.4425e-11,9.6615e-11,5.1980e-09
5.4720,5.8207e-11,1.1810e-07,1.1781e-08,8.4746e-09,6.2705e-09,2.9838e-09,2.5252e-10,1.1294e-10,1.4865e-10,7.8178e-09
6.4670,9.1147e-11,1.6671e-07,1.6623e-08,1.1951e-08,8.8418e-09,4.2011e-09,3.5984e-10,1.6049e-10,2.1519e-10,1.0994e-08
7.4610,1.3702e-10,2.2513e-07,2.2371e-08,1.6073e-08,1.1889e-08,5.6392e-09,4.8986e-10,2.1766e-10,2.9935e-10,1.4738e-08
8.4560,1.9964e-10,2.9310e-07,2.9040e-08,2.0871e-08,1.5428e-08,7.3035e-09,6.4477e-10,2.8504e-10,4.0551e-10,1.9054e-08
9.4500,2.8362e-10,3.6876e-07,3.6690e-08,2.6370e-08,1.9477e-08,9.1999e-09,8.2714e-10,3.6318e-10,5.3858e-10,2.3958e-08
10.4440,3.9447e-10,4.5374e-07,4.5318e-08,3.2605e-08,2.4054e-08,1.1334e-08,1.0398e-09,4.5254e-10,7.0250e-10,2.9461e-08
11.4390,5.3863e-10,5.4896e-07,5.4984e-08,3.9626e-08,2.9182e-08,1.3712e-08,1.2861e-09,5.5367e-10,9.0218e-10,3.5582e-08
12.4330,7.2360e-10,6.5492e-07,6.5730e-08,4.7471e-08,3.4899e-08,1.6375e-08,1.5701e-09,6.6723e-10,1.1433e-09,4.2351e-08
13.4280,9.5788e-10,7.7179e-07,7.7612e-08,5.6184e-08,4.1196e-08,1.9273e-08,1.8975e-09,7.9523e-10,1.4331e-09,4.9767e-08
14.4220,1.2511e-09,9.0006e-07,9.0693e-08,6.5862e-08,4.8110e-08,2.2434e-08,2.2663e-09,9.3417e-10,1.7758e-09,5.7878e-08
15.4170,1.6139e-09,1.0402e-06,1.0502e-07,7.6538e-08,5.6140e-08,2.5935e-08,2.6869e-09,1.0821e-09,2.1790e-09,6.6843e-08
16.4110,2.0580e-09,1.1934e-06,1.2067e-07,8.8202e-08,6.4538e-08,2.9717e-08,3.1855e-09,1.2504e-09,2.6700e-09,7.6485e-08
17.4060,2.5959e-09,1.3640e-06,1.3779e-07,1.0096e-07,7.3682e-08,3.3713e-08,3.7401e-09,1.4129e-09,3.2036e-09,8.6909e-08
18.4000,3.2414e-09,1.5451e-06,1.5650e-07,1.1510e-07,8.3289e-08,3.8040e-08,4.3679e-09,1.5692e-09,3.7913e-09,9.8157e-08
19.3940,4.0088e-09,1.7414e-06,1.7642e-07,1.3023e-07,9.4397e-08,4.2874e-08,5.1035e-09,1.7299e-09,4.4395e-09,1.1041e-07
20.3890,4.9133e-09,1.9485e-06,1.9786e-07,1.4663e-07,1.0607e-07,4.7730e-08,5.9291e-09,1.9009e-09,5.0612e-09,1.2336e-07
21.3830,5.9711e-09,2.1754e-06,2.2032e-07,1.6441e-07,1.1872e-07,5.2834e-08,6.9002e-09,2.0958e-09,5.6780e-09,1.3721e-07
22.3780,7.1986e-09,2.4171e-06,2.4483e-07,1.8337e-07,1.3255e-07,5.8313e-08,8.0188e-09,2.3248e-09,6.3502e-09,1.5205e-07
23.3720,8.6135e-09,2.6778e-06,2.7124e-07,2.0374e-07,1.4732e-07,6.4089e-08,9.1828e-09,2.6106e-09,7.0119e-09,1.6798e-07
24.3670,1.0235e-08,2.9502e-06,3.0081e-07,2.2563e-07,1.6329e-07,7.0198e-08,1.0444e-08,2.8736e-09,7.6975e-09,1.8526e-07
25.3610,1.2084e-08,3.2420e-06,3.3358e-07,2.4878e-07,1.8017e-07,7.6651e-08,1.1853e-08,3.0938e-09,8.1515e-09,2.0370e-07
26.3560,1.4186e-08,3.5458e-06,3.6959e-07,2.7361e-07,1.9819e-07,8.3770e-08,1.3532e-08,3.3325e-09,8.5247e-09,2.2363e-07
27.3500,1.6569e-08,3.8687e-06,4.0870e-07,3.0186e-07,2.1759e-07,9.0856e-08,1.5378e-08,3.5556e-09,8.8728e-09,2.4581e-07
28.3440,1.9269e-08,4.2077e-06,4.5069e-07,3.3451e-07,2.3837e-07,9.8106e-08,1.7599e-08,3.8383e-09,9.2623e-09,2.7034e-07
29.3390,2.2329e-08,4.5507e-06,4.9513e-07,3.6963e-07,2.6075e-07,1.0547e-07,1.9926e-08,4.2804e-09,9.8969e-09,2.9708e-07
30.3330,2.5798e-08,4.9165e-06,5.4053e-07,4.0743e-07,2.8541e-07,1.1362e-07,2.2504e-08,4.8069e-09,1.1055e-08,3.2567e-07
31.3280,2.9738e-08,5.3032e-06,5.8592e-07,4.4631e-07,3.1151e-07,1.2105e-07,2.5107e-08,5.2396e-09,1.1793e-08,3.5507e-07
32.3220,3.4231e-08,5.7280e-06,6.3301e-07,4.8410e-07,3.3979e-07,1.2945e-07,2.7889e-08,5.7294e-09,1.2339e-08,3.8599e-07
33.3170,3.9378e-08,6.1721e-06,6.8113e-07,5.2195e-07,3.6833e-07,1.3841e-07,3.1246e-08,6.3242e-09,1.2862e-08,4.1797e-07
34.3110,4.5306e-08,6.6436e-06,7.3503e-07,5.6178e-07,3.9888e-07,1.4901e-07,3.5419e-08,7.6199e-09,1.4082e-08,4.5301e-07
35.3060,5.2165e-08,7.1499e-06,7.9430e-07,6.0184e-07,4.3074e-07,1.5977e-07,3.8842e-08,8.3610e-09,1.4661e-08,4.9133e-07
36.3000,6.0138e-08,7.7052e-06,8.6105e-07,6.5036e-07,4.6571e-07,1.7131e-07,4.2482e-08,9.2271e-09,1.5814e-08,5.3593e-07
37.2940,6.9449e-08,8.2721e-06,9.3435e-07,7.0839e-07,5.0685e-07,1.8327e-07,4.6204e-08,1.0319e-08,1.8156e-08,5.8619e-07
38.2890,8.0241e-08,8.8150e-06,9.9528e-07,7.6249e-07,5.6113e-07,1.9723e-07,5.0250e-08,1.1507e-08,2.0855e-08,6.3610e-07
39.2830,9.2519e-08,9.3103e-06,1.0503e-06,8.0415e-07,6.0927e-07,2.1506e-07,5.5308e-08,1.3290e-08,2.4446e-08,6.8304e-07
40.2780,1.0633e-07,9.7818e-06,1.1077e-06,8.4347e-07,6.5166e-07,2.3653e-07,5.9809e-08,1.4178e-08,2.8580e-08,7.3295e-07
41.2720,1.2169e-07,1.0395e-05,1.1717e-06,8.8451e-07,6.8347e-07,2.6274e-07,6.5303e-08,1.4431e-08,3.2779e-08,7.8792e-07
42.2670,1.3859e-07,1.1090e-05,1.2760e-06,9.5361e-07,7.1063e-07,2.8463e-07,7.1436e-08,1.4745e-08,3.4462e-08,8.6001e-07
43.2610,1.5690e-07,1.1770e-05,1.3608e-06,1.0486e-06,7.7541e-07,3.1143e-07,7.6440e-08,1.4882e-08,3.5192e-08,9.4768e-07
44.2560,1.7642e-07,1.2399e-05,1.4027e-06,1.0820e-06,8.1324e-07,3.2605e-07,8.2491e-08,1.6604e-08,3.6718e-08,1.0020e-06
45.2500,1.9732e-07,1.3003e-05,1.4497e-06,1.1142e-06,8.4868e-07,3.3637e-07,8.4387e-08,1.6627e-08,3.5982e-08,1.0556e-06
46.2440,2.1989e-07,1.3620e-05,1.5056e-06,1.1477e-06,8.8476e-07,3.5214e-07,8.3584e-08,1.6744e-08,3.5177e-08,1.1093e-06
47.2390,2.4456e-07,1.4183e-05,1.5847e-06,1.1865e-06,9.1180e-07,3.7489e-07,8.1762e-08,1.6835e-08,3.4708e-08,1.1640e-06
48.2330,2.7278e-07,1.4610e-05,1.6335e-06,1.2406e-06,9.5565e-07,4.0744e-07,7.9612e-08,1.7029e-08,3.4805e-08,1.2259e-06
