# Drift and bounce averaged energy diffusion coefficients in s^(-1) in figure 16g for E = 1000.0keV, L* = 4.5 and Kp = 5
# Pitch Angle, 2.01 <= fpe/fce < 2.53, 2.53 <= fpe/fce < 3.19, 3.19 <= fpe/fce < 4.03, 4.03 <= fpe/fce < 5.08, 5.08 <= fpe/fce < 6.40, 6.40 <= fpe/fce < 8.08, 8.08 <= fpe/fce < 10.19, 10.19 <= fpe/fce < 12.85, 12.85 <= fpe/fce < 16.20, Average over fpe/fce
0.5000,7.7503e-15,3.7845e-10,4.1162e-11,2.7589e-11,2.3885e-11,1.1528e-11,7.7288e-13,1.7926e-13,5.0516e-13,5.1723e-11
1.4940,7.4212e-14,3.4071e-09,3.7068e-10,2.4845e-10,2.1492e-10,1.0379e-10,6.9658e-12,1.6145e-12,4.5412e-12,4.6563e-10
2.4890,2.3215e-13,9.5257e-09,1.0370e-09,6.9501e-10,6.0023e-10,2.9019e-10,1.9518e-11,4.5165e-12,1.2659e-11,1.3017e-09
3.4830,5.3223e-13,1.8811e-08,2.0497e-09,1.3738e-09,1.1835e-09,5.7315e-10,3.8672e-11,8.9266e-12,2.4884e-11,2.5705e-09
4.4780,1.0563e-12,3.1348e-08,3.4196e-09,2.2921e-09,1.9679e-09,9.5527e-10,6.4727e-11,1.4884e-11,4.1205e-11,4.2831e-09
5.4720,1.9295e-12,4.7228e-08,5.1590e-09,3.4581e-09,2.9564e-09,1.4394e-09,9.8044e-11,2.2433e-11,6.1527e-11,6.4512e-09
6.4670,3.3385e-12,6.6538e-08,7.2817e-09,4.8813e-09,4.1514e-09,2.0287e-09,1.3905e-10,3.1635e-11,8.5532e-11,9.0874e-09
7.4610,5.5572e-12,8.9395e-08,9.8021e-09,6.5720e-09,5.5550e-09,2.7267e-09,1.8826e-10,4.2613e-11,1.1239e-10,1.2204e-08
8.4560,8.9800e-12,1.1595e-07,1.2738e-08,8.5417e-09,7.1685e-09,3.5374e-09,2.4630e-10,5.5523e-11,1.4107e-10,1.5816e-08
9.4500,1.4165e-11,1.4632e-07,1.6103e-08,1.0805e-08,8.9931e-09,4.4655e-09,3.1385e-10,7.0675e-11,1.7183e-10,1.9935e-08
10.4440,2.1884e-11,1.8031e-07,1.9918e-08,1.3375e-08,1.1030e-08,5.5161e-09,3.9164e-10,8.8444e-11,2.0491e-10,2.4576e-08
11.4390,3.3190e-11,2.1836e-07,2.4206e-08,1.6286e-08,1.3279e-08,6.6942e-09,4.8065e-10,1.0897e-10,2.4096e-10,2.9761e-08
12.4330,4.9480e-11,2.6060e-07,2.8980e-08,1.9530e-08,1.5777e-08,8.0262e-09,5.8218e-10,1.3281e-10,2.8203e-10,3.5512e-08
13.4280,7.2571e-11,3.0732e-07,3.4273e-08,2.3137e-08,1.8474e-08,9.4789e-09,7.0067e-10,1.6271e-10,3.3054e-10,4.1814e-08
14.4220,1.0476e-10,3.5849e-07,4.0146e-08,2.7133e-08,2.1397e-08,1.1056e-08,8.3126e-10,1.9875e-10,3.8464e-10,4.8701e-08
15.4170,1.4886e-10,4.1443e-07,4.6568e-08,3.1649e-08,2.4956e-08,1.2784e-08,9.7299e-10,2.4383e-10,4.3349e-10,5.6321e-08
16.4110,2.0823e-10,4.7576e-07,5.3516e-08,3.6531e-08,2.8441e-08,1.4735e-08,1.1463e-09,3.0342e-10,4.9896e-10,6.4494e-08
17.4060,2.8668e-10,5.4759e-07,6.1090e-08,4.1908e-08,3.2161e-08,1.6706e-08,1.3351e-09,3.6001e-10,5.5544e-10,7.3277e-08
18.4000,3.8836e-10,6.2224e-07,6.9459e-08,4.7987e-08,3.5936e-08,1.8790e-08,1.5579e-09,4.2309e-10,6.1384e-10,8.2748e-08
19.3940,5.1747e-10,7.0239e-07,7.8133e-08,5.4451e-08,4.0331e-08,2.1178e-08,1.8234e-09,5.0017e-10,6.9541e-10,9.2962e-08
20.3890,6.7801e-10,7.8962e-07,8.7507e-08,6.1386e-08,4.4795e-08,2.3387e-08,2.0989e-09,6.0133e-10,7.6986e-10,1.0369e-07
21.3830,8.7315e-10,8.7880e-07,9.7154e-08,6.8740e-08,4.9527e-08,2.5727e-08,2.3939e-09,7.3609e-10,8.9295e-10,1.1498e-07
22.3780,1.1049e-09,9.7906e-07,1.0758e-07,7.6356e-08,5.4654e-08,2.8125e-08,2.7306e-09,8.7017e-10,1.0756e-09,1.2680e-07
23.3720,1.3731e-09,1.0881e-06,1.1898e-07,8.4215e-08,5.9831e-08,3.0538e-08,3.0883e-09,9.8783e-10,1.3606e-09,1.3906e-07
24.3670,1.6757e-09,1.2078e-06,1.3159e-07,9.2465e-08,6.5246e-08,3.3018e-08,3.4832e-09,1.1034e-09,1.7172e-09,1.5187e-07
25.3610,2.0076e-09,1.3325e-06,1.4451e-07,1.0165e-07,7.0836e-08,3.5516e-08,3.9737e-09,1.2717e-09,2.2827e-09,1.6545e-07
26.3560,2.3614e-09,1.4642e-06,1.5844e-07,1.1142e-07,7.6615e-08,3.8207e-08,4.5063e-09,1.4196e-09,2.9894e-09,1.7957e-07
