# Drift and bounce averaged energy diffusion coefficients in s^(-1) in figure 16h for E = 5000.0keV, L* = 4.5 and Kp = 5
# Pitch Angle, 2.01 <= fpe/fce < 2.53, 2.53 <= fpe/fce < 3.19, 3.19 <= fpe/fce < 4.03, 4.03 <= fpe/fce < 5.08, 5.08 <= fpe/fce < 6.40, 6.40 <= fpe/fce < 8.08, 8.08 <= fpe/fce < 10.19, 10.19 <= fpe/fce < 12.85, 12.85 <= fpe/fce < 16.20, Average over fpe/fce
0.5000,3.2552e-18,9.9144e-11,6.1622e-12,4.0738e-12,3.6104e-12,9.1883e-13,2.9349e-15,2.6934e-17,1.4979e-18,3.1346e-12
1.4940,2.9774e-17,8.9442e-10,5.5890e-11,3.6906e-11,3.2752e-11,8.4449e-12,3.0599e-14,4.0446e-16,7.7456e-17,2.8416e-11
2.4890,8.6153e-17,2.5106e-09,1.5861e-10,1.0448e-10,9.3205e-11,2.4561e-11,1.0542e-13,2.0577e-15,5.9209e-16,8.0569e-11
3.4830,1.8079e-16,4.9861e-09,3.2015e-10,2.1021e-10,1.9039e-10,5.1245e-11,2.5985e-13,7.1854e-15,2.3951e-15,1.6261e-10
4.4780,3.3475e-16,8.3631e-09,5.4813e-10,3.5906e-10,3.3640e-10,9.1234e-11,5.5149e-13,2.1052e-14,7.1321e-15,2.7935e-10
5.4720,6.0681e-16,1.2682e-08,8.4944e-10,5.5767e-10,5.5144e-10,1.4768e-10,1.1626e-12,6.2590e-14,1.8179e-14,4.3770e-10
6.4670,1.1687e-15,1.7961e-08,1.2292e-09,8.1454e-10,8.5153e-10,2.2335e-10,2.3851e-12,1.8745e-13,4.4532e-14,6.4571e-10
7.4610,2.5183e-15,2.4177e-08,1.6999e-09,1.1393e-09,1.2524e-09,3.1999e-10,4.5637e-12,4.2640e-13,1.1124e-13,9.1376e-10
8.4560,6.0602e-15,3.1252e-08,2.2647e-09,1.5386e-09,1.7725e-09,4.3913e-10,9.3004e-12,8.1933e-13,2.5617e-13,1.2521e-09
9.4500,1.5540e-14,3.9120e-08,2.9365e-09,2.0060e-09,2.4296e-09,5.7364e-10,1.6391e-11,1.2556e-12,6.8716e-13,1.6663e-09
10.4440,4.0120e-14,4.8080e-08,3.7439e-09,2.5282e-09,3.2420e-09,7.3243e-10,2.6182e-11,2.3944e-12,1.3940e-12,2.1652e-09
11.4390,1.0026e-13,5.7962e-08,4.7369e-09,3.1234e-09,4.2010e-09,9.5720e-10,3.7935e-11,4.1830e-12,2.3206e-12,2.7694e-09
12.4330,2.3826e-13,6.8997e-08,5.8763e-09,3.8285e-09,5.1877e-09,1.3146e-09,5.1737e-11,8.8779e-12,5.1426e-12,3.4468e-09
13.4280,5.3235e-13,8.1377e-08,7.1033e-09,4.7157e-09,5.9272e-09,1.8295e-09,7.9494e-11,2.0736e-11,1.0999e-11,4.1384e-09
14.4220,1.1119e-12,9.5241e-08,8.2536e-09,5.8010e-09,6.4820e-09,2.1756e-09,1.0243e-10,2.8492e-11,2.4494e-11,4.8304e-09
15.4170,2.1642e-12,1.1069e-07,9.5266e-09,6.9820e-09,7.3806e-09,2.6290e-09,1.2459e-10,3.9465e-11,5.0354e-11,5.6953e-09
16.4110,3.9156e-12,1.2779e-07,1.0974e-08,7.9978e-09,8.3918e-09,3.1113e-09,1.6901e-10,4.7238e-11,6.7124e-11,6.5863e-09
17.4060,6.5705e-12,1.4538e-07,1.2693e-08,8.6870e-09,8.8122e-09,3.5591e-09,1.8373e-10,4.6685e-11,6.5903e-11,7.1771e-09
18.4000,1.0195e-11,1.6037e-07,1.4642e-08,9.4292e-09,9.3220e-09,3.8415e-09,1.9577e-10,4.5806e-11,8.6913e-11,7.8170e-09
19.3940,1.4572e-11,1.7198e-07,1.6073e-08,1.0524e-08,9.9503e-09,4.3701e-09,2.0958e-10,4.2500e-11,1.0692e-10,8.5906e-09
20.3890,1.9125e-11,1.9034e-07,1.6860e-08,1.0995e-08,1.0329e-08,4.3997e-09,2.1034e-10,4.0193e-11,9.9148e-11,8.8994e-09
21.3830,2.3009e-11,2.0673e-07,1.8097e-08,1.1441e-08,1.0728e-08,4.2748e-09,2.1066e-10,3.9190e-11,9.0916e-11,9.2340e-09
22.3780,2.5486e-11,2.2733e-07,1.9712e-08,1.2220e-08,1.1218e-08,4.1173e-09,2.2785e-10,4.1622e-11,8.3591e-11,9.7812e-09
23.3720,2.6501e-11,2.3610e-07,2.0283e-08,1.2552e-08,1.1272e-08,4.1215e-09,2.3771e-10,4.1833e-11,7.2758e-11,1.0100e-08
24.3670,2.7233e-11,2.4141e-07,2.0104e-08,1.2659e-08,1.1049e-08,4.0112e-09,2.3000e-10,3.9305e-11,6.8378e-11,1.0157e-08
25.3610,2.9893e-11,2.3788e-07,1.9318e-08,1.2506e-08,1.0763e-08,3.8315e-09,2.3308e-10,3.8328e-11,6.5585e-11,1.0101e-08
26.3560,3.6036e-11,2.4998e-07,2.0134e-08,1.2706e-08,9.7826e-09,3.7948e-09,2.5005e-10,4.0204e-11,6.5463e-11,1.0081e-08
27.3500,4.4844e-11,2.4015e-07,1.8931e-08,1.2118e-08,9.2800e-09,3.5741e-09,2.4420e-10,4.3100e-11,7.2667e-11,9.7931e-09
28.3440,5.3638e-11,2.3049e-07,1.8232e-08,1.1549e-08,9.0109e-09,3.4319e-09,2.4604e-10,5.1353e-11,9.3823e-11,9.6736e-09
29.3390,5.9344e-11,2.1957e-07,1.7598e-08,1.1312e-08,8.9186e-09,3.4215e-09,2.5726e-10,6.6565e-11,1.4388e-10,9.7823e-09
30.3330,5.9974e-11,2.1307e-07,1.8125e-08,1.1485e-08,8.6073e-09,3.4777e-09,2.8597e-10,1.0861e-10,2.1332e-10,1.0088e-08
31.3280,5.5244e-11,2.0785e-07,1.7840e-08,1.1270e-08,8.2196e-09,3.3156e-09,2.8977e-10,1.0307e-10,2.1097e-10,1.0242e-08
32.3220,4.6287e-11,2.0821e-07,1.7744e-08,1.1033e-08,7.9976e-09,3.1970e-09,2.9941e-10,1.0062e-10,2.0712e-10,1.0614e-08
33.3170,3.5650e-11,2.1644e-07,1.7972e-08,1.1348e-08,7.9063e-09,3.1386e-09,3.1742e-10,9.9341e-11,2.1113e-10,1.1334e-08
34.3110,2.7187e-11,2.2571e-07,1.8780e-08,1.2629e-08,8.2151e-09,3.1390e-09,3.5270e-10,1.0264e-10,2.1741e-10,1.2585e-08
35.3060,2.4460e-11,2.2460e-07,1.8838e-08,1.2347e-08,8.0410e-09,3.0187e-09,3.6801e-10,9.7607e-11,2.1149e-10,1.3329e-08
36.3000,2.8633e-11,2.2085e-07,1.8498e-08,1.2316e-08,7.9734e-09,2.9361e-09,3.8593e-10,9.5226e-11,2.0781e-10,1.4332e-08
37.2940,3.7633e-11,2.2190e-07,1.8387e-08,1.2417e-08,8.2439e-09,2.8921e-09,4.1806e-10,9.7031e-11,2.0850e-10,1.5946e-08
