# Bounce and drift averaged energy diffusion coefficients in s^(-1) in figure 17a for E = 1000.0 keV, pitch angle = 45, Kp = 5
# L*, Horne 2013, Meredith 2020, Wong 2023
3.0000,1.5626e-07,4.1633e-20,2.8920e-07
3.1000,1.5250e-07,1.8502e-15,3.1467e-07
3.2000,1.4884e-07,8.2223e-11,3.4238e-07
3.3000,1.4526e-07,2.2446e-08,3.7253e-07
3.4000,1.4177e-07,3.7638e-08,4.0534e-07
3.5000,1.3836e-07,6.3113e-08,4.4103e-07
3.6000,1.4515e-07,1.0583e-07,5.6183e-07
3.7000,1.5226e-07,1.7746e-07,7.1570e-07
3.8000,1.5972e-07,2.4432e-07,9.1173e-07
3.9000,1.6755e-07,2.7617e-07,1.1614e-06
4.0000,1.7576e-07,3.1217e-07,1.4795e-06
4.1000,2.0998e-07,3.5287e-07,1.1510e-06
4.2000,2.5085e-07,3.9887e-07,8.9547e-07
4.3000,2.9968e-07,4.0912e-07,6.9665e-07
4.4000,3.5802e-07,3.8079e-07,5.4197e-07
4.5000,4.2771e-07,3.5443e-07,4.2163e-07
4.6000,4.0597e-07,3.2989e-07,3.6898e-07
4.7000,3.8533e-07,3.0704e-07,3.2291e-07
4.8000,3.6574e-07,3.0353e-07,2.8259e-07
4.9000,3.4715e-07,3.1870e-07,2.4730e-07
5.0000,3.2950e-07,3.3462e-07,2.1642e-07
5.1000,2.8613e-07,3.5134e-07,2.1642e-07
5.2000,2.4846e-07,3.6889e-07,2.1642e-07
5.3000,2.1575e-07,3.8795e-07,2.1642e-07
5.4000,1.8735e-07,4.0865e-07,2.1642e-07
5.5000,1.6268e-07,4.3045e-07,2.1642e-07
5.6000,1.9696e-07,4.5342e-07,2.1642e-07
5.7000,2.3847e-07,4.7762e-07,2.1642e-07
5.8000,2.8872e-07,4.9841e-07,2.1642e-07
5.9000,3.4955e-07,5.1526e-07,2.1642e-07
6.0000,4.2321e-07,5.3268e-07,2.1642e-07
