# Bounce and drift averaged energy diffusion coefficients in s^(-1) in figure 17b for E = 1000.0 keV, pitch angle = 75, Kp = 5
# L*, Horne 2013, Meredith 2020, Wong 2023
3.0000,7.3415e-08,6.4793e-20,1.1644e-06
3.1000,9.1467e-08,3.4367e-15,9.0688e-07
3.2000,1.1396e-07,1.8229e-10,7.0634e-07
3.3000,1.4198e-07,5.2272e-08,5.5014e-07
3.4000,1.7689e-07,8.1040e-08,4.2849e-07
3.5000,2.2039e-07,1.2564e-07,3.3374e-07
3.6000,2.3811e-07,1.9478e-07,4.6829e-07
3.7000,2.5725e-07,3.0198e-07,6.5709e-07
3.8000,2.7793e-07,4.0251e-07,9.2201e-07
3.9000,3.0028e-07,4.6127e-07,1.2937e-06
4.0000,3.2442e-07,5.2860e-07,1.8153e-06
4.1000,3.6264e-07,6.0576e-07,1.7619e-06
4.2000,4.0537e-07,6.9419e-07,1.7101e-06
4.3000,4.5313e-07,7.8766e-07,1.6598e-06
4.4000,5.0652e-07,8.8488e-07,1.6110e-06
4.5000,5.6620e-07,9.9410e-07,1.5636e-06
4.6000,6.7466e-07,1.1168e-06,1.7169e-06
4.7000,8.0389e-07,1.2546e-06,1.8853e-06
4.8000,9.5788e-07,1.3252e-06,2.0702e-06
4.9000,1.1414e-06,1.3161e-06,2.2732e-06
5.0000,1.3600e-06,1.3070e-06,2.4962e-06
5.1000,1.1902e-06,1.2980e-06,2.4962e-06
5.2000,1.0417e-06,1.2891e-06,2.4962e-06
5.3000,9.1165e-07,1.3093e-06,2.4962e-06
5.4000,7.9785e-07,1.3600e-06,2.4962e-06
5.5000,6.9826e-07,1.4127e-06,2.4962e-06
5.6000,6.7680e-07,1.4675e-06,2.4962e-06
5.7000,6.5600e-07,1.5243e-06,2.4962e-06
5.8000,6.3584e-07,1.5176e-06,2.4962e-06
5.9000,6.1630e-07,1.4482e-06,2.4962e-06
6.0000,5.9736e-07,1.3819e-06,2.4962e-06
