# Chorus wave power in pT^2 for frequency range 0.1fce < f < 0.2fce, where fce is the electron gyrofrequency,  for 30 magnetic latitude bins from 0 < |MLAT| < 90 and 5 Kp bins, as shown in Figure 2b 
#  |MLAT|,0 <= Kp < 1,1 <= Kp < 2,2 <= Kp < 3,3 <= Kp < 4,Kp >= 4
1.5000,5.7166e+00,9.2576e+00,1.6086e+01,2.7912e+01,1.3809e+02
4.5000,9.4714e+00,1.1737e+01,2.6646e+01,9.2552e+01,1.8928e+02
7.5000,7.9385e+00,1.4311e+01,3.4396e+01,1.2861e+02,2.6491e+02
10.5000,8.0163e+00,2.2464e+01,3.9096e+01,1.3011e+02,3.4788e+02
13.5000,7.8613e+00,2.2944e+01,4.1634e+01,2.2746e+02,5.7517e+02
16.5000,5.0781e+00,2.1487e+01,5.3018e+01,2.3815e+02,5.6625e+02
19.5000,6.8073e+00,1.9076e+01,4.2144e+01,1.9860e+02,5.1876e+02
22.5000,9.6030e+00,1.2862e+01,3.7513e+01,2.1129e+02,4.5348e+02
25.5000,1.0008e+01,1.4317e+01,3.9386e+01,1.3670e+02,2.6226e+02
28.5000,1.1152e+01,2.1315e+01,2.0965e+01,8.6388e+01,2.4829e+02
31.5000,1.3807e+01,2.5379e+01,3.1401e+01,7.7419e+01,2.2062e+02
34.5000,1.0770e+01,2.5842e+01,3.5250e+01,6.0420e+01,2.0839e+02
37.5000,8.5291e+00,2.2764e+01,2.6492e+01,3.4680e+01,1.5505e+02
40.5000,5.9226e+00,1.3049e+01,2.1589e+01,1.8848e+01,1.0501e+02
43.5000,7.0330e-01,5.8878e+00,7.6150e+00,8.1644e+00,5.7238e+01
46.5000,1.5272e-01,1.1879e+00,7.5132e-01,2.7410e+00,8.1589e+00
49.5000,0.0000e+00,1.7764e-15,0.0000e+00,0.0000e+00,0.0000e+00
52.5000,0.0000e+00,1.7764e-15,0.0000e+00,0.0000e+00,0.0000e+00
55.5000,0.0000e+00,1.7764e-15,0.0000e+00,0.0000e+00,0.0000e+00
58.5000,0.0000e+00,1.7764e-15,0.0000e+00,0.0000e+00,0.0000e+00
61.5000,0.0000e+00,1.7764e-15,0.0000e+00,0.0000e+00,0.0000e+00
64.5000,0.0000e+00,1.7764e-15,0.0000e+00,0.0000e+00,0.0000e+00
67.5000,0.0000e+00,1.7764e-15,0.0000e+00,0.0000e+00,0.0000e+00
70.5000,0.0000e+00,1.7764e-15,0.0000e+00,0.0000e+00,0.0000e+00
73.5000,0.0000e+00,1.7764e-15,0.0000e+00,0.0000e+00,0.0000e+00
76.5000,0.0000e+00,1.7764e-15,0.0000e+00,0.0000e+00,0.0000e+00
79.5000,0.0000e+00,1.7764e-15,0.0000e+00,0.0000e+00,0.0000e+00
82.5000,0.0000e+00,1.7764e-15,0.0000e+00,0.0000e+00,0.0000e+00
85.5000,0.0000e+00,1.7764e-15,0.0000e+00,0.0000e+00,0.0000e+00
88.5000,0.0000e+00,2.3685e-15,0.0000e+00,0.0000e+00,0.0000e+00
