# Absolute difference in magnetic latitude in degrees and number of samples in each L*/MLT bin in Figure 3b
# L*,MLT,|lamda - lambda^D|,Counts
0.0500,0.5000,nan,0.0000e+00
0.1500,0.5000,nan,0.0000e+00
0.2500,0.5000,nan,0.0000e+00
0.3500,0.5000,nan,0.0000e+00
0.4500,0.5000,nan,0.0000e+00
0.5500,0.5000,nan,0.0000e+00
0.6500,0.5000,nan,0.0000e+00
0.7500,0.5000,nan,0.0000e+00
0.8500,0.5000,nan,0.0000e+00
0.9500,0.5000,nan,0.0000e+00
1.0500,0.5000,nan,0.0000e+00
1.1500,0.5000,nan,0.0000e+00
1.2500,0.5000,nan,0.0000e+00
1.3500,0.5000,nan,0.0000e+00
1.4500,0.5000,nan,0.0000e+00
1.5500,0.5000,nan,0.0000e+00
1.6500,0.5000,nan,0.0000e+00
1.7500,0.5000,nan,0.0000e+00
1.8500,0.5000,nan,0.0000e+00
1.9500,0.5000,nan,0.0000e+00
2.0500,0.5000,nan,0.0000e+00
2.1500,0.5000,nan,0.0000e+00
2.2500,0.5000,nan,0.0000e+00
2.3500,0.5000,nan,0.0000e+00
2.4500,0.5000,nan,0.0000e+00
2.5500,0.5000,9.9345e-01,2.0000e+00
2.6500,0.5000,6.5526e-01,3.0000e+00
2.7500,0.5000,8.7756e-01,1.0000e+00
2.8500,0.5000,1.0742e+00,5.0000e+00
2.9500,0.5000,7.7743e-01,2.0000e+00
3.0500,0.5000,1.7484e+00,2.0000e+00
3.1500,0.5000,1.4546e+00,1.0000e+00
3.2500,0.5000,2.3013e+00,2.0000e+00
3.3500,0.5000,2.3116e+00,2.0000e+00
3.4500,0.5000,2.2639e+00,3.0000e+00
3.5500,0.5000,2.1980e+00,3.0000e+00
3.6500,0.5000,1.5839e+00,8.0000e+00
3.7500,0.5000,1.6056e+00,9.0000e+00
3.8500,0.5000,1.8374e+00,1.2000e+01
3.9500,0.5000,1.6212e+00,1.2000e+01
4.0500,0.5000,1.3861e+00,1.4000e+01
4.1500,0.5000,1.3572e+00,1.3000e+01
4.2500,0.5000,1.9159e+00,1.9000e+01
4.3500,0.5000,2.0919e+00,1.8000e+01
4.4500,0.5000,2.5263e+00,3.0000e+01
4.5500,0.5000,2.3738e+00,3.9000e+01
4.6500,0.5000,3.3401e+00,4.3000e+01
4.7500,0.5000,3.3349e+00,5.2000e+01
4.8500,0.5000,3.2770e+00,6.9000e+01
4.9500,0.5000,3.8387e+00,8.6000e+01
5.0500,0.5000,4.3876e+00,1.0800e+02
