# Absolute difference in magnetic latitude in degrees and number of samples in each L*/MLT bin in Figure 3c
# L*,MLT,|lamda - lambda^D|,Counts
0.0500,0.5000,nan,0.0000e+00
0.1500,0.5000,nan,0.0000e+00
0.2500,0.5000,nan,0.0000e+00
0.3500,0.5000,nan,0.0000e+00
0.4500,0.5000,nan,0.0000e+00
0.5500,0.5000,nan,0.0000e+00
0.6500,0.5000,nan,0.0000e+00
0.7500,0.5000,nan,0.0000e+00
0.8500,0.5000,nan,0.0000e+00
0.9500,0.5000,nan,0.0000e+00
1.0500,0.5000,nan,0.0000e+00
1.1500,0.5000,nan,0.0000e+00
1.2500,0.5000,nan,0.0000e+00
1.3500,0.5000,nan,0.0000e+00
1.4500,0.5000,nan,0.0000e+00
1.5500,0.5000,nan,0.0000e+00
1.6500,0.5000,nan,0.0000e+00
1.7500,0.5000,nan,0.0000e+00
1.8500,0.5000,nan,0.0000e+00
1.9500,0.5000,nan,0.0000e+00
2.0500,0.5000,nan,0.0000e+00
2.1500,0.5000,nan,0.0000e+00
2.2500,0.5000,nan,0.0000e+00
2.3500,0.5000,nan,0.0000e+00
2.4500,0.5000,nan,0.0000e+00
2.5500,0.5000,8.5428e-01,1.0000e+00
2.6500,0.5000,nan,0.0000e+00
2.7500,0.5000,1.8192e+00,3.0000e+00
2.8500,0.5000,2.0346e+00,3.0000e+00
2.9500,0.5000,1.6282e+00,3.0000e+00
3.0500,0.5000,1.8811e+00,5.0000e+00
3.1500,0.5000,1.2070e+00,5.0000e+00
3.2500,0.5000,9.3413e-01,3.0000e+00
3.3500,0.5000,2.0261e+00,5.0000e+00
3.4500,0.5000,1.6591e+00,8.0000e+00
3.5500,0.5000,1.6913e+00,7.0000e+00
3.6500,0.5000,1.3970e+00,1.0000e+01
3.7500,0.5000,1.6539e+00,2.5000e+01
3.8500,0.5000,1.8360e+00,3.0000e+01
3.9500,0.5000,1.6440e+00,2.9000e+01
4.0500,0.5000,1.9351e+00,4.3000e+01
4.1500,0.5000,2.3546e+00,4.7000e+01
4.2500,0.5000,2.8191e+00,7.2000e+01
4.3500,0.5000,2.8548e+00,8.0000e+01
4.4500,0.5000,3.0916e+00,8.9000e+01
4.5500,0.5000,3.3044e+00,1.0200e+02
4.6500,0.5000,3.4876e+00,1.0700e+02
4.7500,0.5000,3.8680e+00,1.2400e+02
4.8500,0.5000,4.3287e+00,1.2000e+02
4.9500,0.5000,4.9023e+00,1.3200e+02
5.0500,0.5000,4.9133e+00,1.4100e+02
5.1500,0.5000,5.2461e+00,1.5700e+02
