# Absolute difference in magnetic latitude in degrees and number of samples in each L*/MLT bin in Figure 3d
# L*,MLT,|lamda - lambda^D|,Counts
0.0500,0.5000,nan,0.0000e+00
0.1500,0.5000,nan,0.0000e+00
0.2500,0.5000,nan,0.0000e+00
0.3500,0.5000,nan,0.0000e+00
0.4500,0.5000,nan,0.0000e+00
0.5500,0.5000,nan,0.0000e+00
0.6500,0.5000,nan,0.0000e+00
0.7500,0.5000,nan,0.0000e+00
0.8500,0.5000,nan,0.0000e+00
0.9500,0.5000,nan,0.0000e+00
1.0500,0.5000,nan,0.0000e+00
1.1500,0.5000,nan,0.0000e+00
1.2500,0.5000,nan,0.0000e+00
1.3500,0.5000,nan,0.0000e+00
1.4500,0.5000,nan,0.0000e+00
1.5500,0.5000,nan,0.0000e+00
1.6500,0.5000,nan,0.0000e+00
1.7500,0.5000,nan,0.0000e+00
1.8500,0.5000,nan,0.0000e+00
1.9500,0.5000,nan,0.0000e+00
2.0500,0.5000,nan,0.0000e+00
2.1500,0.5000,nan,0.0000e+00
2.2500,0.5000,nan,0.0000e+00
2.3500,0.5000,nan,0.0000e+00
2.4500,0.5000,nan,0.0000e+00
2.5500,0.5000,3.2005e+00,1.0000e+00
2.6500,0.5000,2.4075e+00,2.0000e+00
2.7500,0.5000,nan,0.0000e+00
2.8500,0.5000,2.9438e-01,1.0000e+00
2.9500,0.5000,nan,0.0000e+00
3.0500,0.5000,nan,0.0000e+00
3.1500,0.5000,1.5644e+00,2.0000e+00
3.2500,0.5000,1.5288e+00,4.0000e+00
3.3500,0.5000,1.3681e+00,7.0000e+00
3.4500,0.5000,1.6876e+00,1.2000e+01
3.5500,0.5000,2.1013e+00,1.3000e+01
3.6500,0.5000,1.9940e+00,2.0000e+01
3.7500,0.5000,2.3071e+00,3.0000e+01
3.8500,0.5000,2.6683e+00,3.0000e+01
3.9500,0.5000,2.4913e+00,4.0000e+01
4.0500,0.5000,2.7473e+00,3.9000e+01
4.1500,0.5000,2.8685e+00,5.0000e+01
4.2500,0.5000,3.6863e+00,6.2000e+01
4.3500,0.5000,3.7948e+00,7.0000e+01
4.4500,0.5000,3.8834e+00,8.2000e+01
4.5500,0.5000,4.6415e+00,9.2000e+01
4.6500,0.5000,4.7906e+00,9.1000e+01
4.7500,0.5000,6.2043e+00,9.0000e+01
4.8500,0.5000,6.5954e+00,1.0500e+02
4.9500,0.5000,7.2795e+00,9.5000e+01
5.0500,0.5000,7.5561e+00,1.1300e+02
5.1500,0.5000,8.7659e+00,1.5100e+02
