# Absolute difference in magnetic latitude in degrees and number of samples in each L*/MLT bin in Figure 3e
# L*,MLT,|lamda - lambda^D|,Counts
0.0500,0.5000,nan,0.0000e+00
0.1500,0.5000,nan,0.0000e+00
0.2500,0.5000,nan,0.0000e+00
0.3500,0.5000,nan,0.0000e+00
0.4500,0.5000,nan,0.0000e+00
0.5500,0.5000,nan,0.0000e+00
0.6500,0.5000,nan,0.0000e+00
0.7500,0.5000,nan,0.0000e+00
0.8500,0.5000,nan,0.0000e+00
0.9500,0.5000,nan,0.0000e+00
1.0500,0.5000,nan,0.0000e+00
1.1500,0.5000,nan,0.0000e+00
1.2500,0.5000,nan,0.0000e+00
1.3500,0.5000,nan,0.0000e+00
1.4500,0.5000,nan,0.0000e+00
1.5500,0.5000,nan,0.0000e+00
1.6500,0.5000,nan,0.0000e+00
1.7500,0.5000,nan,0.0000e+00
1.8500,0.5000,nan,0.0000e+00
1.9500,0.5000,nan,0.0000e+00
2.0500,0.5000,nan,0.0000e+00
2.1500,0.5000,nan,0.0000e+00
2.2500,0.5000,nan,0.0000e+00
2.3500,0.5000,nan,0.0000e+00
2.4500,0.5000,nan,0.0000e+00
2.5500,0.5000,nan,0.0000e+00
2.6500,0.5000,1.8714e+00,1.0000e+00
2.7500,0.5000,1.8617e+00,2.0000e+00
2.8500,0.5000,nan,0.0000e+00
2.9500,0.5000,2.0295e+00,1.0000e+00
3.0500,0.5000,2.3563e+00,1.0000e+00
3.1500,0.5000,1.1461e+00,1.0000e+00
3.2500,0.5000,1.5764e+00,3.0000e+00
3.3500,0.5000,1.8807e+00,4.0000e+00
3.4500,0.5000,1.7768e+00,6.0000e+00
3.5500,0.5000,1.6300e+00,8.0000e+00
3.6500,0.5000,1.6222e+00,1.0000e+01
3.7500,0.5000,1.9182e+00,1.0000e+01
3.8500,0.5000,2.1161e+00,1.3000e+01
3.9500,0.5000,3.1785e+00,1.5000e+01
4.0500,0.5000,3.1048e+00,1.6000e+01
4.1500,0.5000,3.3542e+00,2.4000e+01
4.2500,0.5000,3.1905e+00,2.7000e+01
4.3500,0.5000,3.2112e+00,2.8000e+01
4.4500,0.5000,4.9394e+00,3.0000e+01
4.5500,0.5000,5.4873e+00,3.0000e+01
4.6500,0.5000,5.9917e+00,2.8000e+01
4.7500,0.5000,6.3086e+00,2.7000e+01
4.8500,0.5000,6.9030e+00,3.0000e+01
4.9500,0.5000,6.6952e+00,3.9000e+01
5.0500,0.5000,1.1035e+01,6.1000e+01
5.1500,0.5000,1.0810e+01,4.9000e+01
