# Absolute difference in magnetic latitude in degrees and number of samples in each L*/MLT bin in Figure 3f
# L*,MLT,|lamda - lambda^D|,Counts
0.0500,0.5000,nan,0.0000e+00
0.1500,0.5000,nan,0.0000e+00
0.2500,0.5000,nan,0.0000e+00
0.3500,0.5000,nan,0.0000e+00
0.4500,0.5000,nan,0.0000e+00
0.5500,0.5000,nan,0.0000e+00
0.6500,0.5000,nan,0.0000e+00
0.7500,0.5000,nan,0.0000e+00
0.8500,0.5000,nan,0.0000e+00
0.9500,0.5000,nan,0.0000e+00
1.0500,0.5000,nan,0.0000e+00
1.1500,0.5000,nan,0.0000e+00
1.2500,0.5000,nan,0.0000e+00
1.3500,0.5000,nan,0.0000e+00
1.4500,0.5000,nan,0.0000e+00
1.5500,0.5000,nan,0.0000e+00
1.6500,0.5000,nan,0.0000e+00
1.7500,0.5000,nan,0.0000e+00
1.8500,0.5000,nan,0.0000e+00
1.9500,0.5000,nan,0.0000e+00
2.0500,0.5000,nan,0.0000e+00
2.1500,0.5000,nan,0.0000e+00
2.2500,0.5000,nan,0.0000e+00
2.3500,0.5000,nan,0.0000e+00
2.4500,0.5000,nan,0.0000e+00
2.5500,0.5000,1.6735e+00,1.0000e+00
2.6500,0.5000,nan,0.0000e+00
2.7500,0.5000,8.5992e-01,1.0000e+00
2.8500,0.5000,nan,0.0000e+00
2.9500,0.5000,1.9293e+00,2.0000e+00
3.0500,0.5000,3.0055e+00,2.0000e+00
3.1500,0.5000,4.1281e+00,3.0000e+00
3.2500,0.5000,3.0520e+00,3.0000e+00
3.3500,0.5000,6.6683e+00,1.0000e+00
3.4500,0.5000,4.8846e+00,2.0000e+00
3.5500,0.5000,5.6178e+00,2.0000e+00
3.6500,0.5000,2.3592e+00,2.0000e+00
3.7500,0.5000,2.9282e+00,3.0000e+00
3.8500,0.5000,3.6252e+00,3.0000e+00
3.9500,0.5000,3.7709e+00,2.0000e+00
4.0500,0.5000,4.1208e+00,4.0000e+00
4.1500,0.5000,8.9216e+00,5.0000e+00
4.2500,0.5000,5.8418e+00,8.0000e+00
4.3500,0.5000,9.7433e+00,1.4000e+01
4.4500,0.5000,1.1574e+01,1.8000e+01
4.5500,0.5000,9.9523e+00,1.2000e+01
4.6500,0.5000,1.1927e+01,1.1000e+01
4.7500,0.5000,1.3052e+01,1.6000e+01
4.8500,0.5000,9.2511e+00,1.0000e+01
4.9500,0.5000,6.6115e+00,1.2000e+01
5.0500,0.5000,1.4170e+01,2.6000e+01
5.1500,0.5000,1.3963e+01,1.7000e+01
