# Average intensity in pT^2 and number of samples in each in each L*/|MLAT| bin in figure 4a
# L*,|MLAT|,Intensity,Counts
0.0500,1.5000,nan,0.0000e+00
0.1500,1.5000,nan,0.0000e+00
0.2500,1.5000,nan,0.0000e+00
0.3500,1.5000,nan,0.0000e+00
0.4500,1.5000,nan,0.0000e+00
0.5500,1.5000,nan,0.0000e+00
0.6500,1.5000,nan,0.0000e+00
0.7500,1.5000,nan,0.0000e+00
0.8500,1.5000,nan,0.0000e+00
0.9500,1.5000,nan,0.0000e+00
1.0500,1.5000,nan,0.0000e+00
1.1500,1.5000,nan,0.0000e+00
1.2500,1.5000,nan,0.0000e+00
1.3500,1.5000,nan,0.0000e+00
1.4500,1.5000,nan,0.0000e+00
1.5500,1.5000,nan,0.0000e+00
1.6500,1.5000,nan,0.0000e+00
1.7500,1.5000,nan,0.0000e+00
1.8500,1.5000,nan,0.0000e+00
1.9500,1.5000,nan,0.0000e+00
2.0500,1.5000,nan,0.0000e+00
2.1500,1.5000,nan,0.0000e+00
2.2500,1.5000,nan,0.0000e+00
2.3500,1.5000,nan,0.0000e+00
2.4500,1.5000,nan,0.0000e+00
2.5500,1.5000,8.4838e+00,3.2300e+02
2.6500,1.5000,8.8748e+00,3.8600e+02
2.7500,1.5000,2.8871e+01,5.0800e+02
2.8500,1.5000,3.4476e+01,5.9700e+02
2.9500,1.5000,4.2650e+01,6.7700e+02
3.0500,1.5000,4.9506e+01,7.6200e+02
3.1500,1.5000,8.0566e+01,8.6300e+02
3.2500,1.5000,1.1238e+02,9.6400e+02
3.3500,1.5000,8.6604e+01,1.1200e+03
3.4500,1.5000,9.5217e+01,1.2230e+03
3.5500,1.5000,1.2618e+02,1.2400e+03
3.6500,1.5000,1.7176e+02,1.5400e+03
3.7500,1.5000,1.9526e+02,1.6390e+03
3.8500,1.5000,1.5905e+02,1.7000e+03
3.9500,1.5000,1.8201e+02,1.7370e+03
4.0500,1.5000,2.2601e+02,1.6130e+03
4.1500,1.5000,1.3886e+02,2.1590e+03
4.2500,1.5000,2.8516e+02,3.0660e+03
4.3500,1.5000,2.6311e+02,3.1890e+03
4.4500,1.5000,4.6120e+02,4.2220e+03
4.5500,1.5000,6.4556e+02,5.3080e+03
4.6500,1.5000,6.8549e+02,7.8890e+03
4.7500,1.5000,1.3039e+02,6.3990e+03
4.8500,1.5000,6.9748e+01,4.3290e+03
4.9500,1.5000,1.2408e+01,6.6700e+02
5.0500,1.5000,3.2732e+02,7.7500e+02
5.1500,1.5000,nan,0.0000e+00
5.2500,1.5000,nan,0.0000e+00
5.3500,1.5000,nan,0.0000e+00
5.4500,1.5000,nan,0.0000e+00
5.5500,1.5000,nan,0.0000e+00
5.6500,1.5000,nan,0.0000e+00
5.7500,1.5000,nan,0.0000e+00
5.8500,1.5000,nan,0.0000e+00
5.9500,1.5000,nan,0.0000e+00
0.0500,4.5000,nan,0.0000e+00
0.1500,4.5000,nan,0.0000e+00
0.2500,4.5000,nan,0.0000e+00
0.3500,4.5000,nan,0.0000e+00
0.4500,4.5000,nan,0.0000e+00
0.5500,4.5000,nan,0.0000e+00
0.6500,4.5000,nan,0.0000e+00
0.7500,4.5000,nan,0.0000e+00
0.8500,4.5000,nan,0.0000e+00
0.9500,4.5000,nan,0.0000e+00
1.0500,4.5000,nan,0.0000e+00
1.1500,4.5000,nan,0.0000e+00
1.2500,4.5000,nan,0.0000e+00
1.3500,4.5000,nan,0.0000e+00
1.4500,4.5000,nan,0.0000e+00
1.5500,4.5000,nan,0.0000e+00
1.6500,4.5000,nan,0.0000e+00
1.7500,4.5000,nan,0.0000e+00
1.8500,4.5000,nan,0.0000e+00
1.9500,4.5000,nan,0.0000e+00
2.0500,4.5000,nan,0.0000e+00
2.1500,4.5000,nan,0.0000e+00
2.2500,4.5000,nan,0.0000e+00
2.3500,4.5000,nan,0.0000e+00
2.4500,4.5000,nan,0.0000e+00
2.5500,4.5000,3.4103e+00,2.4600e+02
2.6500,4.5000,7.4406e+00,3.2600e+02
2.7500,4.5000,1.2603e+01,3.0800e+02
2.8500,4.5000,1.3352e+01,3.6900e+02
2.9500,4.5000,1.8887e+01,3.9900e+02
3.0500,4.5000,2.9338e+01,4.3600e+02
3.1500,4.5000,2.6345e+01,5.8900e+02
3.2500,4.5000,2.2446e+01,6.9400e+02
3.3500,4.5000,3.4007e+01,7.1700e+02
3.4500,4.5000,4.4421e+01,7.6300e+02
3.5500,4.5000,4.2285e+01,8.3400e+02
3.6500,4.5000,1.3507e+02,8.2700e+02
3.7500,4.5000,8.4953e+01,1.0720e+03
3.8500,4.5000,1.0185e+02,1.4090e+03
3.9500,4.5000,3.2741e+02,1.5680e+03
4.0500,4.5000,7.1761e+02,1.8490e+03
4.1500,4.5000,4.8520e+02,2.2440e+03
4.2500,4.5000,3.4676e+02,2.3780e+03
4.3500,4.5000,6.8641e+02,3.2850e+03
4.4500,4.5000,7.9677e+02,3.6350e+03
4.5500,4.5000,3.8845e+02,4.2950e+03
4.6500,4.5000,6.5551e+02,4.1480e+03
4.7500,4.5000,1.1065e+03,3.6820e+03
4.8500,4.5000,1.9759e+03,2.9700e+03
4.9500,4.5000,3.4590e+03,1.1440e+03
5.0500,4.5000,1.6988e+01,3.2200e+02
5.1500,4.5000,nan,0.0000e+00
5.2500,4.5000,nan,0.0000e+00
5.3500,4.5000,nan,0.0000e+00
5.4500,4.5000,nan,0.0000e+00
5.5500,4.5000,nan,0.0000e+00
5.6500,4.5000,nan,0.0000e+00
5.7500,4.5000,nan,0.0000e+00
5.8500,4.5000,nan,0.0000e+00
5.9500,4.5000,nan,0.0000e+00
0.0500,7.5000,nan,0.0000e+00
0.1500,7.5000,nan,0.0000e+00
0.2500,7.5000,nan,0.0000e+00
0.3500,7.5000,nan,0.0000e+00
0.4500,7.5000,nan,0.0000e+00
0.5500,7.5000,nan,0.0000e+00
0.6500,7.5000,nan,0.0000e+00
0.7500,7.5000,nan,0.0000e+00
0.8500,7.5000,nan,0.0000e+00
0.9500,7.5000,nan,0.0000e+00
1.0500,7.5000,nan,0.0000e+00
1.1500,7.5000,nan,0.0000e+00
1.2500,7.5000,nan,0.0000e+00
1.3500,7.5000,nan,0.0000e+00
1.4500,7.5000,nan,0.0000e+00
1.5500,7.5000,nan,0.0000e+00
1.6500,7.5000,nan,0.0000e+00
1.7500,7.5000,nan,0.0000e+00
1.8500,7.5000,nan,0.0000e+00
1.9500,7.5000,nan,0.0000e+00
2.0500,7.5000,nan,0.0000e+00
2.1500,7.5000,nan,0.0000e+00
