# Average intensity in pT^2 and number of samples in each in each L*/|MLAT| bin in figure 4b
# L*,|MLAT|,Intensity,Counts
0.0500,1.5000,nan,0.0000e+00
0.1500,1.5000,nan,0.0000e+00
0.2500,1.5000,nan,0.0000e+00
0.3500,1.5000,nan,0.0000e+00
0.4500,1.5000,nan,0.0000e+00
0.5500,1.5000,nan,0.0000e+00
0.6500,1.5000,nan,0.0000e+00
0.7500,1.5000,nan,0.0000e+00
0.8500,1.5000,nan,0.0000e+00
0.9500,1.5000,nan,0.0000e+00
1.0500,1.5000,nan,0.0000e+00
1.1500,1.5000,nan,0.0000e+00
1.2500,1.5000,nan,0.0000e+00
1.3500,1.5000,nan,0.0000e+00
1.4500,1.5000,nan,0.0000e+00
1.5500,1.5000,nan,0.0000e+00
1.6500,1.5000,nan,0.0000e+00
1.7500,1.5000,nan,0.0000e+00
1.8500,1.5000,nan,0.0000e+00
1.9500,1.5000,nan,0.0000e+00
2.0500,1.5000,nan,0.0000e+00
2.1500,1.5000,nan,0.0000e+00
2.2500,1.5000,nan,0.0000e+00
2.3500,1.5000,nan,0.0000e+00
2.4500,1.5000,nan,0.0000e+00
2.5500,1.5000,3.9885e+00,9.8200e+02
2.6500,1.5000,1.9148e+01,1.3150e+03
2.7500,1.5000,1.4003e+01,1.5710e+03
2.8500,1.5000,1.7701e+01,1.9050e+03
2.9500,1.5000,2.6502e+01,2.2590e+03
3.0500,1.5000,3.0903e+01,2.7270e+03
3.1500,1.5000,7.3194e+01,3.0720e+03
3.2500,1.5000,8.4148e+01,3.5340e+03
3.3500,1.5000,1.4228e+02,3.9810e+03
3.4500,1.5000,1.8532e+02,4.3250e+03
3.5500,1.5000,1.8882e+02,4.7070e+03
3.6500,1.5000,2.1773e+02,5.2790e+03
3.7500,1.5000,3.4634e+02,6.1110e+03
3.8500,1.5000,2.8487e+02,6.8940e+03
3.9500,1.5000,4.7085e+02,7.5630e+03
4.0500,1.5000,1.6619e+03,8.2370e+03
4.1500,1.5000,1.7177e+03,9.8800e+03
4.2500,1.5000,9.6075e+02,1.1475e+04
4.3500,1.5000,1.1515e+03,1.3488e+04
4.4500,1.5000,9.6802e+02,1.5958e+04
4.5500,1.5000,1.1791e+03,1.8491e+04
4.6500,1.5000,9.4697e+02,2.1551e+04
4.7500,1.5000,1.4540e+03,2.2738e+04
4.8500,1.5000,1.1329e+03,2.0381e+04
4.9500,1.5000,1.3853e+03,1.3577e+04
5.0500,1.5000,2.1822e+03,9.7890e+03
5.1500,1.5000,nan,0.0000e+00
5.2500,1.5000,nan,0.0000e+00
5.3500,1.5000,nan,0.0000e+00
5.4500,1.5000,nan,0.0000e+00
5.5500,1.5000,nan,0.0000e+00
5.6500,1.5000,nan,0.0000e+00
5.7500,1.5000,nan,0.0000e+00
5.8500,1.5000,nan,0.0000e+00
5.9500,1.5000,nan,0.0000e+00
0.0500,4.5000,nan,0.0000e+00
0.1500,4.5000,nan,0.0000e+00
0.2500,4.5000,nan,0.0000e+00
0.3500,4.5000,nan,0.0000e+00
0.4500,4.5000,nan,0.0000e+00
0.5500,4.5000,nan,0.0000e+00
0.6500,4.5000,nan,0.0000e+00
0.7500,4.5000,nan,0.0000e+00
0.8500,4.5000,nan,0.0000e+00
0.9500,4.5000,nan,0.0000e+00
1.0500,4.5000,nan,0.0000e+00
1.1500,4.5000,nan,0.0000e+00
1.2500,4.5000,nan,0.0000e+00
1.3500,4.5000,nan,0.0000e+00
1.4500,4.5000,nan,0.0000e+00
1.5500,4.5000,nan,0.0000e+00
1.6500,4.5000,nan,0.0000e+00
1.7500,4.5000,nan,0.0000e+00
1.8500,4.5000,nan,0.0000e+00
1.9500,4.5000,nan,0.0000e+00
2.0500,4.5000,nan,0.0000e+00
2.1500,4.5000,nan,0.0000e+00
2.2500,4.5000,nan,0.0000e+00
2.3500,4.5000,nan,0.0000e+00
2.4500,4.5000,nan,0.0000e+00
2.5500,4.5000,5.1584e+00,9.8200e+02
2.6500,4.5000,2.8267e+01,1.3150e+03
2.7500,4.5000,1.7490e+01,1.5710e+03
2.8500,4.5000,2.1854e+01,1.9050e+03
2.9500,4.5000,3.4714e+01,2.2590e+03
3.0500,4.5000,4.2042e+01,2.7270e+03
3.1500,4.5000,8.5374e+01,3.0720e+03
3.2500,4.5000,9.9523e+01,3.5340e+03
3.3500,4.5000,1.7749e+02,3.9810e+03
3.4500,4.5000,2.3520e+02,4.3250e+03
3.5500,4.5000,2.6885e+02,4.7070e+03
3.6500,4.5000,3.2345e+02,5.2790e+03
3.7500,4.5000,4.6583e+02,6.1110e+03
3.8500,4.5000,3.9381e+02,6.8940e+03
3.9500,4.5000,5.8875e+02,7.5630e+03
4.0500,4.5000,1.7060e+03,8.2370e+03
4.1500,4.5000,1.8088e+03,9.8800e+03
4.2500,4.5000,1.1079e+03,1.1475e+04
4.3500,4.5000,1.2799e+03,1.3488e+04
4.4500,4.5000,1.0656e+03,1.5958e+04
4.5500,4.5000,1.3236e+03,1.8491e+04
4.6500,4.5000,1.0972e+03,2.1551e+04
4.7500,4.5000,1.5092e+03,2.2738e+04
4.8500,4.5000,1.2720e+03,2.0381e+04
4.9500,4.5000,1.5073e+03,1.3577e+04
5.0500,4.5000,2.3464e+03,9.7890e+03
5.1500,4.5000,nan,0.0000e+00
5.2500,4.5000,nan,0.0000e+00
5.3500,4.5000,nan,0.0000e+00
5.4500,4.5000,nan,0.0000e+00
5.5500,4.5000,nan,0.0000e+00
5.6500,4.5000,nan,0.0000e+00
5.7500,4.5000,nan,0.0000e+00
5.8500,4.5000,nan,0.0000e+00
5.9500,4.5000,nan,0.0000e+00
0.0500,7.5000,nan,0.0000e+00
0.1500,7.5000,nan,0.0000e+00
0.2500,7.5000,nan,0.0000e+00
0.3500,7.5000,nan,0.0000e+00
0.4500,7.5000,nan,0.0000e+00
0.5500,7.5000,nan,0.0000e+00
0.6500,7.5000,nan,0.0000e+00
0.7500,7.5000,nan,0.0000e+00
0.8500,7.5000,nan,0.0000e+00
0.9500,7.5000,nan,0.0000e+00
1.0500,7.5000,nan,0.0000e+00
1.1500,7.5000,nan,0.0000e+00
1.2500,7.5000,nan,0.0000e+00
1.3500,7.5000,nan,0.0000e+00
1.4500,7.5000,nan,0.0000e+00
1.5500,7.5000,nan,0.0000e+00
1.6500,7.5000,nan,0.0000e+00
1.7500,7.5000,nan,0.0000e+00
1.8500,7.5000,nan,0.0000e+00
1.9500,7.5000,nan,0.0000e+00
2.0500,7.5000,nan,0.0000e+00
2.1500,7.5000,nan,0.0000e+00
