# Average intensity in pT^2 and number of samples in each in each L*/|MLAT| bin in figure 4c
# L*,|MLAT|,Intensity,Counts
0.0500,1.5000,nan,0.0000e+00
0.1500,1.5000,nan,0.0000e+00
0.2500,1.5000,nan,0.0000e+00
0.3500,1.5000,nan,0.0000e+00
0.4500,1.5000,nan,0.0000e+00
0.5500,1.5000,nan,0.0000e+00
0.6500,1.5000,nan,0.0000e+00
0.7500,1.5000,nan,0.0000e+00
0.8500,1.5000,nan,0.0000e+00
0.9500,1.5000,nan,0.0000e+00
1.0500,1.5000,nan,0.0000e+00
1.1500,1.5000,nan,0.0000e+00
1.2500,1.5000,nan,0.0000e+00
1.3500,1.5000,nan,0.0000e+00
1.4500,1.5000,nan,0.0000e+00
1.5500,1.5000,nan,0.0000e+00
1.6500,1.5000,nan,0.0000e+00
1.7500,1.5000,nan,0.0000e+00
1.8500,1.5000,nan,0.0000e+00
1.9500,1.5000,nan,0.0000e+00
2.0500,1.5000,nan,0.0000e+00
2.1500,1.5000,nan,0.0000e+00
2.2500,1.5000,nan,0.0000e+00
2.3500,1.5000,nan,0.0000e+00
2.4500,1.5000,nan,0.0000e+00
2.5500,1.5000,0.0000e+00,3.2300e+02
2.6500,1.5000,0.0000e+00,3.8600e+02
2.7500,1.5000,0.0000e+00,5.0800e+02
2.8500,1.5000,0.0000e+00,5.9700e+02
2.9500,1.5000,0.0000e+00,6.7700e+02
3.0500,1.5000,7.3628e-01,7.6200e+02
3.1500,1.5000,5.0671e+00,8.6300e+02
3.2500,1.5000,3.8650e+00,9.6400e+02
3.3500,1.5000,2.6410e+01,1.1200e+03
3.4500,1.5000,4.2779e+01,1.2230e+03
3.5500,1.5000,1.7710e+01,1.2400e+03
3.6500,1.5000,1.3122e+01,1.5400e+03
3.7500,1.5000,4.5793e+01,1.6390e+03
3.8500,1.5000,4.4722e+01,1.7000e+03
3.9500,1.5000,4.0711e+01,1.7370e+03
4.0500,1.5000,4.7327e+01,1.6130e+03
4.1500,1.5000,1.8799e+01,2.1590e+03
4.2500,1.5000,4.2250e+01,3.0660e+03
4.3500,1.5000,3.9138e+01,3.1890e+03
4.4500,1.5000,3.5466e+01,4.2220e+03
4.5500,1.5000,6.1376e+01,5.3080e+03
4.6500,1.5000,2.6861e+01,7.8890e+03
4.7500,1.5000,1.8209e+01,6.3990e+03
4.8500,1.5000,3.9666e+01,4.3290e+03
4.9500,1.5000,8.3636e+01,6.6700e+02
5.0500,1.5000,1.7516e+02,7.7500e+02
5.1500,1.5000,nan,0.0000e+00
5.2500,1.5000,nan,0.0000e+00
5.3500,1.5000,nan,0.0000e+00
5.4500,1.5000,nan,0.0000e+00
5.5500,1.5000,nan,0.0000e+00
5.6500,1.5000,nan,0.0000e+00
5.7500,1.5000,nan,0.0000e+00
5.8500,1.5000,nan,0.0000e+00
5.9500,1.5000,nan,0.0000e+00
0.0500,4.5000,nan,0.0000e+00
0.1500,4.5000,nan,0.0000e+00
0.2500,4.5000,nan,0.0000e+00
0.3500,4.5000,nan,0.0000e+00
0.4500,4.5000,nan,0.0000e+00
0.5500,4.5000,nan,0.0000e+00
0.6500,4.5000,nan,0.0000e+00
0.7500,4.5000,nan,0.0000e+00
0.8500,4.5000,nan,0.0000e+00
0.9500,4.5000,nan,0.0000e+00
1.0500,4.5000,nan,0.0000e+00
1.1500,4.5000,nan,0.0000e+00
1.2500,4.5000,nan,0.0000e+00
1.3500,4.5000,nan,0.0000e+00
1.4500,4.5000,nan,0.0000e+00
1.5500,4.5000,nan,0.0000e+00
1.6500,4.5000,nan,0.0000e+00
1.7500,4.5000,nan,0.0000e+00
1.8500,4.5000,nan,0.0000e+00
1.9500,4.5000,nan,0.0000e+00
2.0500,4.5000,nan,0.0000e+00
2.1500,4.5000,nan,0.0000e+00
2.2500,4.5000,nan,0.0000e+00
2.3500,4.5000,nan,0.0000e+00
2.4500,4.5000,nan,0.0000e+00
2.5500,4.5000,0.0000e+00,2.4600e+02
2.6500,4.5000,0.0000e+00,3.2600e+02
2.7500,4.5000,0.0000e+00,3.0800e+02
2.8500,4.5000,0.0000e+00,3.6900e+02
2.9500,4.5000,0.0000e+00,3.9900e+02
3.0500,4.5000,0.0000e+00,4.3600e+02
3.1500,4.5000,0.0000e+00,5.8900e+02
3.2500,4.5000,1.8036e-03,6.9400e+02
3.3500,4.5000,1.1691e-01,7.1700e+02
3.4500,4.5000,6.8902e+00,7.6300e+02
3.5500,4.5000,2.0316e+01,8.3400e+02
3.6500,4.5000,3.7336e+02,8.2700e+02
3.7500,4.5000,1.2785e+02,1.0720e+03
3.8500,4.5000,6.1532e+01,1.4090e+03
3.9500,4.5000,1.0881e+02,1.5680e+03
4.0500,4.5000,1.4962e+02,1.8490e+03
4.1500,4.5000,9.4780e+01,2.2440e+03
4.2500,4.5000,1.0621e+02,2.3780e+03
4.3500,4.5000,1.2511e+02,3.2850e+03
4.4500,4.5000,9.8712e+01,3.6350e+03
4.5500,4.5000,1.0219e+02,4.2950e+03
4.6500,4.5000,1.2886e+02,4.1480e+03
4.7500,4.5000,1.2125e+02,3.6820e+03
4.8500,4.5000,2.5426e+02,2.9700e+03
4.9500,4.5000,1.2980e+02,1.1440e+03
5.0500,4.5000,4.5438e+01,3.2200e+02
5.1500,4.5000,nan,0.0000e+00
5.2500,4.5000,nan,0.0000e+00
5.3500,4.5000,nan,0.0000e+00
5.4500,4.5000,nan,0.0000e+00
5.5500,4.5000,nan,0.0000e+00
5.6500,4.5000,nan,0.0000e+00
5.7500,4.5000,nan,0.0000e+00
5.8500,4.5000,nan,0.0000e+00
5.9500,4.5000,nan,0.0000e+00
0.0500,7.5000,nan,0.0000e+00
0.1500,7.5000,nan,0.0000e+00
0.2500,7.5000,nan,0.0000e+00
0.3500,7.5000,nan,0.0000e+00
0.4500,7.5000,nan,0.0000e+00
0.5500,7.5000,nan,0.0000e+00
0.6500,7.5000,nan,0.0000e+00
0.7500,7.5000,nan,0.0000e+00
0.8500,7.5000,nan,0.0000e+00
0.9500,7.5000,nan,0.0000e+00
1.0500,7.5000,nan,0.0000e+00
1.1500,7.5000,nan,0.0000e+00
1.2500,7.5000,nan,0.0000e+00
1.3500,7.5000,nan,0.0000e+00
1.4500,7.5000,nan,0.0000e+00
1.5500,7.5000,nan,0.0000e+00
1.6500,7.5000,nan,0.0000e+00
1.7500,7.5000,nan,0.0000e+00
1.8500,7.5000,nan,0.0000e+00
1.9500,7.5000,nan,0.0000e+00
2.0500,7.5000,nan,0.0000e+00
2.1500,7.5000,nan,0.0000e+00
