# Average intensity in pT^2 and number of samples in each in each L*/|MLAT| bin in figure 4d
# L*,|MLAT|,Intensity,Counts
0.0500,1.5000,nan,0.0000e+00
0.1500,1.5000,nan,0.0000e+00
0.2500,1.5000,nan,0.0000e+00
0.3500,1.5000,nan,0.0000e+00
0.4500,1.5000,nan,0.0000e+00
0.5500,1.5000,nan,0.0000e+00
0.6500,1.5000,nan,0.0000e+00
0.7500,1.5000,nan,0.0000e+00
0.8500,1.5000,nan,0.0000e+00
0.9500,1.5000,nan,0.0000e+00
1.0500,1.5000,nan,0.0000e+00
1.1500,1.5000,nan,0.0000e+00
1.2500,1.5000,nan,0.0000e+00
1.3500,1.5000,nan,0.0000e+00
1.4500,1.5000,nan,0.0000e+00
1.5500,1.5000,nan,0.0000e+00
1.6500,1.5000,nan,0.0000e+00
1.7500,1.5000,nan,0.0000e+00
1.8500,1.5000,nan,0.0000e+00
1.9500,1.5000,nan,0.0000e+00
2.0500,1.5000,nan,0.0000e+00
2.1500,1.5000,nan,0.0000e+00
2.2500,1.5000,nan,0.0000e+00
2.3500,1.5000,nan,0.0000e+00
2.4500,1.5000,nan,0.0000e+00
2.5500,1.5000,0.0000e+00,9.8200e+02
2.6500,1.5000,0.0000e+00,1.3150e+03
2.7500,1.5000,0.0000e+00,1.5710e+03
2.8500,1.5000,0.0000e+00,1.9050e+03
2.9500,1.5000,0.0000e+00,2.2590e+03
3.0500,1.5000,2.0651e-01,2.7270e+03
3.1500,1.5000,1.7680e+00,3.0720e+03
3.2500,1.5000,4.5066e+00,3.5340e+03
3.3500,1.5000,2.2372e+01,3.9810e+03
3.4500,1.5000,5.3619e+01,4.3250e+03
3.5500,1.5000,4.0908e+01,4.7070e+03
3.6500,1.5000,7.8553e+01,5.2790e+03
3.7500,1.5000,8.8298e+01,6.1110e+03
3.8500,1.5000,6.5290e+01,6.8940e+03
3.9500,1.5000,4.6303e+01,7.5630e+03
4.0500,1.5000,1.3873e+02,8.2370e+03
4.1500,1.5000,1.6736e+02,9.8800e+03
4.2500,1.5000,1.1521e+02,1.1475e+04
4.3500,1.5000,7.1390e+01,1.3488e+04
4.4500,1.5000,5.8296e+01,1.5958e+04
4.5500,1.5000,6.6407e+01,1.8491e+04
4.6500,1.5000,6.7843e+01,2.1551e+04
4.7500,1.5000,5.9426e+01,2.2738e+04
4.8500,1.5000,1.2614e+02,2.0381e+04
4.9500,1.5000,4.0625e+01,1.3577e+04
5.0500,1.5000,3.1607e+01,9.7890e+03
5.1500,1.5000,nan,0.0000e+00
5.2500,1.5000,nan,0.0000e+00
5.3500,1.5000,nan,0.0000e+00
5.4500,1.5000,nan,0.0000e+00
5.5500,1.5000,nan,0.0000e+00
5.6500,1.5000,nan,0.0000e+00
5.7500,1.5000,nan,0.0000e+00
5.8500,1.5000,nan,0.0000e+00
5.9500,1.5000,nan,0.0000e+00
0.0500,4.5000,nan,0.0000e+00
0.1500,4.5000,nan,0.0000e+00
0.2500,4.5000,nan,0.0000e+00
0.3500,4.5000,nan,0.0000e+00
0.4500,4.5000,nan,0.0000e+00
0.5500,4.5000,nan,0.0000e+00
0.6500,4.5000,nan,0.0000e+00
0.7500,4.5000,nan,0.0000e+00
0.8500,4.5000,nan,0.0000e+00
0.9500,4.5000,nan,0.0000e+00
1.0500,4.5000,nan,0.0000e+00
1.1500,4.5000,nan,0.0000e+00
1.2500,4.5000,nan,0.0000e+00
1.3500,4.5000,nan,0.0000e+00
1.4500,4.5000,nan,0.0000e+00
1.5500,4.5000,nan,0.0000e+00
1.6500,4.5000,nan,0.0000e+00
1.7500,4.5000,nan,0.0000e+00
1.8500,4.5000,nan,0.0000e+00
1.9500,4.5000,nan,0.0000e+00
2.0500,4.5000,nan,0.0000e+00
2.1500,4.5000,nan,0.0000e+00
2.2500,4.5000,nan,0.0000e+00
2.3500,4.5000,nan,0.0000e+00
2.4500,4.5000,nan,0.0000e+00
2.5500,4.5000,0.0000e+00,9.8200e+02
2.6500,4.5000,0.0000e+00,1.3150e+03
2.7500,4.5000,0.0000e+00,1.5710e+03
2.8500,4.5000,0.0000e+00,1.9050e+03
2.9500,4.5000,0.0000e+00,2.2590e+03
3.0500,4.5000,3.8305e-01,2.7270e+03
3.1500,4.5000,3.2138e+00,3.0720e+03
3.2500,4.5000,7.5183e+00,3.5340e+03
3.3500,4.5000,3.5624e+01,3.9810e+03
3.4500,4.5000,8.5764e+01,4.3250e+03
3.5500,4.5000,6.6472e+01,4.7070e+03
3.6500,4.5000,1.1225e+02,5.2790e+03
3.7500,4.5000,1.1906e+02,6.1110e+03
3.8500,4.5000,9.2091e+01,6.8940e+03
3.9500,4.5000,6.4498e+01,7.5630e+03
4.0500,4.5000,1.4399e+02,8.2370e+03
4.1500,4.5000,1.4406e+02,9.8800e+03
4.2500,4.5000,1.0976e+02,1.1475e+04
4.3500,4.5000,7.3098e+01,1.3488e+04
4.4500,4.5000,6.1158e+01,1.5958e+04
4.5500,4.5000,7.1967e+01,1.8491e+04
4.6500,4.5000,7.3344e+01,2.1551e+04
4.7500,4.5000,5.8687e+01,2.2738e+04
4.8500,4.5000,1.3032e+02,2.0381e+04
4.9500,4.5000,4.4417e+01,1.3577e+04
5.0500,4.5000,3.3724e+01,9.7890e+03
5.1500,4.5000,nan,0.0000e+00
5.2500,4.5000,nan,0.0000e+00
5.3500,4.5000,nan,0.0000e+00
5.4500,4.5000,nan,0.0000e+00
5.5500,4.5000,nan,0.0000e+00
5.6500,4.5000,nan,0.0000e+00
5.7500,4.5000,nan,0.0000e+00
5.8500,4.5000,nan,0.0000e+00
5.9500,4.5000,nan,0.0000e+00
0.0500,7.5000,nan,0.0000e+00
0.1500,7.5000,nan,0.0000e+00
0.2500,7.5000,nan,0.0000e+00
0.3500,7.5000,nan,0.0000e+00
0.4500,7.5000,nan,0.0000e+00
0.5500,7.5000,nan,0.0000e+00
0.6500,7.5000,nan,0.0000e+00
0.7500,7.5000,nan,0.0000e+00
0.8500,7.5000,nan,0.0000e+00
0.9500,7.5000,nan,0.0000e+00
1.0500,7.5000,nan,0.0000e+00
1.1500,7.5000,nan,0.0000e+00
1.2500,7.5000,nan,0.0000e+00
1.3500,7.5000,nan,0.0000e+00
1.4500,7.5000,nan,0.0000e+00
1.5500,7.5000,nan,0.0000e+00
1.6500,7.5000,nan,0.0000e+00
1.7500,7.5000,nan,0.0000e+00
1.8500,7.5000,nan,0.0000e+00
1.9500,7.5000,nan,0.0000e+00
2.0500,7.5000,nan,0.0000e+00
2.1500,7.5000,nan,0.0000e+00
